gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
KDR,2.138896,0.28588387,-1.8530121,True,0.31552842,0.21797025
UNC119,1.5622277,0.12959091,-1.4326369,False,0.25497884,0.120281376
CXCL12,2.1549044,1.011119,-1.1437854,True,0.21823983,0.707248
SMOX,0.8144796,0.14619236,-0.6682872,True,0.3304221,0.1155709
POLE2,1.0801228,0.5516404,-0.52848244,False,0.3048849,0.27393827
PHF10,1.9546223,1.5497005,-0.40492177,True,0.2256846,0.29620743
FGD5,0.6781506,0.3776391,-0.30051148,False,0.30346906,0.22890295
RND2,2.5795403,2.3445408,-0.23499942,False,0.121210694,0.13604479
CHD3,0.74007934,0.9212766,0.18119729,True,0.32167023,0.33186546
CDO1,0.67494875,0.54129446,-0.1336543,False,0.31003004,0.26795003
ACTRT3,0.68491817,0.55931395,-0.12560421,False,0.31289488,0.29234126
SRD5A3,1.545329,1.4423381,-0.102990866,True,0.3236345,0.35046303
KDM6B,0.16362737,0.2519791,0.08835174,True,0.12430327,0.1805199
ATP1A2,1.028914,1.09826,0.06934607,True,0.41873628,0.41985813
SELENOP,1.0004246,1.0645458,0.06412113,True,0.44973302,0.44103608
RAB17,1.5537531,1.4921248,-0.06162834,True,0.5508224,0.5528899
NAA38,0.5279029,0.58812886,0.060225964,False,0.25420874,0.2609713
SH3GL3,0.7675091,0.70733637,-0.060172737,False,0.30787173,0.29180318
ZMAT4,1.2856385,1.2256724,-0.059966087,True,0.37251619,0.3811982
CCND1,1.0390285,1.0984801,0.05945158,True,0.3845656,0.37642345
NOL4L,1.3831178,1.3271316,-0.055986166,False,0.2763889,0.2989951
ZFYVE28,0.1623534,0.10692526,-0.05542814,False,0.10793948,0.07306187
CIC,1.0544367,1.0028154,-0.051621318,False,0.30531222,0.31102416
NEFM,1.2480268,1.2970452,0.049018383,True,0.4028053,0.3951894
FAXC,0.96942097,1.0181229,0.048701942,True,0.3494252,0.34731328
FOXP4,1.0239264,1.0717726,0.047846198,True,0.34288076,0.323224
SH3PXD2A,1.163406,1.2100567,0.046650648,True,0.35269663,0.35900342
TEK,1.5910075,1.5449388,-0.04606867,True,0.4462709,0.4735995
AKAP7,1.5629597,1.6088171,0.04585743,True,0.41213223,0.42392546
PPP2R3B,1.9121277,1.8668975,-0.04523027,False,0.22565971,0.21840727
HIST1H1A,1.5684879,1.5237678,-0.044720054,True,1.4661734,1.4843143
KCNC4,0.7826414,0.8269945,0.044353068,True,0.3237659,0.32105118
PHKA1,0.66380244,0.707624,0.043821573,True,0.3124792,0.31785247
VAT1,2.7638285,2.7200341,-0.043794394,False,0.09939058,0.105076596
PSME1,2.0762339,2.1196952,0.043461323,False,0.21061629,0.19323918
DSE,1.8486643,1.8053384,-0.0433259,False,0.22321193,0.22805113
SNAPC1,0.9505485,0.9074758,-0.0430727,True,0.33947995,0.32304075
PROM1,2.3386636,2.381697,0.04303336,True,0.22140999,0.21120746
PLAUR,0.52427727,0.5670894,0.04281211,False,0.26888803,0.26645553
