gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
KIF1B,2.612775,0.28202504,-2.33075,False,0.10692237,0.24005325
OAT,0.84588,0.52198225,-0.32389772,False,0.29923955,0.2508406
NKX1-2,0.49017122,0.17952669,-0.31064454,False,0.25524968,0.11463338
LBR,2.6965973,2.401498,-0.29509926,False,0.1292049,0.17861725
LHPP,0.94047344,0.72750074,-0.2129727,False,0.31491002,0.29721814
HESX1,1.250492,1.4210567,0.17056477,True,0.4382072,0.42342559
BST2,1.1939828,1.2993603,0.105377436,True,0.5915028,0.60421723
MPPED2,0.77292037,0.8773941,0.10447371,True,0.33457357,0.3372419
SFRP1,4.2489777,4.346297,0.097319126,True,0.12169684,0.103466846
PDZD4,2.1980815,2.1165135,-0.081568,True,0.20350996,0.227344
MT1X,1.2593601,1.1801955,-0.079164624,True,0.58770955,0.55712944
VIM,2.7251427,2.8015769,0.076434135,True,0.5895071,0.5846136
PRKCB,0.87092805,0.9455436,0.07461554,True,0.3349577,0.3379107
RAB17,1.5537531,1.482533,-0.07122016,True,0.5508224,0.5421639
ACOXL,1.4610541,1.5319064,0.07085228,True,0.3608723,0.34699225
METTL7A,1.1035215,1.0346721,-0.068849325,True,0.36541176,0.3626782
HIST1H1A,1.5684879,1.4997727,-0.068715215,True,1.4661734,1.4459867
TUBB3,1.5669075,1.6341908,0.06728327,True,0.34727174,0.33871546
BPNT1,1.0658513,0.9989441,-0.06690723,False,0.30754632,0.30523163
STAU1,3.1233964,3.0572097,-0.06618667,False,0.06850122,0.07371118
SHISA2,1.6919217,1.7579294,0.06600773,True,0.5537069,0.5754188
GPC3,1.794429,1.8583137,0.063884735,True,0.31798097,0.29973695
RGMB,1.0518202,0.98795265,-0.06386751,True,0.33273268,0.346168
AKAP7,1.5629597,1.4993483,-0.06361139,True,0.41213223,0.41763833
ANP32B,0.33839923,0.27706635,-0.06133288,False,0.18805075,0.16701134
DUSP6,2.2662961,2.3268802,0.06058407,True,0.42365897,0.39710227
PKDCC,2.017514,2.0777757,0.060261726,True,0.58726704,0.60979795
ZSWIM9,0.58428663,0.6442113,0.059924662,False,0.26606527,0.28287607
GRIK2,0.23598817,0.29559425,0.059606075,True,0.15957212,0.18511494
L1CAM,1.6603423,1.6012174,-0.059124947,True,0.34027112,0.3613673
OTX2,0.8048261,0.8632943,0.058468223,True,0.38356015,0.395238
APELA,1.5670142,1.5087305,-0.058283687,True,0.4344417,0.44686654
FXYD6,1.8719592,1.9299622,0.05800295,True,0.2274005,0.21627776
IGFBP4,1.9565018,1.8985237,-0.057978153,True,0.226974,0.22581065
GAL,2.7219493,2.6641383,-0.05781102,True,0.35849097,0.35909444
FGFBP3,1.5303756,1.5878367,0.057461143,True,0.39057454,0.4030093
PREX2,1.651501,1.5946281,-0.056872964,False,0.27083576,0.27942634
GRB14,0.6662688,0.6107039,-0.05556494,False,0.29884294,0.28276315
AFF2,0.9375677,0.9929252,0.055357516,True,0.38116604,0.37934953
CDH2,1.6087554,1.5534728,-0.055282593,True,0.33867648,0.36329645
KRTCAP3,0.56576777,0.51094204,-0.054825723,False,0.26245642,0.2543735
CNTNAP2,1.610608,1.6645871,0.05397916,True,0.2864663,0.26762342
P2RY1,0.7862649,0.73235273,-0.053912163,True,0.40756574,0.39163503
HIST3H2A,1.126817,1.0732578,-0.053559184,True,0.58922714,0.5945972
POLR3G,2.6291654,2.6824539,0.05328846,True,0.22044568,0.13980794
PIK3R3,0.66861546,0.720674,0.052058518,False,0.28616795,0.29468825
LRRC58,1.585483,1.5334642,-0.05201876,True,0.29369226,0.303887
LZTS1,0.5998432,0.6516567,0.051813483,False,0.2839003,0.28890502
NTS,1.4767022,1.5280164,0.051314235,True,0.7286999,0.7111686
HTR1D,0.536856,0.48599908,-0.050856918,True,0.32416457,0.29345867
LITAF,2.7599976,2.709482,-0.05051565,True,0.18362416,0.18994902
CADM2,0.4776455,0.5280561,0.0504106,True,0.28923467,0.31282312
EEF1A2,0.775216,0.72481394,-0.050402045,True,0.3544652,0.3479364
THOP1,2.1367903,2.18709,0.050299644,False,0.19567671,0.14001513
GPC4,2.8069289,2.8567886,0.049859762,True,0.19444703,0.18337813
SOCS2,1.2737695,1.3232131,0.049443603,True,0.4973071,0.487086
FGF13,1.6198746,1.570601,-0.04927361,True,0.42301762,0.42556235
FN1,0.7990986,0.7501651,-0.048933506,True,0.3614243,0.35453537
CCBE1,0.29957494,0.25071096,-0.048863977,True,0.18884747,0.15748797
ECHDC1,1.6418368,1.5939708,-0.047865987,False,0.24094424,0.25072157
S100A10,3.133715,3.1785858,0.044870853,True,0.22135624,0.21209529
SLC7A2,1.3348604,1.2904227,-0.044437766,False,0.31370005,0.30687636
DPPA2,0.9645738,0.9203042,-0.04426962,True,0.42964724,0.44128102
PLK1,2.8255942,2.8695095,0.04391527,True,0.47531453,0.4600646
BRI3BP,0.9813095,1.0251228,0.04381329,False,0.3067349,0.306814
NAP1L3,1.0132377,0.97059584,-0.042641878,True,0.34537348,0.3681
HIST1H2BH,3.0131607,2.9705331,-0.042627573,True,1.2786521,1.293909
ZDHHC22,1.2077652,1.1652942,-0.04247105,True,0.33642527,0.3482184
CRABP1,2.7936456,2.8359897,0.042344093,True,0.2094519,0.1987362
CHGA,1.5551376,1.597302,0.042164326,True,0.55296373,0.5586129
ESYT1,2.0630794,2.105224,0.042144537,False,0.1841196,0.16616683
FUT8,1.1711775,1.213205,0.042027473,False,0.32690215,0.32525373
GJC1,2.8362377,2.8781717,0.041934013,True,0.12947764,0.123331435
RNF157,1.0251125,1.0666518,0.04153931,True,0.374465,0.3721226
PLPP3,2.2034671,2.162067,-0.041400194,True,0.22995988,0.24355474
LAMB1,1.1267743,1.0854104,-0.041363955,True,0.34430408,0.35778385
HES1,0.91062826,0.95198864,0.04136038,True,0.49244022,0.4753764
GSTO1,1.0067747,0.96557575,-0.04119891,True,0.33141363,0.32299578
TTC39C,1.9046897,1.8636111,-0.041078568,True,0.34991878,0.33601323
MTHFR,0.8909216,0.9318948,0.040973186,False,0.32580677,0.3169909
HIST1H1D,1.6205581,1.5795938,-0.040964365,True,1.2314817,1.2377455
MFSD4B,0.7884896,0.8294141,0.04092455,False,0.28547624,0.28302166
TIMM50,1.8917184,1.8508483,-0.04087007,False,0.18870945,0.20124325
TFPI2,0.67664933,0.63582563,-0.040823698,True,0.33158126,0.30973512
AASS,3.9314687,3.8906536,-0.040815115,True,0.25482205,0.2820681
MOV10,1.6590405,1.6182771,-0.04076338,True,0.2772971,0.30249238
C21orf91,1.4416752,1.4824175,0.040742278,True,0.32547858,0.31435895
DOK4,1.3987869,1.3581687,-0.04061818,False,0.28262448,0.29407218
OBI1,0.6192709,0.5786544,-0.040616512,False,0.28445882,0.27545747
TRMT1L,1.5412279,1.5007098,-0.040518165,False,0.27863172,0.30599266
CA11,1.782018,1.8224853,0.04046738,True,0.24894503,0.22989179
F2RL1,0.74678606,0.70642287,-0.040363193,False,0.30188304,0.30546048
VSNL1,2.1774752,2.137374,-0.04010129,True,0.21121545,0.21541026
TRBC2,1.4730004,1.5131009,0.040100455,True,0.35159406,0.346069
HIST1H1C,3.3517175,3.311684,-0.04003358,True,1.5421159,1.5405688
NPTX2,1.078339,1.1182896,0.03995061,True,0.40481034,0.41376048
SERINC5,2.1259036,2.0860608,-0.039842844,True,0.20388338,0.21430556
FOXD3,0.6952562,0.73496974,0.03971356,True,0.33837232,0.34469262
ZIC2,1.9019088,1.9415146,0.039605856,True,0.40680227,0.40723458
NEFL,0.6202127,0.58065134,-0.03956133,True,0.35230622,0.33293885
HIST1H1B,4.1244035,4.085128,-0.039275646,True,1.3478125,1.3455983
MDK,3.6508844,3.690029,0.039144516,False,0.070709385,0.07116105
TSPAN18,0.32778952,0.28872317,-0.039066344,False,0.1905809,0.17107984
DNM1,0.89620936,0.93508315,0.03887379,False,0.34399784,0.33997297
PAK1,3.1288376,3.0901308,-0.03870678,False,0.08941539,0.092983626
PMAIP1,2.977533,2.9388683,-0.038664818,True,0.21363744,0.22565651
KIAA1841,0.62799156,0.66661197,0.038620412,False,0.29077992,0.30158317
SERPINF1,1.6192932,1.6578614,0.03856814,True,0.29321593,0.29261047
LINGO1,2.5543387,2.5928707,0.03853202,True,0.13707355,0.13616765
ASS1,1.6960539,1.7345065,0.038452625,True,0.34041834,0.36433163
SOGA1,1.160242,1.1985509,0.038308978,False,0.32893655,0.3232999
ST14,1.2043077,1.166228,-0.03807962,True,0.34126028,0.33688587
NPR1,1.1440488,1.1820378,0.03798902,True,0.33606455,0.3389567
POGK,1.489572,1.5275098,0.03793776,False,0.28257787,0.2516251
DTL,1.6594284,1.621501,-0.03792739,True,0.3788977,0.3970919
