gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
KIF20A,1.8451066,0.16029999,-1.6848066,True,0.3325283,0.12915419
ODC1,2.3060384,1.1596867,-1.1463517,True,0.22573909,0.404974
BRD8,1.2941626,0.16352725,-1.1306354,False,0.32903033,0.14091067
SERPINB9,1.3378824,2.3386073,1.0007249,True,0.5634636,1.2989798
CENPV,3.4915988,2.59811,-0.8934889,True,0.08374357,0.3110927
HIST1H3H,0.80666834,1.651811,0.84514266,True,0.4625127,0.62259346
RIPOR2,1.1181024,1.9415638,0.8234614,True,0.4393332,0.39917335
EDIL3,1.4273261,2.2491252,0.82179916,True,0.36399788,0.282936
CALB1,0.8725808,1.6444697,0.7718889,True,0.37383825,0.46009347
FEZ1,1.0951558,1.8547268,0.75957096,True,0.36360902,0.32699934
HTRA1,0.5254791,1.2548349,0.7293558,True,0.27473506,0.39369193
GNA14,0.3345889,1.0628986,0.72830975,True,0.25330648,0.63333386
H2AFJ,2.0699096,2.7972288,0.72731924,True,0.22787869,0.21198633
GRPR,0.8029942,1.528143,0.72514886,True,0.6066761,0.8968887
TMSB15A,1.6361887,0.9301377,-0.70605105,True,0.3158657,0.32661927
PCDH7,0.45434523,1.1441288,0.6897836,True,0.27273244,0.43816727
SLC38A5,2.151649,1.4643253,-0.6873237,True,0.20800957,0.33880806
C9orf135,1.0159495,1.7011682,0.6852187,True,0.37919602,0.46658367
SORBS2,1.0052477,1.6891465,0.6838988,True,0.43276674,0.37230065
NMU,1.7737356,1.0951868,-0.6785488,True,0.3437436,0.4125237
CAV1,0.51446736,1.1798805,0.66541314,True,0.30516323,0.48783603
COL1A2,1.968163,1.3046856,-0.6634774,True,0.27713346,0.35341498
VGF,0.23315704,0.895414,0.66225696,True,0.16754194,0.5283614
UCP2,1.7872043,1.1342332,-0.652971,True,0.28364074,0.33168697
JUN,0.6033395,1.2401996,0.6368601,True,0.41915378,0.66147834
ZMAT4,1.2856385,1.9168284,0.63118994,True,0.37251619,0.40116185
RRM2B,1.15014,1.7726792,0.62253916,True,0.33941558,0.37158728
PCSK5,0.6932874,1.3028345,0.60954714,True,0.30233088,0.3212697
ID3,1.931087,1.3222702,-0.60881686,True,0.3423298,0.5951821
KLHDC7A,0.69530964,1.301475,0.6061654,True,0.33574003,0.42401665
