target,reference,feature,target_mean,reference_mean,percent_change,fold_change,p_value,statistic,fdr
KLF10,non-targeting,AGRN,5.8167143,5.5859537,0.041310865432024,1.0413109064102173,0.0002008505363701,38724015.5,0.0042195883076601
KLF10,non-targeting,FNDC10,0.38583055,0.45513946,-0.1522805988788604,0.8477194309234619,3.556090777928493e-06,34773435.5,0.0001257709727405
KLF10,non-targeting,MMP23B,0.23239318,0.2740658,-0.1520533263683319,0.8479466438293457,0.0001010029484933,35314770.0,0.0023358062276289
KLF10,non-targeting,PRKCZ,2.057297,1.9248662,0.068800002336502,1.0687999725341797,0.000649355451621,38568951.5,0.0112520093591227
KLF10,non-targeting,LRRC47,7.3772526,7.69586,-0.0413998365402221,0.9586001634597778,0.0001688844023717,35010379.0,0.0036385009471885
KLF10,non-targeting,ZBTB48,0.8378457,0.77345914,0.0832449197769165,1.0832449197769165,0.0036751726528298,38283252.5,0.0445475473070283
KLF10,non-targeting,RERE,16.624062,17.119253,-0.0289260037243366,0.9710739850997924,0.0008095421731287,35214945.5,0.0134895433306882
KLF10,non-targeting,SLC25A33,7.286193,6.8502803,0.0636342763900756,1.0636342763900757,1.3282976279432082e-09,39888828.5,9.215510787879205e-08
KLF10,non-targeting,PGD,3.5948515,3.809262,-0.0562866367399692,0.943713366985321,0.0009030882705773,35230081.0,0.0147469616438202
KLF10,non-targeting,DFFA,10.011825,9.404433,0.0645856410264968,1.0645856857299805,1.661966767868992e-11,40221028.0,1.522206644532491e-09
KLF10,non-targeting,MTOR,5.8901825,6.1750093,-0.0461257211863994,0.9538742899894714,0.0021998563982841,35357781.0,0.0300539547234232
KLF10,non-targeting,FBXO2,1.5491731,1.7717412,-0.1256210803985595,0.8743789196014404,2.166249985999017e-10,33731832.0,1.6680493929668753e-08
KLF10,non-targeting,MAD2L2,57.5021,59.254456,-0.0295733660459518,0.970426619052887,1.0210108722693425e-07,34235114.0,5.049200374898717e-06
KLF10,non-targeting,CLCN6,1.9440054,1.7171814,0.1320908367633819,1.1320908069610596,1.553913332934215e-09,39869592.5,1.0698687379836485e-07
KLF10,non-targeting,NPPB,0.0023982523,0.00071230344,2.366896867752075,3.366896867752075,0.0041305268258844,36957789.0,0.0486967909960591
KLF10,non-targeting,TNFRSF8,0.58826286,0.672035,-0.1246544122695922,0.8753455877304077,1.28465873554e-05,34802009.0,0.0003936716938753
KLF10,non-targeting,PDPN,15.702405,16.17351,-0.0291281621903181,0.9708718657493592,0.0026778071759967,35387245.5,0.0349817584841192
KLF10,non-targeting,PRDM2,0.6258418,0.5758202,0.0868701487779617,1.086870193481445,0.0040168742251742,38232017.5,0.0476042776554469
KLF10,non-targeting,FBLIM1,1.255396,1.1735523,0.0697401687502861,1.0697401762008667,0.0040383095896873,38292878.0,0.0478269601608459
KLF10,non-targeting,SDHB,10.572918,10.862362,-0.0266465041786432,0.9733535051345824,0.0035341742755819,35429693.0,0.0432502172076093
KLF10,non-targeting,ACTL8,0.25542542,0.30081138,-0.1508784592151641,0.8491215705871582,0.0001005704875297,35279965.5,0.0023269956674404
KLF10,non-targeting,IGSF21,2.5809712,2.7802827,-0.0716874897480011,0.9283124804496764,0.0002529765069391,35061668.0,0.0051161244356369
KLF10,non-targeting,ALDH4A1,1.291448,1.1336441,0.1392005532979965,1.1392005681991575,6.0182433706170875e-09,39742665.0,3.726364388382087e-07
