gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
ROBO1,2.2172127,0.7892248,-1.4279878,False,0.17354026,0.9034406
KLF10,1.0933926,0.30372465,-0.78966796,True,0.34607023,0.30523124
USF1,1.7061323,1.0435463,-0.662586,False,0.22433108,0.5033199
MYD88,1.0599719,0.5930677,-0.46690422,False,0.324349,0.3501828
ALDH6A1,1.3014809,1.7150279,0.41354704,False,0.29679108,0.29708412
KLF15,0.61699224,1.0268832,0.409891,True,0.29440027,0.41833466
ABAT,0.5117171,0.87724316,0.36552608,False,0.25839585,0.36868918
HK2,2.1755934,2.5045643,0.3289709,True,0.2682932,0.24757683
RRP36,2.1265643,1.8236359,-0.30292833,False,0.17074297,0.33377248
AKAP7,1.5629597,1.2761221,-0.28683758,True,0.41213223,0.44559774
MCCC1,1.4107088,1.6460195,0.23531067,False,0.28784367,0.28868425
SLC2A1,2.6270552,2.8376644,0.2106092,True,0.28948045,0.2786222
PCYT2,1.2168454,1.4235774,0.20673203,True,0.3310134,0.34440488
C5orf51,1.7438602,1.9373437,0.19348347,False,0.22403668,0.23750718
DCXR,1.3434032,1.5335734,0.19017017,False,0.2783916,0.28546363
OXCT1,1.737409,1.9189335,0.18152452,False,0.25355458,0.2529258
TXNIP,0.36665714,0.54626364,0.1796065,True,0.25791046,0.3664437
GCDH,0.86772966,1.0471317,0.179402,False,0.2857932,0.31662637
SPHK2,0.99422204,1.1729262,0.17870414,False,0.29718837,0.32392344
DDX25,0.7469427,0.57494533,-0.17199737,False,0.31952947,0.29796597
ARG2,0.69987094,0.8686336,0.16876268,False,0.28283924,0.3055828
CHST10,1.2786522,1.118573,-0.16007924,False,0.31439507,0.37542924
GAL,2.7219493,2.5669315,-0.15501785,True,0.35849097,0.3820579
GNPDA1,1.4950252,1.3409704,-0.15405476,False,0.2574171,0.31310207
SLC35B2,1.4885176,1.6414055,0.15288782,False,0.26933762,0.2754475
ASL,0.7418821,0.8912359,0.1493538,False,0.27948153,0.31108218
ALDH1L1,0.05453971,0.20268886,0.14814915,False,0.039388314,0.13923694
SNAP23,1.4937519,1.6415696,0.14781773,False,0.23738652,0.22438444
TESMIN,2.0250597,1.8784204,-0.14663935,False,0.21658781,0.28600428
JUP,2.387801,2.5336204,0.14581943,False,0.14977698,0.14018363
MMP24,1.0542948,0.9088768,-0.14541805,True,0.3902179,0.3875854
SCGB3A2,2.1600077,2.0152202,-0.14478755,True,1.0063828,0.9976018
PC,0.46901777,0.61304253,0.14402476,False,0.231524,0.28846282
CDH2,1.6087554,1.7524962,0.14374089,True,0.33867648,0.35520715
PRSS8,1.4594178,1.3158426,-0.14357519,False,0.29052255,0.32143256
AASS,3.9314687,4.0743356,0.14286685,True,0.25482205,0.26551735
BCKDHB,1.2401901,1.3822613,0.14207113,False,0.2890186,0.3123946
ZNF69,1.294725,1.4359344,0.14120948,False,0.29718477,0.2923651
CACNB3,0.37045547,0.5077193,0.1372638,True,0.22162026,0.28198013
LCK,1.4720908,1.3356497,-0.13644111,False,0.29680485,0.32715744
LRFN4,0.85946757,0.72862154,-0.13084602,False,0.30581462,0.31456247
PLPP2,1.336396,1.2064234,-0.12997258,True,0.39301753,0.41399586
LPL,0.38234574,0.5117959,0.12945014,True,0.23791164,0.2892737
BEX4,2.0868456,1.9591556,-0.12769008,True,0.25511017,0.27993056
RASGRP2,1.3544939,1.2272267,-0.12726712,True,0.34762353,0.39072883
HAGHL,1.0353317,0.9094022,-0.12592953,True,0.34165308,0.36730662
TRIM24,3.0930774,2.9687853,-0.124292135,True,0.16487719,0.17716639
BCAT2,1.1403307,1.2637948,0.12346411,False,0.30087927,0.29819396
NMRK2,1.9979984,1.8753309,-0.12266743,True,0.23621987,0.28075126
TMSB15A,1.6361887,1.7585534,0.12236464,True,0.3158657,0.31429204
PCDHB16,0.67530996,0.79725623,0.121946275,True,0.40022647,0.44252425
RND1,0.3551171,0.4764983,0.12138119,False,0.20332813,0.2699488
TAC3,0.37256747,0.49006778,0.117500305,False,0.20764476,0.25476843
NTS,1.4767022,1.5936501,0.11694789,True,0.7286999,0.7487734
DDIT4,0.8543927,0.9713002,0.11690748,True,0.7079657,0.80184937
NUDT16,0.84994876,0.96649927,0.116550505,False,0.297073,0.31921393
IDO1,1.2041372,1.0878723,-0.11626494,True,0.43108737,0.45226595
MDK,3.6508844,3.7670655,0.116181135,False,0.070709385,0.08038703
DHTKD1,1.3865911,1.5015585,0.114967465,False,0.26719648,0.27249926
TUBA4A,1.6588391,1.5439125,-0.11492658,True,0.27253002,0.29085547
SH3BGRL3,2.2246099,2.3392842,0.11467433,True,0.16962212,0.17105576
VIM,2.7251427,2.838935,0.11379218,True,0.5895071,0.56025326
LAD1,1.0111103,0.89923376,-0.11187655,False,0.31775904,0.3439032
H1F0,0.903924,1.0142014,0.110277414,True,0.8330141,0.91610163
ST6GALNAC6,1.204908,1.3149854,0.11007738,False,0.311672,0.3341352
FXYD6,1.8719592,1.9812402,0.109280944,True,0.2274005,0.23637512
CTH,1.3418531,1.450872,0.1090188,True,0.32998702,0.33981848
SFXN2,1.3055495,1.4145038,0.10895431,False,0.30120552,0.30856252
TRBC2,1.4730004,1.3643887,-0.1086117,True,0.35159406,0.39169225
NRN1L,0.2789355,0.38632503,0.10738954,False,0.1719249,0.22429188
LGALS3BP,0.8557771,0.74852073,-0.10725635,True,0.35664523,0.37307698
KLHL24,0.95976627,0.8531798,-0.10658646,True,0.34426326,0.36636633
SNCA,0.9291017,1.0343362,0.105234504,True,0.3752323,0.40797538
DAP,1.6576022,1.7625606,0.104958415,False,0.23160642,0.22677779
HPDL,1.5688995,1.4642115,-0.10468805,True,0.32727882,0.3629277
BEX1,2.639357,2.5351393,-0.10421777,True,0.14961794,0.17282705
TMEM120A,0.78758126,0.8917146,0.10413331,False,0.30100995,0.34110782
SLC43A1,1.1609708,1.0575212,-0.10344958,False,0.30905944,0.3400032
RAB17,1.5537531,1.4513427,-0.102410436,True,0.5508224,0.58433115
ZHX2,1.0171258,0.9152522,-0.101873636,True,0.35469362,0.36386237
RAB29,0.66070426,0.55895,-0.10175425,False,0.3053558,0.29189807
ASAP2,1.4104093,1.5120875,0.10167813,False,0.31850848,0.32084545
GLMP,1.0707052,0.96924263,-0.10146254,False,0.28830236,0.3198864
LAMP1,3.222296,3.3234017,0.10110569,False,0.078625515,0.088218465
CHD7,2.3055537,2.4060352,0.10048151,True,0.2723786,0.23780951
CISD1,2.0961182,1.9969581,-0.099160075,False,0.18191002,0.20239936
MLPH,0.5840078,0.4850039,-0.09900391,False,0.27636632,0.25768697
HERC5,0.8363185,0.7373196,-0.098998904,True,0.3437243,0.35165688
SEC14L1,1.7343202,1.635349,-0.09897113,False,0.24227025,0.2794514
IGFLR1,0.5858309,0.68466806,0.09883714,False,0.26503426,0.3068475
HS3ST3B1,0.9031196,1.001688,0.09856838,True,0.37384945,0.40262255
GLDC,2.0404992,1.9425918,-0.097907424,False,0.20667614,0.23779048
MAVS,1.39215,1.4899826,0.09783256,False,0.27138036,0.2714523
S100A6,0.8787964,0.7812787,-0.09751767,False,0.3129425,0.32754135
SOGA3,1.1897635,1.2870771,0.09731352,True,0.34687093,0.35268384
ANAPC13,1.7468766,1.6501577,-0.09671891,False,0.2504735,0.28687903
ENO2,1.9962083,1.8995695,-0.0966388,True,0.28814286,0.34053576
TLCD1,1.1705962,1.0740035,-0.096592784,False,0.326402,0.35647
COL1A2,1.968163,2.0644999,0.09633684,True,0.27713346,0.26086172
GYS1,1.3621321,1.4578979,0.09576583,False,0.27704248,0.2801933
ADCY6,0.5831271,0.6788257,0.095698595,False,0.27223963,0.29437348
SERPINF1,1.6192932,1.5237606,-0.095532656,True,0.29321593,0.32620803
ACTC1,1.040941,1.1362998,0.09535885,True,0.41227695,0.45546326
TAGLN,2.3409328,2.4358087,0.09487581,True,0.6389723,0.6382344
CHTOP,2.34091,2.246081,-0.094828844,False,0.14342913,0.16837484
FOXRED2,1.3167752,1.2220452,-0.09473002,True,0.33152142,0.36511558
TOB1,1.5985638,1.6912373,0.09267354,True,0.37077996,0.3880075
DBT,1.8290195,1.9216466,0.09262705,False,0.21051918,0.22711512
EPB41L2,2.0227244,1.9301727,-0.09255171,False,0.17923827,0.2208523
SERINC5,2.1259036,2.0334866,-0.092417,True,0.20388338,0.23781551
ALDH2,0.9392132,1.031438,0.09222478,False,0.30306822,0.33563614
BEX3,3.544975,3.4529395,-0.09203553,False,0.055559974,0.06669721
CYP2S1,3.01396,2.9222803,-0.09167957,True,0.12651794,0.14882614
TIMELESS,1.5535557,1.4619194,-0.0916363,False,0.22789834,0.25839472
MPST,1.5825067,1.6737936,0.0912869,False,0.2512938,0.24886958
CRACR2B,0.65264034,0.56141186,-0.091228485,False,0.30195716,0.2975911
PPM1K,0.29372522,0.38479337,0.09106815,False,0.17115203,0.21030813
CHD3,0.74007934,0.6491464,-0.090932965,True,0.32167023,0.32454336
KIT,0.8421215,0.9324829,0.09036142,False,0.32767957,0.3667441
TGFBRAP1,1.149007,1.058795,-0.09021199,False,0.3023869,0.33764267
RNF187,2.3075025,2.2173576,-0.09014487,True,0.18414505,0.20148891
METTL8,1.4739053,1.3838245,-0.09008086,False,0.28927723,0.30887592
TSTD1,1.3434132,1.4330541,0.089640856,False,0.29373422,0.30986866
ZBTB10,1.0915735,1.1809773,0.08940387,True,0.37222257,0.38268244
RAB3IP,1.5108799,1.5998881,0.08900821,True,0.31727964,0.31331196
WDR81,0.6292587,0.5402562,-0.08900249,False,0.27404633,0.2725192
SQSTM1,2.2455187,2.15664,-0.08887863,True,0.21219827,0.21156584
CABLES1,1.0228573,0.93406177,-0.08879554,True,0.35415003,0.36140043
ATP1B2,1.2254541,1.1366768,-0.0887773,True,0.3508382,0.3614893
RRAGD,1.3463784,1.2576401,-0.08873832,True,0.3349723,0.3510028
IFITM2,1.2751677,1.1866126,-0.0885551,False,0.3039205,0.33252758
LBH,0.73782575,0.64935607,-0.088469684,False,0.31556317,0.31286114
FNIP1,0.883838,0.7953872,-0.08845079,False,0.3051721,0.30995566
OLFML2A,0.9932931,0.9048732,-0.088419914,True,0.35974503,0.37547675
SNX8,1.1484158,1.0605462,-0.087869644,False,0.28667775,0.3018236
S100A4,0.6748618,0.5874463,-0.08741552,True,0.3450312,0.3284895
LIN52,0.49740863,0.5848183,0.087409675,False,0.232316,0.2716015
NEU1,0.94207823,0.85469836,-0.08737987,False,0.31223214,0.32352945
IZUMO4,0.068330765,0.15544836,0.0871176,False,0.047445577,0.10602337
SLC7A2,1.3348604,1.4218305,0.08697009,False,0.31370005,0.31133297
QPCTL,1.1212684,1.2082039,0.08693552,False,0.29961982,0.30876255
ADAMTS1,0.52104175,0.60787153,0.08682978,True,0.33755106,0.38950014
SLC7A5,2.7678742,2.6815047,-0.086369514,True,0.20752229,0.22484106
GPR143,1.1005427,1.0145388,-0.0860039,True,0.37836063,0.39311656
DPP7,0.25572798,0.16983369,-0.08589429,False,0.15819974,0.12185375
DDT,1.7585251,1.8444042,0.08587909,False,0.22008613,0.23380992
SPG21,2.8527064,2.7668557,-0.085850716,False,0.09223569,0.11821341
PLA2G3,1.2077777,1.2935625,0.08578479,True,0.37771723,0.39547047
ODC1,2.3060384,2.3918114,0.08577299,True,0.22573909,0.22939064
JPH4,1.3973159,1.3121614,-0.085154414,True,0.34740102,0.35447818
SHISA2,1.6919217,1.6070774,-0.08484435,True,0.5537069,0.5697639
FBXL5,1.6835139,1.7677459,0.08423197,False,0.23920003,0.25419217
LOXL1,1.073288,0.98916656,-0.084121406,True,0.37352282,0.39273983
SLC16A3,0.33729532,0.4213178,0.08402246,True,0.50083923,0.6784291
RFLNB,1.6136794,1.5299172,-0.08376217,True,0.32008567,0.34024146
CENPP,1.5225999,1.4389441,-0.083655834,False,0.29425368,0.33909482
NMRAL1,2.0119982,1.9284621,-0.08353603,False,0.19830354,0.21998253
FBXO2,1.0143718,0.9310096,-0.08336216,False,0.32348582,0.33899114
TMEFF1,3.2293825,3.312601,0.083218575,False,0.073292874,0.07076787
EPB41,1.344982,1.4277925,0.08281052,False,0.27223217,0.29851663
MYL9,1.8118736,1.8943955,0.082521915,True,0.4087449,0.40762803
HMOX1,1.7928151,1.7105012,-0.082313895,True,0.41226184,0.45637754
DYNLL2,2.7776465,2.8596537,0.08200717,False,0.110120624,0.117030084
VEPH1,0.7871281,0.7051519,-0.081976175,False,0.32676998,0.32522115
KDR,2.138896,2.0574813,-0.0814147,True,0.31552842,0.32650325
GPRC5C,0.5433706,0.6246511,0.08128047,False,0.2736135,0.29860082
SCN4A,0.34944397,0.4303311,0.08088714,False,0.198314,0.23518978
CADPS2,1.3590494,1.2783747,-0.08067477,True,0.32116383,0.34240484
PKN1,1.9265342,1.845967,-0.08056712,False,0.1863383,0.22012919
TUBA1B,2.5374744,2.4572313,-0.08024311,True,0.506894,0.605898
LACTB2,1.7189368,1.6387235,-0.08021331,False,0.26268363,0.2896004
LRRC8D,1.7803253,1.7002567,-0.08006859,False,0.22162026,0.2497173
PPP1R1A,0.81672055,0.89666754,0.079946995,True,0.3124396,0.33487302
CLCN6,0.99459004,1.0745242,0.07993412,True,0.34375694,0.3721562
EFNB2,1.1549579,1.2348841,0.07992625,True,0.41472465,0.41499254
MAL2,3.0723975,2.992516,-0.07988143,False,0.096674755,0.10787489
MCOLN1,1.1225923,1.0429063,-0.079686046,False,0.31445494,0.34784898
ADI1,2.3717785,2.4513538,0.0795753,True,0.17436641,0.1900133
MUC3A,1.0630484,0.98371774,-0.07933062,True,0.61409867,0.6050028
PPP2R2B,1.6374153,1.5580891,-0.07932615,False,0.27833492,0.30183354
ARRDC3,1.1225206,1.2014947,0.07897413,True,0.4457074,0.4763586
MCOLN3,0.32701516,0.2480809,-0.07893427,True,0.21135063,0.17345037
GRM4,1.11268,1.0338342,-0.07884574,True,0.3394024,0.37588072
BDH1,0.2760606,0.3549057,0.07884508,False,0.15811,0.19624834
NAA40,0.9589064,1.0376208,0.07871437,False,0.30176997,0.31876615
ECE1,1.7449186,1.8234743,0.0785557,False,0.24281074,0.23210822
VSIG10,1.5958664,1.5174599,-0.07840657,False,0.25401443,0.2770245
SERINC2,1.2027895,1.1244836,-0.07830596,False,0.28407928,0.3014048
VEGFA,1.5524551,1.4741508,-0.07830429,True,0.3067676,0.32804433
ACAD11,0.65453404,0.7327828,0.07824874,False,0.29601505,0.33714554
COX14,1.6945072,1.6162925,-0.078214765,False,0.22148527,0.2610408
