gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
LAD1,1.0111103,0.06085633,-0.95025396,False,0.31775904,0.048337325
BAIAP2L1,1.1774601,0.92313874,-0.25432134,False,0.29182023,0.29465896
TNNT2,0.4746938,0.30554813,-0.16914567,True,0.27036434,0.19542529
TRIML2,1.2181535,1.0907902,-0.12736332,True,0.40173906,0.40118542
RAB17,1.5537531,1.4911739,-0.062579274,True,0.5508224,0.5867384
PEG3,0.97456473,1.0360767,0.061511934,True,1.0025717,0.9914881
RIPOR2,1.1181024,1.0568565,-0.06124592,True,0.4393332,0.43428618
ENO2,1.9962083,1.9350898,-0.061118484,True,0.28814286,0.29650232
MPPED2,0.77292037,0.83073014,0.05780977,True,0.33457357,0.33277962
STN1,0.9445521,0.88740325,-0.057148874,False,0.33075494,0.32562393
SNRPA1,1.4268478,1.3737041,-0.05314374,False,0.25832,0.27482814
WWC3,1.4296751,1.376751,-0.052924156,False,0.29689923,0.32478788
NSMAF,0.99222213,1.0451348,0.052912652,False,0.30464298,0.29767442
TMEM167B,0.65164214,0.7042317,0.052589536,False,0.27856785,0.28456596
OGDHL,0.8410112,0.8927912,0.051779985,True,0.34226105,0.3403468
DNAJC1,0.87667274,0.8265523,-0.050120473,False,0.2997558,0.3160266
MNS1,0.38869417,0.437304,0.048609823,True,0.23881333,0.25232762
ZNF567,1.0773242,1.0287464,-0.048577785,False,0.31616965,0.33413547
TAGLN,2.3409328,2.2925394,-0.048393488,True,0.6389723,0.6601773
ZNF619,0.73722494,0.7852402,0.048015237,False,0.30025983,0.29670337
PRDM14,1.2575728,1.3051493,0.047576547,True,0.37819552,0.37168285
EFL1,1.5027652,1.455358,-0.04740715,False,0.26588416,0.28002203
IFI35,0.15638955,0.10913447,-0.047255076,False,0.10245681,0.07167902
PLEKHG2,0.9290786,0.9762694,0.047190845,False,0.2980237,0.29179537
TMEM63A,1.2596389,1.3067567,0.04711783,True,0.43629962,0.43150166
CTNS,0.7848128,0.8314489,0.046636105,False,0.29850155,0.29085994
METTL1,1.0790261,1.1252095,0.046183348,False,0.31932127,0.28749353
ZNF486,0.96474665,1.0107071,0.045960486,False,0.3074424,0.29574195
ZNF714,1.310677,1.3564621,0.04578507,False,0.27407578,0.25293952
GSS,1.3246176,1.3701383,0.045520663,False,0.29426652,0.27181327
TOE1,1.3623527,1.4076906,0.045337915,True,0.3326149,0.2965598
ZMAT4,1.2856385,1.3303046,0.04466617,True,0.37251619,0.36507985
GZF1,0.62867147,0.67295384,0.044282377,False,0.26761612,0.27446735
DAGLA,0.6843905,0.72833747,0.04394698,False,0.2931169,0.29796505
GBA,0.64978135,0.6058881,-0.043893218,False,0.27698916,0.27487415
FAM177A1,0.3114692,0.26774222,-0.04372698,False,0.1731976,0.15945356
GPR137,1.0041775,1.047812,0.043634534,False,0.29964137,0.28835693
RIOX1,0.9917703,1.0351764,0.04340607,False,0.29481986,0.26744434
ZBTB11,1.3119024,1.2690833,-0.042819142,False,0.30427313,0.33336967
EDNRB,1.2057792,1.1629899,-0.04278934,True,0.57471013,0.5816294
HESX1,1.250492,1.2931914,0.042699456,True,0.4382072,0.44238088
PITPNM1,1.4112417,1.4538182,0.04257655,False,0.28803566,0.27344087
MUC3A,1.0630484,1.1056027,0.04255438,True,0.61409867,0.6455177
CSF2RA,0.771133,0.8136609,0.042527914,True,0.35196143,0.34623483
P2RY1,0.7862649,0.74378985,-0.042475045,True,0.40756574,0.40854573
RIPK2,1.2308176,1.1883589,-0.042458653,False,0.29835168,0.30581135
ATP1B2,1.2254541,1.2679118,0.0424577,True,0.3508382,0.34146193
NBAS,0.915106,0.8728169,-0.04228908,False,0.3002292,0.30013055
CHDH,0.56020856,0.5181622,-0.042046368,False,0.2631744,0.2672463
C17orf53,0.67044145,0.62855685,-0.0418846,False,0.27393374,0.26560512
KCTD13,0.7835414,0.741823,-0.041718364,False,0.3129064,0.31578034
SYT2,0.748557,0.7898895,0.041332543,False,0.3084234,0.31047377
SMIM8,0.92797965,0.9692968,0.041317165,False,0.30205923,0.2915332
FOXP4,1.0239264,1.0651217,0.041195273,True,0.34288076,0.32185528
GPR63,0.5939303,0.55305004,-0.040880263,False,0.2578433,0.2507707
SLC26A11,0.63836294,0.67924064,0.0408777,False,0.27663314,0.27935636
RAMP2,0.44894597,0.48976973,0.040823758,False,0.22571735,0.2390715
ZNF490,0.41166252,0.37095058,-0.04071194,False,0.21015356,0.19039167
PTPN13,1.4918337,1.5324895,0.04065585,False,0.24956357,0.22825429
TADA1,0.6108147,0.65137327,0.040558577,False,0.25454554,0.25633484
GRB14,0.6662688,0.70669097,0.04042214,False,0.29884294,0.30547968
CYB561D2,0.52763903,0.56801987,0.040380836,False,0.24693663,0.25561997
C19orf54,0.88471216,0.9249375,0.040225327,False,0.30906752,0.28871718
CWF19L2,1.4202303,1.3800635,-0.040166736,False,0.26405355,0.2644906
SLC25A32,1.3915937,1.3514622,-0.04013145,False,0.27147475,0.27754176
TGDS,0.8601501,0.82013386,-0.040016234,False,0.30146042,0.30133614
DNAJB4,1.3368717,1.2968855,-0.039986253,False,0.30119625,0.31724194
IDH3B,1.9288323,1.9687846,0.039952278,False,0.1918972,0.176763
TAF4,1.5894346,1.6293216,0.03988695,False,0.23867801,0.1993649
ATF7,0.9401501,0.9003493,-0.039800763,False,0.3172746,0.30107123
GSG1,0.207148,0.24694593,0.039797932,False,0.13639466,0.16330501
RFLNB,1.6136794,1.5740348,-0.0396446,True,0.32008567,0.34717572
PKNOX1,1.2351575,1.2746836,0.039526105,True,0.44735566,0.44252035
ZNF138,1.4860301,1.525511,0.039480925,False,0.2609906,0.23360692
ADAMTS16,1.1040889,1.143368,0.039279103,True,0.375157,0.3685986
RCN3,0.6342446,0.59505165,-0.039192975,False,0.29265964,0.2868746
MAPK13,0.5232384,0.48425725,-0.03898117,False,0.2605355,0.2597299
GLYCTK,0.44601822,0.48493734,0.03891912,False,0.23803271,0.24658114
PRKAA1,1.344614,1.3835323,0.038918257,False,0.27895543,0.25571108
CD2BP2,0.85667264,0.8955819,0.038909256,False,0.2899767,0.2872902
NEFM,1.2480268,1.2868032,0.038776398,True,0.4028053,0.40878773
WDSUB1,0.6341352,0.6728169,0.038681686,False,0.27676547,0.26355165
IQSEC2,1.9034958,1.8648529,-0.038642883,True,0.3713815,0.39275324
FAM193B,1.4110403,1.4496261,0.038585782,False,0.27337787,0.24481198
ZC3HAV1,1.8990794,1.9376394,0.038559914,False,0.21658906,0.20071912
IGSF3,0.6215334,0.58309203,-0.03844136,False,0.2685896,0.2605998
COL4A5,0.87679344,0.83844966,-0.038343787,True,0.33005276,0.32559934
HSDL2,1.3163841,1.2780558,-0.03832829,False,0.291199,0.30823553
KCNC4,0.7826414,0.74434143,-0.038299978,True,0.3237659,0.3272962
MED9,0.9475244,0.9857554,0.038230956,False,0.29599893,0.2972897
SLC29A2,1.2874651,1.3256633,0.038198233,True,0.3457203,0.327866
ALG1,1.3022795,1.3404336,0.038154125,False,0.29909873,0.29239756
ARF1,1.4880873,1.4499598,-0.03812754,False,0.25151226,0.27439272
PRXL2A,1.8079959,1.7698835,-0.038112402,False,0.21332894,0.23700449
DMWD,1.0462128,1.0843117,0.03809893,False,0.29837105,0.294436
PLXNA1,0.7997675,0.7618162,-0.03795129,False,0.28385115,0.2789498
TTC32,0.26776397,0.3056573,0.037893325,False,0.15743145,0.17169242
C8orf58,0.45937398,0.42149395,-0.037880033,False,0.22487168,0.22437589
PEX5,0.52170503,0.48398262,-0.03772241,False,0.24413623,0.23243183
NFAT5,0.8433789,0.8056702,-0.0377087,False,0.29925078,0.29925627
