gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
LRPPRC,3.460489,0.5299944,-2.9304945,False,0.049247995,0.3941715
DDIT4,0.8543927,1.8155152,0.96112245,True,0.7079657,0.8295469
CHAC1,0.70487297,1.5438935,0.8390205,True,0.38694882,0.5543408
STC2,2.132497,2.917732,0.7852349,True,0.37043837,0.25124836
SLC7A11,2.2569587,2.981961,0.7250023,True,0.3321765,0.27268448
PCK2,2.0146055,2.7394664,0.7248609,True,0.285465,0.26364738
MEF2B,0.32470265,1.0495154,0.72481275,True,0.20306997,0.55509096
INHBE,0.40389985,1.1099255,0.70602566,True,0.249757,0.47240624
MT-ND6,0.8967327,1.5803413,0.68360865,True,0.68610394,0.7898636
MT-ND4,1.8822018,1.2098264,-0.67237544,True,0.9863533,0.6893555
SESN2,1.1401006,1.8090625,0.6689619,True,0.3993862,0.4180547
MT-ND3,1.7554234,1.1118168,-0.64360666,True,0.78610706,0.49248353
MT-ATP6,1.7147563,1.1096761,-0.6050801,True,0.97399217,0.6597811
MT-CO2,1.645371,1.0425298,-0.60284114,True,0.917779,0.5964074
PSAT1,3.8175943,4.4113207,0.5937264,True,0.09711025,0.099406
ASS1,1.6960539,2.2627816,0.56672776,True,0.34041834,0.31982014
IFRD1,2.5512347,3.0991664,0.5479317,True,0.24225035,0.20475072
CTH,1.3418531,1.8690345,0.5271814,True,0.32998702,0.34439898
MT-CO3,1.2058606,0.6990217,-0.5068389,True,0.78025454,0.493882
SLC7A5,2.7678742,3.2230368,0.45516253,True,0.20752229,0.17328103
NHSL1,1.0050527,1.4577323,0.45267963,False,0.31409183,0.28896612
SHMT2,1.9814478,2.421492,0.44004428,True,0.205803,0.19734506
VEGFA,1.5524551,1.9871203,0.4346652,True,0.3067676,0.28626895
GPT2,1.7932483,2.2232,0.4299518,True,0.22261675,0.19763152
JDP2,0.87636673,1.3004078,0.42404103,True,0.35009328,0.38791314
HMGCS1,3.5301554,3.11281,-0.41734552,True,0.36374408,0.44862622
MTHFD2,2.8751297,3.2885542,0.4134245,True,0.11284972,0.11801899
DNASE2,1.327689,1.7124399,0.38475084,True,0.30267313,0.28359312
SDF2L1,1.7957741,1.4118217,-0.38395238,True,0.30096847,0.3608693
TSEN15,0.96855,1.3514212,0.3828712,False,0.29410607,0.29167005
PLAAT3,1.6658874,2.041386,0.37549853,True,0.36285684,0.36566734
TAC1,0.20844011,0.57788104,0.3694409,True,0.14300334,0.38447383
VLDLR,1.3306402,1.6869264,0.35628617,True,0.42473996,0.41553593
TSC22D3,0.37244877,0.7252871,0.3528383,True,0.21085794,0.35165745
PMAIP1,2.977533,3.3294015,0.3518684,True,0.21363744,0.15844111
GARS,1.5556651,1.9053776,0.3497125,False,0.26123875,0.22469883
TRIB3,0.47223082,0.81461227,0.34238145,True,0.25069413,0.40236887
PHGDH,3.219117,3.5526397,0.3335228,True,0.0838759,0.080683805
SLC43A1,1.1609708,1.4926599,0.33168912,False,0.30905944,0.29520667
H1F0,0.903924,1.2328442,0.32892025,True,0.8330141,1.0549037
ALDH2,0.9392132,1.261681,0.32246774,False,0.30306822,0.31786096
SLC34A2,0.35625184,0.677299,0.3210472,True,0.22300075,0.3748006
PYCR1,2.0088482,2.3291733,0.32032514,False,0.2181221,0.19322969
ATF3,0.60296935,0.9226738,0.31970447,True,0.30893683,0.38877168
MSMO1,2.504345,2.1876197,-0.31672525,True,0.36301106,0.4310953
FBLL1,0.7856516,1.0900992,0.3044476,True,0.330642,0.36250195
LDLR,1.7909238,1.4888644,-0.3020594,True,0.40857795,0.47459128
HAX1,2.1175966,2.4193351,0.3017385,False,0.16262452,0.14628385
TMEM64,1.3649961,1.6644546,0.2994585,True,0.3572356,0.3944712
HMGCR,3.3971014,3.097777,-0.2993245,True,0.26202345,0.28722417
EIF4EBP1,2.8433921,3.142116,0.29872394,True,0.11213006,0.1098473
MT-CYB,0.6396104,0.34270555,-0.29690486,True,0.489698,0.2672797
HSPA1B,1.9541006,1.6648467,-0.28925395,True,0.42119756,0.35945717
WARS,2.3117876,2.598898,0.28711033,True,0.15940808,0.13212559
MAP1B,2.2581487,2.5452077,0.28705907,True,0.20767254,0.19243501
MANF,3.0428514,2.7580125,-0.2848389,True,0.17066789,0.1755131
SH2B3,1.1251506,1.4069226,0.28177202,False,0.30983877,0.28755394
EPS15,0.839539,1.1187923,0.2792533,False,0.28988963,0.31907603
SARS,0.72292125,0.9996455,0.27672422,False,0.2770579,0.31687042
SLC6A9,0.8139847,1.0899235,0.2759388,False,0.31451872,0.35395595
DDIT3,0.14468314,0.420598,0.27591485,True,0.101755336,0.27384013
CEBPG,2.2168837,2.4923327,0.27544904,False,0.15180534,0.16523233
GRB10,1.5261185,1.7985932,0.27247465,False,0.268858,0.22344749
CALCOCO2,0.89304763,1.1621075,0.26905984,False,0.31795242,0.33872673
SLC3A2,2.9775004,3.245169,0.2676685,True,0.15079467,0.14316837
IDI1,1.1688491,0.90258765,-0.26626146,True,0.37462935,0.3851039
ATF5,0.9149669,1.1812093,0.26624244,True,0.44021747,0.81043
FUT1,0.69886553,0.9649551,0.26608956,False,0.29132956,0.34870183
ZNF516,0.41618332,0.68102217,0.26483884,True,0.26902473,0.41419104
RIMS3,1.0215168,1.2856197,0.26410294,False,0.3186593,0.3268477
MAL2,3.0723975,3.3351655,0.26276803,False,0.096674755,0.09383271
BRI3,1.9457042,2.2039487,0.2582445,False,0.19502924,0.16913165
BCAT1,2.7428734,2.9988894,0.25601602,True,0.13635567,0.11681805
KLF15,0.61699224,0.8707312,0.25373894,True,0.29440027,0.35509905
PEX5L,0.24525662,0.49706852,0.25181192,True,0.16455638,0.29109517
SMOX,0.8144796,1.0644659,0.24998629,True,0.3304221,0.36933792
TMEM268,0.75688636,1.0067563,0.24986994,False,0.3071248,0.34238485
G0S2,0.04369306,0.292183,0.24848995,True,0.031034445,0.2347631
CRELD2,1.4678822,1.2233661,-0.24451602,False,0.2872639,0.35056165
SLC7A1,2.8072317,3.0515492,0.24431753,False,0.10905044,0.10439136
HRK,0.31129366,0.5554452,0.24415153,True,0.19280374,0.29167777
FOXO3,1.194357,1.4363836,0.24202657,False,0.3155866,0.29885632
GYPC,0.8675986,1.1067238,0.23912519,False,0.31878453,0.3372252
SLC1A5,3.0711186,3.3097456,0.23862696,True,0.1239001,0.11242953
HSPA8,4.8400865,4.6024404,-0.2376461,True,0.1403093,0.15782122
DHCR7,2.2212503,1.984669,-0.23658133,True,0.27521834,0.3223416
SH3KBP1,0.8895596,1.1258727,0.2363131,False,0.32380962,0.34040654
ID3,1.931087,1.6957707,-0.23531628,True,0.3423298,0.3885351
KMT5A,0.68901837,0.92383736,0.234819,False,0.29949963,0.3748085
ELOVL6,2.2672312,2.0334938,-0.23373747,True,0.17385457,0.2543086
NARS,3.2868588,3.513547,0.22668815,False,0.060273733,0.06533366
MVK,1.1645757,0.9382234,-0.22635227,True,0.44198978,0.45334822
LRATD2,1.9109303,2.137013,0.22608268,True,0.23838219,0.21129814
RRM2,2.7643306,2.5384145,-0.22591615,True,0.16847533,0.21982321
CD55,1.1032617,1.3290958,0.22583413,False,0.31646472,0.29689765
NFE2L1,2.7962868,3.0220351,0.2257483,True,0.11511034,0.107097484
CALCA,0.107528865,0.33284464,0.22531578,True,0.07801358,0.22427008
HPDL,1.5688995,1.3437177,-0.22518182,True,0.32727882,0.36347246
NSDHL,1.9035813,1.6784216,-0.22515965,True,0.25716972,0.2903437
AARS,0.9076221,1.1323172,0.22469509,False,0.3064885,0.29356256
SERPINB6,1.3203832,1.5448569,0.22447371,True,0.34365404,0.31715375
COL1A1,2.260025,2.0357816,-0.2242434,True,0.40600464,0.44863734
VIM,2.7251427,2.9483576,0.22321486,True,0.5895071,0.58717656
UHRF1BP1,0.7826757,1.004463,0.22178727,False,0.2919338,0.33120987
HEXIM1,1.8267198,1.6049937,-0.22172606,True,0.2798919,0.29226932
EDEM1,1.0157043,1.2362425,0.22053826,True,0.34348068,0.3598583
