gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
ISYNA1,1.6589198,0.5323613,-1.1265585,False,0.25051764,0.31550688
SCARB1,1.6367952,0.53477275,-1.1020224,False,0.24663197,0.4104441
ZCCHC7,1.5164797,0.4499391,-1.0665406,False,0.254999,0.38629562
MT-ND4,1.8822018,2.9415956,1.0593938,True,0.9863533,1.0623643
SLC44A2,2.7079885,1.7621877,-0.9458008,False,0.113605164,0.31827402
MT-ATP6,1.7147563,2.6302938,0.9155376,True,0.97399217,1.0345974
POLR2L,1.5031347,0.6354126,-0.86772215,False,0.2654801,0.3656515
MARVELD3,1.5025498,0.6607811,-0.8417687,False,0.2817582,0.45068014
MT-CO2,1.645371,2.4296432,0.7842722,True,0.917779,0.91907823
TSPAN4,0.96599066,0.22406805,-0.7419226,False,0.29742134,0.148506
PDLIM4,0.82691854,0.09033843,-0.73658013,False,0.3188609,0.0699092
AEBP1,1.3963718,0.6760629,-0.72030896,False,0.28618744,0.43207172
ATP1B2,1.2254541,0.51161873,-0.71383536,True,0.3508382,0.31732765
CREB3L2,0.811081,0.13054593,-0.6805351,False,0.31056884,0.11045968
MT-ND6,0.8967327,1.575542,0.6788093,True,0.68610394,0.7481959
E2F1,1.7510602,1.080923,-0.6701373,True,0.41163707,0.6038102
KNDC1,0.8674455,0.22226733,-0.6451782,True,0.3387168,0.19683477
MT-ND3,1.7554234,2.39726,0.6418365,True,0.78610706,0.69092906
DDIT4,0.8543927,1.4865115,0.63211876,True,0.7079657,0.9517209
STC2,2.132497,2.7375338,0.60503674,True,0.37043837,0.3470951
COL1A1,2.260025,1.6659517,-0.5940733,True,0.40600464,0.48153564
CHAC1,0.70487297,1.2924656,0.5875926,True,0.38694882,0.5961372
MT-CO3,1.2058606,1.7747067,0.5688461,True,0.78025454,0.8178295
INHBE,0.40389985,0.95757294,0.5536731,True,0.249757,0.4917473
NME3,1.5642917,1.0110904,-0.5532013,False,0.27257374,0.38268474
SLC7A11,2.2569587,2.8094647,0.55250597,True,0.3321765,0.37282893
SESN2,1.1401006,1.6798263,0.53972566,True,0.3993862,0.44566116
PLAAT3,1.6658874,2.1970506,0.5311632,True,0.36285684,0.3210515
WDR81,0.6292587,0.1340628,-0.4951959,False,0.27404633,0.09569615
IFRD1,2.5512347,3.0404482,0.48921347,True,0.24225035,0.20837568
PCK2,2.0146055,2.4881399,0.47353435,True,0.285465,0.33087948
LZTR1,0.49724388,0.041704446,-0.45553944,False,0.24082702,0.029937658
RAB11A,2.450204,1.9996307,-0.4505732,False,0.112504154,0.20633642
VRK2,1.0627666,0.6150624,-0.44770414,False,0.30112335,0.31382316
JPH4,1.3973159,0.9564676,-0.44084823,True,0.34740102,0.39160743
H1F0,0.903924,1.3422233,0.4382993,True,0.8330141,1.0557361
CHP1,1.892737,1.4564625,-0.43627453,False,0.19373678,0.36939222
GSN,1.4108883,0.97602725,-0.43486106,False,0.29333594,0.32578722
PSAT1,3.8175943,4.248305,0.43071055,True,0.09711025,0.13553846
MT-CYB,0.6396104,1.0685645,0.42895412,True,0.489698,0.6307178
CA2,0.507611,0.08014233,-0.42746866,True,0.27819985,0.06226622
TAGLN2,0.46922052,0.043013096,-0.42620742,False,0.23548152,0.03137702
EGFL7,1.138642,0.71381044,-0.4248315,False,0.3018013,0.30891052
CIRBP,1.8306429,1.4093605,-0.4212824,False,0.22324976,0.36809063
PREX2,1.651501,1.2380667,-0.4134344,False,0.27083576,0.54333866
PSMC3IP,1.2348933,0.8354266,-0.3994667,True,0.32650706,0.35081807
DACT1,0.9510262,1.3489637,0.39793754,True,0.5183046,0.5933798
NHSL1,1.0050527,1.3952647,0.39021206,False,0.31409183,0.34864786
PYCARD,0.5940051,0.2122752,-0.3817299,False,0.2625531,0.14861862
BTBD17,1.1946275,0.8182252,-0.37640232,True,0.37292463,0.40057787
GNAZ,0.5023662,0.13043298,-0.37193322,False,0.2574374,0.093254164
CTH,1.3418531,1.7110529,0.36919975,True,0.32998702,0.3826914
PKDCC,2.017514,1.6516716,-0.36584234,True,0.58726704,0.5237794
CDK18,0.9276091,0.5665257,-0.3610834,False,0.3186681,0.30821115
VLDLR,1.3306402,1.6908487,0.3602085,True,0.42473996,0.41333437
EDIL3,1.4273261,1.7769814,0.34965527,True,0.36399788,0.31406525
DEGS1,2.2304938,1.8840535,-0.34644032,True,0.244807,0.27095038
TAC1,0.20844011,0.55278873,0.3443486,True,0.14300334,0.37183142
TERT,0.45245045,0.109240994,-0.34320945,False,0.22979705,0.07702288
SHMT2,1.9814478,2.3136892,0.33224142,True,0.205803,0.21550517
VEGFA,1.5524551,1.8841091,0.33165407,True,0.3067676,0.3179513
SFRP1,4.2489777,3.9176533,-0.33132434,True,0.12169684,0.18471605
SLC22A31,0.5844005,0.2545035,-0.329897,True,0.30860108,0.18120098
PMAIP1,2.977533,3.3053944,0.3278613,True,0.21363744,0.22122237
C7orf50,1.5658128,1.2405317,-0.32528114,False,0.23759669,0.28761548
SLC7A5,2.7678742,3.0886247,0.32075047,True,0.20752229,0.18209362
FAAP20,0.8434032,0.5346873,-0.30871594,False,0.29871047,0.26596078
SYT4,0.58140266,0.8815487,0.30014604,True,0.34853083,0.46386334
GPT2,1.7932483,2.092681,0.29943264,True,0.22261675,0.24114835
SCGB3A2,2.1600077,2.4572768,0.2972691,True,1.0063828,0.7521532
JDP2,0.87636673,1.171475,0.29510832,True,0.35009328,0.4051991
HMGCS1,3.5301554,3.2365572,-0.29359818,True,0.36374408,0.4664519
C1orf21,2.3650088,2.0725656,-0.29244328,True,0.18786235,0.26198184
ING2,0.929339,0.6372607,-0.29207832,False,0.305074,0.28845012
GDPD2,1.3856034,1.0938859,-0.29171753,True,0.3390894,0.36515334
SDF2L1,1.7957741,1.505049,-0.2907251,True,0.30096847,0.32998276
TMEM63A,1.2596389,1.5502098,0.29057086,True,0.43629962,0.4488765
MTHFD2,2.8751297,3.1624095,0.28727984,True,0.11284972,0.1267571
FZD2,0.7157441,0.4334607,-0.28228337,True,0.36336026,0.26604542
KIFC1,2.120284,1.8403095,-0.27997458,True,0.31567645,0.41847295
RAB42,0.32577258,0.050290473,-0.27548212,False,0.18750113,0.035417184
COL1A2,1.968163,1.6953505,-0.2728125,True,0.27713346,0.31936383
LDLR,1.7909238,1.5181358,-0.27278805,True,0.40857795,0.43111977
PCOLCE2,0.9546111,0.68404645,-0.27056468,False,0.33817026,0.34330145
TSEN15,0.96855,1.2369817,0.26843172,False,0.29410607,0.33692256
MSMO1,2.504345,2.237355,-0.26698995,True,0.36301106,0.39057067
ADAMTS16,1.1040889,1.3649566,0.2608677,True,0.375157,0.3695055
SLC34A2,0.35625184,0.6167103,0.26045847,True,0.22300075,0.35173658
ATF3,0.60296935,0.8628545,0.25988513,True,0.30893683,0.39732304
RND3,1.4510654,1.7106688,0.25960338,True,0.5110513,0.46761885
FBLL1,0.7856516,1.0430311,0.25737947,True,0.330642,0.36741313
LMO4,2.52663,2.7831762,0.25654626,True,0.15813813,0.13046159
MXRA8,0.4464411,0.19182134,-0.25461978,True,0.24973974,0.13494074
GNA14,0.3345889,0.58569604,0.25110716,True,0.25330648,0.42899692
TSHZ3,0.991738,1.2402914,0.24855334,True,0.39489174,0.38871846
