gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
MAP1B,2.2581487,0.30867836,-1.9494703,True,0.20767254,0.23122391
TNNI3,0.83893996,0.3819976,-0.45694238,True,0.34279716,0.23838224
TNNT1,2.6080759,2.4079685,-0.20010734,True,0.15905327,0.20075563
CBLC,0.7308411,0.5321451,-0.19869602,False,0.3029409,0.26278982
ARHGAP23,2.249648,2.0584168,-0.19123125,True,0.246991,0.28288323
RARG,1.1571162,0.98536634,-0.17174983,False,0.3196179,0.31049693
ALDH16A1,0.91490436,0.7799752,-0.13492918,False,0.2960327,0.29708505
RCBTB2,0.70884824,0.5769363,-0.13191193,False,0.295946,0.27185622
ZNF667,1.1800638,1.0502725,-0.12979138,False,0.31198454,0.3091761
CNOT8,2.003984,1.8839685,-0.1200155,False,0.17794088,0.20194672
CRABP2,2.2048934,2.0868416,-0.11805177,True,0.37365532,0.366893
LGI2,0.6694874,0.55553615,-0.113951266,True,0.3148642,0.296921
IGLON5,1.3376213,1.2249342,-0.11268711,False,0.2867757,0.28408462
HIST1H1A,1.5684879,1.459046,-0.10944188,True,1.4661734,1.4503769
TMEM18,1.2568246,1.1528358,-0.10398877,False,0.28763786,0.2706915
EPS8L1,0.77361894,0.6708377,-0.102781236,False,0.3271284,0.3185107
MSN,2.6362638,2.549814,-0.08644986,False,0.13300376,0.15375152
ZNF69,1.294725,1.2112286,-0.08349633,False,0.29718477,0.29938826
OTX2,0.8048261,0.722424,-0.08240211,True,0.38356015,0.34676108
PIF1,1.5671806,1.6478528,0.080672145,True,0.40686715,0.34521902
AIF1,1.0458375,0.96535826,-0.080479264,True,0.38020986,0.3669263
SHB,0.67962873,0.59990007,-0.07972866,False,0.29241154,0.26940107
FABP7,0.5414451,0.46255025,-0.078894824,True,0.28100306,0.24193649
IGDCC4,0.7147406,0.6365274,-0.078213155,True,0.32819542,0.32054108
CACNA1B,0.34138367,0.2644829,-0.07690078,True,0.20774448,0.16510366
KIFC1,2.120284,2.0436978,-0.07658625,True,0.31567645,0.32136735
SPR,0.7583506,0.83404386,0.07569325,True,0.33505544,0.3429085
TTC39C,1.9046897,1.9785299,0.07384026,True,0.34991878,0.3037474
TNRC6C,0.9177878,0.9911662,0.073378384,True,0.33577088,0.3190204
S100A10,3.133715,3.204371,0.07065606,True,0.22135624,0.20780493
SLC16A10,0.8762519,0.9468842,0.07063234,False,0.33361018,0.3172522
FHL2,1.550863,1.6211421,0.07027912,True,0.32070586,0.2913305
NUP214,1.1127785,1.0427295,-0.07004905,False,0.28000578,0.2996443
EDIL3,1.4273261,1.4968762,0.06955016,True,0.36399788,0.32153216
POLR3B,0.97866017,1.0478278,0.06916767,False,0.30917346,0.3142055
DDR1,1.939464,1.8707367,-0.068727255,False,0.20132962,0.2211358
KCNS3,0.82477605,0.8933316,0.068555534,False,0.2916742,0.27137128
CDCA3,1.1477214,1.2158029,0.0680815,True,0.37375715,0.35980824
HIST1H1D,1.6205581,1.553277,-0.06728113,True,1.2314817,1.3136115
DUSP5,1.2534505,1.3198211,0.06637061,True,0.39468458,0.39753166
TRANK1,0.33459282,0.26823518,-0.06635764,False,0.19386949,0.16369689
ZNF608,1.7600372,1.6938951,-0.06614208,True,0.28141895,0.29467607
EVI5,0.7885644,0.85397923,0.065414846,False,0.29436958,0.28981024
PPP1R9A,0.91884243,0.9838891,0.06504667,False,0.31073874,0.2857805
FGD6,0.6049086,0.6696691,0.064760506,False,0.257423,0.26545295
TRDMT1,1.0853063,1.1489731,0.06366682,False,0.3152076,0.28180456
MT1X,1.2593601,1.3224772,0.06311715,True,0.58770955,0.6290697
FXYD6,1.8719592,1.8088691,-0.063090086,True,0.2274005,0.25904405
CPNE2,0.6901576,0.62744576,-0.062711835,False,0.28405464,0.26163843
CA2,0.507611,0.5699418,0.062330842,True,0.27819985,0.29587668
KLHL3,0.745885,0.80769104,0.061806023,False,0.29380903,0.28936297
FAT3,0.67802066,0.739053,0.061032355,False,0.3032666,0.28868106
TMSB15A,1.6361887,1.5756187,-0.06057,True,0.3158657,0.30222127
FABP3,0.8308931,0.7706219,-0.060271204,True,0.3531812,0.32577327
PIH1D1,2.410042,2.3499184,-0.060123682,False,0.13979861,0.15421821
H2AFY2,1.102345,1.0423586,-0.059986353,True,0.47343355,0.47843695
PRSS8,1.4594178,1.3995038,-0.059913993,False,0.29052255,0.32124287
CAPN2,1.0743307,1.0144926,-0.059838057,True,0.3748314,0.3820049
MYC,0.7361546,0.7955458,0.0593912,True,0.35470825,0.3882107
DCAF10,0.9529522,0.8940652,-0.058887005,False,0.3051156,0.31074768
CAPN5,0.9055084,0.9642775,0.058769107,False,0.30058703,0.28512952
RAD23A,1.6565259,1.71528,0.058754206,False,0.26289764,0.24396256
AXL,1.3737823,1.3150687,-0.058713555,False,0.2870026,0.28743657
DBNL,1.5911007,1.5325813,-0.058519363,False,0.25035602,0.2954383
ADGRL3,0.6954491,0.7538162,0.058367074,True,0.31292707,0.3272442
TBL2,1.1782382,1.1200175,-0.058220625,True,0.34968928,0.37384737
ZNF215,1.0835997,1.1415737,0.05797398,False,0.31514716,0.30821508
ALPK3,0.7825444,0.8404095,0.057865143,True,0.34882918,0.3595455
EFNB1,0.55589575,0.4980484,-0.05784735,True,0.30427697,0.26936364
CNTROB,0.5405111,0.59834796,0.05783689,False,0.25103742,0.26075745
FXYD5,2.6599867,2.6021678,-0.05781889,False,0.12727645,0.12928979
AP5Z1,0.7141102,0.77176213,0.057651937,False,0.2895802,0.30124852
PAQR3,1.5666169,1.6239842,0.057367325,False,0.26633295,0.2553995
DPPA2,0.9645738,1.0218583,0.057284534,True,0.42964724,0.42509928
VPS37A,1.1048009,1.162072,0.057271004,False,0.28116056,0.27550808
EPS8L2,0.89624125,0.83920103,-0.057040215,True,0.37565914,0.34446526
SH3GLB2,1.061648,1.1186545,0.05700648,False,0.30690414,0.29720843
GPR160,1.4708787,1.5277338,0.056855083,True,0.3379481,0.32524574
KIAA2026,0.9123533,0.96900463,0.056651354,False,0.31595358,0.3204774
ANGEL1,1.2836802,1.340254,0.05657375,False,0.29474473,0.26303014
BICD2,0.92966527,0.9862336,0.056568325,False,0.29704204,0.28210548
ZNF660,0.9638644,0.9074433,-0.0564211,False,0.32059103,0.32148066
CHKA,0.8382558,0.78185624,-0.056399584,False,0.30282542,0.302807
B3GALT1,1.1969832,1.1408653,-0.056117892,True,0.3867189,0.40133098
TRDN,1.0043794,1.0602,0.055820584,True,0.69005215,0.676399
ERRFI1,1.6567633,1.7123522,0.05558884,True,0.39002523,0.37383372
FBXL4,1.0108178,0.95538986,-0.05542791,False,0.30538914,0.30710456
DACT1,0.9510262,1.0061858,0.05515957,True,0.5183046,0.5002914
TOP2B,1.0966882,1.0416979,-0.05499029,False,0.28252938,0.28681573
MRM3,0.47262996,0.5275112,0.054881215,False,0.22996947,0.23611647
ZIC2,1.9019088,1.8470547,-0.054854035,True,0.40680227,0.41960496
ZFP36L2,1.6867079,1.6320921,-0.054615736,True,0.35165137,0.39565685
S100A11,1.5742178,1.6288325,0.054614663,True,0.29990643,0.2817243
CCDC141,0.8916808,0.9461528,0.05447203,True,0.44828832,0.43020314
SUSD3,0.2709071,0.32536086,0.05445376,False,0.16288863,0.1880535
SULT4A1,0.7685683,0.82295007,0.054381788,False,0.31480828,0.33872843
AARS2,1.2151704,1.160811,-0.054359436,False,0.29466337,0.3052999
