gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
MAP3K7,2.1323376,0.19909488,-1.9332427,False,0.15385367,0.1748344
EDIL3,1.4273261,1.5840185,0.15669239,True,0.36399788,0.33496502
ZIC2,1.9019088,1.7490064,-0.15290236,True,0.40680227,0.42713878
GAL,2.7219493,2.8632863,0.14133692,True,0.35849097,0.33792847
CCDC141,0.8916808,1.031293,0.13961226,True,0.44828832,0.4593892
MT1X,1.2593601,1.3948325,0.13547242,True,0.58770955,0.57291234
ADM,1.0165217,0.8846857,-0.131836,True,0.4694616,0.45725954
WFDC2,2.037881,2.1659455,0.12806463,True,0.29843947,0.28815496
DPPA2,0.9645738,1.0810198,0.11644596,True,0.42964724,0.44594005
GPC4,2.8069289,2.6918666,-0.11506224,True,0.19444703,0.20549177
TTC39C,1.9046897,2.0162342,0.11154449,True,0.34991878,0.3246718
PDE4B,0.62653655,0.7372198,0.11068326,True,0.36656713,0.39393577
CHD7,2.3055537,2.1995854,-0.10596824,True,0.2723786,0.31757134
LRAT,1.3468386,1.4519308,0.10509217,True,0.5342008,0.5445041
DACT1,0.9510262,1.0559677,0.10494149,True,0.5183046,0.5215759
TAGLN,2.3409328,2.2362378,-0.10469508,True,0.6389723,0.60753167
ADCY2,1.7650582,1.8601127,0.09505451,True,0.41020232,0.3812956
NTS,1.4767022,1.3818724,-0.0948298,True,0.7286999,0.7046788
JUND,1.9687197,1.8754126,-0.09330714,True,0.23403603,0.23113662
TTN,0.53751266,0.6298658,0.092353165,True,0.3516583,0.3901803
RGS5,1.525954,1.4336543,-0.0922997,True,0.48766956,0.49400634
SOCS2,1.2737695,1.1820389,-0.091730595,True,0.4973071,0.4955912
ZIC5,2.8421504,2.7517154,-0.09043503,True,0.24881114,0.25204074
METTL7A,1.1035215,1.1939226,0.09040117,True,0.36541176,0.3461259
NMU,1.7737356,1.8613364,0.08760071,True,0.3437436,0.32721466
VAT1L,1.7592366,1.6739649,-0.085271716,True,0.2837038,0.3130677
TRIM14,1.1966144,1.2807045,0.08409011,False,0.3207373,0.30991346
NSG1,2.2689183,2.3526163,0.083698034,True,0.23481227,0.234374
SYT4,0.58140266,0.66504323,0.083640575,True,0.34853083,0.38360065
BAMBI,1.3751374,1.4570001,0.08186269,True,0.37343463,0.37754992
SCGB3A2,2.1600077,2.2418222,0.08181453,True,1.0063828,0.9897281
SEMA6A,2.7475765,2.828789,0.08121252,True,0.17924707,0.1668055
FGFBP3,1.5303756,1.4498316,-0.080543995,True,0.39057454,0.4100714
CRABP2,2.2048934,2.1253757,-0.0795176,True,0.37365532,0.3925081
MEGF10,1.5800037,1.6593856,0.07938182,True,0.31678286,0.30362538
OTX2,0.8048261,0.72637767,-0.078448415,True,0.38356015,0.3604843
ANXA3,0.64711624,0.5690337,-0.07808256,True,0.37550318,0.3307883
AKAP7,1.5629597,1.6406329,0.0776732,True,0.41213223,0.40703854
ERBB2,3.173677,3.096336,-0.07734108,True,0.1566171,0.1601007
SERPINB9,1.3378824,1.4143438,0.076461434,True,0.5634636,0.54849106
GNG12,1.2833613,1.2091521,-0.07420921,True,0.34909102,0.34174284
NES,3.282194,3.2080905,-0.074103355,True,0.11634338,0.1203511
SPART,1.7157133,1.7894394,0.07372618,True,0.31890935,0.29379696
TFPI2,0.67664933,0.7501163,0.07346696,True,0.33158126,0.35847363
CUZD1,0.5141857,0.44078603,-0.07339969,True,0.36897147,0.3235898
FGF13,1.6198746,1.6915133,0.0716387,True,0.42301762,0.42145604
RASGRF2,0.75367785,0.68244404,-0.07123381,True,0.38033068,0.35792503
LMO3,1.0553634,1.1261804,0.07081699,True,0.47546923,0.50399417
SRGAP1,0.78123784,0.8513467,0.07010883,False,0.3237024,0.3358048
IQSEC2,1.9034958,1.9731679,0.06967211,True,0.3713815,0.34425685
CHGA,1.5551376,1.4855797,-0.069557905,True,0.55296373,0.54922485
MAGI2,1.1124562,1.1806784,0.068222165,True,0.39109144,0.404983
FN1,0.7990986,0.86731964,0.06822103,True,0.3614243,0.39553702
TRBC2,1.4730004,1.4051895,-0.06781089,True,0.35159406,0.3419492
ASS1,1.6960539,1.628687,-0.06736684,True,0.34041834,0.3536599
RNF19B,0.8848418,0.81810844,-0.06673336,True,0.32222947,0.31726515
