gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
MAPKAPK2,1.4553449,0.09734022,-1.3580047,False,0.29882103,0.07669905
PRDX3,2.2927113,1.2659584,-1.0267528,False,0.1323306,0.3671653
TUT7,2.069203,1.4533156,-0.6158873,False,0.22441123,0.44152886
TRIM32,0.7340535,0.16407122,-0.5699823,False,0.28621802,0.12074733
DAPK1,2.3128881,1.9756279,-0.33726025,False,0.17550972,0.35984737
MFN1,1.0616479,0.777384,-0.2842639,False,0.2955641,0.34689566
LAGE3,1.2831159,1.074612,-0.20850384,False,0.2882405,0.34869042
FAM172A,1.0203729,0.8289778,-0.19139504,False,0.3308012,0.33907795
ASTN2,0.3070558,0.14811867,-0.15893713,False,0.17369123,0.09608564
GRAMD4,0.89949703,0.75829226,-0.14120477,False,0.32686675,0.31925407
TMEM98,1.3666064,1.2289089,-0.13769746,False,0.2841291,0.30156797
PRLR,0.15278457,0.054371614,-0.09841296,False,0.10188364,0.039911855
ZNF561,1.8882718,1.7972764,-0.09099543,False,0.21285184,0.22773214
MT-ND3,1.7554234,1.676551,-0.07887244,True,0.78610706,0.7962475
SEMA3F,1.863664,1.7912147,-0.07244933,True,0.24727961,0.2664008
RCCD1,0.686131,0.61385393,-0.07227707,False,0.29025948,0.2777782
KPTN,1.1634219,1.0951242,-0.068297625,False,0.30060005,0.3136623
TEAD3,0.8006783,0.8663531,0.06567478,False,0.29348725,0.29567426
SORBS2,1.0052477,0.9402105,-0.06503719,True,0.43276674,0.43361416
GNPDA1,1.4950252,1.5597937,0.06476855,False,0.2574171,0.2500269
ALCAM,1.5566508,1.4942865,-0.06236422,True,0.32711455,0.3545368
NTF4,0.09989731,0.03902866,-0.06086865,False,0.065497115,0.025783006
NTMT1,0.90801054,0.84892654,-0.059084,False,0.29700974,0.29470682
MT-CO3,1.2058606,1.146954,-0.058906555,True,0.78025454,0.79296607
PINLYP,0.47064635,0.41230336,-0.058342993,False,0.24029155,0.21904834
EVI5L,0.53279567,0.47471157,-0.0580841,False,0.26483202,0.24101685
RNF130,2.392327,2.334856,-0.057471037,False,0.13628271,0.13914636
METTL15,0.8795537,0.9367101,0.057156444,False,0.29924816,0.29219145
CASQ1,0.108536854,0.052837033,-0.05569982,False,0.07356201,0.037519787
ASS1,1.6960539,1.7512196,0.055165768,True,0.34041834,0.32310438
PLPP2,1.336396,1.2818482,-0.054547787,True,0.39301753,0.40327987
PER1,0.8935092,0.94803405,0.05452484,False,0.3046668,0.3112963
MFSD6L,0.2115603,0.15726927,-0.054291025,True,0.14106989,0.10869474
SFXN4,0.6319497,0.57974577,-0.052203953,False,0.27005774,0.25207922
MPV17L,0.70654917,0.6550104,-0.051538765,False,0.28890833,0.27633682
SEMA6A,2.7475765,2.6968668,-0.050709724,True,0.17924707,0.18235476
SNX9,1.5004787,1.4506121,-0.049866676,False,0.28831303,0.30142945
HIST1H3G,0.72253007,0.674359,-0.048171043,True,0.49177366,0.4690948
FEZ1,1.0951558,1.0472211,-0.04793477,True,0.36360902,0.34964955
TSHZ3,0.991738,1.039482,0.047743976,True,0.39489174,0.40490252
ZNF883,0.99214935,1.0387118,0.046562433,False,0.32462168,0.32594332
IQSEC2,1.9034958,1.8571084,-0.046387434,True,0.3713815,0.3940671
LRSAM1,0.9205045,0.87444687,-0.04605764,False,0.30600116,0.31070763
BRMS1L,1.0613492,1.0157663,-0.04558289,False,0.31945917,0.34099877
HMGCL,0.96636677,1.0114803,0.045113564,True,0.3514743,0.3477714
KLHL18,1.082003,1.036897,-0.045106053,False,0.31697568,0.3321168
FAR2,1.0074348,1.0523412,0.044906378,False,0.32749203,0.32252875
MT-CO2,1.645371,1.600478,-0.044892907,True,0.917779,0.91908985
SEC22C,1.2234986,1.1786449,-0.044853687,False,0.28620678,0.30068758
PRR11,1.7546473,1.7993913,0.044744015,True,0.2869244,0.2721506
RASGRF2,0.75367785,0.7982757,0.044597864,True,0.38033068,0.38757154
THY1,3.2316704,3.1874433,-0.044227123,True,0.10670034,0.10892994
POLR3G,2.6291654,2.673209,0.04404354,True,0.22044568,0.13245524
