gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
MAST2,0.83889765,0.05574879,-0.7831489,False,0.29011306,0.040925477
EGR1,0.81692857,1.045002,0.22807342,True,0.5892243,0.6209421
TAGLN,2.3409328,2.4909658,0.150033,True,0.6389723,0.5616101
MYL9,1.8118736,1.9610023,0.1491288,True,0.4087449,0.37574375
GAL,2.7219493,2.866865,0.14491558,True,0.35849097,0.35573906
EDIL3,1.4273261,1.5703977,0.14307165,True,0.36399788,0.33325958
NMU,1.7737356,1.9109083,0.1371727,True,0.3437436,0.31578383
DACT1,0.9510262,1.0700061,0.11897993,True,0.5183046,0.57043695
SLC39A8,1.5447878,1.6635048,0.118717074,True,0.35716635,0.33506063
MT1X,1.2593601,1.3768779,0.11751783,True,0.58770955,0.58435357
PLAAT3,1.6658874,1.7811327,0.11524534,True,0.36285684,0.33743992
AKAP7,1.5629597,1.6686146,0.105654955,True,0.41213223,0.39955467
TMEM151B,0.887444,0.99207896,0.10463494,False,0.30931976,0.31719488
DPPA2,0.9645738,1.0645866,0.10001284,True,0.42964724,0.39487848
ZIC5,2.8421504,2.7452714,-0.096879005,True,0.24881114,0.25208282
TUBB2A,3.9533803,4.0485845,0.095204115,True,0.1378518,0.13229439
SFRP1,4.2489777,4.1542573,-0.09472036,True,0.12169684,0.1409997
DUSP5,1.2534505,1.348153,0.09470248,True,0.39468458,0.3849457
CKAP2L,0.9619811,0.8674139,-0.09456724,True,0.41048196,0.41667408
LIMA1,1.4008646,1.4928604,0.091995835,True,0.34730312,0.31383377
ZIC2,1.9019088,1.8106385,-0.09127021,True,0.40680227,0.4716337
ACTA1,0.18933524,0.28051373,0.09117849,True,0.14166501,0.19647856
ADAMTS16,1.1040889,1.1942166,0.09012771,True,0.375157,0.37940046
PDZD4,2.1980815,2.2852306,0.08714914,True,0.20350996,0.2010007
COL1A1,2.260025,2.3468938,0.08686876,True,0.40600464,0.42349657
S100A10,3.133715,3.2193754,0.08566046,True,0.22135624,0.20757452
PCK2,2.0146055,2.099335,0.08472943,True,0.285465,0.28959867
SLC7A5,2.7678742,2.852245,0.08437085,True,0.20752229,0.18342996
