gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
SPTSSB,0.90169275,2.3034227,1.40173,True,0.38103697,0.45052564
LEFTY2,0.27116945,1.5174239,1.2462544,True,0.24489297,1.3870655
PKDCC,2.017514,0.92532235,-1.0921917,True,0.58726704,0.4740637
LMO3,1.0553634,2.1263297,1.0709662,True,0.47546923,0.44639593
RASGRF2,0.75367785,1.7961289,1.042451,True,0.38033068,0.4919159
S100A11,1.5742178,2.5924344,1.0182166,True,0.29990643,0.21608795
CRLF1,0.18737236,1.1882994,1.0009271,True,0.13220428,0.7492227
VAT1L,1.7592366,0.799128,-0.9601086,True,0.2837038,0.38587514
LEFTY1,0.40002847,1.3564038,0.95637536,True,0.4464706,1.704943
GPC6,0.686896,1.5770068,0.8901108,True,0.3368339,0.58971673
AP1S2,2.6388597,1.7563721,-0.88248765,True,0.11781939,0.28094986
PDLIM1,2.4891915,1.6077799,-0.8814117,True,0.14672922,0.5058735
PHGDH,3.219117,2.3402078,-0.8789091,True,0.0838759,0.30141354
MDFI,1.2076058,2.0569277,0.84932184,True,0.35286814,0.26254427
LMAN1,2.4597926,1.6153914,-0.84440124,False,0.14181058,0.48609912
TMEM106C,1.5577834,2.38837,0.8305867,True,0.37999824,0.45479295
NTS,1.4767022,2.2978086,0.82110643,True,0.7286999,0.7531751
GAL,2.7219493,1.9019119,-0.8200375,True,0.35849097,0.42313102
MFGE8,3.6756303,2.8725858,-0.80304456,True,0.10762995,0.17660491
KCNG3,1.6000588,0.8050965,-0.7949623,True,0.33263826,0.44595575
SUGP1,0.9223598,0.1337513,-0.78860855,False,0.29040378,0.10539449
ERBB2,3.173677,2.4021745,-0.7715025,True,0.1566171,0.2971593
ZIC2,1.9019088,1.1479473,-0.75396144,True,0.40680227,0.75740504
CRABP1,2.7936456,2.0410805,-0.75256515,True,0.2094519,0.33101156
ACD,1.7944973,1.0783826,-0.71611464,False,0.22307853,0.37017342
