gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
MBTPS1,2.126813,0.1950951,-1.9317179,False,0.16419269,0.16489875
HMGCS1,3.5301554,1.6480356,-1.8821198,True,0.36374408,0.4265927
DHCR24,3.6134932,1.9347464,-1.6787468,True,0.08693754,0.40521193
LDLR,1.7909238,0.3807012,-1.4102226,True,0.40857795,0.3125192
HMGCR,3.3971014,2.101837,-1.2952645,True,0.26202345,0.2897698
FADS2,4.2200174,2.934609,-1.2854085,True,0.07180851,0.19714446
MSMO1,2.504345,1.3439881,-1.1603569,True,0.36301106,0.3638605
SREBF2,2.018833,0.9012454,-1.1175876,False,0.20055833,0.4335976
CYP51A1,2.820574,1.7061502,-1.1144239,True,0.19194041,0.29108572
FGFBP3,1.5303756,0.42504957,-1.105326,True,0.39057454,0.2677744
SCD,4.571026,3.4907749,-1.080251,False,0.08660226,0.13485841
ASS1,1.6960539,2.7528486,1.0567948,True,0.34041834,0.26967603
FASN,2.8032582,1.7815868,-1.0216714,True,0.165525,0.29571664
ACSL3,2.625395,1.6095794,-1.0158156,False,0.12181296,0.31455153
FDFT1,1.5083088,0.4957849,-1.0125239,True,0.3391564,0.2962516
MEF2B,0.32470265,1.327961,1.0032583,True,0.20306997,0.5059832
DHCR7,2.2212503,1.221972,-0.9992783,True,0.27521834,0.33529645
PCK2,2.0146055,3.0024345,0.98782897,True,0.285465,0.19514361
FADS1,2.6000462,1.6235415,-0.9765047,True,0.1364136,0.34114093
DDIT4,0.8543927,1.8049152,0.9505225,True,0.7079657,0.7798609
ACAT2,1.7601122,0.8545075,-0.90560466,True,0.3223385,0.34268492
MVD,1.8713977,0.9733257,-0.898072,True,0.34796846,0.35086533
IDI1,1.1688491,0.3362786,-0.83257055,True,0.37462935,0.21087466
PLA2G3,1.2077777,0.39418942,-0.8135883,True,0.37771723,0.24178644
PSAT1,3.8175943,4.56508,0.7474859,True,0.09711025,0.09242781
SESN2,1.1401006,1.8838155,0.7437149,True,0.3993862,0.45003775
SC5D,2.5574994,1.8163353,-0.7411641,True,0.2014049,0.26201648
LSS,1.536261,0.7960362,-0.7402248,True,0.30171183,0.31627646
