gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
MED1,1.8140715,0.15337375,-1.6606978,False,0.19316545,0.12607348
MT1X,1.2593601,0.55688053,-0.70247954,True,0.58770955,0.39549935
SCGB3A2,2.1600077,1.4649155,-0.6950922,True,1.0063828,0.8981759
EEF1A2,0.775216,0.13242577,-0.6427902,True,0.3544652,0.103652366
ASS1,1.6960539,1.0755308,-0.6205231,True,0.34041834,0.40525073
OPN3,0.9301242,1.5100524,0.5799282,True,0.42169705,0.33669245
IQSEC2,1.9034958,1.4166874,-0.48680842,True,0.3713815,0.46282244
IDO1,1.2041372,0.72545075,-0.47868645,True,0.43108737,0.39679962
TAGLN,2.3409328,2.814236,0.47330308,True,0.6389723,0.51009625
STC2,2.132497,1.6675818,-0.46491528,True,0.37043837,0.4409241
POLR2A,1.5230211,1.9777279,0.4547068,False,0.26769033,0.23713693
CHD7,2.3055537,2.7492378,0.4436841,True,0.2723786,0.13828857
PCK2,2.0146055,1.5838007,-0.43080485,True,0.285465,0.32382128
NSG1,2.2689183,1.8413409,-0.42757738,True,0.23481227,0.3301451
DUSP6,2.2662961,2.6917064,0.42541027,True,0.42365897,0.26223513
SLC7A11,2.2569587,1.8429872,-0.41397154,True,0.3321765,0.3570807
GAL,2.7219493,2.311521,-0.4104283,True,0.35849097,0.31963867
SORBS2,1.0052477,0.59613276,-0.40911496,True,0.43276674,0.34803653
HMOX1,1.7928151,1.3908794,-0.4019357,True,0.41226184,0.4140392
LOXL1,1.073288,1.4732511,0.39996314,True,0.37352282,0.38390222
DNMT3B,4.406935,4.0074706,-0.3994646,True,0.087100714,0.0781851
PYCR1,2.0088482,1.61123,-0.39761817,False,0.2181221,0.30992475
HIST1H1A,1.5684879,1.176476,-0.39201188,True,1.4661734,1.4431412
GRPR,0.8029942,0.41784465,-0.38514954,True,0.6066761,0.31402102
TRIML2,1.2181535,0.8380608,-0.38009268,True,0.40173906,0.4166941
ANP32E,2.6381044,2.2666662,-0.37143826,False,0.114112005,0.17377952
SLC7A5,2.7678742,2.4009783,-0.3668959,True,0.20752229,0.3268706
PSAT1,3.8175943,3.450755,-0.3668394,True,0.09711025,0.103580005
S100A10,3.133715,2.7678509,-0.36586404,True,0.22135624,0.27599892
PGM1,1.8431282,1.4779036,-0.3652246,True,0.38100007,0.45807058
RIPOR2,1.1181024,0.7547847,-0.36331773,True,0.4393332,0.41553938
TERF1,3.9567983,3.6014395,-0.35535884,False,0.06587256,0.08445423
VIM,2.7251427,2.3709617,-0.35418105,True,0.5895071,0.5110966
AKAP7,1.5629597,1.209465,-0.35349464,True,0.41213223,0.41187584
PRDM14,1.2575728,0.9099449,-0.34762788,True,0.37819552,0.38122997
KCNG3,1.6000588,1.2534099,-0.34664893,True,0.33263826,0.44353977
CHAC1,0.70487297,0.35906562,-0.34580734,True,0.38694882,0.23221819
ERRFI1,1.6567633,1.3145089,-0.3422544,True,0.39002523,0.46330592
SEPHS1,4.0216975,3.6829572,-0.33874035,False,0.06776626,0.08998808
JDP2,0.87636673,0.5377951,-0.3385716,True,0.35009328,0.32288545
CCN2,1.3984216,1.0604151,-0.3380065,True,0.8199761,0.6776274
H1F0,0.903924,1.2417578,0.33783376,True,0.8330141,0.99037486
EIF4EBP1,2.8433921,2.5058973,-0.33749485,True,0.11213006,0.17396073
NMU,1.7737356,2.1107295,0.3369938,True,0.3437436,0.28557947
CADM2,0.4776455,0.81349117,0.33584568,True,0.28923467,0.45272884
PHYH,0.7808058,1.116498,0.33569217,False,0.30016178,0.3322261
PALM3,1.2694156,0.93469924,-0.33471638,True,0.33082137,0.37853205
FZD2,0.7157441,1.0485656,0.33282155,True,0.36336026,0.44363722
HES1,0.91062826,1.2431087,0.3324805,True,0.49244022,0.5381703
IGDCC3,1.6520493,1.9845161,0.33246684,True,0.28605288,0.26166913
