target,reference,feature,target_mean,reference_mean,percent_change,fold_change,p_value,statistic,fdr
MED13,non-targeting,ISG15,1.1940145,1.0392883,0.1488771438598632,1.1488771438598633,2.1717357145300462e-10,56971885.5,3.6371057880047454e-09
MED13,non-targeting,AGRN,5.137295,5.5631676,-0.0765522122383117,0.9234477877616882,8.779709664740433e-14,48703559.0,1.8747006228467096e-12
MED13,non-targeting,C1QTNF12,0.048680652,0.059324697,-0.1794201284646988,0.8205798864364624,0.0019797937221138,52301923.0,0.0130535849809706
MED13,non-targeting,ACAP3,0.9413989,1.0247834,-0.0813678801059722,0.9186320900917052,2.55381457279e-05,50694242.0,0.0002448282060666
MED13,non-targeting,CPTP,0.8946619,0.83918154,0.0661124661564827,1.0661125183105469,0.0022582416335244,54999828.0,0.0146540121793562
MED13,non-targeting,VWA1,0.8368363,0.89238536,-0.0622478649020195,0.9377521276474,0.0052649428607159,51550036.5,0.0307117892073079
MED13,non-targeting,ATAD3C,0.016103748,0.024589155,-0.3450873494148254,0.6549126505851746,0.0016074836831664,52590066.0,0.0108470801526416
MED13,non-targeting,ATAD3A,3.8453276,3.6984425,0.0397154092788696,1.0397154092788696,0.0033899936376224,54964004.0,0.0209604275802106
MED13,non-targeting,FNDC10,0.4033741,0.4536232,-0.1107727736234664,0.8892272114753723,0.0001051976579686,51060526.0,0.0009100207282529
MED13,non-targeting,MMP23B,0.24221942,0.2732023,-0.1134063750505447,0.8865936398506165,0.0004227431761811,51478119.0,0.0032563501918717
MED13,non-targeting,GNB1,3.8471723,3.5670838,0.0785202831029892,1.0785202980041504,5.418688705734267e-10,56938572.5,8.777353304435617e-09
MED13,non-targeting,CALML6,0.02989446,0.03940518,-0.241357073187828,0.7586429119110107,0.0011783226849719,52425989.5,0.0082233945487494
MED13,non-targeting,GABRD,0.10387724,0.1263557,-0.1778982281684875,0.8221017718315125,2.43181892976e-05,51555936.5,0.0002338602509667
MED13,non-targeting,PRKCZ,1.7412275,1.917578,-0.0919652134180069,0.9080348014831544,3.2068309252098843e-09,49635024.5,4.851841265924245e-08
MED13,non-targeting,FAAP20,1.4193531,1.3297728,0.0673651099205017,1.0673651695251465,0.0002170460526143,55416174.5,0.0017755724316855
MED13,non-targeting,SKI,10.946968,11.850527,-0.076246291399002,0.9237536787986756,3.777674254009126e-28,46568342.5,1.5918353910616455e-26
MED13,non-targeting,PRXL2B,0.54029864,0.58321327,-0.0735830813646316,0.9264169335365297,0.0033517606991369,51521629.5,0.0207538414485702
MED13,non-targeting,ARHGEF16,0.72036695,0.6248825,0.15280382335186,1.1528037786483765,1.8658509387262173e-09,56662097.0,2.8856820426138415e-08
MED13,non-targeting,LRRC47,7.387517,7.6639924,-0.0360745973885059,0.9639254212379456,1.82872588619e-05,50615944.0,0.0001791307894952
MED13,non-targeting,C1orf174,4.478342,4.152028,0.0785914659500122,1.0785914659500122,1.0655722906426639e-10,57089800.0,1.8287761373388838e-09
MED13,non-targeting,AJAP1,0.4406209,0.6084492,-0.2758296132087707,0.7241703867912292,1.1416904419650709e-27,47007984.0,4.72279511685368e-26
MED13,non-targeting,CHD5,0.038941607,0.049632054,-0.2153940051794052,0.7846059799194336,0.0023232156798171,52391371.5,0.0150303225832295
MED13,non-targeting,ICMT,13.330037,12.993877,0.0258706230670213,1.025870680809021,0.0010838590541754,55167639.0,0.007629224482977
MED13,non-targeting,HES3,0.0007338647,0.00015620064,3.698218822479248,4.69821834564209,0.0070087679457255,53244374.0,0.0392519951859732
MED13,non-targeting,ACOT7,5.947486,5.747794,0.0347423329949379,1.0347423553466797,0.0003280725431445,55363056.0,0.0025900840924208
MED13,non-targeting,TNFRSF25,0.38299426,0.45788848,-0.1635643243789672,0.8364356756210327,2.462828286066105e-09,49921592.5,3.7650452715959854e-08
MED13,non-targeting,PLEKHG5,1.018357,0.9499248,0.0720396041870117,1.0720396041870115,0.0018402389386576,55042047.0,0.0122343251947952
MED13,non-targeting,PER3,0.44049796,0.48537782,-0.0924637541174888,0.9075362682342528,0.0008832829522564,51357139.5,0.0063438338118387
MED13,non-targeting,ERRFI1,3.4275115,4.261261,-0.1956579387187957,0.8043420910835266,1.388838836535881e-51,44092394.0,1.166289185535008e-49
MED13,non-targeting,SLC45A1,0.07790545,0.11598079,-0.3282900750637054,0.6717098951339722,1.9098298023539828e-12,50544847.5,3.728240722680584e-11
MED13,non-targeting,ENO1,51.644424,52.814465,-0.0221537817269563,0.9778462052345276,2.385821130273544e-06,50355103.0,2.6374054968e-05
MED13,non-targeting,SLC25A33,6.605751,6.8220825,-0.0317104756832122,0.9682894945144652,0.00056363586194,51119952.5,0.0042266260872415
MED13,non-targeting,PIK3CD,1.201656,1.3100411,-0.082734115421772,0.9172658920288086,4.23773827584e-05,50749174.5,0.0003922706739054
MED13,non-targeting,LZIC,5.5604234,5.2642174,0.0562678128480911,1.0562678575515747,6.58773513075567e-08,56453875.5,8.735118405421882e-07
MED13,non-targeting,NMNAT1,0.55782384,0.50197864,0.1112501546740531,1.1112501621246338,0.000143191569847,55315985.5,0.0012107109506629
MED13,non-targeting,RBP7,0.22048408,0.30677378,-0.2812812328338623,0.7187187671661377,9.232049778140465e-18,48899544.0,2.489665290937895e-16
MED13,non-targeting,CENPS,2.5856133,2.3629293,0.0942406132817268,1.094240665435791,3.56767819830129e-10,56976765.5,5.867521694234747e-09
MED13,non-targeting,DFFA,9.766799,9.365449,0.0428543277084827,1.0428543090820312,5.976483623307772e-07,56206733.5,7.119955890272432e-06
MED13,non-targeting,FBXO2,1.4134499,1.7650955,-0.1992218494415283,0.8007781505584717,3.5486776197902313e-34,45867337.0,1.8380469260640006e-32
MED13,non-targeting,FBXO44,0.9020274,0.98522806,-0.0844480991363525,0.9155519008636476,5.2148136204e-05,50794358.5,0.0004756204653953
MED13,non-targeting,MAD2L2,55.142845,59.006184,-0.0654734522104263,0.9345265626907348,3.64164863415757e-55,43770107.5,3.327544169755839e-53
MED13,non-targeting,DRAXIN,2.8786492,3.1535943,-0.087184652686119,0.9128153324127196,8.632003472850405e-11,49287855.5,1.4913673579900806e-09
MED13,non-targeting,AGTRAP,8.420693,7.6985474,0.0938028991222381,1.0938029289245603,1.0197871821662667e-26,59646636.5,4.0728412311831454e-25
MED13,non-targeting,C1orf167,0.025901513,0.033401206,-0.2245336025953292,0.7754663825035095,0.004428392227003,52564694.5,0.0264527206881614
MED13,non-targeting,KIAA2013,3.6010437,3.7653346,-0.0436324849724769,0.9563674926757812,0.0010961870548422,51230826.5,0.0077073692920558
MED13,non-targeting,PLOD1,2.1956823,1.963839,0.1180561259388923,1.1180561780929563,1.487776868766855e-12,57458428.5,2.925804380161672e-11
MED13,non-targeting,TNFRSF8,0.5311732,0.66973406,-0.2068893313407898,0.7931106686592102,3.7578977210258575e-18,48185030.0,1.032826817271054e-16
MED13,non-targeting,DHRS3,1.5406494,1.3081391,0.1777412891387939,1.177741289138794,1.942713237827436e-17,58284890.0,5.147165202215715e-16
MED13,non-targeting,AADACL3,0.011867315,0.023495253,-0.4949058592319488,0.5050941109657288,1.9035763140861737e-06,52319061.0,2.13062728185e-05
MED13,non-targeting,PRAMEF6,0.00022995053,0.0,,20.0,0.0002147784166764,53217344.0,0.0017587641543388
MED13,non-targeting,PDPN,16.494791,16.106108,0.024132665246725,1.0241326093673706,0.0019954789809218,55061029.0,0.0131408705063072
MED13,non-targeting,EFHD2,3.5460773,4.0223007,-0.1183957904577255,0.8816041946411133,2.489948994923195e-25,46930911.5,9.42462201567579e-24
MED13,non-targeting,EPHA2,3.090694,2.8412273,0.0878024324774742,1.0878024101257324,2.395259106193866e-09,56794528.0,3.667434126180813e-08
MED13,non-targeting,SZRD1,7.378615,7.1704555,0.0290301572531461,1.029030203819275,6.58996019634e-05,55603256.5,0.0005906723089697
MED13,non-targeting,NECAP2,2.1026113,1.9297462,0.0895792171359062,1.0895792245864868,1.0873152622070985e-07,56395287.0,1.4096608222891942e-06
MED13,non-targeting,ATP13A2,0.8327902,0.89687073,-0.0714490190148353,0.9285509586334229,0.0009477130259615,51242078.5,0.0067620766829114
MED13,non-targeting,SDHB,11.068972,10.817163,0.0232785772532224,1.0232785940170288,0.0010207291013434,55177852.5,0.0072309310211935
MED13,non-targeting,PADI2,0.27318043,0.3640738,-0.2496564835309982,0.7503435015678406,5.684401185711094e-16,48976275.5,1.3860279627465488e-14
MED13,non-targeting,PADI4,0.0012255067,0.003753962,-0.6735431551933289,0.3264568746089935,0.0066785776689004,52989916.0,0.0376684364450547
MED13,non-targeting,RCC2,5.7335196,5.965367,-0.0388655550777912,0.961134433746338,0.0003906983005046,51061041.0,0.0030324655589951
MED13,non-targeting,ARHGEF10L,1.3521137,1.5547523,-0.1303349882364273,0.8696650266647339,4.1226384134811867e-13,48842041.5,8.426102477474548e-12
MED13,non-targeting,ACTL8,0.24560869,0.29986015,-0.1809225529432296,0.8190774321556091,1.8565660017797254e-07,50600903.5,2.3436623440438546e-06
MED13,non-targeting,IGSF21,2.4925814,2.7695215,-0.0999956503510475,0.9000043272972107,6.159270693830134e-10,49471067.0,9.929524221529097e-09
MED13,non-targeting,KLHDC7A,0.7959787,1.0082943,-0.2105690836906433,0.7894309163093567,5.666170209344193e-22,47499699.5,1.8681725861943286e-20
MED13,non-targeting,ALDH4A1,1.04192,1.1295187,-0.0775540918111801,0.9224458932876588,8.11987724678e-05,50843260.5,0.000717124711985
