gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
MED13L,0.9738985,0.077897646,-0.8960008,False,0.29776472,0.056701668
ZNF416,0.52854836,0.091049984,-0.4374984,False,0.24262396,0.065847374
GRPR,0.8029942,0.51782507,-0.28516912,True,0.6066761,0.37485996
SORBS2,1.0052477,0.745816,-0.25943172,True,0.43276674,0.36088026
IQSEC2,1.9034958,1.6546031,-0.24889266,True,0.3713815,0.408333
KCNG3,1.6000588,1.3553381,-0.2447207,True,0.33263826,0.3627997
ZIK1,1.5887253,1.354153,-0.23457229,False,0.25753674,0.31554487
PODXL,4.0734234,3.8410366,-0.23238683,False,0.06454045,0.06748217
SHISA2,1.6919217,1.4823697,-0.20955205,True,0.5537069,0.51296824
GPC4,2.8069289,2.598138,-0.20879078,True,0.19444703,0.19061507
CRABP2,2.2048934,2.4118166,0.20692325,True,0.37365532,0.3057017
ERBB2,3.173677,2.9681256,-0.20555139,True,0.1566171,0.14903878
NSG1,2.2689183,2.07621,-0.19270825,True,0.23481227,0.2755258
ASS1,1.6960539,1.5071926,-0.18886125,True,0.34041834,0.34191945
TERF1,3.9567983,3.769052,-0.18774629,False,0.06587256,0.068863705
KDR,2.138896,1.9563555,-0.18254054,True,0.31552842,0.3311009
ANOS1,2.2613657,2.0815644,-0.17980123,True,0.21193548,0.22688013
SLC22A23,2.0097804,1.834844,-0.17493641,True,0.24951328,0.2629952
VLDLR,1.3306402,1.1567984,-0.17384183,True,0.42473996,0.42468607
AKAP7,1.5629597,1.3907261,-0.17223358,True,0.41213223,0.38918722
VAT1L,1.7592366,1.5935556,-0.165681,True,0.2837038,0.3101605
JPH4,1.3973159,1.2318107,-0.16550517,True,0.34740102,0.36800075
INPPL1,1.3143512,1.4779276,0.16357636,False,0.3053506,0.2846022
MT1X,1.2593601,1.0958765,-0.16348362,True,0.58770955,0.5307123
GPR176,2.5565972,2.3938208,-0.16277647,True,0.1418434,0.15928258
GSTO1,1.0067747,1.1672523,0.16047764,True,0.33141363,0.31886598
CRABP1,2.7936456,2.6349554,-0.15869021,True,0.2094519,0.21485764
PRDM14,1.2575728,1.1003458,-0.15722692,True,0.37819552,0.3680636
PRKCB,0.87092805,0.71397245,-0.1569556,True,0.3349577,0.32234615
MFGE8,3.6756303,3.5188527,-0.15677762,True,0.10762995,0.106008664
HAPLN3,1.6817214,1.5263336,-0.15538788,True,0.28374058,0.2839799
AP1S2,2.6388597,2.4837325,-0.15512729,True,0.11781939,0.14117068
MDFI,1.2076058,1.3607374,0.1531316,True,0.35286814,0.323896
LHFPL6,0.73020524,0.57965684,-0.1505484,True,0.36257234,0.3208568
PTCH1,0.939191,1.0883716,0.14918065,True,0.40242016,0.40956596
CD24,5.489318,5.3413777,-0.14794016,True,0.047505796,0.051249444
HS3ST3B1,0.9031196,0.75527924,-0.14784038,True,0.37384945,0.36084065
ANK3,1.5168307,1.6633263,0.14649558,False,0.2656435,0.24393974
ZIC2,1.9019088,1.7559134,-0.14599538,True,0.40680227,0.40224743
EDNRB,1.2057792,1.0602801,-0.14549911,True,0.57471013,0.53945345
NFIB,0.5159143,0.6612518,0.14533746,True,0.2848534,0.32958826
LMO3,1.0553634,1.20045,0.14508653,True,0.47546923,0.48005536
MMP24,1.0542948,0.9099775,-0.14431733,True,0.3902179,0.3799084
ADM,1.0165217,0.8747415,-0.1417802,True,0.4694616,0.46856663
USP9X,3.4943233,3.3528745,-0.14144874,False,0.073277384,0.07035689
TMEM59L,0.6454841,0.78527707,0.13979298,True,0.3119143,0.3504744
DNMT3B,4.406935,4.2677917,-0.13914347,True,0.087100714,0.08349213
MAGI2,1.1124562,0.9733632,-0.13909298,True,0.39109144,0.38008717
MEGF10,1.5800037,1.4412146,-0.13878918,True,0.31678286,0.3271363
MYCN,2.8378336,2.6993606,-0.13847303,True,0.16622734,0.16990907
IDO1,1.2041372,1.0664946,-0.13764262,True,0.43108737,0.41618344
PLS3,2.6728685,2.535585,-0.13728356,False,0.12388258,0.1393488
PHC1,3.7676501,3.6303914,-0.13725877,True,0.069345854,0.070805185
DOCK4,1.6801318,1.5440241,-0.13610768,True,0.34917778,0.3840108
SYT4,0.58140266,0.4469152,-0.13448745,True,0.34853083,0.27813548
VASH2,3.0354705,2.9022267,-0.1332438,True,0.14533351,0.14521168
ATP1A3,1.2437924,1.1111945,-0.13259792,False,0.3171183,0.33487648
STC2,2.132497,2.0002747,-0.13222241,True,0.37043837,0.41186833
CALB1,0.8725808,1.0037167,0.13113588,True,0.37383825,0.38857535
ID3,1.931087,2.0613518,0.13026476,True,0.3423298,0.29027689
CRLF1,0.18737236,0.3175764,0.13020405,True,0.13220428,0.21154627
PDLIM1,2.4891915,2.359251,-0.12994051,True,0.14672922,0.1463119
CCDC141,0.8916808,1.0207049,0.12902409,True,0.44828832,0.46770334
PCK2,2.0146055,1.886004,-0.12860155,True,0.285465,0.3017303
HMOX1,1.7928151,1.6648552,-0.12795985,True,0.41226184,0.39773822
RIPOR2,1.1181024,0.9905073,-0.12759513,True,0.4393332,0.4378573
CHD7,2.3055537,2.4330382,0.12748456,True,0.2723786,0.22048193
DGKK,0.9637905,0.83680195,-0.12698853,True,0.4367179,0.39765048
VIM,2.7251427,2.598264,-0.12687874,True,0.5895071,0.57544744
