gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
FZD2,0.7157441,2.1231916,1.4074476,True,0.36336026,0.33691648
LRRC4B,0.2517425,1.3552598,1.1035173,False,0.15381767,0.35713482
NMU,1.7737356,0.6758681,-1.0978675,True,0.3437436,0.4151859
METTL14,1.2125593,0.12274144,-1.0898179,False,0.2772259,0.10977071
SPATS2L,3.1276162,2.0478437,-1.0797725,True,0.17706592,0.4342999
PKDCC,2.017514,3.0696142,1.0521002,True,0.58726704,0.4507001
SH3BP4,1.3598914,2.3909876,1.0310962,False,0.29887605,0.21974336
PRR7,1.0885055,2.118514,1.0300086,True,0.3503065,0.28075826
HEXIM1,1.8267198,2.8395913,1.0128715,True,0.2798919,0.16302918
ZNF593,1.2538073,2.2646184,1.0108111,False,0.28110296,0.2225144
HMMR,2.4663396,1.4562277,-1.0101119,True,0.27379674,0.607281
NTS,1.4767022,0.4683071,-1.0083951,True,0.7286999,0.36349255
MAD2L1BP,1.7597188,2.7680895,1.0083708,False,0.21866205,0.15409335
OTX2,0.8048261,1.8131735,1.0083475,True,0.38356015,0.48610854
RDH14,1.7468768,2.7416813,0.9948045,False,0.24159643,0.16251588
RTN4RL2,1.3598644,2.33048,0.97061574,True,0.2959816,0.22979379
CDC42EP3,1.017546,1.9866372,0.9690912,True,0.3280289,0.3029708
IRX2,0.45888945,1.4226595,0.96377003,True,0.29465783,0.62131244
YTHDF2,3.1333497,4.096423,0.9630735,False,0.07629666,0.074009344
HEPH,1.6045334,0.65750355,-0.9470299,False,0.26916465,0.42894593
MTHFD1,3.3682418,2.4299123,-0.93832946,False,0.059364375,0.22002578
NXT1,1.7685984,2.695362,0.92676365,False,0.24353573,0.12641531
LSM10,1.2904637,2.2009676,0.91050386,False,0.28114444,0.18888246
FEN1,2.8063161,3.712309,0.90599275,True,0.14715236,0.07699469
PHPT1,2.4665084,1.5657399,-0.9007685,False,0.12964691,0.37733132
GNG4,2.1171973,1.221277,-0.8959203,False,0.19509433,0.41300872
POP7,1.9035878,2.7971375,0.8935497,True,0.22363688,0.18121621
HS6ST1,1.7398139,2.6298766,0.8900627,False,0.2502532,0.18153238
HNRNPLL,2.269795,1.3804039,-0.88939106,False,0.15191355,0.3754065
ANGPTL2,0.67919964,1.5676734,0.8884738,True,0.3081285,0.36246228
MFSD5,0.44128564,1.3161985,0.87491286,False,0.21749496,0.363761
ESD,2.378343,1.5044823,-0.87386084,False,0.15578347,0.394518
DTD1,2.237627,1.3648772,-0.8727498,False,0.1634416,0.39790615
CACHD1,1.3571806,2.2245865,0.8674059,False,0.2842649,0.2505336
TMEM11,1.7687056,2.6337855,0.8650799,False,0.21657752,0.1487531
NDUFS2,2.3378537,1.4758431,-0.8620106,False,0.12799665,0.3436478
EPOP,0.13925004,0.9982364,0.8589864,False,0.09680819,0.42210847
ZNHIT2,0.9083861,1.760526,0.85213983,False,0.3200694,0.34548807
RBM15B,2.6256256,3.4658735,0.84024787,False,0.10912362,0.08108804
FAM171A2,1.3823171,2.2200224,0.8377054,False,0.28088316,0.21249731
IMP3,2.2248857,3.0595465,0.83466077,False,0.1448562,0.108240224
PCDH18,1.5278986,2.3623183,0.8344197,True,0.4877093,0.45722708
CHAC1,0.70487297,1.5348803,0.8300073,True,0.38694882,0.7407856
DUT,2.3951612,1.5748359,-0.82032526,False,0.16279976,0.4625911
RPP38,1.3002347,2.1194725,0.8192378,False,0.29957706,0.23098898
TRIAP1,2.3200333,3.1335192,0.81348586,True,0.1575913,0.17155202
BASP1,2.5099888,3.3216417,0.8116529,True,0.15961559,0.14838909
PEG10,1.4632176,0.6516611,-0.8115565,True,0.36439523,0.3650276
IVNS1ABP,3.4481068,2.6392553,-0.8088515,True,0.09558304,0.22484161
LITAF,2.7599976,3.567918,0.80792046,True,0.18362416,0.14152212
MLLT11,1.5502051,0.74395484,-0.8062503,False,0.26560542,0.3904624
POMGNT2,0.8615762,1.6670996,0.8055234,False,0.2933841,0.2659699
TSPAN6,2.8283496,2.023731,-0.8046186,False,0.1173821,0.32711482
HMGN5,2.3353515,1.5333513,-0.80200016,True,0.17357594,0.3746383
RHOG,0.8713426,1.6731526,0.80180997,False,0.29693347,0.35105234
LINGO1,2.5543387,3.3551152,0.8007765,True,0.13707355,0.120262854
FAM174C,1.4350349,2.235217,0.8001822,False,0.26710582,0.19213775
ST6GAL1,1.7795173,2.578992,0.7994746,False,0.24185537,0.19775237
PRIM1,2.322655,1.5239507,-0.79870427,False,0.14360692,0.43409675
ZMIZ2,2.2124455,1.422976,-0.7894695,False,0.1635751,0.40176627
MGAT1,1.7499692,2.537329,0.7873597,False,0.20831592,0.1438071
ENC1,1.117531,1.9041474,0.78661644,True,0.4060574,0.42562038
CYC1,2.635758,1.8513176,-0.7844403,False,0.103357315,0.32572368
FBLL1,0.7856516,1.5683559,0.7827043,True,0.330642,0.36089432
PELO,1.5978429,2.3802042,0.78236127,False,0.2678632,0.23693332
TMEM185B,0.82784057,1.608093,0.78025246,False,0.323836,0.3747389
LMO3,1.0553634,0.27512234,-0.7802411,True,0.47546923,0.25213662
PPP1R1B,0.60710275,1.3857658,0.77866304,True,0.2975516,0.4865185
TSKU,0.98567724,1.7641671,0.7784898,False,0.30792016,0.3190676
