gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
MKI67,2.1962192,0.28357103,-1.9126482,True,0.32712093,0.23009634
ZNF841,0.7889308,0.18139264,-0.6075381,False,0.29595423,0.14446744
ZNF836,0.4887927,0.06553467,-0.423258,False,0.23972896,0.042060878
SH3BP5,0.467869,0.7445038,0.27663478,False,0.24063456,0.32450962
NPY1R,0.21013948,0.41452855,0.20438907,True,0.13955206,0.22929011
C9orf72,1.2522478,1.4338046,0.18155682,False,0.30702448,0.31294984
SMAD1,1.17847,1.3177195,0.13924944,False,0.30453518,0.2905013
NAP1L3,1.0132377,1.1480991,0.13486135,True,0.34537348,0.3428618
PHLDA3,0.48402876,0.60275584,0.11872709,True,0.32843012,0.36304823
ALDH1A1,0.07103967,0.179004,0.10796433,False,0.0507938,0.11866402
BAX,3.2382326,3.3453922,0.107159615,True,0.12913452,0.12830152
DDB2,0.83584666,0.9414767,0.10563004,True,0.3656719,0.3728077
TOX,0.5615614,0.6627216,0.10116017,False,0.27602518,0.279363
TNFRSF10B,1.6190304,1.7192937,0.10026336,True,0.33569923,0.30647776
P4HA1,1.122607,1.0340894,-0.08851755,True,0.42841977,0.41167778
RRM2B,1.15014,1.234559,0.08441901,True,0.33941558,0.30967596
FDXR,1.2778784,1.3607593,0.082880855,True,0.37710968,0.36760777
RIPK1,0.7621425,0.843386,0.081243515,False,0.31286755,0.2945165
RGS16,0.675197,0.7547551,0.079558074,True,0.3482187,0.35858974
ZIM3,2.5895684,2.6685207,0.07895231,True,0.29940525,0.27610743
MAGEH1,1.3073484,1.228448,-0.07890034,True,0.31579554,0.3179346
NPY5R,0.15709503,0.235968,0.078872964,True,0.11052749,0.14944051
RAB17,1.5537531,1.4751439,-0.07860923,True,0.5508224,0.5258996
REPS2,0.21107824,0.28876984,0.0776916,False,0.13172181,0.16376294
TRIM22,0.6868747,0.7643525,0.07747781,True,0.41427281,0.45480573
PGM1,1.8431282,1.7672255,-0.0759027,True,0.38100007,0.34029055
PCDHB16,0.67530996,0.75075394,0.07544398,True,0.40022647,0.40875497
TM7SF3,1.8696523,1.9446095,0.07495725,True,0.2239849,0.20829922
ZNF165,0.94976604,1.0244786,0.074712515,True,0.44713485,0.43492907
SESN1,1.3295916,1.4041084,0.07451677,True,0.42911422,0.4683956
C15orf41,0.78019136,0.8538048,0.073613465,False,0.30274528,0.30452356
BBC3,0.86217064,0.9346089,0.07243824,True,0.41324192,0.4431285
FHDC1,1.5516248,1.6233814,0.0717566,False,0.28329006,0.26192972
SLC38A2,3.2128437,3.282891,0.07004738,True,0.116323106,0.10613334
DNAJA4,0.52847016,0.5981764,0.06970626,True,0.30991498,0.3272048
ZSCAN18,0.6707968,0.7400958,0.06929898,False,0.27431393,0.28166756
PDK1,1.0046592,0.93573177,-0.06892741,True,0.5207944,0.47782972
DDIT4,0.8543927,0.7854733,-0.06891942,True,0.7079657,0.642466
S100A10,3.133715,3.0661647,-0.06755018,True,0.22135624,0.20571025
ABCA1,0.90441024,0.97043467,0.06602442,True,0.40568152,0.36527362
METTL1,1.0790261,1.1442733,0.06524718,False,0.31932127,0.29215068
SOX3,0.70646137,0.77167827,0.0652169,True,0.3964079,0.40085346
OSBPL1A,1.0606042,0.9959318,-0.06467241,False,0.28899875,0.30939856
DUSP14,0.9149152,0.97934073,0.06442553,False,0.30978468,0.28951606
ZMAT3,0.61741245,0.68160653,0.06419408,True,0.34243125,0.39461285
CHGA,1.5551376,1.6191069,0.063969254,True,0.55296373,0.51124716
FZD5,1.1713068,1.1074754,-0.06383145,True,0.38521338,0.380878
ASCC3,1.939024,2.0027964,0.06377244,True,0.20493516,0.17557916
SRPRB,1.2999974,1.2365264,-0.06347108,False,0.30007493,0.29752308
WDR54,1.3638552,1.3005394,-0.06331587,True,0.3019887,0.30429995
SIMC1,0.5942225,0.65748787,0.06326538,False,0.26968303,0.27221578
GFRA2,0.36888698,0.43192583,0.063038856,False,0.2142169,0.2538537
FAM83D,1.8226819,1.8856971,0.06301522,True,0.4921371,0.48501638
KIF23,2.3050752,2.3675528,0.06247759,True,0.44283018,0.3935891
ZNF850,1.7697045,1.8321062,0.06240177,True,0.39880446,0.3754494
HAGHL,1.0353317,0.9732871,-0.06204462,True,0.34165308,0.3479343
B4GALT1,1.2328742,1.1708456,-0.062028527,False,0.29554918,0.2746391
CHAC1,0.70487297,0.64443046,-0.060442507,True,0.38694882,0.36257893
RIPOR2,1.1181024,1.1783738,0.060271382,True,0.4393332,0.44197565
TRIML2,1.2181535,1.2771821,0.059028625,True,0.40173906,0.38625202
WDR62,1.1492628,1.2080277,0.058764935,False,0.28781897,0.27313182
SLC16A3,0.33729532,0.2789228,-0.058372527,True,0.50083923,0.38471887
ZNF329,0.95569104,1.0140439,0.058352888,False,0.32064748,0.29860452
STC2,2.132497,2.0742004,-0.05829668,True,0.37043837,0.36331308
HERC5,0.8363185,0.8945957,0.05827719,True,0.3437243,0.32865477
ERO1A,2.1218462,2.0637672,-0.058079004,True,0.23829432,0.22089744
SH3GLB1,1.6336737,1.6916966,0.058022976,False,0.24148628,0.21300296
SERPING1,0.8669029,0.80913675,-0.05776614,False,0.29706314,0.2751802
CD2AP,2.5122755,2.5698287,0.05755329,False,0.1276119,0.104454584
PKDCC,2.017514,1.9603137,-0.057200313,True,0.58726704,0.5650134
PEX7,0.6807476,0.73791945,0.05717182,False,0.27437365,0.2551662
UNC5D,1.253455,1.310596,0.057140946,True,0.35436353,0.33068296
DDX3X,0.7798016,0.7238119,-0.055989683,False,0.30252647,0.30453068
HIST1H3E,1.0670047,1.0111347,-0.055869937,True,1.0355052,0.9817759
CCN2,1.3984216,1.3425523,-0.05586934,True,0.8199761,0.8403271
VLDLR,1.3306402,1.274771,-0.05586922,True,0.42473996,0.41526425
TRIM32,0.7340535,0.7898438,0.055790305,False,0.28621802,0.26675907
DEPDC1,1.7997262,1.8554047,0.055678487,True,0.56111425,0.5395497
ARHGEF3,0.18472517,0.12940216,-0.055323005,False,0.11249518,0.08158463
POP4,1.1251665,1.1804446,0.055278063,False,0.2992172,0.27476388
RIMS3,1.0215168,0.96642965,-0.05508715,False,0.3186593,0.30658463
CSF2RA,0.771133,0.8258191,0.05468607,True,0.35196143,0.3404667
PRKAB1,1.1637232,1.2181224,0.054399133,False,0.30174744,0.27455077
B3GNT10,0.6141779,0.66842425,0.054246366,False,0.27572653,0.2643162
SCGB3A2,2.1600077,2.1057935,-0.05421424,True,1.0063828,1.0092851
STC1,1.3884113,1.3345698,-0.05384147,True,0.51668775,0.4971065
PFDN1,1.5794724,1.6331208,0.053648353,False,0.22332361,0.19740099
MIA2,0.6895214,0.7431213,0.053599954,False,0.28305587,0.28042164
FAM3A,0.62145084,0.67497724,0.0535264,False,0.26978368,0.27274063
TRAF3IP1,0.9571368,1.0103106,0.05317384,False,0.30750918,0.2648447
MPHOSPH8,0.9438152,0.8906862,-0.053128958,False,0.3062388,0.29672363
AEN,2.7892292,2.8421187,0.052889585,True,0.14283648,0.1289716
CHORDC1,2.0463908,2.099264,0.052873135,False,0.19466658,0.17453413
TYMS,2.7641926,2.8169045,0.052711964,True,0.13533644,0.116876796
STON2,1.401844,1.4543393,0.05249524,False,0.29919013,0.26705718
SRSF8,1.1033623,1.1557908,0.052428484,False,0.33004653,0.31496558
ACSS2,0.8820951,0.8296997,-0.052395403,True,0.5769565,0.47831333
EGLN3,0.5867547,0.53451544,-0.05223924,False,0.27494127,0.26052704
