gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
EMD,2.9051232,0.6943333,-2.21079,True,0.13371706,0.80036765
MTA1,2.4489806,0.2683016,-2.1806788,False,0.1341651,0.2451058
MAP2K1,2.4129403,0.32947057,-2.0834696,True,0.15183762,0.29724747
DCTD,2.2631629,0.26135007,-2.0018127,False,0.1639231,0.25628144
SH3BGRL3,2.2246099,0.44900355,-1.7756063,True,0.16962212,0.35186055
NCAPD3,1.9498261,0.40665022,-1.5431759,False,0.17909798,0.32432717
PIP4K2A,1.576863,0.72925866,-0.8476044,False,0.2678263,0.3871857
PPM1H,1.7279001,1.1760612,-0.551839,False,0.26064622,0.43058848
HIST1H3E,1.0670047,1.3470516,0.28004694,True,1.0355052,1.3952675
VPS26B,1.1070284,0.8280619,-0.2789665,False,0.30059475,0.29746678
LMO3,1.0553634,0.7805015,-0.27486193,True,0.47546923,0.43507582
VIM,2.7251427,2.9649205,0.2397778,True,0.5895071,0.55788964
GNPTAB,1.3371286,1.1077327,-0.22939599,False,0.30216646,0.34235877
CHCHD2,2.9833074,3.2078052,0.2244978,True,0.3211824,0.23476799
FDXR,1.2778784,1.4846882,0.20680976,True,0.37710968,0.41338873
TNIK,1.8986627,1.6952267,-0.20343602,True,0.25794908,0.31368986
SLC7A11,2.2569587,2.0592153,-0.19774342,True,0.3321765,0.35723665
DDB2,0.83584666,1.0301958,0.19434917,True,0.3656719,0.41597995
SCGB3A2,2.1600077,2.3502243,0.19021654,True,1.0063828,0.90837514
EIF3J,2.944964,2.7552984,-0.18966556,False,0.0936068,0.1385155
STC2,2.132497,1.949656,-0.18284106,True,0.37043837,0.4146998
CST3,0.87776077,1.0604235,0.18266273,False,0.30644011,0.333376
FGFBP3,1.5303756,1.358227,-0.17214859,True,0.39057454,0.39645404
NEFM,1.2480268,1.0828189,-0.16520798,True,0.4028053,0.4034714
PHLDA3,0.48402876,0.6472282,0.16319942,True,0.32843012,0.443994
IFI30,1.543998,1.7068667,0.16286874,True,0.3189709,0.30164057
ZDHHC22,1.2077652,1.0536152,-0.15415001,True,0.33642527,0.35806015
GAL,2.7219493,2.8757446,0.15379524,True,0.35849097,0.33124405
S100A13,2.2575374,2.4107833,0.15324593,False,0.16245773,0.1551165
B4GALT6,1.2004873,1.3501563,0.14966905,True,0.34877592,0.32418236
LEFTY1,0.40002847,0.5482701,0.14824164,True,0.4464706,0.6379276
C9orf135,1.0159495,0.87194985,-0.14399964,True,0.37919602,0.3569678
SORBS2,1.0052477,0.86457366,-0.14067405,True,0.43276674,0.41223475
HTR7,0.7363093,0.59934485,-0.13696444,True,0.39800823,0.37712133
SLC12A4,1.1378051,1.2732328,0.13542771,True,0.37062162,0.35165924
BST2,1.1939828,1.3261696,0.13218677,True,0.5915028,0.5960746
LOXL1,1.073288,1.2046881,0.13140011,True,0.37352282,0.37876895
TRBC2,1.4730004,1.3419697,-0.13103068,True,0.35159406,0.36838934
PSAT1,3.8175943,3.6872518,-0.13034248,True,0.09711025,0.09916329
TNFRSF10B,1.6190304,1.7485986,0.12956822,True,0.33569923,0.36368576
SPATS2L,3.1276162,2.9993465,-0.12826967,True,0.17706592,0.208128
TXNIP,0.36665714,0.49440277,0.12774563,True,0.25791046,0.31001702
COL6A2,2.213915,2.3410268,0.12711167,True,0.24217908,0.23550117
ADM,1.0165217,0.88952273,-0.12699896,True,0.4694616,0.45350844
BAX,3.2382326,3.3650403,0.12680769,True,0.12913452,0.14330412
OCIAD2,2.877683,3.0044014,0.12671852,False,0.09583781,0.08982528
NPR1,1.1440488,1.269024,0.124975204,True,0.33606455,0.3179175
TOB1,1.5985638,1.7225605,0.123996735,True,0.37077996,0.3549474
AK4,3.1002982,2.9767447,-0.123553514,True,0.13591754,0.1641402
KCNG3,1.6000588,1.47822,-0.12183881,True,0.33263826,0.35101846
JPH4,1.3973159,1.2769659,-0.12035,True,0.34740102,0.37713912
EPHA2,1.3425428,1.462757,0.120214224,True,0.33881438,0.35638547
MYL9,1.8118736,1.6920722,-0.1198014,True,0.4087449,0.43081737
PAPLN,0.74573195,0.6260156,-0.119716346,True,0.34333396,0.32717863
KANK2,1.1991159,1.3187722,0.119656324,False,0.2928365,0.2754696
JAKMIP2,1.282878,1.1634356,-0.11944246,True,0.41678047,0.3954387
CCDC141,0.8916808,1.0095099,0.117829144,True,0.44828832,0.47418374
B2M,1.6160522,1.7337363,0.117684126,True,0.2681194,0.2405465
ARPC1A,1.487073,1.3698261,-0.117246866,False,0.24678238,0.28887933
MAP1B,2.2581487,2.1427824,-0.11536622,True,0.20767254,0.2306594
SLC37A4,1.7149663,1.8300698,0.11510348,False,0.24126555,0.22345914
TEAD4,2.5316958,2.646121,0.11442518,False,0.13730411,0.111376464
CTH,1.3418531,1.2276973,-0.11415589,True,0.32998702,0.35702154
INPPL1,1.3143512,1.4272139,0.112862706,False,0.3053506,0.31512365
CLIC4,3.9086597,3.7960215,-0.112638235,False,0.05628806,0.058490254
MDM2,2.2816887,2.3934908,0.1118021,True,0.197448,0.23430641
COL1A1,2.260025,2.3716118,0.11158681,True,0.40600464,0.39108086
CPS1,0.62011623,0.7311368,0.111020565,True,0.31480277,0.33432153
SPIB,0.7880941,0.89889306,0.110798955,True,0.35440066,0.3614925
SESN1,1.3295916,1.4402411,0.11064947,True,0.42911422,0.48863107
COBL,1.1189342,1.2292136,0.11027944,True,0.3521923,0.35875812
LANCL1,1.8536733,1.9634243,0.109750986,False,0.2227539,0.20167065
CHGA,1.5551376,1.4459908,-0.10914683,True,0.55296373,0.55439115
HAUS4,1.602699,1.7115498,0.10885072,False,0.23936845,0.22985898
NLGN4X,2.216452,2.1077914,-0.10866046,True,0.23145483,0.2540037
MPI,1.3065171,1.4145887,0.108071566,True,0.32092777,0.29083803
CDKN1A,0.13551252,0.24348302,0.107970506,True,0.1684509,0.33013454
FOXRED2,1.3167752,1.424278,0.10750282,True,0.33152142,0.3161084
SLC7A5,2.7678742,2.6612017,-0.106672525,True,0.20752229,0.20845298
CAPG,1.0828618,1.1894255,0.10656369,False,0.3175583,0.3215917
PLK2,0.31356177,0.41968533,0.10612357,True,0.21140723,0.28260335
RAB17,1.5537531,1.6597342,0.10598111,True,0.5508224,0.5353541
MVD,1.8713977,1.7655373,-0.10586047,True,0.34796846,0.3529263
MMP24,1.0542948,0.9485511,-0.105743706,True,0.3902179,0.40555876
GYG1,1.0124886,1.1180433,0.1055547,False,0.30966702,0.30931097
KLHL7,2.4904606,2.3851738,-0.10528684,False,0.118438646,0.12933172
ERBB2,3.173677,3.068585,-0.10509205,True,0.1566171,0.15712729
SUMF2,1.9987173,2.1034236,0.10470629,False,0.21222115,0.20787178
PTN,1.3494028,1.2450544,-0.10434842,True,0.30755064,0.3182496
ERVMER34-1,1.778471,1.8825072,0.10403621,True,0.3746463,0.3620724
STXBP6,1.1174883,1.0143762,-0.1031121,True,0.3900172,0.38385668
VEGFA,1.5524551,1.4495989,-0.10285616,True,0.3067676,0.33108434
WFS1,1.0987208,1.199111,0.100390196,False,0.29198083,0.3087731
CKB,3.2759545,3.3756688,0.09971428,True,0.1373064,0.11827768
PTCH1,0.939191,0.84097314,-0.098217845,True,0.40242016,0.38416594
VWCE,0.2900032,0.38819784,0.09819463,False,0.17381755,0.22514358
CTTNBP2,1.2219666,1.1240202,-0.097946405,False,0.3117996,0.33255014
PALM2-AKAP2,2.2532294,2.1553485,-0.09788084,False,0.18611689,0.21141829
RFXANK,1.9731101,2.0708468,0.097736716,False,0.20430394,0.20605868
SENP6,2.7165537,2.6188436,-0.09771013,False,0.10866473,0.12875305
TKFC,1.0334369,1.1310594,0.097622514,False,0.3014002,0.28264567
LEFTY2,0.27116945,0.3685692,0.09739974,True,0.24489297,0.33948645
CRABP1,2.7936456,2.8909883,0.09734273,True,0.2094519,0.17786905
HERC5,0.8363185,0.9336575,0.097339034,True,0.3437243,0.36033636
PACSIN3,1.8271953,1.9244984,0.09730315,False,0.2441111,0.23615019
NIT2,1.1451948,1.2418017,0.09660697,False,0.2956394,0.27682313
RAB13,3.1653655,3.261907,0.09654164,True,0.15702635,0.10142134
SHMT1,1.2798325,1.3760114,0.09617889,False,0.2803571,0.27969941
RRAGD,1.3463784,1.250239,-0.09613943,True,0.3349723,0.35450202
S100A16,1.7017455,1.7978352,0.09608972,True,0.3093001,0.27175125
AP3M2,0.93604296,1.0319207,0.09587771,False,0.31761223,0.31544134
MAGED2,2.2897224,2.3852696,0.0955472,False,0.14950255,0.14286798
ASCC3,1.939024,2.0345268,0.09550285,True,0.20493516,0.21735455
PDGFA,1.104627,1.0092002,-0.0954268,True,0.3449067,0.37290713
SKI,2.5490315,2.4536638,-0.09536767,False,0.11420033,0.12615965
GPC3,1.794429,1.6991649,-0.09526408,True,0.31798097,0.3484053
SLC16A2,1.0973338,1.0022203,-0.095113516,False,0.31882572,0.33155447
MAL2,3.0723975,2.9774847,-0.09491277,False,0.096674755,0.10761079
SCD,4.571026,4.476507,-0.09451866,False,0.08660226,0.08102654
CALCOCO2,0.89304763,0.79864454,-0.09440309,False,0.31795242,0.3264099
NHSL1,1.0050527,0.9107021,-0.09435058,False,0.31409183,0.32434645
SRA1,2.0290885,2.12343,0.09434152,False,0.17772304,0.15852182
NUAK2,0.5156571,0.60932904,0.09367192,False,0.26214018,0.2928908
UGT8,1.01279,0.91919345,-0.09359652,False,0.3252397,0.33349672
MEX3B,0.74400705,0.8374913,0.09348422,True,0.3606949,0.35760486
KLHL4,0.7873935,0.6939498,-0.09344369,True,0.36787513,0.35062927
NRXN1,1.6686505,1.5752442,-0.09340632,True,0.36241803,0.37525013
SEMA6B,2.2087781,2.1155667,-0.09321141,False,0.17248237,0.2091796
GARS,1.5556651,1.4626342,-0.09303093,False,0.26123875,0.29163775
XPC,1.5628258,1.6557255,0.09289968,False,0.25584552,0.2561286
MDFIC,0.8970564,0.80427265,-0.09278375,False,0.315675,0.31200317
CCM2L,0.718478,0.8111061,0.09262806,False,0.31191355,0.32980546
C16orf58,1.5415974,1.6341914,0.09259403,False,0.2911282,0.3073299
IRF2BPL,1.0261445,0.9335695,-0.09257501,False,0.3215078,0.3275812
FUT8,1.1711775,1.0787296,-0.09244788,False,0.32690215,0.36271128
EFNA5,1.0347157,0.9423456,-0.09237003,True,0.33764604,0.33013135
TADA3,1.61704,1.7093873,0.092347264,False,0.23468952,0.2298601
HMGN5,2.3353515,2.2431524,-0.09219909,True,0.17357594,0.19749431
S100A4,0.6748618,0.76704925,0.092187464,True,0.3450312,0.3666658
CORO2A,1.4832922,1.5753424,0.092050195,True,0.35276833,0.36425233
CDK14,1.3375831,1.2464023,-0.0911808,True,0.329206,0.3491228
TTN,0.53751266,0.6284107,0.09089804,True,0.3516583,0.39493692
QARS,2.9969943,3.0877233,0.090729,False,0.07024181,0.06812193
GALE,0.8597597,0.95047444,0.09071475,False,0.32331824,0.33877426
ABRAXAS1,1.3443203,1.4350129,0.09069264,True,0.31642094,0.31794572
TRPM3,0.8106394,0.72002435,-0.090615034,False,0.3290492,0.32348496
C9orf16,1.2765483,1.3669775,0.09042919,False,0.29697946,0.26507077
SYT2,0.748557,0.65816826,-0.090388715,False,0.3084234,0.32062137
SOGA3,1.1897635,1.0993792,-0.090384364,True,0.34687093,0.36296183
NNAT,0.5223292,0.61266005,0.09033084,True,0.27951217,0.30942118
TUBA4A,1.6588391,1.7490506,0.09021151,True,0.27253002,0.24417678
AMMECR1,1.2578034,1.1677417,-0.090061784,False,0.29735452,0.33941934
SHMT2,1.9814478,1.891391,-0.09005678,True,0.205803,0.2229715
PLOD1,1.0836388,1.1736244,0.08998561,False,0.309949,0.2995935
EPPK1,1.5018363,1.5916891,0.08985281,True,0.36317953,0.35348535
TRIM22,0.6868747,0.7766515,0.089776814,True,0.41427281,0.4429358
JDP2,0.87636673,0.7867555,-0.08961123,True,0.35009328,0.34021357
DUSP7,1.5561894,1.6457884,0.08959901,True,0.29362613,0.2885484
SLC6A15,1.7863109,1.6967905,-0.089520454,True,0.29976016,0.3364005
PAQR5,0.8690951,0.7797189,-0.08937621,False,0.32535225,0.32007605
LAMTOR3,1.673243,1.5840316,-0.089211464,False,0.23997685,0.25918043
PLAAT3,1.6658874,1.5767328,-0.0891546,True,0.36285684,0.38942277
INTU,1.3734041,1.2842726,-0.08913159,False,0.29098627,0.31646487
IGFBP6,0.71219707,0.6230666,-0.08913046,True,0.3147573,0.29819182
PCYOX1,1.68443,1.773401,0.08897102,False,0.2434378,0.20936997
GLB1L3,1.3931206,1.3042364,-0.088884234,True,0.31930918,0.3573025
OCLN,1.9487426,1.8598878,-0.08885479,True,0.22371694,0.24865063
NIPA1,0.7316366,0.8204779,0.08884132,False,0.30059183,0.30703777
CMTM3,1.431021,1.5198573,0.08883631,True,0.33111474,0.31976396
GOLM1,2.5649145,2.4763875,-0.088526964,True,0.17443189,0.19296974
ACSS2,0.8820951,0.79361916,-0.08847594,True,0.5769565,0.48460713
THEMIS2,0.64131224,0.7297871,0.08847487,False,0.28947452,0.30647486
TMEM64,1.3649961,1.2765434,-0.0884527,True,0.3572356,0.3644298
CDK6,0.54318875,0.45495614,-0.08823261,False,0.2675631,0.24331589
NTS,1.4767022,1.388515,-0.08818722,True,0.7286999,0.7544449
RGS5,1.525954,1.4379516,-0.08800244,True,0.48766956,0.47826773
PCDH7,0.45434523,0.36634633,-0.0879989,True,0.27273244,0.23617391
ZDHHC4,1.6716703,1.7593367,0.08766639,False,0.24082871,0.22545666
CUZD1,0.5141857,0.4265762,-0.08760953,True,0.36897147,0.3118433
CCHCR1,1.4575734,1.5451005,0.08752704,False,0.2823406,0.26766175
DUSP16,2.1148643,2.0274975,-0.08736682,True,0.23813695,0.26348695
CHD3,0.74007934,0.65286744,-0.08721191,True,0.32167023,0.304449
SPTSSB,0.90169275,0.81460184,-0.08709091,True,0.38103697,0.3559089
REEP2,1.0203115,1.1072941,0.08698261,False,0.30180138,0.30495006
CLU,2.868908,2.955847,0.0869391,True,0.13896124,0.12693505
EIF4EBP1,2.8433921,2.756505,-0.08688712,True,0.11213006,0.12697963
MXI1,0.73969144,0.65297234,-0.086719096,True,0.3506123,0.33386958
IGSF3,0.6215334,0.70816755,0.08663416,False,0.2685896,0.29273722
CHAF1B,1.3042369,1.390453,0.08621609,False,0.29197916,0.28736186
UHRF1BP1,0.7826757,0.69658256,-0.08609313,False,0.2919338,0.2868847
C1orf21,2.3650088,2.279059,-0.0859499,True,0.18786235,0.20684755
SACS,1.665328,1.7511286,0.08580053,False,0.23919655,0.22896856
KIF5C,1.8004681,1.7147568,-0.08571124,True,0.26830575,0.3102633
PEG3,0.97456473,1.0601989,0.08563417,True,1.0025717,1.0320672
ORAI2,0.92420834,1.0098279,0.08561951,False,0.304288,0.30555463
MCC,1.0250969,0.9397921,-0.0853048,True,0.37870842,0.36887425
HDAC6,1.2178236,1.3031243,0.085300684,False,0.320964,0.31755856
ZFP36L2,1.6867079,1.6015782,-0.08512962,True,0.35165137,0.34282762
INHBE,0.40389985,0.31878585,-0.085114,True,0.249757,0.21177992
TRIAP1,2.3200333,2.4046888,0.08465552,True,0.1575913,0.14778017
TMEM44,0.7352316,0.8197635,0.0845319,False,0.29931876,0.32767722
