gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
NCK2,0.9404683,0.054826528,-0.8856418,False,0.28827125,0.039418887
ZNF664,1.4699457,1.7589788,0.28903317,True,0.29164624,0.28543583
ZNF221,0.6610552,0.3825068,-0.27854842,False,0.2792331,0.21289453
PNPO,0.3927683,0.13503465,-0.25773364,False,0.21399689,0.09297861
CIAO2A,1.5779755,1.3613503,-0.21662521,False,0.23689683,0.26818618
SPIDR,0.95250994,0.8528835,-0.09962642,False,0.3072536,0.29992542
FKBP5,1.4771045,1.3781055,-0.09899902,False,0.27364263,0.29295284
ZFP82,1.1940671,1.1017879,-0.092279196,False,0.3042142,0.30966052
TAGLN,2.3409328,2.427144,0.086211205,True,0.6389723,0.67307055
SCGB3A2,2.1600077,2.2381618,0.07815409,True,1.0063828,0.9499741
BTBD17,1.1946275,1.1192871,-0.07534039,True,0.37292463,0.3747346
TMEM35B,1.1075172,1.0324742,-0.07504308,False,0.3159608,0.318191
VIM,2.7251427,2.7977557,0.072613,True,0.5895071,0.57255316
LIN7A,0.8565189,0.9189856,0.06246668,True,0.36641464,0.37279078
NOTCH1,1.2914398,1.2292639,-0.06217587,False,0.30878872,0.32318455
DOCK4,1.6801318,1.6182612,-0.061870575,True,0.34917778,0.36822549
MYL9,1.8118736,1.8736496,0.061776042,True,0.4087449,0.39658594
SHISA2,1.6919217,1.6352538,-0.056667924,True,0.5537069,0.5597666
SPATA24,0.70231086,0.6469645,-0.05534637,False,0.29922834,0.2971459
S100A10,3.133715,3.187689,0.05397415,True,0.22135624,0.21012057
PHACTR4,1.588462,1.5346398,-0.05382216,False,0.2509015,0.26452875
CSRP1,0.89926517,0.95082814,0.051562965,True,0.4090476,0.4281706
GALNT9,0.11859732,0.067903355,-0.050693966,True,0.09121199,0.05014118
SLC16A5,0.47717544,0.42727607,-0.04989937,False,0.23705958,0.22469571
H1F0,0.903924,0.95368755,0.04976356,True,0.8330141,0.8742146
MAT2B,2.399109,2.3503451,-0.048763752,False,0.1381348,0.1452498
GLE1,0.766868,0.7195629,-0.047305107,False,0.2816757,0.27141583
ID2,0.48878717,0.44177333,-0.04701385,True,0.3184093,0.299272
HIST1H1A,1.5684879,1.6153805,0.046892643,True,1.4661734,1.4636815
FAXC,0.96942097,1.0127941,0.043373168,True,0.3494252,0.34862107
HIST1H1D,1.6205581,1.6628239,0.042265773,True,1.2314817,1.2423497
ANXA2,2.3120353,2.354145,0.042109728,True,0.22942683,0.22103335
SESN1,1.3295916,1.3706741,0.0410825,True,0.42911422,0.42102572
TRBC2,1.4730004,1.5136962,0.040695786,True,0.35159406,0.34604686
EMP3,0.8505958,0.8912775,0.04068172,True,0.398057,0.4082283
ETS2,1.4273686,1.3868744,-0.040494204,True,0.3230002,0.34259313
NR3C1,0.5848277,0.5447306,-0.040097117,True,0.31194535,0.2970086
HAGH,0.89364547,0.93360305,0.039957583,False,0.3168635,0.3120831
LMCD1,0.89934635,0.93925035,0.039904,True,0.37876225,0.38914582
JAZF1,1.1662948,1.126419,-0.039875865,True,0.3763501,0.3883923
CSRP2,1.1786084,1.1388617,-0.03974676,False,0.30007437,0.31046647
PPP1R3B,1.0211893,1.0608193,0.039629936,True,0.3968151,0.4036471
INIP,1.293229,1.3327695,0.03954053,False,0.2999538,0.28371042
LRAT,1.3468386,1.3078701,-0.038968444,True,0.5342008,0.5415953
NTS,1.4767022,1.5155983,0.038896084,True,0.7286999,0.7276155
DTNA,1.0392054,1.0779322,0.038726807,True,0.44757935,0.4561392
MPI,1.3065171,1.267937,-0.03858018,True,0.32092777,0.34419322
PRKCQ,0.95412415,0.992368,0.03824383,False,0.33686844,0.3165238
VPS45,1.8041344,1.766108,-0.038026333,False,0.23002142,0.24003515
PDE4B,0.62653655,0.6645552,0.038018644,True,0.36656713,0.37494642
POLR3G,2.6291654,2.6670904,0.037925005,True,0.22044568,0.14123622
TUBB3,1.5669075,1.6047173,0.03780973,True,0.34727174,0.3157906
MDFIC,0.8970564,0.85954255,-0.037513852,False,0.315675,0.31262425
CIB1,0.63222206,0.6693747,0.037152648,False,0.26496106,0.2646758
ANXA3,0.64711624,0.6840482,0.036931932,True,0.37550318,0.39368367
DNAJC1,0.87667274,0.91350615,0.036833405,False,0.2997558,0.29343787
STEAP3,1.3582553,1.3214852,-0.036770105,True,0.31993073,0.34085363
PCDH7,0.45434523,0.41760832,-0.036736906,True,0.27273244,0.25223094
LOXL2,1.8198686,1.7831972,-0.0366714,True,0.26679,0.26769316
PPP2R2B,1.6374153,1.6007733,-0.036641955,False,0.27833492,0.2906614
OSTC,2.6364865,2.599928,-0.036558628,False,0.09747118,0.098208256
ZFP90,0.92311496,0.8871004,-0.036014557,False,0.32038674,0.31586805
LRRTM4,0.6872295,0.7231164,0.035886884,True,0.31191766,0.31019476
AMER1,0.8171496,0.7814404,-0.035709202,False,0.31872228,0.3109607
HIST1H2BH,3.0131607,3.0481067,0.034945965,True,1.2786521,1.2669505
FBRSL1,1.2082453,1.1733029,-0.03494239,False,0.30357036,0.31925565
CBLC,0.7308411,0.6961213,-0.034719825,False,0.3029409,0.30642244
TMEM216,1.3771542,1.3424376,-0.034716606,False,0.28743476,0.28942597
LRP11,1.5107483,1.4760513,-0.034696937,True,0.3043182,0.32321116
HIST1H1B,4.1244035,4.15887,0.034466743,True,1.3478125,1.3122222
PCK2,2.0146055,1.9805342,-0.034071326,True,0.285465,0.30350742
SNX1,1.9629413,1.9288778,-0.03406346,False,0.1950602,0.20634657
KIF21A,1.8242197,1.7902695,-0.03395021,True,0.24974558,0.28172672
FKBP7,0.26558852,0.23169085,-0.033897668,False,0.16033013,0.14765559
GALNT3,0.92672193,0.9602234,0.033501446,True,0.34370244,0.3323345
ATAD3B,0.8642355,0.8307968,-0.033438742,False,0.30543157,0.31638375
DYNC2LI1,0.89586174,0.8624283,-0.033433437,False,0.3185402,0.3208042
CAPN6,0.57471156,0.60804754,0.033335984,True,0.33502746,0.35250127
UVSSA,0.61961675,0.5863096,-0.033307135,False,0.28893733,0.28689253
ADAMTS20,0.6698095,0.7029476,0.033138096,True,0.3321223,0.34074393
SLC7A2,1.3348604,1.3018019,-0.033058524,False,0.31370005,0.31330082
GPC4,2.8069289,2.7738705,-0.033058405,True,0.19444703,0.1992713
PTCD1,1.241525,1.2085425,-0.032982588,False,0.2947845,0.29080027
ACTA1,0.18933524,0.22228685,0.03295161,True,0.14166501,0.16976662
DENR,2.4598792,2.427086,-0.032793045,False,0.1150487,0.122231945
HSPA1B,1.9541006,1.9214141,-0.032686472,True,0.42119756,0.4224733
KLF6,0.86449987,0.8971726,0.032672703,True,0.38496384,0.38130474
FAM20C,1.3905388,1.3578943,-0.03264451,True,0.34597015,0.35317156
AMOTL2,1.0679373,1.0353343,-0.032602906,True,0.48965907,0.497718
FOXO1,1.9450868,1.9124913,-0.032595515,False,0.20770423,0.21856382
IER2,2.0651143,2.0976312,0.032516956,True,0.2285535,0.21156359
SV2A,1.7187771,1.6863949,-0.03238213,False,0.21865466,0.22913231
ADCYAP1R1,0.9360648,0.9038691,-0.032195687,False,0.33278164,0.34263363
UBE2Q2,1.6152738,1.6474212,0.032147408,False,0.26297098,0.25169334
PDZD2,0.32254708,0.29041117,-0.032135904,False,0.19421273,0.17685409
ABCA3,0.5297074,0.4976594,-0.032047987,True,0.2824396,0.26894143
TNFAIP8,0.8251237,0.8571389,0.032015145,False,0.3124638,0.31487066
ZNF251,0.82536453,0.7933856,-0.031978905,True,0.371914,0.38098964
GABRA5,0.77281296,0.7408666,-0.03194636,False,0.31239632,0.31254673
SERINC1,0.8345478,0.86646557,0.03191775,False,0.3096948,0.3058438
GAL,2.7219493,2.7538435,0.031894207,True,0.35849097,0.3651054
CA11,1.782018,1.750184,-0.031833887,True,0.24894503,0.25492674
CARMIL3,0.32337737,0.2916273,-0.031750083,False,0.18476015,0.16875716
RND3,1.4510654,1.4827161,0.031650662,True,0.5110513,0.5158447
SYT2,0.748557,0.71694976,-0.03160721,False,0.3084234,0.3131165
LSS,1.536261,1.5676701,0.031409144,True,0.30171183,0.2895436
AKAP7,1.5629597,1.594189,0.031229377,True,0.41213223,0.41917044
MUC3A,1.0630484,1.0942651,0.03121674,True,0.61409867,0.6383555
VWA5A,0.75662297,0.7878164,0.031193435,False,0.30636254,0.31480488
DDIT4,0.8543927,0.88557005,0.031177342,True,0.7079657,0.73392665
UGT8,1.01279,1.043763,0.030973077,False,0.3252397,0.3154088
ZIC5,2.8421504,2.811193,-0.03095746,True,0.24881114,0.2542326
P2RY1,0.7862649,0.8171704,0.030905485,True,0.40756574,0.42649472
NKX1-2,0.49017122,0.45947984,-0.030691385,False,0.25524968,0.24731845
PINK1,1.0154759,1.0460645,0.030588627,True,0.34776244,0.35124505
ISG15,0.71056473,0.7411276,0.030562878,True,0.31091544,0.3066033
ELMO1,0.48406094,0.45355824,-0.030502707,True,0.26682013,0.25862765
TTC39C,1.9046897,1.9351351,0.030445457,True,0.34991878,0.33854285
AR,0.8895552,0.85914844,-0.030406773,False,0.3300888,0.33309639
PRKAR1B,2.0850658,2.054677,-0.030388832,False,0.20193557,0.21289046
ZNF77,0.17567624,0.14561893,-0.030057311,False,0.10732986,0.09246879
PAPLN,0.74573195,0.71575594,-0.02997601,True,0.34333396,0.33591232
SLC22A17,0.90903693,0.8790857,-0.029951215,False,0.30814868,0.3177891
EFR3A,1.7837168,1.8136541,0.029937267,False,0.2376206,0.22790712
UTP18,1.9034425,1.8735147,-0.02992785,False,0.18832889,0.19394013
