gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
NDUFB6,2.2030468,0.22946136,-1.9735855,False,0.16265918,0.1680407
MT-ND4,1.8822018,2.3839269,0.5017251,True,0.9863533,0.9799271
MT-CO2,1.645371,2.0990055,0.4536345,True,0.917779,0.85911804
MT-ATP6,1.7147563,2.1443396,0.4295833,True,0.97399217,0.96352863
MT-ND6,0.8967327,1.3065395,0.40980685,True,0.68610394,0.6857487
MT-ND3,1.7554234,2.1220148,0.36659133,True,0.78610706,0.744474
PLAAT3,1.6658874,1.9977363,0.33184898,True,0.36285684,0.3018173
MT-CO3,1.2058606,1.51825,0.31238937,True,0.78025454,0.80890006
TMEM64,1.3649961,1.6549274,0.2899313,True,0.3572356,0.41329736
CHAC1,0.70487297,0.96294576,0.2580728,True,0.38694882,0.46063575
STC2,2.132497,2.3835948,0.25109768,True,0.37043837,0.3585493
MMP24,1.0542948,1.3004469,0.24615204,True,0.3902179,0.3770075
SERPINB9,1.3378824,1.5660542,0.22817183,True,0.5634636,0.63606405
MT-CYB,0.6396104,0.86153567,0.22192526,True,0.489698,0.5534346
TXNIP,0.36665714,0.16154388,-0.20511326,True,0.25791046,0.13963202
BRI3,1.9457042,2.1418982,0.19619393,False,0.19502924,0.15869166
HIST1H3E,1.0670047,0.8710651,-0.1959396,True,1.0355052,0.83113277
PCK2,2.0146055,2.2102654,0.19565988,True,0.285465,0.26891914
POLR3G,2.6291654,2.8205874,0.19142199,True,0.22044568,0.11868778
DDIT4,0.8543927,1.0414187,0.18702596,True,0.7079657,0.7951622
HMGCS1,3.5301554,3.3446417,-0.18551373,True,0.36374408,0.42055932
JDP2,0.87636673,1.0565662,0.1801995,True,0.35009328,0.3518695
SLC7A11,2.2569587,2.4349618,0.17800307,True,0.3321765,0.30771303
VLDLR,1.3306402,1.499996,0.16935575,True,0.42473996,0.36786386
LRRC58,1.585483,1.7488025,0.16331959,True,0.29369226,0.25295228
VIM,2.7251427,2.8882687,0.16312599,True,0.5895071,0.535672
DTNA,1.0392054,1.2005079,0.16130245,True,0.44757935,0.4674238
INHBE,0.40389985,0.56374574,0.15984589,True,0.249757,0.3218225
PSAT1,3.8175943,3.9758115,0.15821719,True,0.09711025,0.10637344
SERPINB6,1.3203832,1.4781549,0.1577717,True,0.34365404,0.3059584
HMGCR,3.3971014,3.2400692,-0.15703225,True,0.26202345,0.28095227
MSMO1,2.504345,2.352545,-0.15179992,True,0.36301106,0.38555184
DACT1,0.9510262,1.102271,0.15124476,True,0.5183046,0.5372806
CRABP1,2.7936456,2.9435735,0.14992785,True,0.2094519,0.19086573
CTH,1.3418531,1.4909188,0.14906561,True,0.32998702,0.30846745
SDF2L1,1.7957741,1.6469752,-0.14879894,True,0.30096847,0.32744318
STX3,1.8876352,2.036258,0.14862275,False,0.21896623,0.19043754
ADAMTS16,1.1040889,1.2508278,0.14673889,True,0.375157,0.32899728
APOE,4.079322,4.225868,0.14654636,True,0.07351008,0.06846277
SLC7A5,2.7678742,2.9141881,0.1463139,True,0.20752229,0.21039113
HSPA1B,1.9541006,1.8104345,-0.14366615,True,0.42119756,0.42127278
PLAAT5,0.27086484,0.41371915,0.1428543,True,0.18065967,0.24986397
KLF15,0.61699224,0.7582021,0.14120984,True,0.29440027,0.31787884
NQO2,2.2694356,2.410523,0.1410873,True,0.19669998,0.17942505
LDLR,1.7909238,1.6510859,-0.13983798,True,0.40857795,0.40028396
GPR143,1.1005427,1.2392665,0.13872385,True,0.37836063,0.3546035
CADPS2,1.3590494,1.4974715,0.13842201,True,0.32116383,0.30009717
NHSL1,1.0050527,1.142143,0.13709033,False,0.31409183,0.28407475
ALDH2,0.9392132,1.0755287,0.13631552,False,0.30306822,0.28993824
SESN2,1.1401006,1.2763108,0.1362102,True,0.3993862,0.42360294
GRB10,1.5261185,1.661815,0.13569653,False,0.268858,0.2142803
IDI1,1.1688491,1.0349971,-0.133852,True,0.37462935,0.38637194
HEXIM1,1.8267198,1.6931908,-0.13352895,True,0.2798919,0.3071549
DNASE2,1.327689,1.460506,0.13281691,True,0.30267313,0.27826
ASS1,1.6960539,1.8287545,0.13270068,True,0.34041834,0.32353354
NMRK2,1.9979984,2.1285481,0.13054979,True,0.23621987,0.21669522
HMGN4,1.2818751,1.4087379,0.12686276,False,0.2827039,0.25401706
C9orf135,1.0159495,1.1424679,0.12651837,True,0.37919602,0.37023434
WTIP,1.2946142,1.4209504,0.12633622,True,0.35613766,0.33270246
H1F0,0.903924,1.0278739,0.123949885,True,0.8330141,0.90171367
PNRC1,1.5150425,1.391441,-0.123601556,True,0.40612546,0.41829914
MAL2,3.0723975,3.1943274,0.121929884,False,0.096674755,0.11442662
RBM3,2.324421,2.4453056,0.12088466,False,0.1532649,0.12904872
CABLES1,1.0228573,1.1437314,0.12087405,True,0.35415003,0.33478612
FTL,3.590388,3.7098773,0.11948919,False,0.07852085,0.07885649
PKDCC,2.017514,1.8983514,-0.11916256,True,0.58726704,0.5143978
ELOVL6,2.2672312,2.1481285,-0.11910272,True,0.17385457,0.19512823
GAL,2.7219493,2.8406436,0.118694305,True,0.35849097,0.3430553
NKX1-2,0.49017122,0.6088607,0.11868945,False,0.25524968,0.27206048
FAM102B,1.0067161,1.1243412,0.11762512,True,0.35912716,0.3609535
DHCR7,2.2212503,2.1058493,-0.11540103,True,0.27521834,0.29369962
MTHFD2,2.8751297,2.9900768,0.11494708,True,0.11284972,0.121405706
CNTNAP2,1.610608,1.7253093,0.11470127,True,0.2864663,0.24982947
LOXL1,1.073288,0.9590431,-0.11424488,True,0.37352282,0.3722164
THY1,3.2316704,3.1174412,-0.1142292,True,0.10670034,0.12101373
PIP4P2,1.0604752,1.1746612,0.11418593,False,0.3044351,0.2904374
EDIL3,1.4273261,1.5413709,0.114044785,True,0.36399788,0.32159978
MEF2B,0.32470265,0.43792394,0.11322129,True,0.20306997,0.28431782
RASGRF2,0.75367785,0.86656463,0.11288679,True,0.38033068,0.39293227
HAGHL,1.0353317,1.1473168,0.11198509,True,0.34165308,0.32405218
IFRD1,2.5512347,2.6624737,0.11123896,True,0.24225035,0.23332326
UPP1,1.0359405,1.1464622,0.110521674,True,0.31874496,0.3074418
RAB7A,1.2216727,1.3320262,0.11035359,False,0.2872255,0.2816633
NEU1,0.94207823,1.0521752,0.11009693,False,0.31223214,0.2842973
DPEP3,0.61881423,0.7284369,0.10962266,True,0.33645475,0.38139796
ZNF358,2.1311493,2.2407224,0.109573126,False,0.16794111,0.14789414
DNAJC3,1.5634774,1.4544747,-0.10900271,True,0.29950032,0.3222289
SHMT2,1.9814478,2.090278,0.108830094,True,0.205803,0.19619921
PTAR1,1.9582242,2.0668516,0.10862744,False,0.19871949,0.1998709
CLU,2.868908,2.9773748,0.10846686,True,0.13896124,0.12982732
RELB,0.87575513,0.76731384,-0.10844129,True,0.347691,0.3385192
COL1A1,2.260025,2.1518066,-0.10821843,True,0.40600464,0.3957624
NOVA2,1.3086084,1.2005036,-0.108104825,False,0.3066825,0.30814278
KCMF1,2.5458992,2.6539714,0.10807228,False,0.1105205,0.09364029
HSD17B14,0.3635277,0.47140372,0.10787603,False,0.20773329,0.24177086
RAPGEF1,1.3194768,1.4272807,0.10780382,False,0.28747487,0.2673304
TTL,1.0908146,1.1982034,0.107388854,False,0.30592453,0.28259465
C8orf88,0.92946535,1.0368303,0.10736495,False,0.31409064,0.3053044
HOMER2,1.1476165,1.2545587,0.10694218,False,0.34048393,0.34476864
TSC22D3,0.37244877,0.47882462,0.10637584,True,0.21085794,0.2477417
