gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
IREB2,1.8878413,0.33494785,-1.5528935,False,0.18630604,0.33416152
NISCH,1.40463,0.11317129,-1.2914586,False,0.2674326,0.09116923
NPDC1,1.305256,0.14048873,-1.1647673,True,0.32610822,0.11674537
UPRT,0.8825051,0.12920383,-0.75330126,True,0.32800218,0.1064059
SALL3,2.0745156,1.5817014,-0.49281418,True,0.3285634,0.4305415
CRABP1,2.7936456,2.319559,-0.47408652,True,0.2094519,0.30932185
TNNC1,0.30666253,0.010799834,-0.2958627,False,0.18375656,0.007553769
TFRC,2.9828534,2.7856672,-0.19718623,True,0.15745527,0.22600015
SCGB3A2,2.1600077,2.3335357,0.17352796,True,1.0063828,0.9170164
CKAP5,1.6595386,1.5001217,-0.15941691,False,0.2725834,0.29192442
MT1X,1.2593601,1.3953227,0.1359626,True,0.58770955,0.58247805
SHISA2,1.6919217,1.5569476,-0.13497412,True,0.5537069,0.56260794
STC2,2.132497,2.266775,0.13427782,True,0.37043837,0.34553152
AKAP7,1.5629597,1.6928253,0.12986565,True,0.41213223,0.39433336
PTCH1,0.939191,1.0656425,0.12645149,True,0.40242016,0.38831338
DACT1,0.9510262,1.0764468,0.12542057,True,0.5183046,0.5185843
SPART,1.7157133,1.837713,0.12199974,True,0.31890935,0.30002636
TUBB2A,3.9533803,4.0751433,0.12176299,True,0.1378518,0.14262101
PLAAT3,1.6658874,1.7874671,0.121579766,True,0.36285684,0.33804205
VAMP8,1.6574954,1.7747602,0.11726487,True,0.2691691,0.24113707
SLC7A11,2.2569587,2.3736534,0.11669469,True,0.3321765,0.30994
SFRP1,4.2489777,4.132549,-0.11642885,True,0.12169684,0.1624046
CCDC169,1.0565683,1.1714845,0.114916205,True,0.37135482,0.3460946
ANXA2,2.3120353,2.423107,0.11107159,True,0.22942683,0.20009877
ZIC2,1.9019088,1.7921554,-0.10975337,True,0.40680227,0.43688306
S100A10,3.133715,3.2406778,0.10696292,True,0.22135624,0.20999393
NMU,1.7737356,1.8806254,0.106889725,True,0.3437436,0.28843832
GPC3,1.794429,1.6893439,-0.105085015,True,0.31798097,0.3370936
CHGA,1.5551376,1.4501972,-0.104940414,True,0.55296373,0.5299366
DDIT4,0.8543927,0.9579721,0.1035794,True,0.7079657,0.7056918
GAL,2.7219493,2.8254251,0.10347581,True,0.35849097,0.34647992
ADAMTS16,1.1040889,1.2033528,0.09926391,True,0.375157,0.35492164
CHAC1,0.70487297,0.8036617,0.09878874,True,0.38694882,0.40498644
SLC39A8,1.5447878,1.6422881,0.097500324,True,0.35716635,0.3295675
EGR1,0.81692857,0.9141293,0.09720075,True,0.5892243,0.6301696
SEMA3G,0.15320608,0.05658649,-0.09661959,False,0.10153133,0.038491502
ZIC5,2.8421504,2.746825,-0.09532547,True,0.24881114,0.26561266
BST2,1.1939828,1.0996996,-0.09428322,True,0.5915028,0.5864793
SESN2,1.1401006,1.2343172,0.094216585,True,0.3993862,0.40116674
FST,0.77896905,0.87315625,0.0941872,True,0.37842038,0.38644427
EDIL3,1.4273261,1.5210038,0.09367776,True,0.36399788,0.35368043
PIM1,1.5815667,1.6745374,0.09297073,True,0.35547683,0.3311169
NTS,1.4767022,1.5693964,0.09269416,True,0.7286999,0.724983
HESX1,1.250492,1.3431137,0.092621684,True,0.4382072,0.41177037
CAV1,0.51446736,0.60379076,0.0893234,True,0.30516323,0.33671725
PSAT1,3.8175943,3.9068644,0.089270115,True,0.09711025,0.101381324
TES,1.1183901,1.2073538,0.08896375,True,0.3216687,0.2870355
IFRD1,2.5512347,2.6391969,0.08796215,True,0.24225035,0.21791384
FZD2,0.7157441,0.62786084,-0.087883234,True,0.36336026,0.3394679
TAGLN,2.3409328,2.4283557,0.08742285,True,0.6389723,0.62866855
ANXA3,0.64711624,0.7339654,0.08684915,True,0.37550318,0.41943067
NEFM,1.2480268,1.3348458,0.08681893,True,0.4028053,0.40944552
FOXO4,1.1443002,1.2309828,0.08668256,True,0.36615413,0.33848512
PDPN,2.834985,2.9215217,0.086536646,True,0.1602829,0.15095828
SALL1,1.7900298,1.8764535,0.086423755,True,0.30072147,0.27592236
BBC3,0.86217064,0.94659936,0.08442873,True,0.41324192,0.4479875
NMRK2,1.9979984,2.0823162,0.0843178,True,0.23621987,0.21130115
PHLDA3,0.48402876,0.5682803,0.08425152,True,0.32843012,0.37210098
LOXL1,1.073288,0.98913723,-0.08415073,True,0.37352282,0.36502647
RND3,1.4510654,1.5346085,0.08354306,True,0.5110513,0.4858151
METTL7A,1.1035215,1.186714,0.08319259,True,0.36541176,0.35517845
SERPINB9,1.3378824,1.4206029,0.08272052,True,0.5634636,0.550992
CHD7,2.3055537,2.2230332,-0.082520485,True,0.2723786,0.28648037
AIF1,1.0458375,0.96429163,-0.08154589,True,0.38020986,0.37048683
UCP2,1.7872043,1.7057937,-0.08141053,True,0.28364074,0.2798605
FN1,0.7990986,0.8792742,0.08017558,True,0.3614243,0.37195203
VIM,2.7251427,2.804618,0.079475164,True,0.5895071,0.57157075
RAB17,1.5537531,1.4743322,-0.079420924,True,0.5508224,0.56746924
PDLIM1,2.4891915,2.5684636,0.07927203,True,0.14672922,0.14583784
NODAL,0.39589173,0.47306877,0.07717705,True,0.29222062,0.32998803
NHSL1,1.0050527,1.0819497,0.076897025,False,0.31409183,0.3098053
FZD7,1.6563491,1.7327113,0.07636225,True,0.35724905,0.3474027
DTNA,1.0392054,1.1155502,0.07634473,True,0.44757935,0.47091585
SPP1,0.7460402,0.8215999,0.075559676,True,0.35517648,0.360391
FLNC,0.56720054,0.6418839,0.07468337,True,0.293983,0.30534357
ADAMTS1,0.52104175,0.5956161,0.07457435,True,0.33755106,0.36391842
LMO4,2.52663,2.6002512,0.07362127,True,0.15813813,0.1529941
MAP1B,2.2581487,2.3313425,0.07319379,True,0.20767254,0.18942149
TRIM22,0.6868747,0.7596647,0.07279003,True,0.41427281,0.4557059
MYL9,1.8118736,1.8844893,0.07261574,True,0.4087449,0.40747604
GDF3,0.6978482,0.7700469,0.07219869,True,0.3538861,0.37092796
RFLNB,1.6136794,1.685687,0.07200754,True,0.32008567,0.29488996
CDH2,1.6087554,1.6803924,0.071637034,True,0.33867648,0.33804837
SESN1,1.3295916,1.401208,0.07161641,True,0.42911422,0.43707758
DUSP6,2.2662961,2.195255,-0.07104111,True,0.42365897,0.41997743
RGS5,1.525954,1.4551781,-0.07077587,True,0.48766956,0.49442345
INHBE,0.40389985,0.47458825,0.0706884,True,0.249757,0.2798759
FERMT1,0.7755719,0.84602547,0.070453584,False,0.31227005,0.3151336
PCDHB5,0.9218053,0.9917624,0.06995708,True,0.41279355,0.4153475
TUBB2B,4.722014,4.7917614,0.06974745,False,0.0536124,0.052488256
MME,1.3252288,1.3947964,0.06956756,True,0.34176204,0.3144946
ACOXL,1.4610541,1.392482,-0.068572044,True,0.3608723,0.35997802
WWTR1,0.70012254,0.7684784,0.06835586,False,0.27879485,0.28005797
MPP2,0.9076324,0.8392868,-0.06834561,False,0.30072033,0.30110982
HYKK,0.3365433,0.4044487,0.067905396,False,0.20336337,0.22363143
LMNA,1.6511865,1.719044,0.067857504,True,0.2810789,0.24937497
TFPI2,0.67664933,0.7444674,0.067818046,True,0.33158126,0.35321683
STEAP1,0.78286594,0.8503852,0.06751925,False,0.32031685,0.3147696
TBL2,1.1782382,1.110723,-0.067515135,True,0.34968928,0.34817684
CFLAR,0.40898958,0.34168687,-0.067302704,False,0.22029962,0.1894684
VCAN,3.757114,3.824409,0.067295074,True,0.11480525,0.10563323
IMPA2,2.7035964,2.6363227,-0.06727362,False,0.09885189,0.11126924
NFE2L2,1.7563305,1.8235217,0.06719124,False,0.2560396,0.24692138
JUN,0.6033395,0.6703979,0.067058384,True,0.41915378,0.4580375
HTR1D,0.536856,0.6036748,0.06681883,True,0.32416457,0.34609464
UPP1,1.0359405,1.1026896,0.066749096,True,0.31874496,0.29781356
VGF,0.23315704,0.29976293,0.066605896,True,0.16754194,0.1978175
NPR1,1.1440488,1.0774989,-0.0665499,True,0.33606455,0.34169173
UTRN,1.5240933,1.5902001,0.066106796,True,0.31129065,0.29777265
PRDM14,1.2575728,1.3236631,0.066090345,True,0.37819552,0.37466282
SLC7A5,2.7678742,2.8335955,0.06572127,True,0.20752229,0.1994939
ATP1A2,1.028914,0.963402,-0.065512,True,0.41873628,0.4215358
EMP3,0.8505958,0.91595656,0.065360785,True,0.398057,0.39334324
CDC25B,1.2719848,1.2067202,-0.06526458,False,0.31667966,0.3170013
TEK,1.5910075,1.5259663,-0.065041184,True,0.4462709,0.47700423
MB21D2,1.4214597,1.4864981,0.06503844,False,0.32164162,0.29368144
SERINC5,2.1259036,2.1905448,0.06464124,True,0.20388338,0.19928847
APELA,1.5670142,1.6316121,0.064597845,True,0.4344417,0.45702422
CAPN2,1.0743307,1.0097694,-0.06456125,True,0.3748314,0.36910638
TRIM6,0.8869619,0.9511907,0.06422883,False,0.32275087,0.32736176
LRAT,1.3468386,1.4110371,0.064198494,True,0.5342008,0.51481134
B4GALT4,1.2059312,1.2700635,0.06413233,False,0.31749904,0.3064699
UGT8,1.01279,1.0768896,0.06409967,False,0.3252397,0.31619617
KDR,2.138896,2.2026043,0.063708305,True,0.31552842,0.2831151
GAP43,0.7817635,0.84524626,0.06348276,False,0.32131848,0.3273341
MYO10,2.161845,2.2252715,0.063426495,False,0.18223418,0.15935372
UFM1,2.4190683,2.4814122,0.062343836,True,0.15361544,0.14482687
MTHFD2,2.8751297,2.9372456,0.062115908,True,0.11284972,0.10169309
DNAJA4,0.52847016,0.46638474,-0.06208542,True,0.30991498,0.28456652
ADM,1.0165217,0.95449,-0.062031686,True,0.4694616,0.4542902
OTX2,0.8048261,0.7429997,-0.061826408,True,0.38356015,0.38232952
SEPTIN6,0.7531247,0.8149006,0.061775863,True,0.32920858,0.33683318
JDP2,0.87636673,0.9380126,0.061645865,True,0.35009328,0.3463077
NFIB,0.5159143,0.57755715,0.061642826,True,0.2848534,0.3025698
KLK13,0.69218075,0.6306608,-0.06151998,True,0.33000767,0.31427458
TNFRSF10B,1.6190304,1.6805238,0.061493397,True,0.33569923,0.3263688
LIN7A,0.8565189,0.91734123,0.060822308,True,0.36641464,0.35050628
CRYAB,0.30780682,0.24700189,-0.060804933,True,0.20958586,0.17183965
VEGFA,1.5524551,1.6132329,0.060777783,True,0.3067676,0.2886733
NOCT,2.130501,2.191008,0.06050706,False,0.19467497,0.17537102
ANXA5,3.0877106,3.148148,0.06043744,False,0.083092645,0.078730024
RASGRP2,1.3544939,1.2941884,-0.060305476,True,0.34762353,0.3401301
RNF157,1.0251125,0.96484196,-0.060270548,True,0.374465,0.35503897
NRP1,0.1355928,0.19564907,0.06005627,False,0.093961105,0.12890318
CADPS,0.7426389,0.8026635,0.06002462,True,0.32250172,0.31117713
HOMER2,1.1476165,1.207514,0.059897542,False,0.34048393,0.3273751
CUZD1,0.5141857,0.4543172,-0.059868515,True,0.36897147,0.31906003
WIPF1,0.41892472,0.35969818,-0.059226543,True,0.2575495,0.2169354
SLC43A2,1.0212051,0.9621679,-0.05903715,True,0.34650713,0.33502203
DPF1,0.7351227,0.7941248,0.0590021,False,0.31469518,0.3120881
FAM171B,1.2193865,1.2783638,0.058977365,False,0.3203806,0.30729082
BUB3,2.8335142,2.7746456,-0.058868647,True,0.1778952,0.18091705
CEMIP2,1.6653469,1.724146,0.058799148,True,0.2867359,0.25886613
TPD52,1.0772084,1.1360033,0.058794856,False,0.3085968,0.31029794
MYL12A,2.0136352,2.071988,0.058352947,False,0.17443825,0.1585409
HOMEZ,0.71271443,0.6544143,-0.058300138,True,0.321893,0.30809096
COL1A2,1.968163,2.026294,0.05813098,True,0.27713346,0.24235111
RASAL2,1.2596059,1.3176105,0.058004618,False,0.32119188,0.29099044
ID1,2.082082,2.1397398,0.05765772,True,0.44992384,0.42019182
GYG1,1.0124886,1.070139,0.057650447,False,0.30966702,0.29653984
RRAGD,1.3463784,1.4040202,0.057641745,True,0.3349723,0.32090372
H1F0,0.903924,0.96151286,0.057588875,True,0.8330141,0.79081786
SLC20A2,1.227063,1.2846391,0.05757618,False,0.31152466,0.29648528
CYYR1,1.5787529,1.6363206,0.057567716,False,0.2796482,0.25933444
CCN1,0.98059136,1.0381538,0.05756241,True,0.5011432,0.52423525
PARM1,0.33760738,0.3950172,0.057409823,False,0.19640607,0.21062024
NRXN2,0.68422735,0.62682045,-0.057406902,False,0.3015382,0.2867498
ZNF850,1.7697045,1.82707,0.057365537,True,0.39880446,0.37029222
BLOC1S2,2.034544,2.091877,0.057332993,False,0.21189629,0.20170072
MT-ND6,0.8967327,0.9540567,0.057323992,True,0.68610394,0.71010476
TEX15,0.79539543,0.85271496,0.057319522,False,0.31313172,0.30063304
ACTA1,0.18933524,0.24655704,0.0572218,True,0.14166501,0.17648533
TSHZ3,0.991738,1.0488784,0.05714041,True,0.39489174,0.38370702
FAM102B,1.0067161,1.0637928,0.057076693,True,0.35912716,0.36832857
GRB10,1.5261185,1.5831246,0.05700612,False,0.268858,0.2600148
GALNT3,0.92672193,0.98371804,0.056996107,True,0.34370244,0.3350848
SOCS1,1.8222368,1.8790493,0.056812525,True,0.4042865,0.41411448
CSRP1,0.89926517,0.9559579,0.05669272,True,0.4090476,0.39930448
CRIP2,0.1446861,0.088442974,-0.05624313,False,0.09364041,0.056262214
GPX8,2.5141962,2.5703948,0.056198597,False,0.13879578,0.12469545
HAPLN3,1.6817214,1.6255326,-0.05618882,True,0.28374058,0.30114567
LHFPL6,0.73020524,0.6740188,-0.056186438,True,0.36257234,0.34210125
ITGA5,0.7758877,0.83195305,0.05606532,False,0.31052235,0.31542793
PXN,1.4568461,1.5128537,0.056007624,False,0.2823277,0.27767944
AP1S3,1.3962914,1.4522771,0.05598569,False,0.30767187,0.2750115
HAS2,0.35789979,0.41375577,0.05585599,True,0.24655612,0.26407975
PRKCQ,0.95412415,1.0099341,0.055809915,False,0.33686844,0.3113557
LITAF,2.7599976,2.8157914,0.055793762,True,0.18362416,0.15625617
FGF13,1.6198746,1.6755573,0.05568266,True,0.42301762,0.39352798
RBP1,1.0985924,1.154251,0.05565858,False,0.3256304,0.306995
EXOC2,2.137501,2.1930628,0.05556178,False,0.17210387,0.16038334
NFE2L3,2.370745,2.315243,-0.055501938,True,0.20490403,0.21206498
PRDX6,3.2201664,3.2756243,0.05545783,True,0.105698496,0.10663675
PKDCC,2.017514,1.9621446,-0.055369377,True,0.58726704,0.60712755
CDR2,1.682974,1.7382318,0.055257797,False,0.2757824,0.27464065
TRIML2,1.2181535,1.2733502,0.055196762,True,0.40173906,0.41124278
NEFL,0.6202127,0.6752954,0.05508274,True,0.35230622,0.3674964
CBR3,0.23298708,0.28782648,0.054839402,True,0.16484466,0.20305349
AMOTL1,1.576115,1.6308457,0.054730654,True,0.32757238,0.31931072
NANOG,2.2042422,2.2589593,0.054717064,True,0.2297275,0.20837331
TRAF3IP2,0.7693389,0.8240239,0.054684997,False,0.3114199,0.3137057
TBC1D8B,0.67120296,0.7257398,0.05453682,False,0.28998643,0.2880679
MLLT11,1.5502051,1.6046308,0.054425716,False,0.26560542,0.2567525
ABCA1,0.90441024,0.9587488,0.054338574,True,0.40568152,0.4011652
BAG2,1.6299034,1.6841394,0.054235935,True,0.36802182,0.38241452
CHST9,0.94160825,0.99576753,0.054159284,True,0.35677353,0.35712117
NT5DC2,3.779909,3.7259,-0.05400896,False,0.0566929,0.06065616
CARD11,0.7951784,0.84918535,0.054006934,False,0.3081846,0.31328923
MMP17,0.97544795,0.9215499,-0.053898036,True,0.36952886,0.3632589
MFGE8,3.6756303,3.621757,-0.0538733,True,0.10762995,0.113850944
CCM2L,0.718478,0.664625,-0.053853035,False,0.31191355,0.29543808
PCOLCE,1.3033357,1.2494969,-0.05383873,False,0.30327117,0.30058742
PPP1R1B,0.60710275,0.55334216,-0.05376059,True,0.2975516,0.269068
MT-CO2,1.645371,1.6991202,0.053749204,True,0.917779,0.9420333
CRACR2B,0.65264034,0.59896606,-0.05367428,False,0.30195716,0.2826934
ASXL1,1.246035,1.192391,-0.053643942,False,0.31031168,0.3029215
CIB2,1.4225595,1.368955,-0.053604484,False,0.26373369,0.26542896
CENPB,1.3509817,1.2974247,-0.05355704,False,0.27996525,0.2870288
GNG12,1.2833613,1.3368207,0.053459406,True,0.34909102,0.322247
BTG3,0.9029649,0.9564038,0.053438902,False,0.33080846,0.3134929
RSU1,2.0144114,2.067797,0.053385496,False,0.18246807,0.16251639
TTYH1,1.2124448,1.2655485,0.053103685,False,0.3165686,0.28697786
ALDH3A2,1.9898547,2.042738,0.052883267,False,0.20487462,0.18040858
EDNRB,1.2057792,1.2585725,0.052793264,True,0.57471013,0.5556828
FOS,0.78461546,0.83733195,0.052716494,True,0.56241494,0.5871736
CHPT1,1.6718072,1.7244878,0.05268061,False,0.24885726,0.24282782
MT-ATP6,1.7147563,1.7671056,0.05234933,True,0.97399217,1.005703
GNB4,1.6903179,1.7426449,0.052327037,True,0.2810641,0.2659639
SEMA6A,2.7475765,2.799903,0.05232644,True,0.17924707,0.17813733
