gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
PFDN2,2.2644913,0.80626255,-1.4582288,False,0.14865686,0.47746328
NIT1,1.1558913,0.066462755,-1.0894285,False,0.2913918,0.056502383
TAGLN,2.3409328,3.0214372,0.6805043,True,0.6389723,0.756528
OPN3,0.9301242,1.5141442,0.58401996,True,0.42169705,0.5036296
SLC7A11,2.2569587,1.7415371,-0.5154216,True,0.3321765,0.5893532
H1F0,0.903924,1.3753556,0.4714316,True,0.8330141,1.1712215
POLR2A,1.5230211,1.9791927,0.45617163,False,0.26769033,0.28121364
TTC19,2.1148958,1.659454,-0.45544183,False,0.1598825,0.33398572
ANXA3,0.64711624,1.0764637,0.42934746,True,0.37550318,0.5858069
DPPA4,3.5551229,3.1346297,-0.42049313,False,0.059783284,0.41310045
CBS,3.19395,2.7912443,-0.40270567,False,0.0729397,0.29433978
FLVCR1,2.5166728,2.914989,0.39831614,True,0.17036496,0.2372248
PDLIM7,1.0587308,1.4501368,0.39140594,False,0.31141394,0.39744875
TCF25,1.8957157,1.507712,-0.3880037,False,0.20797895,0.41252914
TSPAN2,1.2806014,1.6671977,0.38659632,True,0.34775546,0.34679195
EIF4A2,3.2214396,2.8438075,-0.37763214,True,0.11395458,0.21737434
MYL9,1.8118736,2.1831934,0.3713199,True,0.4087449,0.43806818
PCK2,2.0146055,1.6436092,-0.37099636,True,0.285465,0.45278573
RMND5B,1.9532028,1.5870637,-0.36613917,False,0.20672037,0.43641588
AHCY,3.112841,2.749672,-0.36316895,False,0.06698418,0.15747364
IMPA2,2.7035964,2.3523328,-0.35126352,False,0.09885189,0.29584333
VIM,2.7251427,2.3875523,-0.33759046,True,0.5895071,0.6417658
INTS3,2.2111483,1.8760362,-0.3351121,False,0.1554425,0.35440913
OARD1,2.2709072,1.9386714,-0.3322358,False,0.16093963,0.3641918
PDE9A,1.1660683,0.83426285,-0.33180547,False,0.31014472,0.4075259
DPPA2,0.9645738,1.2935339,0.32896012,True,0.42964724,0.60030454
CLN6,2.3047924,1.9823195,-0.32247293,False,0.17091921,0.34548187
CXCL5,0.65057814,0.9717271,0.32114893,True,0.36417714,0.599548
