gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
NRAS,2.4716103,0.36227527,-2.109335,False,0.12373613,0.26032418
S100A11,1.5742178,0.78836566,-0.78585213,True,0.29990643,0.3258824
TTPAL,0.72857577,0.04953974,-0.679036,False,0.2923355,0.040504195
ERC1,0.9573885,0.3370979,-0.62029064,False,0.3041305,0.19689132
RHOBTB2,0.4871609,0.11890903,-0.36825186,False,0.24202634,0.079417914
MED14,2.1917925,1.8991184,-0.29267406,False,0.16303709,0.2064935
PHF6,2.1194596,1.8818625,-0.23759711,False,0.1776496,0.27353555
NRDC,2.7953038,2.5609334,-0.23437047,False,0.08224125,0.14775075
MMP17,0.97544795,0.78389233,-0.19155562,True,0.36952886,0.3432646
PEAK1,1.7432139,1.9293822,0.18616831,True,0.2588245,0.22715575
ZIM3,2.5895684,2.4115272,-0.17804122,True,0.29940525,0.32028538
PIEZO2,0.8669901,0.6969916,-0.16999847,True,0.37746185,0.33829176
SS18L2,1.7803069,1.6179945,-0.16231239,False,0.2510314,0.27642873
TAC3,0.37256747,0.2114529,-0.16111457,False,0.20764476,0.13342199
PNPLA6,1.4367032,1.2803789,-0.15632427,False,0.2653451,0.31788644
USP9X,3.4943233,3.3384032,-0.15592003,False,0.073277384,0.07893719
SELENOP,1.0004246,1.108396,0.10797143,True,0.44973302,0.45259702
KLF6,0.86449987,0.96853805,0.10403818,True,0.38496384,0.38289633
VIM,2.7251427,2.826153,0.10101032,True,0.5895071,0.57256997
RFX7,1.1382827,1.0464092,-0.09187341,False,0.28649324,0.30118263
EFEMP2,0.114605136,0.023666145,-0.09093899,False,0.07434696,0.015933506
DHCR24,3.6134932,3.5303314,-0.08316183,True,0.08693754,0.0786107
PLXND1,1.5982894,1.6786277,0.08033836,True,0.2975896,0.25942445
TAGLN,2.3409328,2.4206586,0.07972574,True,0.6389723,0.635311
COL1A2,1.968163,2.0433452,0.0751822,True,0.27713346,0.2555393
MT-CO2,1.645371,1.572288,-0.073082924,True,0.917779,0.9348224
RAB6B,0.7969808,0.7253927,-0.0715881,False,0.3180142,0.30936855
NPTX2,1.078339,1.0070592,-0.071279764,True,0.40481034,0.4014803
ANXA2,2.3120353,2.38325,0.071214676,True,0.22942683,0.21945463
SNW1,1.6246834,1.5538605,-0.070822835,False,0.22545235,0.22577935
CTSV,1.7560787,1.8266656,0.07058692,True,0.27636278,0.2656147
PRKCQ,0.95412415,1.0246819,0.07055777,False,0.33686844,0.3065463
FOS,0.78461546,0.71412855,-0.0704869,True,0.56241494,0.51818675
RHOB,0.45923594,0.5276918,0.068455845,True,0.29124495,0.3278579
NES,3.282194,3.3486676,0.06647372,True,0.11634338,0.12048805
TNFRSF10B,1.6190304,1.5528226,-0.06620777,True,0.33569923,0.38510638
ACOT9,1.790364,1.8565018,0.06613779,False,0.22817005,0.20223118
PHLDB2,1.28991,1.2238162,-0.0660938,True,0.31885606,0.34909624
FOXO4,1.1443002,1.2100005,0.06570029,True,0.36615413,0.3723294
DTNA,1.0392054,1.1044987,0.06529331,True,0.44757935,0.44667596
CERCAM,0.21009396,0.14485243,-0.06524153,True,0.14258139,0.09710829
SLC4A3,0.6400727,0.57521737,-0.06485534,False,0.2909424,0.27811712
FST,0.77896905,0.84364474,0.06467569,True,0.37842038,0.38291186
BIN1,1.6506925,1.5866452,-0.06404722,False,0.2638554,0.29248282
CHRM3,0.30093312,0.2369377,-0.06399542,True,0.19840042,0.16100648
ST6GAL2,0.88659793,0.94985396,0.063256025,True,0.33847812,0.33536094
HSPA2,1.1836619,1.2466351,0.06297314,True,0.39147896,0.40386477
SIKE1,2.043413,1.98048,-0.06293297,False,0.17536089,0.18118113
HTR1D,0.536856,0.5994953,0.062639296,True,0.32416457,0.34935465
WASF3,1.4779911,1.4156414,-0.062349677,False,0.29163635,0.30551487
SORBS2,1.0052477,1.0675653,0.06231761,True,0.43276674,0.41482368
ZNF12,1.2565076,1.3185376,0.062029958,False,0.30206946,0.29148638
SERPINB1,1.2040457,1.2657558,0.06171012,True,0.36252132,0.34562394
TRDN,1.0043794,0.94281834,-0.061561048,True,0.69005215,0.68329406
MT1X,1.2593601,1.1982635,-0.06109655,True,0.58770955,0.5617908
TRBC2,1.4730004,1.533873,0.060872555,True,0.35159406,0.36665136
DCTN2,2.2220159,2.281935,0.05991912,False,0.18006516,0.13752009
MCRS1,2.838244,2.7786324,-0.05961156,False,0.094526775,0.091865286
HTATIP2,1.615142,1.6747352,0.0595932,False,0.26297352,0.23272887
PHF1,1.6563438,1.5967681,-0.059575677,False,0.27209836,0.26519194
C15orf41,0.78019136,0.83876485,0.058573484,False,0.30274528,0.28172386
CDH4,0.8705357,0.81203264,-0.05850303,True,0.35521907,0.3566075
KLF7,0.6318552,0.6903124,0.058457196,False,0.2831424,0.29937044
DNAJA4,0.52847016,0.5866722,0.05820203,True,0.30991498,0.31577063
FXR2,1.1245427,1.0665897,-0.057953,False,0.2993514,0.31284857
DUSP6,2.2662961,2.20907,-0.05722618,True,0.42365897,0.43996733
SALL3,2.0745156,2.1317008,0.057185173,True,0.3285634,0.28439254
COCH,0.64445984,0.7015046,0.057044744,True,0.3147069,0.3212299
ERBB2,3.173677,3.2306054,0.056928396,True,0.1566171,0.14290449
ZNF345,0.7979433,0.85454065,0.056597352,False,0.31948137,0.31232998
ID1,2.082082,2.1386194,0.05653739,True,0.44992384,0.4606467
