gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
NREP,3.7763076,0.7506999,-3.0256076,False,0.046049815,0.3836417
H1F0,0.903924,1.9419273,1.0380033,True,0.8330141,1.5222638
HIST1H1A,1.5684879,0.6559038,-0.91258407,True,1.4661734,0.63178813
SNHG32,1.8507925,0.9479931,-0.9027994,False,0.20800832,0.5766669
CASP8AP2,1.5356228,0.8309651,-0.70465773,False,0.26884958,0.42790794
HIST2H2BE,0.48116452,1.183915,0.7027505,True,0.31795192,0.7980839
DGKK,0.9637905,0.2789675,-0.684823,True,0.4367179,0.17314571
HIST1H3H,0.80666834,1.4478592,0.6411908,True,0.4625127,0.91084886
HIST1H2BH,3.0131607,2.3777344,-0.6354263,True,1.2786521,1.084051
HIST1H1B,4.1244035,3.5834894,-0.54091406,True,1.3478125,1.7861195
HIST1H1D,1.6205581,1.0985149,-0.5220432,True,1.2314817,0.9564964
BST2,1.1939828,1.7021813,0.5081985,True,0.5915028,0.7880073
SERPINB9,1.3378824,1.833957,0.49607456,True,0.5634636,0.82108057
PTMS,3.2163045,2.7478154,-0.46848917,True,0.101907745,0.18516497
LEFTY2,0.27116945,0.736139,0.46496955,True,0.24489297,0.8147374
CXCL5,0.65057814,1.1079862,0.45740807,True,0.36417714,0.6811071
DDX28,1.0312647,0.5942213,-0.43704337,False,0.30910268,0.26889646
ADAMTS1,0.52104175,0.9561475,0.43510574,True,0.33755106,0.50758034
HIST1H2BG,0.4067686,0.8326451,0.42587653,True,0.3005141,0.86183447
NODAL,0.39589173,0.8009336,0.40504187,True,0.29222062,0.5950712
PPP1R17,0.5791453,0.9825525,0.40340722,True,0.36212915,0.53966004
HIST1H4C,1.7816434,1.3884541,-0.3931893,True,0.7703857,0.63227373
RASGRF2,0.75367785,1.1345767,0.38089883,True,0.38033068,0.5658147
LEFTY1,0.40002847,0.760128,0.36009955,True,0.4464706,0.9597318
HIST1H3E,1.0670047,0.70726806,-0.35973662,True,1.0355052,0.8000301
OR2B6,0.038002387,0.39653838,0.358536,True,0.038199984,0.3974417
CAV1,0.51446736,0.8709076,0.35644025,True,0.30516323,0.40094003
APELA,1.5670142,1.9208041,0.35378993,True,0.4344417,0.5022801
GYG1,1.0124886,0.6590638,-0.3534248,False,0.30966702,0.23650338
EGR1,0.81692857,1.167706,0.35077745,True,0.5892243,0.6359046
HIST4H4,0.47665936,0.8258844,0.34922504,True,0.35396287,0.6371035
COL1A1,2.260025,2.5923238,0.33229876,True,0.40600464,0.44866562
NTS,1.4767022,1.8061205,0.3294183,True,0.7286999,0.906077
NETO1,1.0102036,1.3354144,0.3252108,True,0.38053605,0.36422777
SFRP1,4.2489777,3.9293544,-0.31962323,True,0.12169684,0.19157238
SLC39A8,1.5447878,1.8598481,0.31506038,True,0.35716635,0.38228875
SCGB3A2,2.1600077,2.4731786,0.3131709,True,1.0063828,1.095406
HIST3H2A,1.126817,1.4358035,0.30898654,True,0.58922714,0.81032985
ERBB2,3.173677,2.8683302,-0.30534673,True,0.1566171,0.26231435
CERS5,1.5248108,1.226335,-0.29847574,False,0.25697815,0.32225862
CCDC80,0.35170606,0.6378103,0.28610423,True,0.22674982,0.36707705
LRRN4,0.1163386,0.40011415,0.28377554,False,0.082329154,0.28618842
SLC7A7,0.6898392,0.9671802,0.277341,True,0.31845716,0.36396205
SCRN1,1.6150525,1.8922381,0.27718568,True,0.31670198,0.27253866
DDX25,0.7469427,0.4714255,-0.2755172,False,0.31952947,0.24328165
C9orf135,1.0159495,1.2900312,0.2740817,True,0.37919602,0.4447977
DACT1,0.9510262,1.2249849,0.27395868,True,0.5183046,0.55888295
CHD7,2.3055537,2.0320976,-0.2734561,True,0.2723786,0.31111193
MPP1,0.76172626,1.0350444,0.27331817,True,0.33493322,0.42043355
ODC1,2.3060384,2.5787742,0.27273583,True,0.22573909,0.16198348
TRIM22,0.6868747,0.9589636,0.2720889,True,0.41427281,0.5834636
CCN2,1.3984216,1.6691872,0.27076554,True,0.8199761,0.8764479
DPPA2,0.9645738,1.2341893,0.26961547,True,0.42964724,0.37260216
NMU,1.7737356,2.0429406,0.26920497,True,0.3437436,0.35032904
ZIC2,1.9019088,1.6348599,-0.26704884,True,0.40680227,0.54822564
SMARCA2,0.60665643,0.87367964,0.2670232,True,0.29930666,0.37530077
CALB1,0.8725808,1.1394439,0.26686305,True,0.37383825,0.4076399
GPR143,1.1005427,1.3665857,0.26604307,True,0.37836063,0.34120056
NGFR,0.43601242,0.699512,0.2634996,True,0.25325462,0.43521068
HTR7,0.7363093,0.47746414,-0.25884515,True,0.39800823,0.3078616
ALPK3,0.7825444,1.0412365,0.25869215,True,0.34882918,0.4311838
NLGN4X,2.216452,1.9602257,-0.25622618,True,0.23145483,0.3690448
SEMG1,0.26762557,0.5208018,0.2531762,True,0.182794,0.32459873
PPP2R2C,0.49410126,0.74709725,0.252996,True,0.2715815,0.37097308
FGD5,0.6781506,0.9295486,0.25139803,False,0.30346906,0.32012156
RGS5,1.525954,1.776785,0.250831,True,0.48766956,0.4727029
SERPINB1,1.2040457,1.4541574,0.2501117,True,0.36252132,0.2971094
MT-ND4,1.8822018,2.130399,0.2481972,True,0.9863533,1.018004
CHGA,1.5551376,1.8020635,0.24692583,True,0.55296373,0.59155715
AIF1,1.0458375,1.291698,0.24586046,True,0.38020986,0.3791687
CD44,0.4805275,0.7258009,0.24527338,True,0.2666013,0.37772533
ZIC5,2.8421504,2.597733,-0.24441743,True,0.24881114,0.41879416
DPH6,1.9355612,1.6924057,-0.24315548,True,0.28368425,0.37931964
MT-ND3,1.7554234,1.996486,0.24106252,True,0.78610706,0.8027497
PLK2,0.31356177,0.55424386,0.2406821,True,0.21140723,0.42172402
GNA14,0.3345889,0.5750554,0.24046654,True,0.25330648,0.42976835
FGFBP3,1.5303756,1.2906928,-0.2396828,True,0.39057454,0.42610082
PCOLCE,1.3033357,1.541828,0.23849237,False,0.30327117,0.23691492
LYPD1,0.20228441,0.44033226,0.23804785,True,0.13823254,0.26619178
SEPTIN6,0.7531247,0.9910738,0.23794907,True,0.32920858,0.34998557
VIM,2.7251427,2.9628477,0.23770499,True,0.5895071,0.640325
CORO1A,0.69147754,0.9253318,0.23385423,False,0.2985439,0.3462532
RAB17,1.5537531,1.7871659,0.23341274,True,0.5508224,0.5178456
B4GALT6,1.2004873,1.433819,0.2333318,True,0.34877592,0.3263068
SYTL2,0.31432086,0.5470724,0.23275155,True,0.20419154,0.28827167
NEFM,1.2480268,1.4803993,0.2323724,True,0.4028053,0.38948622
PIPOX,1.3608539,1.5928665,0.23201263,True,0.35072494,0.338131
NPTX2,1.078339,1.3102624,0.23192346,True,0.40481034,0.4154193
TUBB2A,3.9533803,4.185137,0.23175645,True,0.1378518,0.15209809
MUC3A,1.0630484,1.2940651,0.23101676,True,0.61409867,0.68707424
ATP6V1D,1.8289254,2.059285,0.23035955,False,0.23536623,0.24555783
MMP24,1.0542948,1.2842772,0.22998238,True,0.3902179,0.43046266
DPP6,0.6640637,0.8933492,0.22928548,True,0.33856788,0.3727928
HIST1H2AG,0.7061559,0.9343186,0.2281627,True,0.42458564,0.49280474
NRK,0.40925148,0.6338745,0.224623,True,0.26865077,0.3494775
NEFL,0.6202127,0.84417766,0.22396499,True,0.35230622,0.4201705
SERPINB6,1.3203832,1.5439298,0.22354662,True,0.34365404,0.37626237
LRIF1,1.4927613,1.7153039,0.22254264,True,0.3942007,0.3766421
EDIL3,1.4273261,1.6490698,0.2217437,True,0.36399788,0.32867822
COX20,1.7023284,1.4809557,-0.22137272,False,0.25975162,0.3488821
EEF1A2,0.775216,0.9960798,0.22086382,True,0.3544652,0.4031858
MSI2,2.2161255,1.9952852,-0.22084033,False,0.18816675,0.2179308
ATF5,0.9149669,1.1337049,0.21873802,True,0.44021747,0.503849
HIST1H1C,3.3517175,3.1332047,-0.21851277,True,1.5421159,1.1334096
LMCD1,0.89934635,1.1175586,0.21821225,True,0.37876225,0.3444657
ATP1A3,1.2437924,1.4615629,0.21777046,False,0.3171183,0.2884355
CRYBB1,0.3652321,0.58273846,0.21750635,True,0.22053923,0.3474562
KRT7,0.60201144,0.8192057,0.21719426,True,0.30552402,0.36668375
PLEKHO1,1.3486669,1.1320719,-0.21659505,False,0.31317365,0.30015686
S100A10,3.133715,3.3502877,0.21657276,True,0.22135624,0.1886634
PTP4A3,0.97682947,1.1918012,0.21497172,True,0.34470144,0.32317027
CA2,0.507611,0.7225419,0.21493095,True,0.27819985,0.29227063
CNMD,2.6173897,2.8321605,0.2147708,True,0.16489005,0.16088794
SRPX,0.5712564,0.7858136,0.21455723,True,0.28653455,0.3132208
CGREF1,0.22136094,0.43555593,0.214195,True,0.14607947,0.33767667
LGALS1,0.5924107,0.80565774,0.21324706,True,0.3181264,0.402895
FABP5,3.421829,3.6347947,0.21296573,True,0.09440392,0.11470833
GRIA4,0.6739651,0.8865922,0.21262711,True,0.3025259,0.29545477
SMCHD1,1.8059626,1.5938454,-0.2121172,False,0.21572112,0.30649748
KCNN1,0.62246734,0.83431953,0.2118522,False,0.2884964,0.31058186
CAPN2,1.0743307,0.8648034,-0.20952731,True,0.3748314,0.38401544
PLAAT5,0.27086484,0.4798826,0.20901775,True,0.18065967,0.29146653
JPH4,1.3973159,1.6060982,0.20878232,True,0.34740102,0.3444215
TAP1,0.6942486,0.90295917,0.20871055,True,0.3381539,0.33629972
SPIB,0.7880941,0.99649286,0.20839876,True,0.35440066,0.5557473
RIPOR1,0.2832713,0.4914273,0.20815599,True,0.18828747,0.27817723
CRACR2B,0.65264034,0.8602816,0.20764124,False,0.30195716,0.35627186
PAQR5,0.8690951,1.0766791,0.20758402,False,0.32535225,0.30490902
TRIML2,1.2181535,1.4256244,0.2074709,True,0.40173906,0.3172572
S100A16,1.7017455,1.9090356,0.20729005,True,0.3093001,0.32001168
CYLD,0.7540478,0.95971686,0.20566905,False,0.3195439,0.2979089
RGS2,0.7280341,0.9332691,0.205235,True,0.3196436,0.34123307
STOM,0.9758953,1.1803427,0.20444739,False,0.33041394,0.29286134
ROR1,2.7892017,2.5860107,-0.20319104,True,0.15447387,0.24711509
ATCAY,1.1623644,1.3653814,0.203017,True,0.36761397,0.37726367
PEG3,0.97456473,1.1773494,0.20278472,True,1.0025717,1.2261256
ST5,1.3015997,1.5037526,0.20215285,False,0.3261342,0.2961832
GPR160,1.4708787,1.6726781,0.2017994,True,0.3379481,0.2799629
CHCHD2,2.9833074,2.7815416,-0.20176578,True,0.3211824,0.4091509
TMEM64,1.3649961,1.566176,0.20117998,True,0.3572356,0.41442955
DPEP3,0.61881423,0.4178684,-0.20094582,True,0.33645475,0.2617054
TIMP4,1.0468571,1.2477081,0.20085096,True,0.40760192,0.3535083
PTPRZ1,2.9145937,2.7138972,-0.20069647,True,0.10655535,0.15882665
EPAS1,0.16524151,0.36564577,0.20040426,False,0.11409247,0.23967743
GAL,2.7219493,2.9222193,0.20026994,True,0.35849097,0.25158176
PTPRG,2.8177745,2.6179938,-0.1997807,True,0.19146599,0.3864867
PPP1R14A,1.132892,1.3325667,0.19967473,False,0.3126488,0.30239308
CREB3L1,0.42744648,0.6267571,0.1993106,False,0.22378021,0.27810124
CABYR,0.44969955,0.64848185,0.1987823,False,0.24269827,0.34189227
HIST1H2AE,0.124752894,0.32337445,0.19862156,False,0.08235557,0.21080756
PRDM14,1.2575728,1.05899,-0.19858277,True,0.37819552,0.4195879
PMEL,1.6445423,1.8418767,0.19733441,True,0.34611374,0.36099088
KIF4A,1.4521613,1.2549534,-0.19720793,False,0.30119637,0.33465838
PCDH18,1.5278986,1.7249923,0.19709373,True,0.4877093,0.5339937
NIPAL1,0.473457,0.67015433,0.19669732,False,0.25642392,0.2976979
PNP,2.0169415,2.2132573,0.19631577,False,0.20760123,0.19790201
SLC2A3,3.2678158,3.0716107,-0.19620514,True,0.18375407,0.22467238
CRABP2,2.2048934,2.4007525,0.1958592,True,0.37365532,0.32643864
