gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
OXA1L,3.0123706,0.6559749,-2.3563957,False,0.07531629,0.4252481
DDIT4,0.8543927,2.6428397,1.7884469,True,0.7079657,0.66615015
ATF5,0.9149669,2.5070302,1.5920634,True,0.44021747,1.0887103
MEF2B,0.32470265,1.8472619,1.5225593,True,0.20306997,0.3400898
TRIB3,0.47223082,1.9212936,1.4490628,True,0.25069413,0.6856913
H1F0,0.903924,2.243886,1.339962,True,0.8330141,1.1033164
CHAC1,0.70487297,2.0203114,1.3154384,True,0.38694882,0.47869956
TAC1,0.20844011,1.478126,1.269686,True,0.14300334,0.72998756
PCK2,2.0146055,3.242249,1.2276435,True,0.285465,0.0832368
ASS1,1.6960539,2.906657,1.2106031,True,0.34041834,0.2012436
INHBE,0.40389985,1.6008898,1.19699,True,0.249757,0.57964325
SESN2,1.1401006,2.3237982,1.1836976,True,0.3993862,0.3380756
STC2,2.132497,3.2586772,1.1261802,True,0.37043837,0.1741613
SLC7A11,2.2569587,3.2861168,1.0291581,True,0.3321765,0.18356928
HMGCS1,3.5301554,2.5715466,-0.95860887,True,0.36374408,0.66833276
G0S2,0.04369306,0.9777198,0.9340267,True,0.031034445,0.44194567
DDIT3,0.14468314,1.0727047,0.92802155,True,0.101755336,0.39668143
IFRD1,2.5512347,3.445851,0.89461637,True,0.24225035,0.13189428
CTH,1.3418531,2.2272477,0.8853946,True,0.32998702,0.21499725
SHMT2,1.9814478,2.852613,0.87116516,True,0.205803,0.11203179
PSAT1,3.8175943,4.65481,0.83721566,True,0.09711025,0.06346928
SDF2L1,1.7957741,0.9596849,-0.8360892,True,0.30096847,0.46146402
SLC34A2,0.35625184,1.1618309,0.80557907,True,0.22300075,0.41776732
PLAAT3,1.6658874,2.4506443,0.7847569,True,0.36285684,0.38590512
ALDH2,0.9392132,1.6979618,0.7587486,False,0.30306822,0.26100737
TSEN15,0.96855,1.7199583,0.7514083,False,0.29410607,0.2419033
RGS16,0.675197,1.4127324,0.73753536,True,0.3482187,0.5637848
AKNA,0.9595727,1.6917307,0.73215806,False,0.30131152,0.51615775
TEK,1.5910075,0.87416226,-0.7168452,True,0.4462709,0.48093888
GPT2,1.7932483,2.5062728,0.7130245,True,0.22261675,0.14608994
WARS,2.3117876,3.020039,0.7082515,True,0.15940808,0.0912565
VEGFA,1.5524551,2.231298,0.6788429,True,0.3067676,0.19055735
