gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
CLDN6,4.432041,1.4818659,-2.9501753,False,0.05121304,1.0012157
OXCT1,1.737409,0.1425851,-1.5948238,False,0.25355458,0.111975126
TNNT1,2.6080759,1.060935,-1.5471408,True,0.15905327,0.9416343
MAP1S,1.9295579,0.45039457,-1.4791634,False,0.1942878,0.40102816
KDELR1,2.4304466,1.0836729,-1.3467737,False,0.11572694,0.9668192
GRIPAP1,1.4412115,0.46331778,-0.9778937,False,0.27884772,0.38710344
ERRFI1,1.6567633,0.76079124,-0.8959721,True,0.39002523,0.5941303
PSMB6,2.5352542,1.7328281,-0.8024261,False,0.106996424,0.4194432
NSMAF,0.99222213,0.22181484,-0.7704073,False,0.30464298,0.1590702
IGLON5,1.3376213,0.58522564,-0.7523957,False,0.2867757,0.40388003
TNNI3,0.83893996,0.101214044,-0.7377259,True,0.34279716,0.08566221
SH2B3,1.1251506,0.39911118,-0.7260394,False,0.30983877,0.26307595
KIF21B,1.1549209,0.45732483,-0.6975961,False,0.31120634,0.28409398
SNX21,0.75058174,0.061503563,-0.68907815,False,0.3013363,0.048521575
NME3,1.5642917,0.87706673,-0.687225,False,0.27257374,0.43465835
ARHGEF5,0.7298634,0.07896919,-0.6508942,False,0.31288746,0.06301511
FCGRT,1.2739527,0.62453127,-0.64942145,False,0.29374266,0.4052775
RFLNB,1.6136794,0.9924243,-0.6212551,True,0.32008567,0.37250495
TROAP,0.9156921,0.3163989,-0.59929323,False,0.32034814,0.23791957
CBLC,0.7308411,0.13941889,-0.5914222,False,0.3029409,0.104867
EPHA2,1.3425428,0.7872606,-0.5552822,True,0.33881438,0.4064618
ALDH16A1,0.91490436,0.36234233,-0.552562,False,0.2960327,0.25475308
BRSK1,1.2094544,0.72167253,-0.48778188,False,0.3253598,0.4490497
CMTM8,0.8466927,0.38216457,-0.4645281,False,0.29600394,0.23522502
DBP,0.79150313,0.341179,-0.45032412,False,0.3244048,0.21367544
ADRA2C,0.56856436,0.12562421,-0.44294015,False,0.27382836,0.0932734
C1orf54,0.9244148,0.48364952,-0.4407653,False,0.32933497,0.28213853
PIH1D1,2.410042,1.9717994,-0.43824267,False,0.13979861,0.40724164
COL1A2,1.968163,2.406098,0.43793488,True,0.27713346,0.33573276
EPS8L1,0.77361894,0.34178135,-0.4318376,False,0.3271284,0.23549722
AIF1,1.0458375,0.6363311,-0.40950644,True,0.38020986,0.33452952
SYNJ2,0.65145844,0.25995994,-0.3914985,False,0.28819528,0.18385555
DDX59,1.1587315,0.7771306,-0.38160086,False,0.31585252,0.3302827
PPP4R4,0.49046975,0.11326197,-0.3772078,False,0.24749707,0.08055355
FUCA1,0.58469933,0.20765926,-0.3770401,False,0.27113208,0.1404406
CRIM1,0.9641018,0.6067047,-0.35739708,False,0.3023081,0.28145316
PAFAH1B1,2.5485337,2.1975765,-0.35095716,False,0.102689855,0.26428613
GRTP1,1.312394,0.96159136,-0.35080266,False,0.2813432,0.3664785
VIM,2.7251427,2.381506,-0.34363675,True,0.5895071,0.70355046
FBXO41,0.7725284,0.43074456,-0.34178385,False,0.29952672,0.2516383
WWP1,1.496298,1.1578077,-0.33849025,False,0.27266687,0.30752438
SIPA1L1,1.6994066,1.3652343,-0.33417237,False,0.21887256,0.29623643
FHOD3,0.540861,0.20673278,-0.33412823,True,0.28442246,0.15612711
BCAM,1.8129354,1.4789281,-0.33400726,False,0.23701796,0.41860178
POMT1,0.36725247,0.038835082,-0.3284174,False,0.19343024,0.025121845
MKS1,0.73453057,0.40769774,-0.32683283,False,0.2851375,0.22694428
PROM1,2.3386636,2.6638246,0.32516098,True,0.22140999,0.20660071
ZFP36L2,1.6867079,1.3669538,-0.319754,True,0.35165137,0.42567402
SLC7A5,2.7678742,2.452088,-0.31578612,True,0.20752229,0.41016623
SORBS2,1.0052477,1.316635,0.3113873,True,0.43276674,0.4831023
GAL,2.7219493,2.4190166,-0.30293274,True,0.35849097,0.4117064
SCGB3A2,2.1600077,1.8594844,-0.30052328,True,1.0063828,1.1386118
MEX3B,0.74400705,1.0390717,0.29506463,True,0.3606949,0.4140154
PIR,1.054318,1.3437874,0.28946948,True,0.3693995,0.4520945
CCN2,1.3984216,1.1093029,-0.28911877,True,0.8199761,0.7591508
RGS5,1.525954,1.2469909,-0.2789631,True,0.48766956,0.55902815
PCDHB16,0.67530996,0.95350885,0.2781989,True,0.40022647,0.4798284
NT5DC2,3.779909,3.50243,-0.27747893,False,0.0566929,0.16881724
ATP1A3,1.2437924,0.97474855,-0.26904386,False,0.3171183,0.35320938
HSD17B14,0.3635277,0.1034174,-0.2601103,False,0.20773329,0.07003848
SLITRK4,0.66702193,0.4132479,-0.25377402,True,0.3169744,0.26794118
NQO1,2.009532,2.2631562,0.2536242,True,0.24418247,0.2815343
PRRC2B,1.5610322,1.3074687,-0.25356352,False,0.232331,0.2840414
