gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
PAGR1,2.4337425,0.59023577,-1.8435068,False,0.14540647,0.33270645
IDO1,1.2041372,0.88679683,-0.31734037,True,0.43108737,0.43294612
COL1A1,2.260025,1.94936,-0.310665,True,0.40600464,0.42813987
GAL,2.7219493,2.4505384,-0.27141094,True,0.35849097,0.37663236
LMO3,1.0553634,1.283701,0.22833753,True,0.47546923,0.5031996
AKAP7,1.5629597,1.3391254,-0.22383428,True,0.41213223,0.39317295
ID2,0.48878717,0.71048903,0.22170186,True,0.3184093,0.44615123
MMP24,1.0542948,0.8426324,-0.21166241,True,0.3902179,0.37370762
CRABP2,2.2048934,1.9988703,-0.2060231,True,0.37365532,0.40901724
VIM,2.7251427,2.5202007,-0.20494199,True,0.5895071,0.5919147
GRPR,0.8029942,0.602589,-0.20040518,True,0.6066761,0.471403
MT1X,1.2593601,1.0593216,-0.20003843,True,0.58770955,0.567532
B2M,1.6160522,1.4186255,-0.19742668,True,0.2681194,0.27771032
OLFML3,1.0210904,0.8328758,-0.1882146,True,0.34903526,0.3350693
PHLDA1,1.0242558,0.8366147,-0.18764102,True,0.4561791,0.4324875
CTSV,1.7560787,1.5706507,-0.18542802,True,0.27636278,0.292784
ENPP1,2.1760325,1.9922655,-0.18376708,True,0.19400986,0.23301171
COL1A2,1.968163,1.7914351,-0.17672789,True,0.27713346,0.31283998
C1S,0.48585182,0.31093046,-0.17492136,False,0.25759572,0.187338
ATP1B2,1.2254541,1.0531259,-0.17232823,True,0.3508382,0.33851832
VASH2,3.0354705,2.8634946,-0.17197585,True,0.14533351,0.16238777
DSEL,1.012653,0.84103346,-0.17161953,True,0.34436905,0.32014066
SALL3,2.0745156,1.9045237,-0.16999185,True,0.3285634,0.3703932
EDNRB,1.2057792,1.0364149,-0.16936433,True,0.57471013,0.6441271
EDIL3,1.4273261,1.258098,-0.16922808,True,0.36399788,0.37995812
LITAF,2.7599976,2.5912452,-0.16875243,True,0.18362416,0.22809002
DUSP6,2.2662961,2.4326634,0.16636729,True,0.42365897,0.3905256
GRIA4,0.6739651,0.84030527,0.16634017,True,0.3025259,0.32001463
