gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
PBX1,2.5235538,0.31592774,-2.207626,False,0.11030254,0.2691199
TGFBR2,0.8510084,0.6850413,-0.1659671,True,0.34648004,0.32360438
TMEM63A,1.2596389,1.0945061,-0.16513276,True,0.43629962,0.42189032
ITGB5,2.7919524,2.630011,-0.16194129,True,0.17067133,0.1898876
PKDCC,2.017514,2.1759264,0.15841246,True,0.58726704,0.5974895
TTC39C,1.9046897,1.7778069,-0.12688279,True,0.34991878,0.34744495
LEFTY1,0.40002847,0.27770418,-0.12232429,True,0.4464706,0.302844
DACT1,0.9510262,0.8291381,-0.1218881,True,0.5183046,0.47263482
FZD5,1.1713068,1.0585653,-0.11274159,True,0.38521338,0.3632339
RASGRF2,0.75367785,0.6431802,-0.11049765,True,0.38033068,0.33575177
FAM126A,2.8053212,2.6974382,-0.10788298,False,0.114520706,0.11750703
COL1A1,2.260025,2.362028,0.10200286,True,0.40600464,0.3720407
CAV1,0.51446736,0.41323447,-0.10123289,True,0.30516323,0.26056713
DGKK,0.9637905,1.0639002,0.100109756,True,0.4367179,0.44365132
S100A11,1.5742178,1.4804746,-0.093743205,True,0.29990643,0.31700012
ID3,1.931087,2.0244718,0.09338474,True,0.3423298,0.29835317
IQSEC2,1.9034958,1.8110616,-0.09243417,True,0.3713815,0.37530124
RABL6,2.5928214,2.5004082,-0.09241319,False,0.13554509,0.13273479
TAGLN,2.3409328,2.248718,-0.09221482,True,0.6389723,0.69172686
ATP1A3,1.2437924,1.1532048,-0.090587616,False,0.3171183,0.31966427
NODAL,0.39589173,0.30668324,-0.08920848,True,0.29222062,0.22713087
ETS1,1.0753208,0.98705083,-0.08827001,True,0.3374279,0.34066945
LEFTY2,0.27116945,0.18368539,-0.08748406,True,0.24489297,0.15543593
MYSM1,2.1659586,2.0793338,-0.08662486,True,0.21082062,0.20266083
MT1X,1.2593601,1.174851,-0.084509134,True,0.58770955,0.54903585
STOX2,0.6511007,0.56691164,-0.08418906,True,0.30187514,0.28471667
HTR7,0.7363093,0.81729835,0.08098906,True,0.39800823,0.42194968
CCDC8,0.8305538,0.74988097,-0.08067286,False,0.31525177,0.31738514
VAT1L,1.7592366,1.8393154,0.08007884,True,0.2837038,0.25221258
ID1,2.082082,2.004161,-0.07792115,True,0.44992384,0.47148088
KNDC1,0.8674455,0.9449777,0.07753217,True,0.3387168,0.35457137
PHLDA1,1.0242558,1.1016015,0.07734573,True,0.4561791,0.4454197
PMAIP1,2.977533,2.9006562,-0.07687688,True,0.21363744,0.2166315
SLC6A15,1.7863109,1.7094857,-0.07682526,True,0.29976016,0.31830972
FAM111B,1.7732221,1.6977526,-0.075469494,True,0.3151348,0.31872386
RNF157,1.0251125,1.100343,0.07523048,True,0.374465,0.3734138
SP2,1.0196371,1.0937628,0.07412565,False,0.3168109,0.31703398
SKIL,3.2403889,3.1662793,-0.074109554,True,0.1171775,0.1246476
PYCR2,1.9976522,1.9245721,-0.07308006,True,0.2240991,0.21629067
GPC4,2.8069289,2.7348812,-0.07204771,True,0.19444703,0.19995187
ADCYAP1R1,0.9360648,1.0072858,0.07122105,False,0.33278164,0.33307266
ETS2,1.4273686,1.356547,-0.07082164,True,0.3230002,0.33115304
PPP1R1B,0.60710275,0.67783177,0.07072902,True,0.2975516,0.3189072
CRABP2,2.2048934,2.275561,0.07066774,True,0.37365532,0.3726894
SCGB3A2,2.1600077,2.0899875,-0.0700202,True,1.0063828,1.0164561
SEMA3A,1.5644501,1.4945358,-0.06991434,True,0.3202596,0.32331464
COL5A2,0.43141592,0.36240718,-0.06900874,True,0.24522719,0.20713532
SFRP1,4.2489777,4.317272,0.068294525,True,0.12169684,0.09855638
OLFML2A,0.9932931,1.0612735,0.06798035,True,0.35974503,0.35782373
