gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
SCD,4.571026,1.5127398,-3.0582862,False,0.08660226,0.6058778
PBX2,2.7142677,0.5215254,-2.1927423,False,0.10316829,0.5371887
FAM136A,3.2199445,1.1016092,-2.1183352,False,0.09306525,0.73737866
PHF10,1.9546223,0.24125656,-1.7133657,True,0.2256846,0.19692157
PAK2,2.1443822,0.5209621,-1.6234201,False,0.16348591,0.45724308
PLD3,3.1075647,1.9850483,-1.1225164,False,0.086251885,0.2247842
FAM122B,1.5829877,0.7100012,-0.8729865,False,0.2790169,0.540744
TTYH1,1.2124448,0.3814891,-0.8309557,False,0.3165686,0.29642832
DDB2,0.83584666,1.3293742,0.49352753,True,0.3656719,0.39950088
EPS8L2,0.89624125,1.344918,0.44867676,True,0.37565914,0.41923034
PHLDA3,0.48402876,0.9289565,0.44492775,True,0.32843012,0.4771209
TEK,1.5910075,1.1480625,-0.442945,True,0.4462709,0.53196627
DERL1,1.6949309,1.3013178,-0.3936131,False,0.22109647,0.39947733
FDXR,1.2778784,1.654964,0.37708557,True,0.37710968,0.38597777
PKDCC,2.017514,1.653803,-0.363711,True,0.58726704,0.65710217
SESN1,1.3295916,1.6899561,0.36036444,True,0.42911422,0.4328499
SEPHS2,1.6044208,1.2537289,-0.3506919,False,0.25820246,0.3597668
ASS1,1.6960539,1.3632919,-0.332762,True,0.34041834,0.39358506
BAX,3.2382326,3.5659618,0.32772923,True,0.12913452,0.11724961
CCN2,1.3984216,1.0768987,-0.32152295,True,0.8199761,0.7718691
MRAP2,0.4792837,0.16093253,-0.31835115,False,0.25475198,0.123418264
RNF157,1.0251125,1.340655,0.31554246,True,0.374465,0.36096016
IGDCC3,1.6520493,1.347462,-0.30458724,True,0.28605288,0.3782535
KNDC1,0.8674455,1.168995,0.3015495,True,0.3387168,0.33729383
SRXN1,0.6633197,0.36543408,-0.29788563,False,0.29013613,0.2102022
BBC3,0.86217064,1.1593295,0.2971589,True,0.41324192,0.4827984
KDR,2.138896,2.433033,0.294137,True,0.31552842,0.2715615
TNFRSF10B,1.6190304,1.9061344,0.287104,True,0.33569923,0.3476002
PROM1,2.3386636,2.6077952,0.26913166,True,0.22140999,0.16842568
SMIM14,1.0882034,1.353951,0.26574755,True,0.34809172,0.33181107
PNRC1,1.5150425,1.7783644,0.26332188,True,0.40612546,0.37059584
ANXA6,2.0094469,1.7485781,-0.2608688,False,0.21376759,0.23925176
AIF1,1.0458375,0.7851458,-0.2606917,True,0.38020986,0.3947268
MCRIP1,1.5275886,1.268501,-0.25908756,False,0.26147345,0.31042278
TRIM22,0.6868747,0.94336873,0.25649405,True,0.41427281,0.46075043
EDIL3,1.4273261,1.6823273,0.2550012,True,0.36399788,0.3265741
TUBB3,1.5669075,1.3167733,-0.25013423,True,0.34727174,0.37431917
NME4,3.317404,3.0699282,-0.24747586,False,0.086582236,0.11133969
PSME1,2.0762339,2.3225381,0.24630427,False,0.21061629,0.17051399
OPN3,0.9301242,1.1706882,0.24056393,True,0.42169705,0.43343374
KATNAL2,0.41280594,0.6520932,0.23928723,True,0.23634708,0.29074097
PMAIP1,2.977533,3.2118506,0.23431754,True,0.21363744,0.2223107
WFDC2,2.037881,2.270887,0.233006,True,0.29843947,0.27751583
CRABP2,2.2048934,1.9751033,-0.22979009,True,0.37365532,0.4261326
PINK1,1.0154759,1.2416453,0.22616947,True,0.34776244,0.39610732
PPM1D,0.28386766,0.057927273,-0.22594038,False,0.16556567,0.041801598
NODAL,0.39589173,0.62170106,0.22580934,True,0.29222062,0.41692483
TMEM63A,1.2596389,1.4837391,0.22410023,True,0.43629962,0.45368126
SOCS2,1.2737695,1.0515549,-0.22221458,True,0.4973071,0.5664078
HOMER3,0.604683,0.82403624,0.21935326,False,0.2673601,0.3205623
HIST1H3H,0.80666834,1.0234734,0.21680504,True,0.4625127,0.52825075
SH3PXD2A,1.163406,1.3800266,0.21662056,True,0.35269663,0.34863108
IQSEC2,1.9034958,1.6895648,-0.21393096,True,0.3713815,0.40143955
GPRIN1,1.1957601,0.98364854,-0.21211159,True,0.3580207,0.39556837
SH3GL3,0.7675091,0.55697817,-0.21053094,False,0.30787173,0.2588735
VIM,2.7251427,2.5184677,-0.20667505,True,0.5895071,0.56629646
NEFM,1.2480268,1.4544597,0.20643282,True,0.4028053,0.40453762
TMEM126A,1.810252,1.6042843,-0.20596766,False,0.2177189,0.2534815
CDKN1A,0.13551252,0.34135887,0.20584635,True,0.1684509,0.404922
P3H2,1.3254241,1.5311537,0.2057296,True,0.46865007,0.46353814
PREP,1.3878376,1.1824199,-0.20541775,False,0.27386084,0.3125784
AMOTL2,1.0679373,0.86286277,-0.20507449,True,0.48965907,0.4772235
GDPD2,1.3856034,1.1815981,-0.20400536,True,0.3390894,0.3651469
TP53INP1,0.43075094,0.63408107,0.20333013,True,0.24165086,0.32944793
CACNG8,0.5332423,0.7361714,0.20292914,True,0.27113855,0.3526911
EXPH5,0.34386984,0.54669356,0.20282373,False,0.20476194,0.2831826
BLOC1S2,2.034544,2.236864,0.2023201,False,0.21189629,0.19050343
GLS2,0.41650555,0.61827,0.20176443,True,0.23923886,0.3235171
POLH,0.4251729,0.62545276,0.20027986,True,0.2642011,0.39924446
TRBC2,1.4730004,1.6717279,0.19872749,True,0.35159406,0.3421406
METTL7A,1.1035215,1.3007601,0.19723868,True,0.36541176,0.37266573
CHD7,2.3055537,2.109584,-0.19596958,True,0.2723786,0.31347215
PMEL,1.6445423,1.4486854,-0.19585693,True,0.34611374,0.3523092
STAMBPL1,0.36897472,0.17374654,-0.19522817,False,0.20395957,0.119349055
CRABP1,2.7936456,2.5995717,-0.19407392,True,0.2094519,0.2475139
DDIT4,0.8543927,1.0478433,0.19345063,True,0.7079657,0.8701431
MEGF10,1.5800037,1.7728982,0.19289446,True,0.31678286,0.28151247
CYFIP2,0.9073323,1.0996304,0.19229805,False,0.29948822,0.26578578
