gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
PLCB3,2.6192396,0.2551958,-2.3640437,False,0.11277881,0.17872788
EGR1,0.81692857,0.46514684,-0.35178173,True,0.5892243,0.38877288
BLVRB,0.47302854,0.2981065,-0.17492205,False,0.23241717,0.1675874
BAHD1,1.3920622,1.2700526,-0.122009635,False,0.2872036,0.27782652
SLC16A3,0.33729532,0.23093556,-0.106359765,True,0.50083923,0.25714272
IGFBP2,3.052772,2.9643292,-0.0884428,True,0.26564616,0.16770454
FAM174B,0.92153734,1.0054429,0.08390552,False,0.3156618,0.2891638
EGLN1,0.67111194,0.5877217,-0.083390236,True,0.47321898,0.34821844
VEGFB,1.0766205,0.99407554,-0.08254492,False,0.3121359,0.3082982
HMOX1,1.7928151,1.8708205,0.07800543,True,0.41226184,0.35449845
P3H2,1.3254241,1.2477503,-0.07767379,True,0.46865007,0.3909357
MACC1,0.9851231,0.9094564,-0.075666726,True,0.3449435,0.3526249
EDNRB,1.2057792,1.1306915,-0.07508767,True,0.57471013,0.46425065
EEF1A2,0.775216,0.84941983,0.07420385,True,0.3544652,0.36300176
ENO2,1.9962083,1.9224302,-0.07377815,True,0.28814286,0.27306998
DDIT4,0.8543927,0.78162,-0.07277268,True,0.7079657,0.550653
BAG2,1.6299034,1.7013518,0.071448326,True,0.36802182,0.34333408
SOCS2,1.2737695,1.3432521,0.069482565,True,0.4973071,0.4654124
KDM3A,1.2256038,1.1563194,-0.06928444,True,0.39881065,0.3408485
RIMKLA,0.80669713,0.73754686,-0.06915027,True,0.41193703,0.34336883
SLC2A1,2.6270552,2.5589218,-0.068133354,True,0.28948045,0.21355166
PPP1R14B,0.9506692,0.8833632,-0.06730604,False,0.3220632,0.30335176
SYNCRIP,0.97218496,1.0388279,0.06664294,False,0.32324076,0.3043097
HIST1H3E,1.0670047,1.002364,-0.06464064,True,1.0355052,0.9698866
AIF1,1.0458375,0.9812415,-0.064596,True,0.38020986,0.38364327
PRKCQ,0.95412415,1.018431,0.064306796,False,0.33686844,0.296657
INSIG2,0.67644906,0.61222124,-0.06422782,True,0.38391432,0.30829343
ACSS2,0.8820951,0.81813824,-0.06395686,True,0.5769565,0.46948826
P4HA1,1.122607,1.0591604,-0.06344664,True,0.42841977,0.3280484
KANK1,1.3618721,1.4245986,0.0627265,False,0.3184775,0.28998813
FXYD6,1.8719592,1.9337304,0.061771154,True,0.2274005,0.21065281
ANGPTL2,0.67919964,0.7407653,0.061565638,True,0.3081285,0.2924791
HSD11B2,1.1231579,1.1845337,0.061375856,True,0.34885588,0.3260403
AKT1,1.3145778,1.3755264,0.06094861,False,0.30405977,0.2799066
HOMER2,1.1476165,1.2081461,0.06052959,False,0.34048393,0.31149936
FAM162A,2.0660477,2.0056355,-0.06041217,True,0.33269483,0.22069947
HELZ,1.3843819,1.3239712,-0.060410738,False,0.27782562,0.27550465
DZIP1,0.9024369,0.96221775,0.059780836,False,0.30703187,0.30898896
FGF11,0.74802005,0.68871045,-0.0593096,True,0.36018485,0.30764255
BNIP3L,2.0316443,1.9723866,-0.059257746,True,0.26489764,0.21772698
TACC1,0.623126,0.6822927,0.05916673,False,0.29108566,0.30008417
AKIP1,1.0997843,1.1589212,0.059136987,False,0.32313743,0.32065794
SLC9A1,1.2229406,1.2815176,0.05857706,False,0.29596692,0.26393962
LSG1,1.6738746,1.7319912,0.058116555,False,0.22972716,0.19040678
MTG1,1.6456228,1.703513,0.057890177,False,0.23455012,0.1901446
STOM,0.9758953,1.0334964,0.057601094,False,0.33041394,0.31983712
SLC2A3,3.2678158,3.210278,-0.057537794,True,0.18375407,0.15922856
FAM155B,1.1238065,1.1813153,0.057508826,False,0.34124756,0.31701803
TNFRSF1A,1.3698115,1.3123243,-0.05748725,False,0.28642443,0.30132988
C4orf47,0.3367006,0.2792796,-0.057421,True,0.279836,0.19854431
SAP30BP,1.9317833,1.9890779,0.057294607,False,0.20180097,0.19648263
SEPTIN8,1.0843236,1.1412671,0.056943417,False,0.31367812,0.2897459
SFXN2,1.3055495,1.362446,0.056896448,False,0.30120552,0.27174148
B4GALNT3,0.4115986,0.46843854,0.056839943,False,0.21520324,0.21713284
C4orf3,2.7872324,2.7305095,-0.05672288,True,0.18067989,0.13100505
ALDOC,1.3403387,1.2836518,-0.05668688,True,0.36460003,0.3062423
MMP17,0.97544795,1.0321296,0.056681693,True,0.36952886,0.3573162
SLC7A2,1.3348604,1.3914127,0.05655229,False,0.31370005,0.2790926
PDK1,1.0046592,0.9482627,-0.056396484,True,0.5207944,0.39273143
LRRC20,1.1330118,1.188708,0.05569613,False,0.33533764,0.31013262
BCL9L,1.7085856,1.7639306,0.05534494,False,0.23735148,0.20438702
IFNAR2,1.0670491,1.1222752,0.055226088,False,0.30273944,0.28667876
ALKBH4,0.8743911,0.92944235,0.055051267,False,0.29221657,0.28074747
IGDCC3,1.6520493,1.7066978,0.05464852,True,0.28605288,0.2664254
TFB2M,1.3117193,1.3662584,0.054539084,False,0.2853862,0.25132757
ITM2A,1.1207896,1.0663369,-0.054452777,True,0.35689592,0.36017373
PLOD2,0.5806796,0.5263376,-0.054341972,True,0.32925913,0.2644495
MT-CO2,1.645371,1.6996506,0.054279685,True,0.917779,0.90744495
CRIM1,0.9641018,0.9099526,-0.05414921,False,0.3023081,0.28922975
SMIM14,1.0882034,1.0342656,-0.053937793,True,0.34809172,0.3276154
ADM,1.0165217,0.9626217,-0.053900003,True,0.4694616,0.4216495
TCAF1,1.3535175,1.299644,-0.05387354,True,0.3327791,0.3249944
AGMAT,0.8326599,0.88649994,0.05384004,False,0.31579345,0.3085253
LPCAT3,1.8129568,1.866656,0.053699136,False,0.2130919,0.1699617
SAP30L,1.4700066,1.5235665,0.0535599,False,0.30388486,0.2741038
KNDC1,0.8674455,0.9209956,0.053550065,True,0.3387168,0.32360882
MT-ND3,1.7554234,1.8089505,0.053527117,True,0.78610706,0.73284024
BHLHE40,0.22696035,0.17344329,-0.05351706,True,0.20705515,0.13497762
CHCHD2,2.9833074,2.9299455,-0.053361893,True,0.3211824,0.4086684
PNRC1,1.5150425,1.461684,-0.053358555,True,0.40612546,0.36132875
ONECUT1,0.3141357,0.2608491,-0.053286612,True,0.27016422,0.19188477
SH3BP1,1.1939839,1.1407028,-0.05328107,False,0.2991751,0.32242298
ZNF71,1.0492276,1.1022061,0.052978516,False,0.3366991,0.3083662
KRT7,0.60201144,0.6549155,0.05290407,True,0.30552402,0.31422248
ZNF708,1.6062326,1.6591307,0.05289805,False,0.24844074,0.20340009
PKNOX1,1.2351575,1.2878321,0.05267465,True,0.44735566,0.43478674
