gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
PMEL,1.6445423,0.1510838,-1.4934585,True,0.34611374,0.108870484
CDK2,1.2521251,0.24895021,-1.0031749,False,0.29507565,0.2306965
ZIC2,1.9019088,1.6185967,-0.28331208,True,0.40680227,0.49866113
HIST3H2A,1.126817,0.857519,-0.26929802,True,0.58922714,0.53885263
CCNE1,1.5663189,1.8210583,0.2547394,True,0.32774282,0.26421428
DUSP6,2.2662961,2.0287244,-0.23757172,True,0.42365897,0.53956836
GAL,2.7219493,2.9589696,0.23702025,True,0.35849097,0.35521182
SFRP1,4.2489777,4.017408,-0.23156977,True,0.12169684,0.15866998
WFDC2,2.037881,2.268943,0.23106217,True,0.29843947,0.22815113
COCH,0.64445984,0.86729115,0.22283131,True,0.3147069,0.34773573
CCND1,1.0390285,1.2505971,0.2115686,True,0.3845656,0.3782875
HIST1H1C,3.3517175,3.1441922,-0.20752525,True,1.5421159,1.633789
COL1A1,2.260025,2.46033,0.20030499,True,0.40600464,0.4011515
COL14A1,0.7640289,0.95945287,0.19542396,True,0.33475843,0.37180153
CHD7,2.3055537,2.1104414,-0.19511223,True,0.2723786,0.3135271
HIST1H1B,4.1244035,3.9303164,-0.19408703,True,1.3478125,1.4373915
ZIC5,2.8421504,2.6486316,-0.19351888,True,0.24881114,0.32880443
H2AFY2,1.102345,0.90950805,-0.19283694,True,0.47343355,0.46087402
E2F1,1.7510602,1.9436816,0.19262135,True,0.41163707,0.3044352
MT1X,1.2593601,1.4481639,0.18880379,True,0.58770955,0.60672843
GPC4,2.8069289,2.622707,-0.18422198,True,0.19444703,0.20585944
STXBP6,1.1174883,1.3016174,0.18412912,True,0.3900172,0.36351258
BRIP1,1.2951565,1.4786142,0.18345773,False,0.30548394,0.24573088
STMN3,1.6276441,1.8062861,0.17864203,False,0.26238313,0.23398097
TRIM22,0.6868747,0.8652786,0.17840391,True,0.41427281,0.4845975
GSTK1,1.1932805,1.3696395,0.17635906,False,0.30570027,0.29380822
HIST1H1D,1.6205581,1.4461452,-0.17441297,True,1.2314817,1.2591578
NMU,1.7737356,1.9469737,0.17323804,True,0.3437436,0.23690468
DUT,2.3951612,2.5676253,0.17246413,False,0.16279976,0.11355539
TFPI2,0.67664933,0.84838855,0.17173922,True,0.33158126,0.38518658
TYMS,2.7641926,2.9347863,0.17059374,True,0.13533644,0.11619082
SMARCA2,0.60665643,0.7746031,0.1679467,True,0.29930666,0.3444984
FST,0.77896905,0.9467405,0.16777146,True,0.37842038,0.41897824
DACT1,0.9510262,1.1187384,0.16771221,True,0.5183046,0.5717516
MCM6,3.0995917,3.2643657,0.16477394,True,0.14134486,0.10072789
HIST1H3H,0.80666834,0.6420454,-0.16462296,True,0.4625127,0.37617978
MANEAL,0.36663386,0.5301385,0.16350463,True,0.2228116,0.30088863
WDR76,1.4197162,1.5816872,0.16197097,True,0.38080722,0.39044964
PPP1R17,0.5791453,0.7401102,0.1609649,True,0.36212915,0.41833523
COL9A3,0.48676082,0.6471126,0.16035178,False,0.25346333,0.2955081
H1F0,0.903924,0.7454507,-0.15847331,True,0.8330141,0.7695034
H2AFJ,2.0699096,1.9138339,-0.15607572,True,0.22787869,0.31413028
