gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
ORMDL1,2.2215707,0.32708022,-1.8944905,False,0.14998835,0.26292363
PMS1,1.6326768,0.12909143,-1.5035855,False,0.2501807,0.1090557
OSGEPL1,0.6278422,0.48450804,-0.14333415,False,0.29612136,0.2702827
CD40,0.7821743,0.70559555,-0.07657874,False,0.30253193,0.30316544
H2AFY2,1.102345,1.0428811,-0.05946386,True,0.47343355,0.46845415
POLR3G,2.6291654,2.6870239,0.057858467,True,0.22044568,0.13735323
TSPAN12,0.8166835,0.87441564,0.057732165,False,0.31432357,0.2988784
POGLUT1,1.1525059,1.2100083,0.05750239,False,0.33161116,0.31430623
DTWD1,1.160837,1.103857,-0.056980014,False,0.28732613,0.31307745
SHMT1,1.2798325,1.3346758,0.054843307,False,0.2803571,0.25783622
CUZD1,0.5141857,0.5687764,0.054590702,True,0.36897147,0.39778858
HEBP1,1.3122481,1.3665142,0.054266095,False,0.2821424,0.25966638
PCYT1A,1.235276,1.2887588,0.05348277,False,0.29995736,0.28348738
KIAA2026,0.9123533,0.86013037,-0.052222908,False,0.31595358,0.3200476
PLXNB2,1.8413848,1.8932307,0.05184591,False,0.21979767,0.20197026
DOCK5,1.024387,0.972617,-0.05177003,False,0.32578328,0.33253577
KIF3B,0.95829326,1.0097941,0.051500857,False,0.29569182,0.26910365
RASGRP2,1.3544939,1.4059849,0.051491022,True,0.34762353,0.33409223
LYN,1.7742544,1.8252755,0.0510211,True,0.26099896,0.24743965
GSR,1.9521531,1.9013015,-0.050851583,False,0.17574266,0.20953909
CNOT8,2.003984,1.9532269,-0.05075705,False,0.17794088,0.19508463
OPN3,0.9301242,0.98069876,0.05057454,True,0.42169705,0.43768978
ASNSD1,2.1054149,2.0555196,-0.049895287,False,0.18604833,0.19356978
C1RL,0.38216293,0.43065766,0.048494726,False,0.20786326,0.22229995
PSMB10,0.4224593,0.3749515,-0.047507793,False,0.21918109,0.20540313
DDIT4,0.8543927,0.8071022,-0.047290504,True,0.7079657,0.70015264
ATF7,0.9401501,0.89294523,-0.047204852,False,0.3172746,0.34210366
ATP1A2,1.028914,1.0760907,0.04717672,True,0.41873628,0.41870138
APBA2,0.8478446,0.80088234,-0.04696226,False,0.3171462,0.31085932
SMG6,0.76605356,0.8127892,0.046735644,False,0.28506753,0.28683808
C9orf85,0.95894074,1.0056373,0.046696544,False,0.30082473,0.30315644
HTR7,0.7363093,0.78300536,0.046696067,True,0.39800823,0.41347313
MOSPD2,0.8389624,0.88558906,0.046626687,False,0.30326825,0.31405047
MAP3K1,0.9728966,1.0194831,0.046586514,False,0.3217654,0.31970876
COL1A1,2.260025,2.3064063,0.046381235,True,0.40600464,0.38354054
FUT9,0.5635376,0.6098472,0.04630959,False,0.26236555,0.25691527
TMEM246,0.76415724,0.71788615,-0.046271086,False,0.29071954,0.3028005
ZDHHC8,1.2438686,1.2901039,0.046235323,False,0.30805987,0.30082676
HERPUD2,0.9954497,0.9496585,-0.04579121,False,0.30270088,0.2984607
LMO3,1.0553634,1.0096434,-0.04571998,True,0.47546923,0.48841515
ITGA2,0.632681,0.67831236,0.04563135,True,0.30243352,0.30843404
TSPAN7,0.6283805,0.5828581,-0.04552239,False,0.28860208,0.28176922
RARG,1.1571162,1.202266,0.045149803,False,0.3196179,0.31507185
JAKMIP2,1.282878,1.2378249,-0.045053124,True,0.41678047,0.42650503
FGFBP3,1.5303756,1.5753313,0.04495573,True,0.39057454,0.3805472
TSC1,1.1465892,1.1915191,0.04492998,False,0.2898748,0.28697515
ST3GAL4,0.9463139,0.9911906,0.044876695,False,0.31389982,0.3167644
MGAT5,1.2761018,1.3209039,0.04480207,False,0.2973146,0.28395057
PTGR1,1.3399467,1.295369,-0.044577718,False,0.30611917,0.3114544
PPIL3,1.3255688,1.3700912,0.044522405,False,0.27531564,0.25939387
CAPN6,0.57471156,0.53024787,-0.044463694,True,0.33502746,0.32589468
VAV3,0.5266178,0.48224935,-0.044368476,False,0.2719143,0.26476213
RIMKLA,0.80669713,0.7624881,-0.044209003,True,0.41193703,0.38969508
SERPINB9,1.3378824,1.3819087,0.044026256,True,0.5634636,0.5501869
DCAF4,0.62019885,0.5762043,-0.043994546,False,0.27400225,0.26995838
RAB11B,0.8785766,0.83464915,-0.04392743,False,0.30228782,0.29679766
SLC20A2,1.227063,1.1831373,-0.043925643,False,0.31152466,0.32442242
ZBTB10,1.0915735,1.1354877,0.0439142,True,0.37222257,0.36110938
ADCY2,1.7650582,1.8089718,0.043913603,True,0.41020232,0.37318355
DLD,1.2277685,1.18389,-0.043878555,False,0.28207994,0.31218457
PARD6A,0.6561702,0.6123095,-0.043860674,False,0.28827307,0.2793888
IGSF21,1.3237398,1.2798998,-0.04383993,True,0.34861705,0.35388178
TM4SF18,0.44839343,0.49216625,0.043772817,True,0.26477042,0.2769473
COL6A1,2.216633,2.2603624,0.043729305,True,0.22963761,0.24071339
AFTPH,0.94907635,0.992773,0.043696642,False,0.31007072,0.29604644
ZNF610,0.6441191,0.6004293,-0.043689787,True,0.32107654,0.3137246
C6orf136,1.0357054,1.0793234,0.043617964,False,0.31101286,0.3049878
RXYLT1,0.75570446,0.71208745,-0.04361701,False,0.31146878,0.3009233
MID1,1.9302942,1.8868952,-0.043398976,True,0.23005864,0.23382823
KLKB1,0.7210759,0.76445425,0.043378353,True,0.37482473,0.36854607
NEK6,1.0116519,0.96828884,-0.043363035,False,0.31669596,0.33223906
CPS1,0.62011623,0.576864,-0.04325223,True,0.31480277,0.31857485
ALG13,1.6410288,1.5980023,-0.043026447,False,0.25510263,0.27570802
TMEM168,0.87753326,0.92053956,0.0430063,False,0.3129681,0.30688906
ISG20L2,0.98808026,0.9450905,-0.04298979,False,0.30724242,0.3247145
ACP6,0.6663409,0.6236083,-0.042732596,False,0.28438348,0.2752726
EFR3B,0.64780974,0.6051957,-0.042614043,False,0.28771937,0.2732299
CLCN7,1.6517831,1.6943848,0.042601705,False,0.25362128,0.24746357
SRSF5,1.0366774,0.99412435,-0.042553008,False,0.30607852,0.318917
ARHGAP8,1.2890826,1.2465724,-0.04251027,False,0.28943866,0.296093
RACK1,1.1560478,1.113584,-0.04246378,False,0.29113504,0.30404237
MUC3A,1.0630484,1.1054616,0.042413235,True,0.61409867,0.60418564
NEFM,1.2480268,1.2904358,0.042408943,True,0.4028053,0.37640768
SLC35E3,0.634806,0.67716736,0.04236138,False,0.27404234,0.2938114
IFI27L1,0.76160866,0.71936834,-0.04224032,False,0.28251913,0.28516847
DRAM1,0.2222708,0.26438114,0.04211034,True,0.14334902,0.18083055
LMCD1,0.89934635,0.85750204,-0.04184431,True,0.37876225,0.39574787
HIST1H3E,1.0670047,1.0251976,-0.041807055,True,1.0355052,0.9809959
ADM,1.0165217,0.9747554,-0.041766286,True,0.4694616,0.4924453
ZNRF2,1.8164893,1.8582506,0.04176128,False,0.20402348,0.21092165
ANKRD26,0.94593763,0.9876808,0.04174316,False,0.31964,0.31658757
CCDC106,0.49324042,0.53485364,0.04161322,False,0.23726021,0.24972343
ZNF182,0.63997275,0.6815634,0.04159063,False,0.28004327,0.28021795
TMEM116,0.7346588,0.6931337,-0.041525066,False,0.31883037,0.3215263
SCGB3A2,2.1600077,2.1185408,-0.04146695,True,1.0063828,1.0529058
ENTPD7,1.3524727,1.3938806,0.041407943,False,0.30454823,0.2860137
SPATS2,1.5611767,1.5197709,-0.041405797,False,0.27314207,0.29884952
SHISA9,0.5805275,0.53918356,-0.041343927,False,0.277544,0.26401165
SOX13,1.1342714,1.175376,0.041104674,False,0.29128453,0.29026243
ZSCAN12,0.7052585,0.74635404,0.041095555,False,0.27716225,0.26748797
MBD3,1.2621562,1.3032364,0.041080117,False,0.27859798,0.2574314
MTERF4,1.1541085,1.1951338,0.04102528,False,0.29268587,0.29271793
POGLUT3,0.56535035,0.6063588,0.041008472,False,0.25803107,0.26445472
GFOD2,0.9176637,0.95866674,0.04100305,False,0.29661813,0.28178045
ARMC6,1.9410954,1.9820355,0.040940166,False,0.20329636,0.18346524
PGM2,1.5049492,1.5458845,0.040935278,False,0.2652297,0.23016812
SFMBT2,0.651685,0.6924356,0.040750623,True,0.3088758,0.31281358
SLC12A4,1.1378051,1.178545,0.040739894,True,0.37062162,0.34578764
FAM229B,1.0729162,1.0323954,-0.040520787,True,0.34792542,0.383977
PEX13,1.7437878,1.7843028,0.040515065,False,0.21657783,0.21466307
CLCC1,0.93273693,0.9732263,0.040489376,False,0.30052647,0.30943578
TDRD3,0.51266015,0.5530793,0.04041916,False,0.24632971,0.25241694
MAD1L1,0.68520063,0.64478844,-0.040412188,False,0.28423944,0.27800485
RCAN2,0.862285,0.82190484,-0.04038018,True,0.36589646,0.36357886
STC1,1.3884113,1.4287549,0.040343642,True,0.51668775,0.53465664
HABP4,0.7691681,0.8093312,0.0401631,False,0.309462,0.2994431
PDS5B,1.726185,1.7662424,0.04005742,False,0.2162194,0.18934523
OCRL,1.0960608,1.0560849,-0.03997588,False,0.29750362,0.30709246
TAF2,1.2972918,1.2573379,-0.039953828,False,0.2750682,0.28758022
RIOK3,1.5246277,1.4847499,-0.039877772,True,0.29421642,0.28703287
GYPC,0.8675986,0.82772964,-0.03986895,False,0.31878453,0.3249701
THBS2,0.89915407,0.93900955,0.03985548,True,0.3751289,0.37363154
COL6A2,2.213915,2.2537394,0.039824247,True,0.24217908,0.23827276
ASCC2,1.075943,1.1156577,0.039714694,False,0.28391632,0.28084323
