gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
POLB,1.7749487,0.13919884,-1.6357498,False,0.2180185,0.12196335
CD151,1.1997706,0.20304526,-0.9967253,False,0.3059987,0.15262872
SPIN4,1.0556155,0.28910574,-0.7665098,False,0.31082213,0.20010631
CRACR2B,0.65264034,0.41397226,-0.23866808,False,0.30195716,0.22076441
TLCD3B,1.3505579,1.575784,0.22522604,False,0.30429724,0.26694477
CRABP1,2.7936456,2.9298236,0.13617802,True,0.2094519,0.19437674
SH3GL3,0.7675091,0.6519423,-0.11556679,False,0.30787173,0.28920266
SELENOP,1.0004246,1.1091088,0.10868418,True,0.44973302,0.46313372
CPE,0.73822266,0.8425817,0.10435903,True,0.31794643,0.3222711
CDH2,1.6087554,1.5056498,-0.103105545,True,0.33867648,0.3599886
RASGRF2,0.75367785,0.85338044,0.0997026,True,0.38033068,0.39345798
TNIK,1.8986627,1.7993827,-0.09928,True,0.25794908,0.2779483
KLHL4,0.7873935,0.8827741,0.095380604,True,0.36787513,0.36981833
VIM,2.7251427,2.6323426,-0.09280014,True,0.5895071,0.58432597
BST2,1.1939828,1.1026422,-0.09134066,True,0.5915028,0.5540663
HTR7,0.7363093,0.64509416,-0.09121513,True,0.39800823,0.36227188
SCRN1,1.6150525,1.7046669,0.08961439,True,0.31670198,0.28024113
MDFI,1.2076058,1.1180859,-0.08951998,True,0.35286814,0.34840092
PRDM14,1.2575728,1.345502,0.08792925,True,0.37819552,0.39634538
COL6A1,2.216633,2.3043952,0.08776212,True,0.22963761,0.21433787
FOXP4,1.0239264,0.93625134,-0.087675035,True,0.34288076,0.35347363
H2AFY2,1.102345,1.189635,0.08729005,True,0.47343355,0.45998257
DUSP6,2.2662961,2.181991,-0.08430505,True,0.42365897,0.43314317
ID1,2.082082,2.16511,0.08302808,True,0.44992384,0.40143794
ST6GAL2,0.88659793,0.96879554,0.08219761,True,0.33847812,0.34683347
FHL2,1.550863,1.6327331,0.08187008,True,0.32070586,0.29902273
HIST3H2A,1.126817,1.0460956,-0.08072138,True,0.58922714,0.5862907
