gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
PRCP,1.8080764,0.17013463,-1.6379417,False,0.2036789,0.13201873
DDIAS,1.5109471,0.13631116,-1.3746359,False,0.26033556,0.11723311
ERBB2,3.173677,2.7637696,-0.40990734,True,0.1566171,0.6722776
B3GALT5,1.4899355,1.1413969,-0.34853864,True,0.37851307,0.46355674
CBLC,0.7308411,0.38426685,-0.34657425,False,0.3029409,0.24748176
FAM131B,0.9726901,0.66457796,-0.30811214,False,0.31790206,0.3209023
MIEN1,0.6635086,0.904372,0.24086338,False,0.29026398,0.38223404
HGH1,1.1930327,0.9941008,-0.19893193,False,0.29714644,0.32044256
NKAIN1,1.7626178,1.5807064,-0.18191147,False,0.22594118,0.27058226
EFNB3,0.6276308,0.5049008,-0.12272996,False,0.27020153,0.24284811
EMB,1.6617284,1.5492064,-0.112522006,False,0.24424839,0.28213906
BCAM,1.8129354,1.9242951,0.111359715,False,0.23701796,0.21665865
DHRSX,1.6098031,1.5075436,-0.10225952,False,0.25161958,0.26805043
CHGA,1.5551376,1.6517355,0.09659791,True,0.55296373,0.56751233
PCP4,0.34706748,0.25807863,-0.08898884,True,0.218251,0.17414698
GRB7,0.7517684,0.84014493,0.08837652,False,0.29306486,0.30196938
PGBD5,1.1299384,1.0442103,-0.08572805,False,0.3085357,0.31633413
TOMM40L,1.1931424,1.1187457,-0.07439673,False,0.3228098,0.31582987
INF2,2.0923479,2.0211976,-0.0711503,False,0.19513084,0.20996734
CCDC141,0.8916808,0.82056844,-0.071112335,True,0.44828832,0.43478972
POLR3G,2.6291654,2.6999238,0.07075834,True,0.22044568,0.14167973
PCLO,0.47458038,0.4090741,-0.06550628,True,0.25962487,0.2361781
MXRA8,0.4464411,0.38146177,-0.064979345,True,0.24973974,0.2227319
MT1X,1.2593601,1.1968536,-0.06250644,True,0.58770955,0.5880471
PPP1R1B,0.60710275,0.66586435,0.058761597,True,0.2975516,0.3161095
BMP2,0.17782049,0.12076463,-0.05705586,False,0.1210629,0.08450372
SH3BGR,0.34612754,0.29073724,-0.0553903,False,0.20173825,0.17468761
TTC39C,1.9046897,1.8504243,-0.05426538,True,0.34991878,0.36257926
ZIC2,1.9019088,1.9554816,0.053572893,True,0.40680227,0.38009936
RASGRF2,0.75367785,0.70248246,-0.051195383,True,0.38033068,0.35162437
DUSP6,2.2662961,2.3171573,0.05086112,True,0.42365897,0.39257997
GAL,2.7219493,2.6715772,-0.050372124,True,0.35849097,0.36226258
HAP1,0.14393128,0.09583324,-0.048098043,False,0.09378599,0.06547744
CRABP1,2.7936456,2.8414652,0.047819614,True,0.2094519,0.2171562
ATF7IP2,0.87700206,0.9243,0.047297955,True,0.35566664,0.36587557
PARP8,1.0678738,1.0207626,-0.047111273,False,0.30425638,0.30744708
IGSF5,0.12435836,0.07763644,-0.04672192,False,0.07986782,0.053480845
JUP,2.387801,2.3411152,-0.046685696,False,0.14977698,0.15310456
CUZD1,0.5141857,0.5598622,0.04567647,True,0.36897147,0.3980113
RAB17,1.5537531,1.5081251,-0.04562807,True,0.5508224,0.5643623
MATK,1.154767,1.1094679,-0.045299172,True,0.33695495,0.35388646
P3H4,1.3116661,1.2664126,-0.045253515,False,0.29340973,0.29701605
CHST11,0.89698577,0.8517427,-0.045243084,False,0.31152764,0.31740126
TSPOAP1,0.2839159,0.23874444,-0.04517147,False,0.17106313,0.15021676
SERPINB9,1.3378824,1.2932162,-0.04466617,True,0.5634636,0.5494819
FNBP1,1.184844,1.140201,-0.044643044,False,0.29502714,0.29526803
BTBD17,1.1946275,1.2388403,0.04421282,True,0.37292463,0.36003202
ZIC5,2.8421504,2.8856666,0.04351616,True,0.24881114,0.24464737
BTBD8,0.32501653,0.28160498,-0.043411553,False,0.19785136,0.17843042
ACADVL,1.9437743,1.9005735,-0.04320085,False,0.20790525,0.20971918
AXL,1.3737823,1.3305894,-0.043192863,False,0.2870026,0.28439206
DVL3,1.5414385,1.4982659,-0.043172598,False,0.24759732,0.24889277
SHISA2,1.6919217,1.7349372,0.04301548,True,0.5537069,0.54585236
PTN,1.3494028,1.392335,0.042932272,True,0.30755064,0.28683582
KLHL4,0.7873935,0.8300852,0.042691708,True,0.36787513,0.37548664
APELA,1.5670142,1.5244951,-0.042519093,True,0.4344417,0.43809256
IL23A,0.13744977,0.09507631,-0.042373464,False,0.09399337,0.06595729
TTN,0.53751266,0.4953026,-0.042210072,True,0.3516583,0.33002988
ACBD6,2.6489513,2.6072247,-0.04172659,False,0.10933191,0.112640314
MAPK12,0.6433822,0.6019645,-0.041417718,False,0.28118566,0.270951
PCDH18,1.5278986,1.4875928,-0.040305734,True,0.4877093,0.49818194
SYDE2,0.66566396,0.62541646,-0.0402475,False,0.28091404,0.267183
COBL,1.1189342,1.0798415,-0.03909266,True,0.3521923,0.3479014
IRF2BP1,0.8474194,0.80897117,-0.038448215,False,0.2933449,0.28611365
LRRC8A,3.0568018,3.094953,0.038151264,True,0.14700773,0.13668536
MGMT,0.9403865,0.9782507,0.03786421,False,0.3362521,0.33863822
DACT1,0.9510262,0.9135248,-0.037501395,True,0.5183046,0.5086993
FKBP8,0.4278765,0.39053681,-0.037339687,False,0.215497,0.20307969
LAMA5,1.680716,1.6434536,-0.03726244,True,0.28396544,0.2854949
IGDCC4,0.7147406,0.7518031,0.037062526,True,0.32819542,0.32909662
FGF13,1.6198746,1.5828404,-0.037034154,True,0.42301762,0.4308695
SELENOI,2.037812,2.0008597,-0.036952257,False,0.18134564,0.18566902
FGFBP3,1.5303756,1.5672911,0.03691554,True,0.39057454,0.38128072
LAMB1,1.1267743,1.0898858,-0.03688848,True,0.34430408,0.35582718
