gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
EFNB1,0.55589575,3.3522,2.7963042,True,0.30427697,0.19360101
PRTG,0.24905461,2.6461098,2.3970551,True,0.16123486,0.43205938
H2AFY2,1.102345,3.4823194,2.3799744,True,0.47343355,0.101828314
GAL,2.7219493,0.50147885,-2.2204704,True,0.35849097,0.3720894
ESRP1,2.639015,0.558505,-2.08051,False,0.09906599,0.46008828
CDH1,3.012517,0.9343181,-2.078199,True,0.116549484,0.58655584
MAL2,3.0723975,1.0799462,-1.9924513,False,0.096674755,0.4814031
USP3,0.49491745,2.367421,1.8725035,True,0.2896442,0.18289472
PHC2,0.3345986,2.1727045,1.8381059,True,0.20299976,0.25931576
SCGB3A2,2.1600077,0.3556087,-1.804399,True,1.0063828,0.30018383
VIM,2.7251427,4.5112805,1.7861378,True,0.5895071,0.19910514
CDH3,2.3827095,0.6730226,-1.7096869,False,0.15299307,0.46726254
SCD5,0.048473746,1.74115,1.6926763,True,0.03380374,0.36806723
ZNF516,0.41618332,2.0998154,1.683632,True,0.26902473,0.309183
SPINT1,2.425,0.75364697,-1.671353,False,0.12740193,0.47593153
DMRT1,0.009725534,1.6194034,1.6096778,True,0.006831412,0.76318246
SLC7A5,2.7678742,1.2377243,-1.5301499,True,0.20752229,0.59563774
CDH2,1.6087554,3.1369812,1.5282259,True,0.33867648,0.15019791
FBN2,0.5828359,2.079563,1.496727,True,0.29740146,0.33862454
EPCAM,3.0536776,1.5588316,-1.494846,True,0.13687041,0.47686216
COL2A1,0.25510675,1.7472914,1.4921846,True,0.16156787,0.7459729
YAE1,1.9010848,0.41864038,-1.4824444,False,0.21787333,0.4003294
IL17RD,1.4703574,2.9504466,1.4800892,True,0.32091537,0.23422012
CLDN7,1.6453251,0.20260184,-1.4427233,False,0.26548973,0.18747771
MAPK10,0.2970492,1.7361658,1.4391166,True,0.19583838,0.90870035
FZD2,0.7157441,2.0937464,1.3780024,True,0.36336026,0.22854544
CAMK2D,0.2991463,1.6618633,1.362717,True,0.17479414,0.40800625
ESRP2,1.8602948,0.5042615,-1.3560333,False,0.22392684,0.3791118
DPYSL5,0.6048589,1.9566637,1.3518049,True,0.28751075,0.33504736
COL1A1,2.260025,0.9110451,-1.34898,True,0.40600464,0.5297855
VSNL1,2.1774752,0.832806,-1.3446692,True,0.21121545,0.52825296
PNMA2,0.15032989,1.4635477,1.3132179,True,0.10637423,0.441946
RAB17,1.5537531,0.263061,-1.2906921,True,0.5508224,0.24994285
PDLIM1,2.4891915,1.2047485,-1.284443,True,0.14672922,0.47188604
LIX1L,0.22270232,1.5053124,1.2826102,True,0.15863591,0.49895644
WFDC2,2.037881,0.75792575,-1.2799551,True,0.29843947,0.44055867
SDK2,0.26866636,1.5477401,1.2790737,True,0.16567518,0.42599705
MARVELD3,1.5025498,0.23394221,-1.2686076,False,0.2817582,0.20197183
ZNF664,1.4699457,2.7156048,1.2456591,True,0.29164624,0.1079669
S100A10,3.133715,1.8914424,-1.2422725,True,0.22135624,0.5216611
PPP1R1A,0.81672055,2.044084,1.2273636,True,0.3124396,0.3483327
HOMEZ,0.71271443,1.9321679,1.2194535,True,0.321893,0.27380264
EFNB2,1.1549579,2.3541224,1.1991645,True,0.41472465,0.3868938
CCDC92,0.019568399,1.2172678,1.1976993,True,0.01431767,0.4612299
ADCY2,1.7650582,0.577061,-1.1879971,True,0.41020232,0.54611087
DUSP6,2.2662961,3.449486,1.1831899,True,0.42365897,0.22517112
LHX2,0.030336147,1.2115346,1.1811985,True,0.023667978,0.7309086
TESMIN,2.0250597,0.84813434,-1.1769254,False,0.21658781,0.51895815
SEMA6D,0.16841522,1.3450265,1.1766113,True,0.11888158,0.53422344
ZNF518B,0.33997506,1.5106006,1.1706254,True,0.20754279,0.48088476
BTBD17,1.1946275,2.3630197,1.1683922,True,0.37292463,0.37762803
LIMCH1,0.1255309,1.2876548,1.1621239,True,0.089548685,0.6677451
IGDCC4,0.7147406,1.8673224,1.1525819,True,0.32819542,0.32869172
PRDM14,1.2575728,0.11693975,-1.140633,True,0.37819552,0.11980391
NMRK2,1.9979984,0.8624777,-1.1355207,True,0.23621987,0.4519014
ZEB1,0.008142367,1.1415541,1.1334118,True,0.005631605,0.4009488
DNMT3B,4.406935,3.2778835,-1.1290517,True,0.087100714,0.15317327
SIPA1L2,0.53721344,1.6615477,1.1243342,True,0.28435367,0.40180114
