gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
PRR12,1.725782,0.25642633,-1.4693557,False,0.24402009,0.22761188
RASGRF2,0.75367785,1.3374622,0.58378434,True,0.38033068,0.47487953
JTB,1.7445462,1.2395872,-0.504959,False,0.20393734,0.3410139
RND3,1.4510654,1.0082678,-0.44279766,True,0.5110513,0.49126875
ALCAM,1.5566508,1.125317,-0.43133378,True,0.32711455,0.37386718
RAB17,1.5537531,1.9557377,0.40198457,True,0.5508224,0.43536264
FST,0.77896905,0.37702933,-0.40193972,True,0.37842038,0.22877109
S100A11,1.5742178,1.9710743,0.39685655,True,0.29990643,0.2381032
SEMA6A,2.7475765,2.3577704,-0.38980603,True,0.17924707,0.25498462
LMO3,1.0553634,1.4305216,0.3751582,True,0.47546923,0.5019021
SHISA9,0.5805275,0.22122137,-0.3593061,False,0.277544,0.14808734
EDIL3,1.4273261,1.0680584,-0.3592677,True,0.36399788,0.36850035
CRABP2,2.2048934,2.5413702,0.3364768,True,0.37365532,0.32392195
TRBC2,1.4730004,1.7995738,0.32657337,True,0.35159406,0.30679283
SLC2A3,3.2678158,2.9436207,-0.32419515,True,0.18375407,0.21350847
EFNB2,1.1549579,0.8312951,-0.32366282,True,0.41472465,0.37114486
CPNE2,0.6901576,0.37009838,-0.3200592,False,0.28405464,0.20067017
SPTSSB,0.90169275,1.2202265,0.31853378,True,0.38103697,0.4151653
CHGA,1.5551376,1.8736109,0.31847322,True,0.55296373,0.5762057
VIM,2.7251427,3.0433419,0.31819916,True,0.5895071,0.4941524
SYT4,0.58140266,0.26464823,-0.31675443,True,0.34853083,0.18538588
APELA,1.5670142,1.8776022,0.310588,True,0.4344417,0.42775962
HS3ST3B1,0.9031196,0.59902984,-0.30408978,True,0.37384945,0.3043002
SHISA2,1.6919217,1.3883574,-0.3035643,True,0.5537069,0.5330705
SOX3,0.70646137,0.40375704,-0.30270433,True,0.3964079,0.24823423
ERRFI1,1.6567633,1.357962,-0.2988013,True,0.39002523,0.42174733
KCNG3,1.6000588,1.3071302,-0.29292858,True,0.33263826,0.38322115
PHLDA1,1.0242558,0.7331662,-0.29108953,True,0.4561791,0.43318132
AMOTL1,1.576115,1.2869928,-0.28912222,True,0.32757238,0.35844952
GNG12,1.2833613,1.5724397,0.28907835,True,0.34909102,0.30215195
HESX1,1.250492,0.9654932,-0.28499877,True,0.4382072,0.44308245
DACT1,0.9510262,1.2349333,0.28390706,True,0.5183046,0.6364852
MDFI,1.2076058,1.4855853,0.2779795,True,0.35286814,0.33641768
GALNT17,1.2305079,0.9552762,-0.27523166,True,0.36026514,0.34838137
TRIB2,2.1827836,1.9108149,-0.27196872,True,0.24852416,0.29092047
ID2,0.48878717,0.2186622,-0.27012497,True,0.3184093,0.15554854
SSBP2,1.0280663,0.7615781,-0.2664882,False,0.33733633,0.32950115
WFDC2,2.037881,1.775907,-0.26197386,True,0.29843947,0.32319146
AKAP7,1.5629597,1.3016176,-0.26134205,True,0.41213223,0.41618744
TMSB4X,4.816714,4.55573,-0.26098394,True,0.07111334,0.06954113
SERPINB9,1.3378824,1.596884,0.2590016,True,0.5634636,0.5863338
GRPR,0.8029942,0.54501903,-0.25797516,True,0.6066761,0.43482175
FOXJ1,0.21760024,0.47192228,0.25432205,True,0.14826536,0.28701556
ENC1,1.117531,0.86530536,-0.25222558,True,0.4060574,0.36103433
KCND2,0.8415011,0.5892896,-0.2522115,False,0.3202714,0.28587466
TUBB3,1.5669075,1.3148451,-0.25206244,True,0.34727174,0.36934644
CRYBG1,0.8638407,0.6154655,-0.24837518,False,0.32928854,0.28487447
ACOXL,1.4610541,1.7092954,0.2482413,True,0.3608723,0.31250733
ETS1,1.0753208,1.3179373,0.24261642,True,0.3374279,0.31511188
ITGB5,2.7919524,3.033113,0.24116063,True,0.17067133,0.13590316
