gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
PTPN1,1.6211904,0.098179616,-1.5230108,False,0.2360165,0.0745905
PDLIM1,2.4891915,2.018001,-0.47119045,True,0.14672922,0.38138723
ERVMER34-1,1.778471,1.5059243,-0.27254665,True,0.3746463,0.44525588
CIAO2A,1.5779755,1.4594218,-0.11855376,False,0.23689683,0.26098582
PUS7,2.6250348,2.5175576,-0.10747719,False,0.1029875,0.11876846
SORBS1,1.3850878,1.2822105,-0.10287738,False,0.29845437,0.34046665
EGR1,0.81692857,0.9171512,0.10022265,True,0.5892243,0.6330608
PER3,0.39444894,0.29731396,-0.09713498,False,0.22123344,0.17890167
GPR137,1.0041775,1.0865335,0.082356095,False,0.29964137,0.29823443
RGS5,1.525954,1.4513034,-0.074650645,True,0.48766956,0.51511806
GPC3,1.794429,1.7302806,-0.06414831,True,0.31798097,0.32313257
RIPOR2,1.1181024,1.0632966,-0.054805875,True,0.4393332,0.43660325
FZD2,0.7157441,0.6620297,-0.053714395,True,0.36336026,0.34336942
TEK,1.5910075,1.5390213,-0.051986217,True,0.4462709,0.46151447
VIM,2.7251427,2.6759207,-0.049221992,True,0.5895071,0.5946603
MT1X,1.2593601,1.3080539,0.048693776,True,0.58770955,0.5991957
STX2,1.5596539,1.5122439,-0.04741001,False,0.29846805,0.33334315
ARHGEF9,1.0306638,0.9841425,-0.046521366,False,0.30542243,0.31869462
HS3ST5,0.72195274,0.67599887,-0.04595387,True,0.37839028,0.3695263
SMIM14,1.0882034,1.1339713,0.045767903,True,0.34809172,0.34401402
SFRP1,4.2489777,4.203402,-0.04557562,True,0.12169684,0.13987091
SORBS2,1.0052477,0.9601732,-0.045074522,True,0.43276674,0.4299538
BTBD17,1.1946275,1.1503081,-0.04431939,True,0.37292463,0.3741162
SOCS3,1.0352961,0.991476,-0.043820083,True,0.37681472,0.381668
JUN,0.6033395,0.6470241,0.0436846,True,0.41915378,0.45857105
CHD7,2.3055537,2.261955,-0.043598652,True,0.2723786,0.30072725
IGDCC3,1.6520493,1.6086901,-0.04335916,True,0.28605288,0.30804142
PRKCQ,0.95412415,0.99736184,0.043237686,False,0.33686844,0.3063301
PORCN,0.9066552,0.8639214,-0.04273379,False,0.31158447,0.32496595
SOCS2,1.2737695,1.2313411,-0.042428374,True,0.4973071,0.51543796
RAVER2,1.5141548,1.4719251,-0.042229652,False,0.25573513,0.25854072
DTNA,1.0392054,1.080829,0.041623592,True,0.44757935,0.47392017
DCTN2,2.2220159,2.2635674,0.04155159,False,0.18006516,0.13312814
EEF1A2,0.775216,0.81653374,0.04131776,True,0.3544652,0.36797825
AMER1,0.8171496,0.7758674,-0.041282177,False,0.31872228,0.31434712
SLC7A5,2.7678742,2.7266319,-0.04124236,True,0.20752229,0.21329859
BCAS4,1.3206377,1.2794036,-0.041234136,False,0.3032444,0.30094215
CYP2C8,0.103454605,0.06239344,-0.041061163,False,0.073649004,0.046046533
KCNMB4,1.1554613,1.1964612,0.04099989,False,0.31417516,0.32434994
CAPN6,0.57471156,0.6156429,0.040931344,True,0.33502746,0.3553088
EDIL3,1.4273261,1.4679104,0.040584326,True,0.36399788,0.36756912
AGRN,1.8775585,1.8370873,-0.040471196,True,0.23372838,0.2504999
C5orf24,0.90275234,0.86272275,-0.040029585,False,0.309309,0.31860787
SH3GL3,0.7675091,0.7277986,-0.03971052,False,0.30787173,0.3061806
GAL,2.7219493,2.7612214,0.03927207,True,0.35849097,0.33567074
GPR160,1.4708787,1.5098965,0.039017797,True,0.3379481,0.34261525
E4F1,0.9326369,0.89364135,-0.038995564,False,0.2939465,0.3027238
FBXO30,1.6711287,1.6321929,-0.0389359,False,0.25357008,0.27580848
NTS,1.4767022,1.5156064,0.03890419,True,0.7286999,0.68821764
KRTCAP3,0.56576777,0.52718073,-0.038587034,False,0.26245642,0.25738668
CCN2,1.3984216,1.3599027,-0.038518906,True,0.8199761,0.80698234
PCDHB16,0.67530996,0.7136468,0.038336873,True,0.40022647,0.41589126
PPFIBP1,1.3207715,1.2825507,-0.038220763,False,0.29822907,0.32464638
ETFB,1.4885414,1.5267383,0.03819692,False,0.25368288,0.23978569
ZNF133,0.8815984,0.8435264,-0.03807199,False,0.31241566,0.3110175
CEP83,1.7442033,1.7062764,-0.037926912,False,0.25950912,0.27294707
RNF217,0.6797087,0.7175488,0.03784007,False,0.30687606,0.3073134
VANGL1,0.75634223,0.7187253,-0.03761691,False,0.29934624,0.30268106
KCTD13,0.7835414,0.74614745,-0.037393928,False,0.3129064,0.3217406
WASF3,1.4779911,1.4406047,-0.037386417,False,0.29163635,0.31151435
MAP10,0.42778742,0.3904163,-0.03737113,False,0.22568901,0.21753396
DNAJC4,0.57496864,0.61209434,0.037125707,False,0.25534624,0.26105043
VEGFB,1.0766205,1.1137166,0.037096143,False,0.3121359,0.31945863
PCSK7,1.2506285,1.2136964,-0.03693211,False,0.2849501,0.30496374
HESX1,1.250492,1.2874221,0.036930084,True,0.4382072,0.4420116
HIST1H1D,1.6205581,1.6573309,0.036772728,True,1.2314817,1.2194929
LONRF1,2.241236,2.204511,-0.036725044,True,0.20645578,0.24433298
IQSEC2,1.9034958,1.9401071,0.03661132,True,0.3713815,0.35354313
CHST8,0.5388329,0.57543755,0.036604643,False,0.26548967,0.28642172
AVEN,1.4445827,1.4082983,-0.036284447,False,0.3008583,0.31287527
SLC6A15,1.7863109,1.7502856,-0.036025286,True,0.29976016,0.30526292
ETS1,1.0753208,1.1112329,0.035912037,True,0.3374279,0.33506775
DNAJA4,0.52847016,0.5641944,0.035724223,True,0.30991498,0.31498563
ZNF138,1.4860301,1.4504492,-0.035580873,False,0.2609906,0.27317297
DCLK1,1.713339,1.7489102,0.035571218,True,0.28653774,0.27076536
H2AFY2,1.102345,1.1378925,0.035547495,True,0.47343355,0.48952198
MAP9,0.823602,0.7880584,-0.03554362,False,0.29685974,0.30109242
MMP24,1.0542948,1.0898088,0.035513997,True,0.3902179,0.40757123
FGFBP3,1.5303756,1.49488,-0.03549564,True,0.39057454,0.40632424
MYL9,1.8118736,1.7766035,-0.035270095,True,0.4087449,0.42478016
TRBC2,1.4730004,1.5082366,0.03523624,True,0.35159406,0.33928055
PALM2-AKAP2,2.2532294,2.2181294,-0.035099983,False,0.18611689,0.19142312
THBS2,0.89915407,0.93412536,0.034971297,True,0.3751289,0.3760565
HIST1H1B,4.1244035,4.1592207,0.03481722,True,1.3478125,1.3428413
TRIML2,1.2181535,1.2529668,0.034813285,True,0.40173906,0.4035726
GRPR,0.8029942,0.8377539,0.0347597,True,0.6066761,0.6128302
KCTD17,1.3005646,1.3353012,0.034736514,False,0.2749185,0.2632627
ZDHHC22,1.2077652,1.242495,0.03472972,True,0.33642527,0.33179322
CDH4,0.8705357,0.8359299,-0.0346058,True,0.35521907,0.34613246
POLR3G,2.6291654,2.6637132,0.034547806,True,0.22044568,0.14029923
NIPSNAP3A,0.74392825,0.7784488,0.034520566,False,0.29747325,0.31245056
ST6GALNAC3,0.8681536,0.83363503,-0.03451854,False,0.3131704,0.31285092
CASP3,2.3332827,2.367586,0.03430319,True,0.18378086,0.1800763
SLC5A3,1.3747454,1.3404888,-0.034256577,False,0.30779433,0.30212075
LMCD1,0.89934635,0.93342423,0.034077883,True,0.37876225,0.3759664
NUDT9,1.7296257,1.6956893,-0.03393638,False,0.22223161,0.23065482
SLC33A1,1.3264978,1.2925805,-0.033917308,False,0.2840205,0.29659992
SLC36A1,0.46383932,0.43001616,-0.033823162,False,0.24184856,0.23531637
