gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
RAB3B,1.0217109,0.07879843,-0.94291246,False,0.3033201,0.06057291
DNM1,0.89620936,0.7028752,-0.19333416,False,0.34399784,0.33198267
TNNT2,0.4746938,0.3637628,-0.11093101,True,0.27036434,0.22335674
KLHDC7A,0.69530964,0.5865849,-0.10872471,True,0.33574003,0.2985761
TRDN,1.0043794,0.90747976,-0.09689963,True,0.69005215,0.6497992
HIST1H3G,0.72253007,0.81207603,0.089545965,True,0.49177366,0.54730916
SEL1L,1.1149728,1.026832,-0.088140845,False,0.3091816,0.34116444
ZMAT5,0.77643573,0.6892206,-0.087215126,False,0.31057292,0.29656175
RAB17,1.5537531,1.468667,-0.08508611,True,0.5508224,0.56381893
H1FX,2.8645203,2.9481394,0.08361912,True,0.21788451,0.18907997
SPA17,0.70539504,0.62402326,-0.081371784,False,0.30744943,0.3035669
TLK2,0.6314652,0.7126804,0.0812152,False,0.27328953,0.2817424
VIM,2.7251427,2.8059878,0.08084512,True,0.5895071,0.53800654
MT-ND3,1.7554234,1.8334097,0.07798624,True,0.78610706,0.8147146
TSPAN2,1.2806014,1.3581291,0.07752776,True,0.34775546,0.33687747
FBXL6,0.87588936,0.7986532,-0.077236176,False,0.29429156,0.29512313
PCP4,0.34706748,0.4238656,0.07679811,True,0.218251,0.23854473
RFX1,0.9425394,0.86719966,-0.075339735,False,0.33418712,0.33921102
FEZ1,1.0951558,1.1700176,0.074861765,True,0.36360902,0.36010247
FOS,0.78461546,0.85900354,0.07438809,True,0.56241494,0.704687
CANT1,0.6087663,0.5344641,-0.0743022,False,0.2659716,0.24819219
MT-CO3,1.2058606,1.2791822,0.07332158,True,0.78025454,0.7866608
LIG4,0.42769495,0.35509467,-0.072600275,False,0.22388913,0.20662665
WBP4,0.8464659,0.77406543,-0.07240045,False,0.29339638,0.27107784
MRAS,0.63206106,0.55970436,-0.0723567,False,0.29687336,0.27754357
DYNC2LI1,0.89586174,0.96781665,0.071954906,False,0.3185402,0.31001234
RAPGEF1,1.3194768,1.3907018,0.07122493,False,0.28747487,0.24591178
ZNF222,0.1225025,0.052266676,-0.07023582,False,0.077839255,0.03650295
BRK1,2.020015,2.089907,0.06989193,False,0.17394148,0.15093583
HADH,1.7046753,1.636486,-0.06818926,False,0.24440393,0.2565975
UBXN11,0.40162978,0.46969426,0.06806448,False,0.21074411,0.23576224
PNPLA2,1.4929738,1.4249846,-0.06798923,False,0.27775785,0.3259643
ZBTB6,0.8428296,0.7757464,-0.06708318,False,0.29484665,0.285428
ZNF224,0.5448337,0.47792423,-0.06690949,False,0.24935964,0.24384393
B3GALT1,1.1969832,1.1307237,-0.0662595,True,0.3867189,0.40634102
PPP1R10,1.8092941,1.7437936,-0.0655005,True,0.3640198,0.40528893
COQ10A,0.82120085,0.7557459,-0.06545496,False,0.32662588,0.32657564
VAMP7,1.089246,1.154083,0.06483698,False,0.2923323,0.26482502
TONSL,1.1844434,1.1199154,-0.06452799,False,0.2865419,0.30253866
ZNF215,1.0835997,1.1479002,0.06430054,False,0.31514716,0.28980464
NUDCD3,1.5479714,1.484145,-0.06382632,False,0.23603523,0.29726848
CAMK1D,0.63603157,0.5725319,-0.06349969,False,0.28950906,0.2766652
RB1,0.9182487,0.9816038,0.06335509,False,0.28511393,0.26964545
GPD2,1.3940686,1.3307613,-0.063307285,False,0.27269307,0.26488885
APEX2,1.248103,1.3114071,0.06330407,False,0.29644245,0.24955328
MT-ND4,1.8822018,1.9451243,0.06292248,True,0.9863533,1.0229399
NEFM,1.2480268,1.3104845,0.06245768,True,0.4028053,0.4207014
AHDC1,1.0861624,1.1482409,0.062078476,False,0.30260527,0.2848767
PIAS4,1.5250341,1.4632584,-0.061775684,False,0.24613036,0.29723606
TMEM131,1.1317773,1.193529,0.061751723,False,0.29432222,0.30551428
C4orf33,0.3562545,0.41787678,0.06162229,False,0.20348863,0.21619521
ELMSAN1,0.7030783,0.64198565,-0.061092675,False,0.30488342,0.29292113
SULF2,0.48579115,0.5468819,0.061090767,False,0.2485435,0.2531365
PPIL3,1.3255688,1.2646753,-0.060893536,False,0.27531564,0.30390522
RAB11FIP5,0.76784736,0.70703816,-0.060809195,False,0.28878075,0.29900458
FGF13,1.6198746,1.6806061,0.06073153,True,0.42301762,0.40033415
PNPLA4,0.8776959,0.93838555,0.060689628,False,0.2975586,0.28690323
PCOLCE,1.3033357,1.3640248,0.06068909,False,0.30327117,0.3080607
SCARA3,0.40674546,0.3462671,-0.06047836,False,0.21916397,0.19375497
CAST,1.0826957,1.143131,0.060435295,False,0.31157944,0.29569533
ETS2,1.4273686,1.4877628,0.060394168,True,0.3230002,0.31737822
THADA,1.548019,1.4877367,-0.06028235,False,0.2610677,0.29133123
ATP6V0C,1.1942476,1.1339887,-0.060258865,False,0.30605292,0.31062067
ABHD17C,1.7442534,1.8041885,0.059935093,False,0.2318615,0.18296282
COQ3,0.86500454,0.9248299,0.05982536,False,0.30553198,0.27995345
UBXN1,0.9478782,1.0075418,0.059663594,False,0.29803512,0.27415052
MT-CO2,1.645371,1.7048601,0.05948913,True,0.917779,0.94171697
TOP1MT,1.9428792,2.0022452,0.059365988,False,0.20639776,0.20973231
SETX,0.900011,0.95926726,0.059256256,False,0.29524755,0.27487513
SDC2,1.8838689,1.9429866,0.059117675,True,0.23987752,0.21534146
ZNF844,0.6838482,0.62478185,-0.059066355,False,0.29708332,0.286073
EEA1,1.0611675,1.120155,0.0589875,False,0.30719805,0.2929828
CCN1,0.98059136,0.92183906,-0.0587523,True,0.5011432,0.4625533
SLC6A9,0.8139847,0.87265533,0.05867064,False,0.31451872,0.3091166
PALLD,0.84461284,0.90284747,0.058234632,True,0.34409449,0.34419888
PSMB8,0.8193926,0.87761194,0.058219314,True,0.3394984,0.33086696
HIST1H3E,1.0670047,1.0089929,-0.05801177,True,1.0355052,0.9414068
S100A10,3.133715,3.191693,0.057978153,True,0.22135624,0.21267128
SLC22A31,0.5844005,0.526435,-0.057965457,True,0.30860108,0.28939062
DNAJB4,1.3368717,1.2790012,-0.057870507,False,0.30119625,0.31832469
SLC9A1,1.2229406,1.2806906,0.057749987,False,0.29596692,0.27816337
NFKBIL1,0.63339907,0.5757499,-0.057649195,False,0.2766508,0.27247393
BIRC6,1.3123281,1.2546977,-0.05763042,False,0.27990788,0.3025872
PNKD,1.1782622,1.1206932,-0.057569027,False,0.29537812,0.31384397
ZSCAN2,1.6491191,1.5916042,-0.057514906,False,0.2595455,0.28848186
SORD,0.45884922,0.4013683,-0.05748093,False,0.22709128,0.205746
VPS26A,1.392008,1.4494419,0.057433963,False,0.26220557,0.23372115
ZKSCAN3,0.5225099,0.46507663,-0.057433248,False,0.24763194,0.23219526
MLPH,0.5840078,0.52670085,-0.057306945,False,0.27636632,0.26871797
NIF3L1,1.4518421,1.3945568,-0.05728531,False,0.26716506,0.272398
ARFGAP1,1.0607908,1.1179373,0.05714655,False,0.2969893,0.28629893
SHPRH,1.3301153,1.2730813,-0.057034016,False,0.2742032,0.3063534
CSNK1G1,0.79557,0.85259116,0.05702114,False,0.29490757,0.29304418
PIGX,1.0494612,1.1064739,0.057012677,False,0.30764076,0.28554
PLEKHA8,1.5394797,1.5964104,0.05693066,False,0.23616132,0.22460534
EGR1,0.81692857,0.87380165,0.056873083,True,0.5892243,0.64665765
RAP2C,1.6659895,1.6091282,-0.05686128,False,0.22880052,0.2714375
C10orf82,0.80859524,0.75177914,-0.0568161,False,0.30252174,0.30274507
ZNF354C,0.98067445,1.0374709,0.05679649,False,0.3333775,0.3413443
TMEM259,1.5012666,1.4445144,-0.056752205,False,0.30201793,0.31862918
BET1,0.9155887,0.85884845,-0.056740224,False,0.29464337,0.3055087
PAN3,1.8188045,1.8753762,0.056571722,False,0.21403372,0.17906472
SUDS3,2.0337067,1.9771563,-0.056550384,False,0.17752102,0.20187132
SLC39A7,1.2501651,1.1937454,-0.05641973,False,0.2989855,0.31028363
WDR55,0.706255,0.76255125,0.05629623,False,0.27628407,0.26154047
TENT2,1.0469866,1.1030973,0.05611074,False,0.28943983,0.2650232
FZD2,0.7157441,0.6597395,-0.056004584,True,0.36336026,0.32811224
BRCC3,0.9180148,0.97397494,0.05596012,False,0.30211285,0.2574831
RSBN1L,1.3575966,1.301647,-0.055949688,False,0.2662831,0.28469476
TMEM63A,1.2596389,1.2037042,-0.055934668,True,0.43629962,0.4637508
IKBKB,1.0954444,1.0396155,-0.05582893,False,0.30734137,0.30203107
CEP55,1.3370583,1.3928691,0.05581081,True,0.3497725,0.3548227
MAP3K11,0.8592011,0.8035301,-0.055670977,False,0.28869188,0.2901521
TAF6L,0.54934067,0.49367148,-0.05566919,False,0.2547099,0.2408631
GOLGA1,0.6555965,0.7110647,0.0554682,False,0.2956213,0.29000106
DOLK,0.70974445,0.654366,-0.055378437,False,0.28452808,0.2801038
ZNHIT1,0.9544902,0.8991531,-0.05533707,False,0.29937887,0.29098988
TEX30,0.899953,0.84472007,-0.055232942,False,0.31839985,0.3263311
CHCHD2,2.9833074,3.0384915,0.055184126,True,0.3211824,0.22880416
TCEAL9,0.51353115,0.45839068,-0.055140465,False,0.2446834,0.22910348
DHX40,1.552804,1.6079429,0.055138946,False,0.25953487,0.2342677
UMAD1,0.8453196,0.90041506,0.055095434,False,0.29161695,0.28044176
KDM3A,1.2256038,1.1705496,-0.055054188,True,0.39881065,0.4186906
PTPRD,1.6368047,1.691847,0.055042267,False,0.26667047,0.2551388
ING1,0.46456975,0.40959886,-0.05497089,False,0.22971787,0.2153768
SLC12A4,1.1378051,1.192752,0.0549469,True,0.37062162,0.3586165
TRBC2,1.4730004,1.4180979,-0.054902554,True,0.35159406,0.32471287
XKR7,0.42516503,0.37032342,-0.054841608,False,0.23537277,0.22559261
PHKA2,1.077799,1.0231191,-0.05467987,False,0.30494455,0.3527539
MLLT3,0.6089532,0.6635919,0.054638743,True,0.30577636,0.31702408
AMBRA1,1.1852686,1.1306819,-0.05458677,False,0.28617704,0.305252
NOTCH1,1.2914398,1.2368951,-0.054544687,False,0.30878872,0.3062786
SLC29A2,1.2874651,1.2329568,-0.05450833,True,0.3457203,0.36573786
FAM102B,1.0067161,1.0611882,0.05447209,True,0.35912716,0.36496326
OLFML3,1.0210904,0.96662307,-0.05446732,True,0.34903526,0.36642262
CCDC12,1.3095278,1.2550786,-0.0544492,False,0.28997704,0.30709517
CEP85L,0.73482376,0.78920734,0.054383576,False,0.31091014,0.2846926
CPPED1,0.77202433,0.8263937,0.05436939,False,0.29203904,0.3092598
MEAF6,1.4525476,1.3983325,-0.054215074,False,0.24588726,0.2798714
TMED4,1.3197533,1.2655483,-0.05420494,False,0.27719107,0.2849173
HSPB11,1.4824263,1.5365001,0.05407381,False,0.25051594,0.22268525
ARID1A,1.541068,1.487019,-0.054049015,False,0.26101416,0.26279637
ACTR1A,1.5821253,1.6361444,0.054019094,False,0.24309699,0.20438342
EXOSC1,0.7403221,0.6863446,-0.05397749,False,0.2845808,0.30111003
PXYLP1,0.70437557,0.7583408,0.05396521,False,0.29391652,0.29607114
LRRC14,0.7867472,0.7328873,-0.05385989,False,0.29184824,0.29076567
IQSEC1,1.8591042,1.8053755,-0.0537287,False,0.20970693,0.23518258
