gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
RAF1,1.8988887,0.23979941,-1.6590893,False,0.18074496,0.22998708
EGR1,0.81692857,1.4187436,0.60181504,True,0.5892243,0.6702651
DUSP6,2.2662961,1.7116188,-0.55467737,True,0.42365897,0.53164905
VIM,2.7251427,3.248485,0.5233424,True,0.5895071,0.49768913
SHISA2,1.6919217,1.3388777,-0.35304403,True,0.5537069,0.48690656
AK4,3.1002982,2.7604883,-0.3398099,True,0.13591754,0.21104203
DUSP5,1.2534505,0.9393031,-0.3141474,True,0.39468458,0.37068918
LMO3,1.0553634,0.7536898,-0.3016736,True,0.47546923,0.3750549
RAB17,1.5537531,1.2522805,-0.30147266,True,0.5508224,0.5875079
C1orf21,2.3650088,2.6582024,0.29319358,True,0.18786235,0.14562812
MMP24,1.0542948,1.3312633,0.27696848,True,0.3902179,0.39829358
TMEM64,1.3649961,1.6338806,0.26888454,True,0.3572356,0.35816613
IL17RD,1.4703574,1.201604,-0.2687534,True,0.32091537,0.3785971
SPRY4,2.1270444,1.8598442,-0.26720023,True,0.23128518,0.25460288
FEZ1,1.0951558,1.3550737,0.25991786,True,0.36360902,0.3804071
ASS1,1.6960539,1.9547302,0.2586763,True,0.34041834,0.31758273
RASGRP2,1.3544939,1.0978587,-0.2566352,True,0.34762353,0.35511333
ITPR2,1.4748362,1.2223781,-0.2524581,True,0.3709125,0.37960747
NTS,1.4767022,1.227241,-0.24946117,True,0.7286999,0.6778808
SERPINB9,1.3378824,1.5839077,0.24602532,True,0.5634636,0.6986409
GNPTAB,1.3371286,1.5807412,0.24361253,False,0.30216646,0.2591646
OTX2,0.8048261,1.0473754,0.24254936,True,0.38356015,0.41341674
SLC39A8,1.5447878,1.3094982,-0.23528957,True,0.35716635,0.37035978
VSNL1,2.1774752,1.9610814,-0.21639383,True,0.21121545,0.22765051
PDZD4,2.1980815,1.9836931,-0.21438837,True,0.20350996,0.23983285
HTR1D,0.536856,0.7498467,0.2129907,True,0.32416457,0.4109126
DHRS3,0.8341274,1.0454558,0.21132839,True,0.3343939,0.33294678
DACT1,0.9510262,0.74161196,-0.20941424,True,0.5183046,0.43002596
KCNG3,1.6000588,1.8068517,0.20679295,True,0.33263826,0.28165692
SEMA6A,2.7475765,2.5415297,-0.20604682,True,0.17924707,0.2259439
GRM4,1.11268,0.90844756,-0.2042324,True,0.3394024,0.32595587
RHOB,0.45923594,0.6632048,0.20396885,True,0.29124495,0.38221496
LITAF,2.7599976,2.960153,0.2001555,True,0.18362416,0.1664143
GPC4,2.8069289,3.0005555,0.19362664,True,0.19444703,0.15592992
GPC3,1.794429,1.98702,0.19259107,True,0.31798097,0.26643607
PCDH7,0.45434523,0.6457787,0.19143349,True,0.27273244,0.34537727
PPP3CA,2.28969,2.101022,-0.18866801,True,0.18289334,0.23022522
PLS3,2.6728685,2.861136,0.18826747,False,0.12388258,0.13989887
PCDH18,1.5278986,1.7155077,0.1876092,True,0.4877093,0.47648343
P2RY1,0.7862649,0.6001049,-0.18615997,True,0.40756574,0.34172392
CLU,2.868908,3.0523198,0.18341184,True,0.13896124,0.13260083
SFRP2,3.7987847,3.615821,-0.18296385,True,0.07606493,0.079262264
KRT18,3.6757731,3.4934676,-0.18230557,True,0.10656653,0.12675741
FGF13,1.6198746,1.4388742,-0.18100035,True,0.42301762,0.46276775
CHGA,1.5551376,1.3781059,-0.17703176,True,0.55296373,0.49949923
WFDC2,2.037881,1.860896,-0.1769849,True,0.29843947,0.29277605
THY1,3.2316704,3.056586,-0.17508435,True,0.10670034,0.114102736
DEGS1,2.2304938,2.4054973,0.17500353,True,0.244807,0.20228736
TNIK,1.8986627,1.7241687,-0.17449403,True,0.25794908,0.28908372
TRIML2,1.2181535,1.0441644,-0.17398906,True,0.40173906,0.40014046
ID3,1.931087,1.7577467,-0.17334032,True,0.3423298,0.4103997
ACOXL,1.4610541,1.6343826,0.17332852,True,0.3608723,0.3432976
PDPN,2.834985,3.0082233,0.17323828,True,0.1602829,0.13527507
CRABP2,2.2048934,2.3765137,0.17162037,True,0.37365532,0.3295533
USP9X,3.4943233,3.6641445,0.16982126,False,0.073277384,0.06572101
CPNE2,0.6901576,0.52174515,-0.16841245,False,0.28405464,0.2486977
ANXA2,2.3120353,2.4801953,0.16815996,True,0.22942683,0.22920343
