target,reference,feature,target_mean,reference_mean,percent_change,fold_change,p_value,statistic,fdr
RNF2,non-targeting,KLHL17,0.20507164,0.17249832,0.1888327300548553,1.1888327598571775,0.0016370594349616,36304888.0,0.0110225186827115
RNF2,non-targeting,ISG15,0.86726105,1.0392883,-0.1655240803956985,0.8344759345054626,5.931343247748572e-11,32072867.5,1.0377602585654739e-09
RNF2,non-targeting,AGRN,7.3380876,5.5631676,0.3190484344959259,1.3190484046936035,3.2792073419455995e-104,45702310.0,7.046917837841893e-102
RNF2,non-targeting,C1orf159,0.31593436,0.2792699,0.1312868148088455,1.131286859512329,0.0080870132579013,36269927.0,0.0443253871915205
RNF2,non-targeting,TTLL10,0.109393895,0.07927139,0.379992127418518,1.379992127418518,4.3759281478183283e-07,36531555.5,5.2943352309265045e-06
RNF2,non-targeting,SDF4,9.682996,9.255539,0.0461838953197002,1.046183943748474,8.146214833797585e-06,37359950.0,8.39063221772e-05
RNF2,non-targeting,SCNN1D,0.023951616,0.01586605,0.5096142888069153,1.5096142292022705,0.0054643050445357,35558510.0,0.0317147556114428
RNF2,non-targeting,ACAP3,1.4175327,1.0247834,0.3832510411739349,1.383251070976257,1.0377430536814766e-43,41834008.0,7.134894566064556e-42
RNF2,non-targeting,INTS11,6.221848,6.086618,0.0222176034003496,1.0222176313400269,0.0025092660333705,36662657.5,0.0160917709656084
RNF2,non-targeting,MXRA8,1.7511137,0.5648588,2.100090980529785,3.100090980529785,3.8324114224775212e-295,51936572.0,5.183790412847401e-292
RNF2,non-targeting,CCNL2,11.74332,11.209003,0.047668557614088,1.0476685762405396,7.636142757609737e-06,37366653.5,7.89509127109e-05
RNF2,non-targeting,ATAD3B,1.2441708,1.3789184,-0.0977197960019111,0.9022802114486694,1.92367266917e-05,33137203.0,0.0001878679946991
RNF2,non-targeting,ATAD3A,3.3849528,3.6984425,-0.084762617945671,0.9152373671531676,5.25145551028427e-08,32561183.0,7.033755108598845e-07
RNF2,non-targeting,TMEM240,0.5116891,0.42226273,0.2117790430784225,1.211778998374939,1.8889966432495107e-08,37654733.5,2.643562049895595e-07
RNF2,non-targeting,SSU72,11.723007,12.022095,-0.0248781535774469,0.9751218557357788,0.0010615376244126,33612041.0,0.0074884314724007
RNF2,non-targeting,FNDC10,0.61596537,0.4536232,0.3578788638114929,1.3578789234161377,1.5358234416363428e-19,39218322.5,4.528570996159567e-18
RNF2,non-targeting,MMP23B,0.38228226,0.2732023,0.3992644250392914,1.3992644548416138,8.439915072194216e-15,38261995.5,1.9215925513823372e-13
RNF2,non-targeting,TMEM52,0.5801696,0.50913835,0.1395127177238464,1.1395126581192017,3.3204851629e-05,37071387.0,0.0003125747019523
RNF2,non-targeting,PRKCZ,2.0996013,1.917578,0.0949235409498214,1.094923496246338,1.8005599891290745e-06,37508724.5,2.02207904696e-05
RNF2,non-targeting,FAAP20,1.6446282,1.3297728,0.2367737740278244,1.2367737293243408,1.580849222098039e-22,39907289.0,5.34404872587084e-21
RNF2,non-targeting,SKI,12.411595,11.850527,0.0473454520106315,1.0473453998565674,2.1189558618379826e-08,37912660.5,2.95129204083127e-07
RNF2,non-targeting,RER1,13.558006,13.224993,0.0251806210726499,1.0251805782318115,0.0053728211037651,36547127.0,0.0312582021765641
RNF2,non-targeting,PEX10,1.8215821,1.6983354,0.0725691020488739,1.0725691318511963,0.0002576433178571,36965933.5,0.0020774474580143
RNF2,non-targeting,PANK4,1.4805429,1.3860621,0.0681648775935173,1.0681648254394531,0.0017055496663071,36712183.0,0.011435831322533
RNF2,non-targeting,MMEL1,0.014001229,0.008254937,0.6961036920547485,1.6961036920547483,0.0056175463640359,35461229.0,0.032464170088786
RNF2,non-targeting,PRDM16,0.014391021,0.006540763,1.2002052068710327,2.200205087661743,1.1423973958287447e-06,35613402.0,1.31560404148e-05
RNF2,non-targeting,ARHGEF16,0.7122931,0.6248825,0.139883205294609,1.1398831605911257,5.999620527781194e-06,37295329.5,6.29718090111e-05
RNF2,non-targeting,TP73,0.2079657,0.15367001,0.3533264994621277,1.3533265590667725,2.2428351535102232e-08,37090568.5,3.116549129640685e-07
RNF2,non-targeting,LRRC47,6.949698,7.6639924,-0.0932013466954231,0.9067986607551576,5.777731020741755e-20,30765507.0,1.7367774914931987e-18
