gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
SPP1,0.7460402,2.866795,2.1207547,True,0.35517648,1.3101953
SERPINB9,1.3378824,3.2460892,1.9082068,True,0.5634636,1.1558211
FLNC,0.56720054,2.203157,1.6359564,True,0.293983,1.0303321
LEFTY2,0.27116945,1.8600796,1.5889102,True,0.24489297,1.3395526
CDKN1A,0.13551252,1.6847181,1.5492057,True,0.1684509,1.1650231
RNF20,1.7018098,0.3230409,-1.3787689,False,0.21489473,0.24456163
LEFTY1,0.40002847,1.7099756,1.3099471,True,0.4464706,1.2560571
VIM,2.7251427,3.9980924,1.2729497,True,0.5895071,1.0036442
PHLDA3,0.48402876,1.7552457,1.2712169,True,0.32843012,0.6510758
BBC3,0.86217064,2.10659,1.2444193,True,0.41324192,1.2332937
PLK2,0.31356177,1.513944,1.2003822,True,0.21140723,0.8030077
ZMAT3,0.61741245,1.8143736,1.1969612,True,0.34243125,0.95445424
TMEM64,1.3649961,2.5484798,1.1834837,True,0.3572356,0.37450597
H1F0,0.903924,2.0745826,1.1706586,True,0.8330141,2.0428324
SCGB3A2,2.1600077,1.0026792,-1.1573285,True,1.0063828,0.4527131
POLH,0.4251729,1.577731,1.1525581,True,0.2642011,0.51645607
PLPP1,1.5364559,2.6787198,1.1422639,True,0.27941385,0.73269784
SESN1,1.3295916,2.4684708,1.1388792,True,0.42911422,0.48994234
PKDCC,2.017514,3.1201985,1.1026845,True,0.58726704,0.5892134
HPGD,0.061956983,1.1553094,1.0933524,True,0.043946322,0.59666693
CDH2,1.6087554,2.701791,1.0930357,True,0.33867648,0.7371081
SELENOP,1.0004246,2.0840783,1.0836537,True,0.44973302,0.72649795
ZFP42,3.0506246,2.0004542,-1.0501704,False,0.097314686,0.47132623
IDH2,2.1801963,1.1490268,-1.0311695,True,0.20184857,0.48269406
MAPK10,0.2970492,1.3239139,1.0268648,True,0.19583838,0.35394782
