gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
RRM1,2.6164267,0.26919612,-2.3472307,False,0.118138894,0.21382454
ANOS1,2.2613657,0.47236034,-1.7890053,True,0.21193548,0.38840237
GALK1,0.91585314,0.40800974,-0.5078434,False,0.3046873,0.22226597
PLEKHH1,0.7586611,0.4922199,-0.2664412,False,0.3022641,0.23791035
ZMAT4,1.2856385,1.0537792,-0.2318592,True,0.37251619,0.36344302
GRPR,0.8029942,0.98232746,0.17933327,True,0.6066761,0.6397411
MT2A,0.32321855,0.18853197,-0.13468659,True,0.22788322,0.12350415
H1F0,0.903924,0.7736693,-0.13025469,True,0.8330141,0.67730474
RGS5,1.525954,1.3967775,-0.1291765,True,0.48766956,0.45975965
DPPA2,0.9645738,1.084747,0.120173156,True,0.42964724,0.39320633
NSG1,2.2689183,2.3873184,0.1184001,True,0.23481227,0.19676872
RASGRF2,0.75367785,0.8698204,0.11614257,True,0.38033068,0.39142722
MUC3A,1.0630484,1.1748902,0.1118418,True,0.61409867,0.6035605
PRKCQ,0.95412415,1.0629841,0.108859956,False,0.33686844,0.32781288
TRIM24,3.0930774,2.9848719,-0.10820556,True,0.16487719,0.18614739
IQSEC2,1.9034958,2.0095644,0.10606861,True,0.3713815,0.30950958
HIST1H1A,1.5684879,1.4634473,-0.10504055,True,1.4661734,1.4049923
SLC6A15,1.7863109,1.8903568,0.10404587,True,0.29976016,0.23301238
S100A10,3.133715,3.236188,0.10247302,True,0.22135624,0.17155707
CYP2R1,0.77927864,0.67758656,-0.10169208,True,0.33478215,0.3071724
NETO1,1.0102036,1.1099887,0.09978509,True,0.38053605,0.3619217
ZNF850,1.7697045,1.8691499,0.09944546,True,0.39880446,0.3291961
PEG3,0.97456473,1.0728626,0.098297894,True,1.0025717,1.0385731
INA,0.4971139,0.59482974,0.097715825,False,0.2558589,0.27999303
COCH,0.64445984,0.74057984,0.09612,True,0.3147069,0.32906893
SCGB3A2,2.1600077,2.255394,0.09538627,True,1.0063828,0.8719029
ZIC2,1.9019088,1.806607,-0.09530175,True,0.40680227,0.46024296
IQGAP1,1.7742292,1.6789348,-0.09529436,False,0.2195936,0.21255967
SERPINB9,1.3378824,1.4322513,0.094368935,True,0.5634636,0.53822434
FAXC,0.96942097,1.0626024,0.09318143,True,0.3494252,0.33892038
DDIT4,0.8543927,0.7612704,-0.0931223,True,0.7079657,0.629205
CHD7,2.3055537,2.2126126,-0.092941046,True,0.2723786,0.30335107
GAL,2.7219493,2.8145545,0.092605114,True,0.35849097,0.34894815
TRIML2,1.2181535,1.3092424,0.09108889,True,0.40173906,0.37168843
HSPA2,1.1836619,1.2745034,0.09084141,True,0.39147896,0.35445902
PHKA1,0.66380244,0.7542807,0.09047824,True,0.3124792,0.2930623
NETO2,0.93014646,1.0205424,0.09039593,True,0.34750232,0.33325967
STXBP6,1.1174883,1.2074804,0.089992166,True,0.3900172,0.37921405
TUBB3,1.5669075,1.6568617,0.08995414,True,0.34727174,0.33518362
COL14A1,0.7640289,0.85386676,0.08983785,True,0.33475843,0.313049
LRAT,1.3468386,1.2571119,-0.08972669,True,0.5342008,0.5321351
SFRP1,4.2489777,4.1595483,-0.08942938,True,0.12169684,0.15165843
FANCC,1.0855396,1.1743022,0.08876264,False,0.3134326,0.2802244
TMTC1,0.8034256,0.716312,-0.08711362,True,0.33674684,0.29559368
CRABP1,2.7936456,2.880124,0.08647847,True,0.2094519,0.19749232
VIM,2.7251427,2.8115005,0.08635783,True,0.5895071,0.52242917
COL1A1,2.260025,2.3450227,0.084997654,True,0.40600464,0.39010066
DUSP6,2.2662961,2.1816337,-0.08466244,True,0.42365897,0.41092283
HTR3A,0.53426933,0.6185838,0.084314466,False,0.26855594,0.28762412
FXYD6,1.8719592,1.9562379,0.0842787,True,0.2274005,0.18636282
TEK,1.5910075,1.6751726,0.0841651,True,0.4462709,0.4323437
RNF187,2.3075025,2.2237458,-0.083756685,True,0.18414505,0.19967917
CKB,3.2759545,3.358866,0.08291149,True,0.1373064,0.120886095
FN1,0.7990986,0.8816318,0.08253318,True,0.3614243,0.3203099
CAPG,1.0828618,1.1650202,0.08215845,False,0.3175583,0.29494125
CNOT9,1.6880915,1.6061894,-0.08190215,False,0.22893184,0.23166993
RIMS4,1.6565819,1.73784,0.08125818,False,0.26107934,0.22266775
TMEM132B,2.347176,2.2661927,-0.0809834,True,0.22685683,0.23368832
RBFA,0.6471177,0.7277231,0.08060545,False,0.26708448,0.24549039
ZNF280D,0.8859449,0.80582845,-0.08011645,False,0.32686508,0.30888814
ZNF516,0.41618332,0.33630896,-0.07987437,True,0.26902473,0.210295
TAGLN,2.3409328,2.4204974,0.07956457,True,0.6389723,0.63701683
SLC25A25,1.0246764,1.1025672,0.077890754,False,0.30791524,0.26474968
STK38L,2.1526659,2.2302284,0.07756257,False,0.18535805,0.1507409
MT-ND6,0.8967327,0.9739035,0.07717079,True,0.68610394,0.6499508
CAMK2N2,0.8613088,0.9378807,0.07657188,False,0.31362858,0.29737163
TEX15,0.79539543,0.871907,0.07651156,False,0.31313172,0.30622536
ST6GAL2,0.88659793,0.9628658,0.0762679,True,0.33847812,0.33110434
SIX4,1.8679167,1.9440722,0.07615554,True,0.26283816,0.22569768
MEGF8,0.9138414,0.8379707,-0.07587075,False,0.30444637,0.32945618
TBKBP1,1.477159,1.5523181,0.07515907,False,0.29634422,0.2504246
CNMD,2.6173897,2.692359,0.07496929,True,0.16489005,0.15041102
PIEZO2,0.8669901,0.9418827,0.07489264,True,0.37746185,0.37478027
CDK14,1.3375831,1.2627387,-0.07484436,True,0.329206,0.33328888
CNRIP1,0.28262433,0.3572003,0.07457596,True,0.18521176,0.21580908
MRC2,0.6766022,0.7507784,0.07417619,True,0.30390933,0.28986123
MGST2,0.59177995,0.6655452,0.07376528,False,0.2828746,0.28795752
PNPLA4,0.8776959,0.8039596,-0.07373631,False,0.2975586,0.27460256
RILPL2,0.45326155,0.5269891,0.07372755,False,0.23963495,0.25129306
CCNE1,1.5663189,1.6399608,0.073641896,True,0.32774282,0.28333887
RFLNB,1.6136794,1.6871985,0.07351911,True,0.32008567,0.33751944
ZBTB10,1.0915735,1.0182698,-0.0733037,True,0.37222257,0.33285415
BAG2,1.6299034,1.7032021,0.07329869,True,0.36802182,0.36239603
POLR3E,1.3688523,1.4420394,0.07318711,False,0.26075348,0.23058829
CHPF,1.7825799,1.85573,0.07315016,False,0.20741259,0.1658081
HIST3H2A,1.126817,1.0539281,-0.07288885,True,0.58922714,0.5196972
IDO1,1.2041372,1.2769314,0.0727942,True,0.43108737,0.3986692
CNIH2,0.94973373,1.0224358,0.07270205,False,0.30349928,0.28989276
ID2,0.48878717,0.41618457,-0.0726026,True,0.3184093,0.26574925
RNLS,0.4547318,0.38237083,-0.07236096,False,0.23495565,0.20349307
LARGE1,1.687517,1.6153839,-0.07213318,False,0.28217205,0.31581432
ZKSCAN7,0.8189455,0.89097136,0.072025836,False,0.3130858,0.30497456
SLC50A1,1.6969337,1.6250043,-0.071929455,False,0.23256505,0.24447735
CASP3,2.3332827,2.4049149,0.07163215,True,0.18378086,0.17150627
ZNF529,0.9578877,1.0293987,0.07151097,False,0.31254685,0.29702684
ZKSCAN2,0.48993212,0.5613964,0.0714643,False,0.23721327,0.24704994
STAG1,1.5077169,1.4364847,-0.0712322,False,0.29887038,0.30449122
TRIOBP,1.2054331,1.1343455,-0.0710876,False,0.28586495,0.30003726
PDZD4,2.1980815,2.268677,0.0705955,True,0.20350996,0.18029496
FRAT2,1.6338485,1.7044377,0.070589185,True,0.30995584,0.28588086
TSPAN31,0.63377666,0.5633961,-0.07038057,False,0.2737314,0.2605415
ZNF142,1.5273702,1.5976444,0.070274234,False,0.2803027,0.24237783
GADD45A,0.71394557,0.78414464,0.07019907,True,0.34338844,0.3369309
IAH1,0.7946477,0.8645759,0.06992823,True,0.37724927,0.39086118
