gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
SAFB,2.5183024,0.32788932,-2.190413,False,0.120399445,0.24601291
FAR2,1.0074348,0.15187563,-0.85555923,False,0.32749203,0.107723325
EPPK1,1.5018363,0.67772996,-0.82410634,True,0.36317953,0.4021544
FNTA,2.2872458,1.475907,-0.8113388,False,0.13819836,0.2668001
OPN3,0.9301242,0.13655263,-0.7935716,True,0.42169705,0.11569952
SBNO1,2.1629336,1.5216897,-0.64124393,False,0.15438409,0.50983185
UCHL3,1.4199308,0.8796636,-0.5402672,False,0.26507962,0.31903964
SCAMP5,1.0884247,0.5555827,-0.532842,False,0.31093532,0.28949794
VIM,2.7251427,3.2386777,0.513535,True,0.5895071,0.546632
TRIM22,0.6868747,1.1938891,0.50701445,True,0.41427281,0.52891463
VAT1L,1.7592366,1.2577189,-0.50151765,True,0.2837038,0.45498234
ZRANB3,0.804312,0.31756338,-0.4867486,False,0.3310452,0.19712374
PLCB1,0.9086415,1.3789505,0.47030896,True,0.37433246,0.33334196
THOC1,1.9016322,1.4322115,-0.46942067,False,0.19907913,0.298803
DDB2,0.83584666,1.3035254,0.4676788,True,0.3656719,0.3559133
PHLDA3,0.48402876,0.9252192,0.44119042,True,0.32843012,0.45789438
AKAP7,1.5629597,1.1263205,-0.4366392,True,0.41213223,0.38657826
FDXR,1.2778784,1.7118521,0.43397367,True,0.37710968,0.40609995
FXN,1.7398274,1.3422892,-0.3975382,False,0.21876046,0.3088263
SESN1,1.3295916,1.721302,0.3917104,True,0.42911422,0.45373446
BBC3,0.86217064,1.2435257,0.3813551,True,0.41324192,0.45078608
ZIM3,2.5895684,2.9553127,0.36574435,True,0.29940525,0.26127228
PKDCC,2.017514,1.6555358,-0.36197817,True,0.58726704,0.54478264
PDE3B,0.8710822,0.5117047,-0.3593775,False,0.30836654,0.254853
BAX,3.2382326,3.5965111,0.3582785,True,0.12913452,0.11304409
MANBA,1.1929091,0.8367086,-0.35620052,False,0.30568996,0.31601593
TRDN,1.0043794,0.6517785,-0.35260087,True,0.69005215,0.42759842
ZMAT3,0.61741245,0.9687769,0.35136443,True,0.34243125,0.509527
PRSS8,1.4594178,1.1109471,-0.3484707,False,0.29052255,0.35904998
UBOX5,0.55503243,0.21146084,-0.3435716,False,0.25529855,0.1354493
ZNF251,0.82536453,0.48183578,-0.34352875,True,0.371914,0.2979983
