gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
SALL4,2.2782938,0.32030284,-1.957991,False,0.14218447,0.2490308
VIM,2.7251427,4.3071837,1.582041,True,0.5895071,0.39604607
SCGB3A2,2.1600077,0.6609683,-1.4990394,True,1.0063828,0.6047993
VSNL1,2.1774752,0.77509236,-1.4023829,True,0.21121545,0.4209532
PDZD4,2.1980815,0.98591685,-1.2121646,True,0.20350996,0.4201607
NMU,1.7737356,2.901991,1.1282552,True,0.3437436,0.16587494
GAL,2.7219493,1.5966878,-1.1252615,True,0.35849097,0.4177036
IER3,0.52010494,1.6364448,1.1163399,True,0.30785796,0.49451607
CHD3,0.74007934,1.8051889,1.0651095,True,0.32167023,0.3598718
ATP9A,0.4713536,1.5311669,1.0598133,False,0.24126573,0.32736665
USP3,0.49491745,1.5348077,1.0398903,True,0.2896442,0.3538113
SORBS2,1.0052477,2.0377202,1.0324725,True,0.43276674,0.34348476
FRZB,0.28909758,1.2716701,0.98257256,True,0.18367182,0.51760745
SLC7A5,2.7678742,1.8094133,-0.9584609,True,0.20752229,0.506293
FBN2,0.5828359,1.5410119,0.958176,True,0.29740146,0.37343135
CALB1,0.8725808,1.8247246,0.9521437,True,0.37383825,0.4278771
LRRC17,0.15552373,1.061812,0.9062883,True,0.111777216,0.57109535
COL1A1,2.260025,1.3766795,-0.8833455,True,0.40600464,0.472175
COL6A1,2.216633,3.0831592,0.8665261,True,0.22963761,0.13388596
LHX8,0.021318827,0.8679748,0.84665596,True,0.016162729,0.46773317
PKDCC,2.017514,1.1777965,-0.8397175,True,0.58726704,0.37424818
P3H2,1.3254241,2.154313,0.828889,True,0.46865007,0.43101892
MOB3B,1.1355461,1.9326788,0.79713273,False,0.32258672,0.25714934
LMO3,1.0553634,1.847077,0.7917136,True,0.47546923,0.4681443
RGS5,1.525954,0.7428867,-0.7830673,True,0.48766956,0.3972004
RCAN2,0.862285,1.6385217,0.77623665,True,0.36589646,0.40096256
L1CAM,1.6603423,0.8856708,-0.77467155,True,0.34027112,0.41484314
SRGAP1,0.78123784,1.5518992,0.77066135,False,0.3237024,0.47542724
TM4SF18,0.44839343,1.2182354,0.7698419,True,0.26477042,0.41870508
GABRA1,0.37606972,1.1380008,0.7619311,True,0.2422735,0.3953923
TTC39C,1.9046897,1.1432887,-0.76140094,True,0.34991878,0.4510213
ACTG2,0.1936207,0.94636387,0.7527432,True,0.14419958,0.5691029
DGKK,0.9637905,1.7155313,0.7517409,True,0.4367179,0.4143178
SGK1,0.80559486,1.5568593,0.7512644,True,0.38968813,0.4319387
RASGRP2,1.3544939,0.61527115,-0.7392227,True,0.34762353,0.34386456
SLC16A12,0.17575583,0.91484326,0.73908746,True,0.13102393,0.45917448
WFDC2,2.037881,1.3051575,-0.73272336,True,0.29843947,0.3469788
CDH2,1.6087554,2.3386073,0.72985196,True,0.33867648,0.2553057
GNA14,0.3345889,1.0641434,0.72955453,True,0.25330648,0.5165578
MT1X,1.2593601,0.5335095,-0.7258506,True,0.58770955,0.4215333
GRIA4,0.6739651,1.372293,0.6983279,True,0.3025259,0.38817447
RAB17,1.5537531,0.85654855,-0.6972046,True,0.5508224,0.5222129
