gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
NDUFB1,2.5394435,0.49758875,-2.0418549,False,0.10519366,0.30577686
CPSF2,2.3049846,1.0776932,-1.2272913,False,0.13238756,0.48647264
BMS1,2.095525,1.0806981,-1.0148269,False,0.18513668,0.55778664
SDC1,0.82884127,0.05464621,-0.7741951,False,0.31465793,0.03737189
HIST1H3H,0.80666834,1.4622132,0.6555448,True,0.4625127,0.7285955
DDB2,0.83584666,1.3207031,0.4848565,True,0.3656719,0.5189094
MT-ND4,1.8822018,2.3637643,0.4815625,True,0.9863533,1.1649646
MT-ATP6,1.7147563,2.1684158,0.45365953,True,0.97399217,1.1379728
MT-CO2,1.645371,2.0704272,0.42505622,True,0.917779,0.9821226
MT-ND3,1.7554234,2.168012,0.41258848,True,0.78610706,0.78187144
MT-ND6,0.8967327,1.304932,0.4081993,True,0.68610394,0.79790527
PHLDA3,0.48402876,0.87710303,0.39307427,True,0.32843012,0.6745873
BBC3,0.86217064,1.2335409,0.37137026,True,0.41324192,0.6313172
HIST1H1A,1.5684879,1.2109199,-0.35756803,True,1.4661734,1.0571934
SESN1,1.3295916,1.6825758,0.3529842,True,0.42911422,0.70586574
HIST1H3E,1.0670047,0.73141164,-0.33559304,True,1.0355052,0.81914926
BAX,3.2382326,3.5721793,0.3339467,True,0.12913452,0.19797878
ZMAT3,0.61741245,0.9437749,0.32636243,True,0.34243125,0.55460626
EPS8L2,0.89624125,1.2110933,0.31485206,True,0.37565914,0.63444704
MT-CO3,1.2058606,1.513829,0.30796838,True,0.78025454,0.958416
NODAL,0.39589173,0.70141464,0.30552292,True,0.29222062,0.45026773
CDKN1A,0.13551252,0.44096327,0.30545074,True,0.1684509,0.7093216
HIST1H2AC,0.08021669,0.3773054,0.29708868,False,0.060011677,0.32002392
TNFRSF10B,1.6190304,1.9150141,0.2959838,True,0.33569923,0.3601913
FDXR,1.2778784,1.569716,0.29183757,True,0.37710968,0.61277795
HIST3H2A,1.126817,1.4159552,0.2891382,True,0.58922714,0.802603
FGFBP3,1.5303756,1.2412692,-0.28910637,True,0.39057454,0.5051233
HIST1H3G,0.72253007,1.0079656,0.2854355,True,0.49177366,0.6347824
HIST1H1C,3.3517175,3.629931,0.2782135,True,1.5421159,1.4441062
MT-CYB,0.6396104,0.9076199,0.26800948,True,0.489698,0.6442108
PLK2,0.31356177,0.58028,0.26671824,True,0.21140723,0.3571771
MDM2,2.2816887,2.5434065,0.2617178,True,0.197448,0.49603325
EPHA2,1.3425428,1.603401,0.26085818,True,0.33881438,0.3531159
H1F0,0.903924,1.160585,0.25666106,True,0.8330141,1.1529891
HMMR,2.4663396,2.2097151,-0.25662446,True,0.27379674,0.3580664
HIST1H2AG,0.7061559,0.94684523,0.24068934,True,0.42458564,0.53303236
TRIM22,0.6868747,0.92529994,0.23842525,True,0.41427281,0.62819844
GUCY2C,0.12342428,0.36032686,0.23690258,False,0.085593164,0.391786
CSKMT,0.50368863,0.7400498,0.23636115,True,0.28683618,0.36830732
TM7SF3,1.8696523,2.1044912,0.23483896,True,0.2239849,0.29153487
JUND,1.9687197,2.2011964,0.23247671,True,0.23403603,0.21887971
HIST2H2BE,0.48116452,0.71334416,0.23217964,True,0.31795192,0.46536642
GADD45A,0.71394557,0.93925387,0.2253083,True,0.34338844,0.49569073
DIPK1B,1.6934472,1.4718767,-0.22157049,False,0.23902428,0.34847862
SYMPK,1.845166,2.0667162,0.22155023,False,0.18998903,0.20858335
OR2B6,0.038002387,0.25684848,0.2188461,True,0.038199984,0.3754185
RRM2B,1.15014,1.3683537,0.21821368,True,0.33941558,0.43989384
BTG2,0.11117711,0.32783914,0.21666202,True,0.11413894,0.41668743
DNAJB4,1.3368717,1.5525194,0.2156477,False,0.30119625,0.32986113
FOSL1,0.18665719,0.40109727,0.21444008,True,0.15412702,0.45870444
GINS2,2.1001582,1.8869313,-0.21322691,False,0.19996151,0.26623026
COX20,1.7023284,1.4924648,-0.20986366,False,0.25975162,0.35183072
GPC3,1.794429,1.585048,-0.20938098,True,0.31798097,0.3361384
AP1S1,1.4771401,1.6855937,0.20845366,False,0.2784553,0.24925622
ZNF322,1.3463713,1.5543107,0.20793939,False,0.2930769,0.32714677
HIST1H4I,0.35259387,0.5600158,0.20742193,True,0.24842851,0.37328893
DRAM1,0.2222708,0.42623812,0.20396732,True,0.14334902,0.3381364
PKDCC,2.017514,1.8181757,-0.19933832,True,0.58726704,0.5652956
HIST1H2BG,0.4067686,0.6051998,0.19843122,True,0.3005141,0.52462775
GRPR,0.8029942,0.6058842,-0.19711,True,0.6066761,0.45466504
POLH,0.4251729,0.6219042,0.1967313,True,0.2642011,0.4259752
ITGB1BP2,0.3844131,0.58105093,0.19663784,False,0.22048572,0.34597203
CCM2,1.4188123,1.2253091,-0.19350314,False,0.25724643,0.33684584
INKA2,0.612367,0.8031065,0.19073951,True,0.32431173,0.44912145
HIST1H2AE,0.124752894,0.3154876,0.1907347,False,0.08235557,0.1918008
TOB1,1.5985638,1.7879503,0.18938649,True,0.37077996,0.34312686
