gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
SEC62,2.3244188,0.20429733,-2.1201215,False,0.14750414,0.18037945
ASS1,1.6960539,2.7040446,1.0079907,True,0.34041834,0.22477952
PCK2,2.0146055,2.9925966,0.9779911,True,0.285465,0.1929282
MEF2B,0.32470265,1.2449875,0.92028487,True,0.20306997,0.46618822
SLC7A11,2.2569587,3.1161613,0.8592026,True,0.3321765,0.32736957
DDIT4,0.8543927,1.6852179,0.83082515,True,0.7079657,0.68869215
PSAT1,3.8175943,4.579636,0.7620418,True,0.09711025,0.07995566
INHBE,0.40389985,1.1307122,0.7268123,True,0.249757,0.4306286
SHMT2,1.9814478,2.6837046,0.7022568,True,0.205803,0.17679846
MT1X,1.2593601,0.5671412,-0.6922189,True,0.58770955,0.44770443
IFRD1,2.5512347,3.2352536,0.68401885,True,0.24225035,0.20837383
SESN2,1.1401006,1.821086,0.68098545,True,0.3993862,0.3968947
SCGB3A2,2.1600077,1.4879968,-0.6720109,True,1.0063828,1.0307175
CHAC1,0.70487297,1.3711357,0.66626275,True,0.38694882,0.59036565
TAC1,0.20844011,0.8727231,0.664283,True,0.14300334,0.42467755
ATF5,0.9149669,1.5678979,0.65293103,True,0.44021747,1.1851591
TEK,1.5910075,0.9536205,-0.637387,True,0.4462709,0.47385913
CUZD1,0.5141857,1.1239516,0.6097658,True,0.36897147,0.65879846
STC2,2.132497,2.7310138,0.5985167,True,0.37043837,0.2834615
IQSEC2,1.9034958,1.312141,-0.59135485,True,0.3713815,0.45515314
ALDH2,0.9392132,1.5125382,0.573325,False,0.30306822,0.25843176
CTH,1.3418531,1.9018208,0.55996764,True,0.32998702,0.3235929
ZNF516,0.41618332,0.9721108,0.5559275,True,0.26902473,0.4512168
PHGDH,3.219117,3.76543,0.54631305,True,0.0838759,0.08130916
SLC7A5,2.7678742,3.2984147,0.53054047,True,0.20752229,0.12953241
SLC3A2,2.9775004,3.495205,0.5177045,True,0.15079467,0.13299745
GPT2,1.7932483,2.3075285,0.5142802,True,0.22261675,0.1790775
H2AFY2,1.102345,1.6130055,0.5106605,True,0.47343355,0.43086407
