gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
VIM,2.7251427,0.8162319,-1.9089108,True,0.5895071,0.7146261
KCNK5,1.6293068,0.21694529,-1.4123615,True,0.3014025,0.20274478
SHPRH,1.3301153,0.109910384,-1.220205,False,0.2742032,0.106754504
GSN,1.4108883,0.21125792,-1.1996304,False,0.29333594,0.15221046
CLMP,1.2036451,0.43498003,-0.7686651,False,0.32880533,0.28460878
PAPOLA,2.0983639,1.4654112,-0.6329527,False,0.14374205,0.5814993
COL6A1,2.216633,1.7107047,-0.5059284,True,0.22963761,0.4758993
COL6A2,2.213915,1.7392255,-0.4746896,True,0.24217908,0.37601689
FOXRED2,1.3167752,0.9166668,-0.4001084,True,0.33152142,0.44501197
FEZ1,1.0951558,0.6991129,-0.39604294,True,0.36360902,0.32529154
C19orf44,0.49821374,0.11689413,-0.3813196,False,0.23514594,0.0871569
PCLAF,2.9010098,2.52737,-0.37363982,True,0.13584897,0.34624606
CENPP,1.5225999,1.1931838,-0.32941616,False,0.29425368,0.49882805
ANKRD18B,0.4114619,0.09560986,-0.31585205,False,0.2167396,0.07222113
RFC5,1.122068,0.83401704,-0.288051,False,0.28499573,0.33444557
EMC10,2.9251113,2.6455562,-0.27955508,False,0.094860785,0.29754472
CLTB,0.7302415,0.4643508,-0.2658907,False,0.28297845,0.25550464
NOL8,1.1924143,0.93411535,-0.25829893,False,0.3114996,0.39333177
NUP62,2.48288,2.22926,-0.25362015,False,0.13586244,0.2960366
FBLL1,0.7856516,0.5516302,-0.23402143,True,0.330642,0.30328006
ACBD4,0.3145554,0.0808344,-0.233721,False,0.18597028,0.059684563
TNNT1,2.6080759,2.3841934,-0.22388244,True,0.15905327,0.2656449
ATF5,0.9149669,0.70644075,-0.20852613,True,0.44021747,0.38543028
FDXR,1.2778784,1.4840261,0.20614767,True,0.37710968,0.4886459
ANKRD6,0.50776684,0.30725706,-0.20050979,False,0.24919005,0.18124084
SESN1,1.3295916,1.527454,0.19786239,True,0.42911422,0.5704783
CDKN1A,0.13551252,0.33034873,0.19483621,True,0.1684509,0.5043322
EPS8L2,0.89624125,1.0872686,0.19102734,True,0.37565914,0.53247905
AEBP1,1.3963718,1.2161351,-0.1802367,False,0.28618744,0.30324778
ZMAT3,0.61741245,0.7945362,0.17712373,True,0.34243125,0.47817326
PRPS2,0.584142,0.41139796,-0.17274407,False,0.27730006,0.24593142
GRPR,0.8029942,0.63237816,-0.17061603,True,0.6066761,0.50322497
PHLDA3,0.48402876,0.65273154,0.16870278,True,0.32843012,0.49435648
HIST1H3E,1.0670047,1.2253568,0.15835214,True,1.0355052,1.1449357
FOSL1,0.18665719,0.34048674,0.15382954,True,0.15412702,0.3388506
COX20,1.7023284,1.55111,-0.15121841,False,0.25975162,0.34092358
TNFRSF10B,1.6190304,1.7700346,0.1510042,True,0.33569923,0.3739662
FBRSL1,1.2082453,1.0593702,-0.14887512,False,0.30357036,0.34793854
BBC3,0.86217064,1.0105702,0.14839953,True,0.41324192,0.5709647
POLH,0.4251729,0.5735593,0.14838639,True,0.2642011,0.3699006
TM7SF3,1.8696523,2.014371,0.14471865,True,0.2239849,0.27059346
LITAF,2.7599976,2.8988738,0.1388762,True,0.18362416,0.14554796
CHMP2A,1.5065155,1.369371,-0.13714445,False,0.26379693,0.35002503
UCP2,1.7872043,1.6511314,-0.13607287,True,0.28364074,0.3581484
TMC6,0.3888448,0.25505418,-0.13379061,False,0.20806769,0.15123205
MDM2,2.2816887,2.4154363,0.13374758,True,0.197448,0.31715918
EIF4G3,1.9736733,1.8434547,-0.13021863,True,0.2305921,0.2693063
SPPL2B,1.3261851,1.4559144,0.12972927,False,0.30230796,0.25321943
ITGA5,0.7758877,0.6469572,-0.12893051,False,0.31052235,0.30597496
TMEM200A,0.42568362,0.29782504,-0.12785858,False,0.21705776,0.17466813
NEMP1,1.1436186,1.2704101,0.12679148,False,0.30321687,0.25940305
HIST1H1C,3.3517175,3.2263849,-0.1253326,True,1.5421159,1.4747941
CA11,1.782018,1.6568694,-0.12514853,True,0.24894503,0.29269132
H2AFJ,2.0699096,1.9466201,-0.123289466,True,0.22787869,0.24608435
DHRS3,0.8341274,0.95734215,0.12321472,True,0.3343939,0.35616812
DAPK3,2.0303984,1.9074905,-0.12290788,False,0.21307476,0.26576224
TCF7,0.73427695,0.8547574,0.12048048,False,0.30577445,0.33100736
GNG2,1.031178,1.1515162,0.1203382,False,0.32829103,0.29505703
TMEM63A,1.2596389,1.139428,-0.120210886,True,0.43629962,0.43259633
TMEM185A,1.370447,1.4903458,0.119898796,False,0.3143154,0.27317214
BAX,3.2382326,3.3574657,0.11923313,True,0.12913452,0.20716932
TSC2,1.0064622,1.1256493,0.11918712,False,0.28985694,0.2512238
NIN,0.60559845,0.4864308,-0.119167656,False,0.2798726,0.25062835
DLGAP1,0.82358843,0.9423192,0.11873078,True,0.37516907,0.40782374
ASB1,1.3594583,1.477516,0.11805773,False,0.2692872,0.2510291
MKKS,1.152163,1.2695376,0.11737454,False,0.3059426,0.23999731
DYNC1LI1,1.5546093,1.4374422,-0.117167115,False,0.24550228,0.32234243
PDGFA,1.104627,0.987703,-0.11692399,True,0.3449067,0.3248481
YIPF1,1.0413969,0.9245154,-0.11688143,False,0.28690696,0.30562317
SLC25A12,0.79285526,0.90953726,0.11668199,False,0.30569753,0.29782483
HIST1H1D,1.6205581,1.5040345,-0.11652362,True,1.2314817,1.1552503
TAGLN,2.3409328,2.2250285,-0.11590433,True,0.6389723,0.6924351
TBC1D5,1.1444453,1.259614,0.11516869,False,0.3194644,0.28690067
MUC3A,1.0630484,1.177738,0.11468959,True,0.61409867,0.5920058
PTPRU,1.1534938,1.2681547,0.11466098,False,0.3134728,0.3459602
ZSCAN2,1.6491191,1.7634583,0.11433911,False,0.2595455,0.27832255
SLC50A1,1.6969337,1.5826728,-0.11426091,False,0.23256505,0.2872792
TMEM131,1.1317773,1.2458781,0.114100814,False,0.29432222,0.29502013
SESN2,1.1401006,1.2536268,0.113526225,True,0.3993862,0.42339206
TMEM267,0.6501098,0.7634868,0.113376975,False,0.28316215,0.26467955
LINGO1,2.5543387,2.4410925,-0.1132462,True,0.13707355,0.13817386
EPS15L1,1.820262,1.7071946,-0.11306739,False,0.20992082,0.27621338
ZBTB4,0.6642969,0.77724123,0.112944305,False,0.2793226,0.27560493
PCYT1A,1.235276,1.1223779,-0.11289811,False,0.29995736,0.33905855
HESX1,1.250492,1.3632369,0.11274493,True,0.4382072,0.44634506
GPT2,1.7932483,1.680719,-0.11252928,True,0.22261675,0.27300805
TRA2B,1.6344817,1.7465339,0.1120522,False,0.27951452,0.2114352
HELQ,0.7272881,0.6155441,-0.111744046,False,0.29070604,0.25361872
ZNF33B,1.3835163,1.494781,0.111264706,False,0.28911772,0.31384835
MDH1,0.92291635,0.8119272,-0.11098915,False,0.3036598,0.32830524
POMGNT1,1.3078598,1.1972754,-0.11058438,False,0.2760222,0.31291795
DHDDS,1.4813474,1.3712223,-0.110125184,False,0.2604703,0.3317924
SLC43A2,1.0212051,1.1310478,0.10984278,True,0.34650713,0.35441506
NAXE,1.1072533,0.99797344,-0.10927987,False,0.2975691,0.32200024
B9D1,1.6816497,1.5726976,-0.108952045,False,0.2698011,0.26190853
QRICH2,0.25710216,0.36598247,0.10888031,False,0.15540564,0.20000009
TUBB3,1.5669075,1.4582064,-0.10870111,True,0.34727174,0.37559357
TNFRSF10D,0.38644758,0.49498448,0.1085369,False,0.21896702,0.26482752
UTP23,1.5082984,1.616831,0.10853255,False,0.25853863,0.23210934
CRABP1,2.7936456,2.901839,0.1081934,True,0.2094519,0.22931927
LDLRAD3,1.4482641,1.5564392,0.10817504,False,0.2863879,0.25857922
PRKAG1,1.2700764,1.1619567,-0.108119726,False,0.2994977,0.333348
ENTPD1,0.19971634,0.30758047,0.10786413,False,0.13580085,0.21656194
INO80E,2.0447817,1.936994,-0.10778773,False,0.17135203,0.25457898
SLC2A11,0.85475713,0.9616889,0.106931746,False,0.32812303,0.32191813
IMPAD1,1.0214143,1.1278874,0.10647309,False,0.31786737,0.26870966
HILPDA,1.6606444,1.7669865,0.10634208,True,0.2686221,0.26415518
EMP2,1.5409896,1.647212,0.10622239,False,0.266769,0.22005157
BTG2,0.11117711,0.21725623,0.106079124,True,0.11413894,0.26659593
TOB1,1.5985638,1.7043042,0.10574043,True,0.37077996,0.45698345
SLC12A6,0.44988176,0.34428898,-0.10559279,False,0.22537805,0.1880346
ADM,1.0165217,1.1213461,0.104824424,True,0.4694616,0.5371578
PCDHB5,0.9218053,1.0264245,0.104619205,True,0.41279355,0.45724806
DCTPP1,1.403313,1.2989681,-0.104344964,False,0.29673603,0.340935
ATP8A1,1.0998114,0.99576116,-0.10405028,False,0.33461502,0.31818196
HTATSF1,1.7322856,1.628297,-0.10398865,False,0.25954533,0.23291875
ANKRD52,1.0358953,1.1395113,0.103616,False,0.29369193,0.26979825
AMH,0.38034824,0.4836987,0.10335046,False,0.21527453,0.26070186
APTX,1.3794134,1.4823812,0.10296786,False,0.2703205,0.25708696
UHRF1BP1L,0.95614064,0.8535559,-0.10258472,False,0.2959935,0.3005997
NEPRO,1.759583,1.862129,0.10254598,False,0.20140983,0.14212413
RHOBTB2,0.4871609,0.38470352,-0.102457374,False,0.24202634,0.22102012
SYF2,1.5811869,1.4788116,-0.10237527,False,0.24068947,0.31626335
MIB2,0.42530048,0.5274793,0.10217881,False,0.21747844,0.2678537
