target,reference,feature,target_mean,reference_mean,percent_change,fold_change,p_value,statistic,fdr
SIN3B,non-targeting,NOC2L,1.8100752,1.015982,0.7816015481948853,1.7816015481948853,1.978650349484046e-46,14983971.5,1.4641472708869668e-44
SIN3B,non-targeting,KLHL17,0.22695236,0.17249832,0.3156786859035492,1.3156787157058716,0.0016208769948435,11799614.5,0.0109256310832027
SIN3B,non-targeting,HES4,0.016803168,0.0063906466,1.6293377876281738,2.629337787628174,0.0014859215553187,11329421.5,0.0101146273559588
SIN3B,non-targeting,AGRN,5.046206,5.5631676,-0.0929257571697235,0.907074213027954,0.0001716696827785,10175496.0,0.0014324720189861
SIN3B,non-targeting,C1orf159,0.20485504,0.2792699,-0.2664621770381927,0.7335378527641296,0.0002834243332777,10372330.0,0.0022667260154802
SIN3B,non-targeting,B3GALT6,0.074253075,0.11652838,-0.3627897500991821,0.6372102499008179,0.0004804387638214,10589639.5,0.0036559665744937
SIN3B,non-targeting,INTS11,6.470889,6.086618,0.0631337687373161,1.063133716583252,8.57334111772e-05,12241435.5,0.000754213737877
SIN3B,non-targeting,MXRA8,0.34910434,0.5648588,-0.3819617331027984,0.6180382370948792,2.3425802623601733e-13,9344118.0,4.874234825472448e-12
SIN3B,non-targeting,AURKAIP1,4.9569635,3.1471806,0.5750489830970764,1.5750490427017212,1.5425833067188044e-70,15958521.0,1.923884078096757e-68
SIN3B,non-targeting,CCNL2,13.539168,11.209003,0.2078833281993866,1.207883358001709,1.7375623302674563e-27,14105652.5,7.131697373719776e-26
SIN3B,non-targeting,ATAD3C,0.054086704,0.024589155,1.1996161937713623,2.1996161937713623,9.866949501201348e-06,11572282.0,0.0001004473237509
SIN3B,non-targeting,ATAD3B,3.2641053,1.3789184,1.367148995399475,2.367148876190185,8.17317636687728e-122,17466952.5,2.2400863372381184e-119
SIN3B,non-targeting,ATAD3A,3.415277,3.6984425,-0.0765634328126907,0.9234365820884703,0.0085458818856329,10478663.5,0.0464601863782065
SIN3B,non-targeting,TMEM240,0.23496734,0.42226273,-0.4435518085956573,0.556448221206665,1.218770099679807e-14,9320929.5,2.747779957046834e-13
SIN3B,non-targeting,SSU72,17.112751,12.022095,0.4234417080879211,1.4234416484832764,9.87139361428595e-131,17725474.5,3.018175815326212e-128
SIN3B,non-targeting,MMP23B,0.16657357,0.2732023,-0.390292227268219,0.609707772731781,1.3066021065066702e-07,10035927.5,1.6790281280514057e-06
SIN3B,non-targeting,CDK11B,2.869584,2.4324226,0.1797226518392563,1.1797226667404177,1.3929833782590475e-09,12813244.0,2.1779544676362963e-08
SIN3B,non-targeting,NADK,2.1326628,2.9543545,-0.2781290411949157,0.7218709588050842,1.8957024953565724e-25,8383202.5,7.21260545371356e-24
SIN3B,non-targeting,GNB1,3.1639612,3.5670838,-0.1130118295550346,0.8869881629943848,5.59669308994e-05,10102465.5,0.0005078114943352
SIN3B,non-targeting,TMEM52,0.2786119,0.50913835,-0.452777624130249,0.547222375869751,3.976414826424773e-18,9016508.0,1.0914464864393485e-16
SIN3B,non-targeting,GABRD,0.07249126,0.1263557,-0.4262920916080475,0.5737078785896301,6.216430698377289e-06,10399177.0,6.51088499198e-05
SIN3B,non-targeting,PRKCZ,1.3644695,1.917578,-0.2884411811828613,0.7115588188171387,2.1118010741153042e-20,8700618.0,6.480570877511407e-19
SIN3B,non-targeting,FAAP20,0.8510866,1.3297728,-0.3599759340286255,0.6400240659713745,1.1912501157508262e-22,8566238.5,4.051505284570154e-21
SIN3B,non-targeting,SKI,10.750657,11.850527,-0.0928118824958801,0.90718811750412,1.1464521694751608e-09,9549108.0,1.806191636816914e-08
SIN3B,non-targeting,PEX10,1.4238203,1.6983354,-0.1616377681493759,0.8383622169494629,4.67011094591e-05,10093040.0,0.0004293772548164
SIN3B,non-targeting,PANK4,1.5974886,1.3860621,0.1525375247001648,1.1525375843048096,0.0004884379746685,12119124.5,0.0037108506080459
SIN3B,non-targeting,PRXL2B,0.4174791,0.58321327,-0.2841742038726806,0.7158257961273193,3.726581187273571e-08,9782261.5,5.068957859306814e-07
SIN3B,non-targeting,MEGF6,0.37930435,0.6363919,-0.4039767682552337,0.5960232615470886,2.7512850955080137e-15,9169731.5,6.448714557726748e-14
SIN3B,non-targeting,TPRG1L,2.191707,1.7674154,0.2400632500648498,1.2400633096694946,1.2626609620862835e-09,12815247.0,1.9810456909999722e-08
SIN3B,non-targeting,TP73,0.07927211,0.15367001,-0.4841406941413879,0.5158593058586121,3.5522584010146065e-08,10158321.0,4.840667667430116e-07
SIN3B,non-targeting,SMIM1,0.028113691,0.057221852,-0.5086895823478699,0.4913103878498077,0.0005529130887025,10745708.5,0.0041539705705613
SIN3B,non-targeting,LRRC47,11.745068,7.6639924,0.5324999094009399,1.53249990940094,3.316986476516837e-126,17609478.5,9.62618226250793e-124
SIN3B,non-targeting,CEP104,1.8967421,1.6744597,0.1327487379312515,1.1327487230300903,0.0002749840064757,12161657.0,0.0022049779742533
SIN3B,non-targeting,AJAP1,0.4472708,0.6084492,-0.2649003565311432,0.7350996732711792,7.128663454344626e-07,9927036.0,8.415503107205251e-06
SIN3B,non-targeting,KCNAB2,0.25873068,0.40658087,-0.3636427521705627,0.6363572478294373,2.4592277723881305e-10,9663868.5,4.100981195792051e-09
SIN3B,non-targeting,CHD5,0.07913971,0.049632054,0.5945281982421875,1.5945281982421875,7.59969268966e-05,11658411.0,0.0006745112768155
SIN3B,non-targeting,ICMT,11.707222,12.993877,-0.099020130932331,0.9009798765182496,7.36039322995563e-12,9344020.0,1.3796444994048914e-10
SIN3B,non-targeting,ACOT7,4.526734,5.747794,-0.2124398052692413,0.7875601649284363,1.1012210867484929e-23,8488731.0,3.9087907692715297e-22
SIN3B,non-targeting,KLHL21,1.7933303,2.3119652,-0.2243264317512512,0.7756735682487488,1.399586040568276e-10,9462019.0,2.378318457358416e-09
SIN3B,non-targeting,PHF13,3.3841808,3.7520642,-0.0980482771992683,0.9019517302513124,0.0015423667039562,10334337.0,0.0104559392604155
SIN3B,non-targeting,DNAJC11,17.099077,13.441751,0.2720870971679687,1.2720870971679688,8.659562376911146e-62,15644480.0,9.148707894890156e-60
SIN3B,non-targeting,CAMTA1,12.255124,13.160379,-0.0687864124774932,0.9312135577201844,5.7515865881166407e-08,9726852.5,7.672931687231211e-07
SIN3B,non-targeting,PER3,0.32796717,0.48537782,-0.3243054151535034,0.6756945848464966,1.907215348455425e-09,9702236.5,2.9475541514765862e-08
SIN3B,non-targeting,RERE,16.327023,17.04776,-0.0422775447368621,0.9577224254608154,0.0002937551435334,10212237.5,0.0023414764556272
SIN3B,non-targeting,H6PD,0.059549302,0.0910122,-0.3456998169422149,0.6543002128601074,0.0010148222077743,10680166.0,0.0071935958270836
SIN3B,non-targeting,TMEM201,3.2119267,4.2750835,-0.2486868053674698,0.7513132095336914,1.2321797060811711e-26,8313975.5,4.906285953446096e-25
SIN3B,non-targeting,CLSTN1,3.9492357,4.2903357,-0.0795042663812637,0.9204957485198976,0.0022603513716311,10364674.0,0.014666298824948
SIN3B,non-targeting,CTNNBIP1,2.8263376,4.621771,-0.3884730339050293,0.6115269660949707,3.451539451461494e-64,6638323.5,3.8347296158802015e-62
SIN3B,non-targeting,LZIC,5.984789,5.2642174,0.1368810385465622,1.1368809938430786,4.5482498438427446e-08,12655509.0,6.132319260484488e-07
SIN3B,non-targeting,RBP7,0.2465122,0.30677378,-0.1964365243911743,0.8035634756088257,0.0068183030541308,10578343.5,0.0383500381251487
SIN3B,non-targeting,KIF1B,11.319158,12.696689,-0.1084953024983406,0.89150470495224,4.600503497255476e-14,9157914.5,9.99644698706582e-13
SIN3B,non-targeting,PGD,3.0400789,3.794015,-0.1987172067165374,0.8012827634811401,2.1850982443089518e-15,9053769.5,5.1512399500746496e-14
SIN3B,non-targeting,CENPS,2.042757,2.3629293,-0.135498046875,0.864501953125,2.6088502285e-05,10055543.0,0.0002497688360827
SIN3B,non-targeting,DFFA,8.772586,9.365449,-0.0633032172918319,0.9366967678070068,0.0073273501700158,10464702.0,0.0407638669109469
SIN3B,non-targeting,EXOSC10,5.8184824,5.4547,0.066691555082798,1.066691517829895,0.000203828968435,12184026.5,0.0016769583399691
SIN3B,non-targeting,MTOR,5.417816,6.1495924,-0.1189958900213241,0.8810040950775146,1.4944165331212324e-06,9892009.5,1.69550803766e-05
SIN3B,non-targeting,DISP3,0.12427993,0.19252035,-0.354458212852478,0.645541787147522,1.0655897773e-05,10301913.5,0.0001079904888192
SIN3B,non-targeting,FBXO44,0.8412953,0.98522806,-0.1460908055305481,0.8539091944694519,0.0009275894514799,10307737.5,0.0066332386515671
SIN3B,non-targeting,MAD2L2,63.654385,59.006184,0.0787748098373413,1.0787748098373413,4.2577352875226776e-18,13516693.5,1.1671277201962399e-16
SIN3B,non-targeting,DRAXIN,2.6699631,3.1535943,-0.1533587127923965,0.8466413021087646,4.924952603414421e-08,9719557.5,6.614734281131096e-07
SIN3B,non-targeting,CLCN6,2.071827,1.7107935,0.2110327333211898,1.211032748222351,2.63095336497371e-07,12566406.0,3.265662284685204e-06
SIN3B,non-targeting,NPPB,0.0078543145,0.0007102904,10.057891845703123,11.057891845703123,2.023060183504599e-08,11270476.0,2.822729442642626e-07
SIN3B,non-targeting,KIAA2013,4.5339813,3.7653346,0.204137697815895,1.204137682914734,9.17043626425609e-16,13346182.5,2.2081348795758253e-14
SIN3B,non-targeting,PLOD1,1.2763062,1.963839,-0.3500963449478149,0.6499036550521851,4.591241790808743e-27,8292401.0,1.8557936860680096e-25
SIN3B,non-targeting,MFN2,2.2431116,1.7854333,0.2563402056694031,1.2563401460647583,5.487577269743482e-11,12946009.0,9.625398283183602e-10
SIN3B,non-targeting,MIIP,1.4255387,1.6617032,-0.1421219855546951,0.8578780293464661,0.0001132516403122,10150051.5,0.0009743442201444
SIN3B,non-targeting,TNFRSF8,0.34169996,0.66973406,-0.4897975623607635,0.5102024674415588,1.6502000094270608e-26,8440720.0,6.538596574718664e-25
SIN3B,non-targeting,DHRS3,1.0910077,1.3081391,-0.1659849286079406,0.8340150713920593,0.0001397924031325,10168926.5,0.0011837972780923
SIN3B,non-targeting,AADACL3,0.07802397,0.023495253,2.3208396434783936,3.3208396434783936,9.35576083157071e-16,11866960.5,2.2515594440695507e-14
SIN3B,non-targeting,PRAMEF1,0.001989204,7.431496e-05,25.767208099365234,26.767208099365234,0.000702894127574,11203486.0,0.0051605318876548
SIN3B,non-targeting,PDPN,14.7231455,16.106108,-0.0858656987547874,0.9141343235969543,3.331367086133126e-07,9813598.5,4.088454854553823e-06
SIN3B,non-targeting,KAZN,0.470675,0.6197624,-0.2405557781457901,0.7594442367553711,1.7218222289406294e-06,9964653.0,1.93826946636e-05
SIN3B,non-targeting,FHAD1,0.033659812,0.07548778,-0.5541024804115295,0.4458975195884704,1.88837189623e-05,10575285.0,0.000184623259043
SIN3B,non-targeting,EFHD2,2.489458,4.0223007,-0.3810860216617584,0.6189139485359192,1.4950934890740592e-58,6848755.5,1.478196697910627e-56
SIN3B,non-targeting,CASP9,0.8477992,1.0012472,-0.1532568484544754,0.8467431664466858,0.0003968092792566,10245799.5,0.0030756970793345
SIN3B,non-targeting,AGMAT,0.9141242,1.3047867,-0.2994071841239929,0.7005928158760071,3.3872441045045025e-14,9160378.0,7.43220551085454e-13
SIN3B,non-targeting,DDI2,2.7671711,3.0081503,-0.0801087617874145,0.9198912382125854,0.0013482539379791,10323944.5,0.0092788364351046
SIN3B,non-targeting,PLEKHM2,1.0994258,1.3039159,-0.1568276584148407,0.8431723713874817,5.27789435353e-05,10104368.0,0.0004809128458274
SIN3B,non-targeting,TMEM82,0.008194286,0.019386152,-0.5773123502731323,0.4226876199245453,0.0070868014729583,10975793.0,0.039621921773482
SIN3B,non-targeting,FBLIM1,0.97864926,1.1693203,-0.1630614697933197,0.8369385600090027,5.13928160319e-05,10106902.5,0.0004691970075531
SIN3B,non-targeting,SPEN,4.4434385,4.766156,-0.0677102580666542,0.932289719581604,0.0071775174961832,10462847.5,0.0400481603320709
SIN3B,non-targeting,EPHA2,3.5159178,2.8412273,0.2374644577503204,1.237464427947998,5.425606165584428e-12,13038450.0,1.0263126121967614e-10
SIN3B,non-targeting,ARHGEF19,0.67191684,0.90885997,-0.2607036530971527,0.7392963171005249,1.6900976970343467e-09,9594215.0,2.6245676559534753e-08
SIN3B,non-targeting,SZRD1,6.4688606,7.1704555,-0.0978452265262603,0.902154803276062,1.0602494356406657e-07,9756496.5,1.3761499291476152e-06
SIN3B,non-targeting,NECAP2,1.701901,1.9297462,-0.1180700361728668,0.8819299936294556,0.001632496150009,10339875.0,0.010996025032473
SIN3B,non-targeting,CROCC,1.3871201,1.7174504,-0.1923375874757766,0.8076624274253845,1.384983878236744e-07,9772352.0,1.7743286304398174e-06
SIN3B,non-targeting,MFAP2,24.25016,27.860634,-0.1295905113220214,0.8704094886779785,2.9730050440744942e-24,8454197.0,1.077913058760699e-22
SIN3B,non-targeting,ATP13A2,0.7637654,0.89687073,-0.1484108418226242,0.8515891432762146,0.0006462219420208,10284877.5,0.0047825837622575
SIN3B,non-targeting,SDHB,13.596073,10.817163,0.2568981945514679,1.2568981647491455,5.435869374626011e-45,14969125.5,3.876433800679921e-43
SIN3B,non-targeting,PADI2,0.23710614,0.3640738,-0.3487415611743927,0.6512584686279297,5.774023567561987e-08,9920012.0,7.701727284688229e-07
SIN3B,non-targeting,RCC2,5.631675,5.965367,-0.0559382326900959,0.9440617561340332,0.0073917332409643,10465489.5,0.0410677084987509
SIN3B,non-targeting,ARHGEF10L,1.3410327,1.5547523,-0.1374621540307998,0.8625378608703613,0.000113253144733,10151033.0,0.0009743442201444
SIN3B,non-targeting,IGSF21,1.6702607,2.7695215,-0.39691361784935,0.6030863523483276,1.9535361914679799e-38,7701529.0,1.1546561819166856e-36
SIN3B,non-targeting,KLHDC7A,2.4538794,1.0082943,1.4336934089660645,2.4336934089660645,3.652879313979138e-88,16444426.0,6.180042856838067e-86
SIN3B,non-targeting,EMC1,5.811201,3.692432,0.5738140344619751,1.573814034461975,3.123698540092903e-72,16017195.5,4.0215857777032765e-70
SIN3B,non-targeting,MRTO4,1.6070719,1.2100747,0.3280766308307647,1.3280766010284424,1.1265981349108045e-12,13084292.5,2.236455837117521e-11
SIN3B,non-targeting,AKR7A2,1.3213918,1.5499127,-0.1474411189556121,0.8525588512420654,0.0001056621082492,10145707.0,0.0009137615994007
SIN3B,non-targeting,TMCO4,0.1635525,0.22572225,-0.275425910949707,0.724574089050293,0.0002206492551725,10407716.5,0.0018020863097873
SIN3B,non-targeting,OTUD3,1.8134619,1.5594373,0.1628950536251068,1.1628950834274292,1.66766294074e-05,12340163.5,0.0001642975895125
SIN3B,non-targeting,PLA2G2A,0.07777087,0.046121772,0.6862072348594666,1.686207294464111,0.0003192458227775,11595192.5,0.0025262449561531
SIN3B,non-targeting,PLA2G2D,0.0013830345,8.198087e-05,15.870210647583008,16.870210647583008,0.0023442035823523,11203193.5,0.0151521899906802
SIN3B,non-targeting,UBXN10,0.1378524,0.21030818,-0.3445219099521637,0.6554780602455139,8.595335307465177e-06,10272860.5,8.82457244945e-05
SIN3B,non-targeting,VWA5B1,0.01873725,0.047053784,-0.6017907857894897,0.3982091844081878,0.0001080749180154,10734413.0,0.0009327833290618
