gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
SIN3B,1.8125606,0.18395168,-1.628609,False,0.20602244,0.18096064
RPP25,1.2558049,0.13802399,-1.1177809,False,0.31804785,0.11107883
H1F0,0.903924,2.0209343,1.1170104,True,0.8330141,1.2169137
MT-ND4,1.8822018,2.8541787,0.9719769,True,0.9863533,0.92322695
MT-ATP6,1.7147563,2.6494322,0.93467593,True,0.97399217,0.9506412
JPH1,1.4764317,0.559081,-0.9173507,True,0.30806914,0.37903622
GPAM,0.8377097,1.7547436,0.91703385,False,0.3144107,0.30771324
LEFTY1,0.40002847,1.2805253,0.88049686,True,0.4464706,1.3112799
MT-ND3,1.7554234,2.5850358,0.8296124,True,0.78610706,0.6943468
PLAAT3,1.6658874,2.494858,0.8289707,True,0.36285684,0.24265955
IDH3B,1.9288323,2.7409918,0.81215954,False,0.1918972,0.113962404
SLC35B1,2.1967466,2.9919686,0.79522204,False,0.16771555,0.12883279
RAB17,1.5537531,2.3228486,0.7690954,True,0.5508224,0.5032532
SERPINB9,1.3378824,2.0926397,0.7547573,True,0.5634636,0.7547549
WARS,2.3117876,3.055963,0.74417543,True,0.15940808,0.12449665
TMEM132B,2.347176,1.604272,-0.74290407,True,0.22685683,0.5000192
CHAC1,0.70487297,1.4423715,0.7374985,True,0.38694882,0.67757577
FOXRED2,1.3167752,0.5855144,-0.7312608,True,0.33152142,0.3130742
MT-CO2,1.645371,2.3598707,0.7144997,True,0.917779,0.8199118
SFRP1,4.2489777,3.5415907,-0.707387,True,0.12169684,0.26018783
KCNQ2,2.6212773,1.9156936,-0.7055837,False,0.12072165,0.33887306
NTS,1.4767022,2.1752362,0.698534,True,0.7286999,0.6127724
LPCAT3,1.8129568,1.116452,-0.69650483,False,0.2130919,0.48007837
IMPDH2,2.7605798,2.0692647,-0.6913152,False,0.10685332,0.24079905
SCGB3A2,2.1600077,2.8457427,0.685735,True,1.0063828,0.3678458
DDIT4,0.8543927,1.5353838,0.6809911,True,0.7079657,0.8207459
ASMTL,2.1858873,1.5076139,-0.67827344,False,0.18091886,0.3184608
DACT1,0.9510262,1.6125692,0.661543,True,0.5183046,0.6062425
STC2,2.132497,2.7927554,0.6602583,True,0.37043837,0.28254738
HIST3H2A,1.126817,1.7826852,0.6558682,True,0.58922714,0.69700074
ZNF830,1.3385408,1.994049,0.65550816,False,0.27587196,0.19847153
MT1X,1.2593601,1.9112048,0.65184474,True,0.58770955,0.42569
GRPR,0.8029942,1.4543152,0.651321,True,0.6066761,0.7773956
PCLAF,2.9010098,2.249851,-0.6511588,True,0.13584897,0.24923365
TCF25,1.8957157,1.2583786,-0.6373371,False,0.20797895,0.3843501
CPS1,0.62011623,1.2554064,0.63529015,True,0.31480277,0.35136238
EDNRB,1.2057792,1.8390621,0.6332829,True,0.57471013,0.42063728
GATB,1.0432979,1.6751393,0.6318414,False,0.29381016,0.2389786
NGDN,1.9573954,2.5831099,0.6257144,False,0.19233735,0.12098513
VGF,0.23315704,0.85883516,0.6256781,True,0.16754194,0.4856859
INHBE,0.40389985,1.0282042,0.62430435,True,0.249757,0.53097486
LEFTY2,0.27116945,0.88962644,0.61845696,True,0.24489297,0.78259814
PLTP,1.7964249,1.1796615,-0.61676335,True,0.26172176,0.3143756
LAMP1,3.222296,3.833614,0.6113181,False,0.078625515,0.07759878
ATP6V1C1,1.7238432,2.329188,0.6053449,False,0.23670387,0.19572803
CCDC169,1.0565683,1.6616466,0.60507834,True,0.37135482,0.32453164
LMO3,1.0553634,0.45131832,-0.6040451,True,0.47546923,0.30750632
CCN2,1.3984216,1.9907823,0.5923606,True,0.8199761,0.8011503
IMPA2,2.7035964,2.1131878,-0.59040856,False,0.09885189,0.26421165
CBS,3.19395,2.6091712,-0.5847788,False,0.0729397,0.30781895
ATAD3B,0.8642355,1.446831,0.58259547,False,0.30543157,0.31878924
MED6,1.8062088,2.3796592,0.5734503,False,0.1927011,0.13639368
UCP2,1.7872043,1.2165539,-0.57065034,True,0.28364074,0.40820995
TMEM208,1.6779091,2.2417412,0.56383204,False,0.22870718,0.16713847
NKAIN1,1.7626178,1.2051347,-0.5574831,False,0.22594118,0.34389436
SDF2L1,1.7957741,1.2401781,-0.555596,True,0.30096847,0.36485985
TBC1D23,0.5293636,1.0819486,0.55258507,False,0.23949172,0.32092318
PLXND1,1.5982894,1.0482658,-0.55002356,True,0.2975896,0.4399138
RGS5,1.525954,2.0750692,0.5491152,True,0.48766956,0.44373104
TSN,2.62751,3.171477,0.543967,False,0.10144313,0.09668763
NAGPA,0.7929307,1.3368801,0.54394937,False,0.29188797,0.3166988
TRMT1,2.4572082,3.000394,0.54318595,False,0.13759476,0.10987483
KLHDC7A,0.69530964,1.236467,0.54115736,True,0.33574003,0.4145094
HIST1H1C,3.3517175,3.8912985,0.53958106,True,1.5421159,1.0678705
CTSA,1.8318236,2.3711927,0.5393691,False,0.22640659,0.16510053
MMP17,0.97544795,0.43677768,-0.5386703,True,0.36952886,0.27549264
TPD52L2,2.5431578,3.0817688,0.53861094,False,0.1162049,0.09982518
RASGRF2,0.75367785,1.2866309,0.532953,True,0.38033068,0.44967797
EVL,2.518579,1.9875396,-0.53103936,False,0.14782168,0.35942557
SESN2,1.1401006,1.6697439,0.5296433,True,0.3993862,0.49657515
SCNN1A,2.0462866,1.5190339,-0.5272527,False,0.18686081,0.33087954
NABP2,2.6356032,2.1085634,-0.52703977,False,0.12669413,0.20634355
TUB,1.627306,1.1061044,-0.5212016,True,0.29296118,0.40391746
TMEM64,1.3649961,1.8850664,0.5200703,True,0.3572356,0.43362612
WNK2,1.7044436,1.1853323,-0.5191113,False,0.24631333,0.37040818
CCDC59,2.144526,2.662731,0.5182049,False,0.18250832,0.116830595
MT-ND6,0.8967327,1.4146544,0.5179217,True,0.68610394,0.7365888
NODAL,0.39589173,0.9133208,0.51742905,True,0.29222062,0.58883625
CTNNAL1,2.2684295,1.7523403,-0.5160892,False,0.15609519,0.27880952
LGALS3BP,0.8557771,0.34045708,-0.51532,True,0.35664523,0.21759698
GDPD2,1.3856034,0.87427175,-0.5113317,True,0.3390894,0.3321738
ATP6V1G1,2.5600414,3.0690594,0.50901794,False,0.10551485,0.07591011
MEF2B,0.32470265,0.83030504,0.50560236,True,0.20306997,0.5464455
ZFHX2,1.0813086,0.5802373,-0.5010713,False,0.3183819,0.32508436
JAKMIP2,1.282878,0.7823342,-0.50054383,True,0.41678047,0.3938064
NPR1,1.1440488,0.64633375,-0.49771506,True,0.33606455,0.32771584
ZMIZ2,2.2124455,1.7168772,-0.49556828,False,0.1635751,0.2715125
TOMM7,2.7090468,3.2043738,0.495327,False,0.11932662,0.086681604
SEMA5B,1.0078297,0.51344854,-0.49438113,False,0.33178556,0.2862014
SPNS1,1.6797327,2.1729834,0.49325073,False,0.21495554,0.13708319
NDUFAB1,3.219103,3.7102208,0.49111772,False,0.06115461,0.054285415
IRAK1,1.2967912,0.80969715,-0.48709404,True,0.35139808,0.36141026
GALK1,0.91585314,0.42878082,-0.48707232,False,0.3046873,0.2398042
GSDMD,1.242641,0.7575434,-0.4850976,False,0.30310738,0.3336166
LMCD1,0.89934635,1.3843193,0.48497295,True,0.37876225,0.33873835
LINGO1,2.5543387,2.0695772,-0.48476148,True,0.13707355,0.24494328
HIST1H3H,0.80666834,1.2911477,0.48447937,True,0.4625127,0.7214076
CCDC141,0.8916808,1.3752221,0.4835413,True,0.44828832,0.4414541
PYCR1,2.0088482,1.5269281,-0.48192012,False,0.2181221,0.3900371
HMGCS1,3.5301554,3.0485187,-0.48163676,True,0.36374408,0.44722304
SOHLH2,0.675917,1.1543982,0.47848117,True,0.33369392,0.40769535
HAX1,2.1175966,2.5944142,0.4768176,False,0.16262452,0.16059183
VASH2,3.0354705,2.5598412,-0.47562933,True,0.14533351,0.2113796
AMOTL1,1.576115,1.1018786,-0.47423637,True,0.32757238,0.3988672
VEPH1,0.7871281,1.2601755,0.47304738,False,0.32676998,0.3580106
RNF167,2.669885,3.142662,0.47277713,False,0.097243235,0.08056802
PROM1,2.3386636,1.8665271,-0.4721365,True,0.22140999,0.3137458
SPART,1.7157133,2.1870494,0.47133613,True,0.31890935,0.2720245
ABCB6,1.9179952,1.4476972,-0.47029805,True,0.23644073,0.38053602
CRIP1,0.21493559,0.68081075,0.46587515,True,0.1463825,0.36282083
SGSM3,1.27479,0.81072813,-0.46406192,False,0.2924839,0.35568345
