gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
SIX4,1.8679167,0.25070098,-1.6172158,True,0.26283816,0.20279098
S100A11,1.5742178,1.199418,-0.37479985,True,0.29990643,0.34125668
HSPA2,1.1836619,0.8316512,-0.35201073,True,0.39147896,0.37069625
SERPINF1,1.6192932,1.2692833,-0.35000992,True,0.29321593,0.32070014
TUBA4A,1.6588391,1.3197204,-0.33911872,True,0.27253002,0.32855734
VIM,2.7251427,2.3863697,-0.338773,True,0.5895071,0.60240746
SCGB3A2,2.1600077,2.449501,0.28949332,True,1.0063828,0.7591229
TMEM59L,0.6454841,0.37166926,-0.27381483,True,0.3119143,0.21552964
DUSP6,2.2662961,2.0103054,-0.25599074,True,0.42365897,0.49008572
PIM1,1.5815667,1.3325248,-0.24904191,True,0.35547683,0.34620956
WFDC2,2.037881,1.7914572,-0.24642372,True,0.29843947,0.34224027
TNNT2,0.4746938,0.22838545,-0.24630836,True,0.27036434,0.15793864
PLAAT3,1.6658874,1.8889594,0.22307205,True,0.36285684,0.3499706
IGDCC3,1.6520493,1.4416631,-0.21038616,True,0.28605288,0.3210488
GAL,2.7219493,2.9307492,0.20879984,True,0.35849097,0.3257393
CALB1,0.8725808,0.66451126,-0.20806956,True,0.37383825,0.33406156
AKAP7,1.5629597,1.7617239,0.1987642,True,0.41213223,0.40659326
SERPINB9,1.3378824,1.5305406,0.19265819,True,0.5634636,0.60680825
IFITM2,1.2751677,1.0862792,-0.18888855,False,0.3039205,0.3586381
ACTN3,0.69950247,0.51699805,-0.18250442,True,0.31380337,0.25413156
SORBS2,1.0052477,1.1848131,0.17956543,True,0.43276674,0.442276
SYT4,0.58140266,0.75306255,0.17165989,True,0.34853083,0.4185339
PDLIM7,1.0587308,0.8930671,-0.16566372,False,0.31141394,0.306059
CCDC169,1.0565683,1.2221452,0.16557693,True,0.37135482,0.36331594
MT1X,1.2593601,1.4238296,0.16446948,True,0.58770955,0.6044458
LOXL2,1.8198686,1.6563946,-0.16347396,True,0.26679,0.3084133
COL1A1,2.260025,2.421887,0.1618619,True,0.40600464,0.42399022
HTR3A,0.53426933,0.3734651,-0.16080424,False,0.26855594,0.21360575
