gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
SLC25A3,3.2229946,0.4613642,-2.7616303,False,0.064235,0.32775795
MFGE8,3.6756303,2.6894007,-0.98622966,True,0.10762995,0.3508514
HAPLN3,1.6817214,0.87297165,-0.8087498,True,0.28374058,0.39432004
PLAAT3,1.6658874,1.9969897,0.33110237,True,0.36285684,0.3293293
CHAC1,0.70487297,1.0191098,0.31423688,True,0.38694882,0.46387747
STC2,2.132497,2.440812,0.30831504,True,0.37043837,0.29903755
TMEM64,1.3649961,1.6215553,0.25655925,True,0.3572356,0.3728814
LOXL1,1.073288,0.8167998,-0.25648814,True,0.37352282,0.34169284
H1F0,0.903924,1.151971,0.248047,True,0.8330141,1.0936066
PCK2,2.0146055,2.2592332,0.24462771,True,0.285465,0.2620839
KLF15,0.61699224,0.85543674,0.2384445,True,0.29440027,0.333864
DDIT4,0.8543927,1.0920392,0.23764652,True,0.7079657,0.8200207
LDB1,2.5566175,2.3193908,-0.23722672,False,0.11210536,0.15378101
PSAT1,3.8175943,4.0433803,0.22578597,True,0.09711025,0.09699257
CTH,1.3418531,1.5634712,0.22161806,True,0.32998702,0.32583314
MMP24,1.0542948,1.2717505,0.21745563,True,0.3902179,0.394642
SLC7A11,2.2569587,2.4725013,0.21554255,True,0.3321765,0.29524636
RYR1,0.42642382,0.21243264,-0.21399118,False,0.23216559,0.13990295
ASS1,1.6960539,1.9067373,0.21068347,True,0.34041834,0.30194315
MT-ND3,1.7554234,1.5554757,-0.19994771,True,0.78610706,0.7441002
SLC7A5,2.7678742,2.9650543,0.19718003,True,0.20752229,0.18126346
FRMD4A,1.6353006,1.4451545,-0.19014609,False,0.27279782,0.30839297
JPH4,1.3973159,1.2093801,-0.18793571,True,0.34740102,0.37180132
COL1A1,2.260025,2.0749989,-0.18502617,True,0.40600464,0.38248363
JDP2,0.87636673,1.0594326,0.18306589,True,0.35009328,0.40021083
SESN2,1.1401006,1.3195267,0.17942607,True,0.3993862,0.45528156
BTBD17,1.1946275,1.015414,-0.17921352,True,0.37292463,0.36862266
MT-ND4,1.8822018,2.0596075,0.17740571,True,0.9863533,1.0914236
BRI3,1.9457042,2.1229715,0.17726731,False,0.19502924,0.15870808
CACNG8,0.5332423,0.36218804,-0.17105424,True,0.27113855,0.19286002
OPN3,0.9301242,0.76000136,-0.17012286,True,0.42169705,0.38543132
HOMER2,1.1476165,1.3169047,0.16928816,False,0.34048393,0.31091195
SNCA,0.9291017,0.760374,-0.1687277,True,0.3752323,0.35113025
POLR3G,2.6291654,2.7971318,0.16796637,True,0.22044568,0.13637088
TLCD1,1.1705962,1.0028578,-0.16773844,False,0.326402,0.33381912
TMEM132B,2.347176,2.1802516,-0.16692448,True,0.22685683,0.27148822
TNNT1,2.6080759,2.441445,-0.16663074,True,0.15905327,0.17411105
SPART,1.7157133,1.8822076,0.16649437,True,0.31890935,0.29994616
VLDLR,1.3306402,1.4965012,0.16586101,True,0.42473996,0.386101
VIM,2.7251427,2.8898537,0.164711,True,0.5895071,0.5891657
SERPINB9,1.3378824,1.5019722,0.1640898,True,0.5634636,0.6377951
MEF2B,0.32470265,0.48624346,0.1615408,True,0.20306997,0.28874552
CA11,1.782018,1.6213835,-0.1606344,True,0.24894503,0.24845748
C12orf75,1.8905792,2.0497727,0.15919352,True,0.26363477,0.24209106
KLF10,1.0933926,0.93465304,-0.15873957,True,0.34607023,0.3286919
HMOX1,1.7928151,1.9503423,0.15752721,True,0.41226184,0.42066643
FOS,0.78461546,0.9413361,0.15672064,True,0.56241494,0.716862
PLAAT5,0.27086484,0.4257659,0.15490106,True,0.18065967,0.26035053
FBLL1,0.7856516,0.93953735,0.15388572,True,0.330642,0.32845682
SDF2L1,1.7957741,1.6442,-0.15157413,True,0.30096847,0.31577447
PPP1R17,0.5791453,0.42803827,-0.15110704,True,0.36212915,0.27506164
UCP2,1.7872043,1.6376332,-0.14957106,True,0.28364074,0.3100401
C8orf88,0.92946535,1.0787339,0.14926857,False,0.31409064,0.31483576
LMO3,1.0553634,0.90711385,-0.14824957,True,0.47546923,0.42084613
LRRC58,1.585483,1.7324167,0.1469338,True,0.29369226,0.25583982
NPR1,1.1440488,0.9985762,-0.14547259,True,0.33606455,0.33189845
RASGRP2,1.3544939,1.2110981,-0.14339578,True,0.34762353,0.3426285
EPHB6,1.44478,1.3025944,-0.14218557,True,0.31676742,0.3597147
DTNA,1.0392054,1.1806109,0.14140546,True,0.44757935,0.46834314
ID3,1.931087,1.7906523,-0.14043474,True,0.3423298,0.3696171
HPDL,1.5688995,1.4290718,-0.13982773,True,0.32727882,0.32670295
HIST1H3E,1.0670047,0.9275058,-0.13949889,True,1.0355052,0.88014174
ODC1,2.3060384,2.4433434,0.13730502,True,0.22573909,0.18500924
AZIN1,2.0886452,2.2258725,0.1372273,False,0.17794104,0.17405355
BST2,1.1939828,1.0569217,-0.13706112,True,0.5915028,0.56586826
LCK,1.4720908,1.3350954,-0.13699543,False,0.29680485,0.32053545
SERPINB6,1.3203832,1.4570441,0.13666093,True,0.34365404,0.33018553
HIST1H1D,1.6205581,1.7565055,0.13594735,True,1.2314817,1.2355502
WTIP,1.2946142,1.4305189,0.13590467,True,0.35613766,0.35798883
MANF,3.0428514,2.907214,-0.13563752,True,0.17066789,0.18548779
SLC43A1,1.1609708,1.2965531,0.13558233,False,0.30905944,0.2978049
SPIB,0.7880941,0.6528881,-0.13520598,True,0.35440066,0.32275778
C13orf42,0.8197307,0.6851955,-0.1345352,True,0.4382594,0.40012822
NLGN2,2.1208851,1.986494,-0.13439119,False,0.185687,0.2227194
TXNIP,0.36665714,0.23423195,-0.13242519,True,0.25791046,0.18858212
HEXIM1,1.8267198,1.6947535,-0.13196623,True,0.2798919,0.28459495
STX3,1.8876352,2.0190248,0.13138962,False,0.21896623,0.2057149
DGKK,0.9637905,0.8326882,-0.13110226,True,0.4367179,0.4249942
GRB10,1.5261185,1.6564265,0.13030803,False,0.268858,0.26943856
DGUOK,2.6485465,2.518532,-0.13001442,False,0.094556935,0.11199043
MTHFD2,2.8751297,3.0047536,0.12962389,True,0.11284972,0.12230456
DHCR7,2.2212503,2.0919693,-0.12928104,True,0.27521834,0.26686275
TESMIN,2.0250597,1.8960758,-0.12898386,False,0.21658781,0.25254148
DACT1,0.9510262,1.0797678,0.12874162,True,0.5183046,0.51463956
NFE2L2,1.7563305,1.8844947,0.12816417,False,0.2560396,0.23904173
NHSL1,1.0050527,1.1327616,0.12770891,False,0.31409183,0.31143415
CXCL12,2.1549044,2.0282304,-0.12667394,True,0.21823983,0.26164693
MSMO1,2.504345,2.3779395,-0.12640548,True,0.36301106,0.34319276
HMGCR,3.3971014,3.2708626,-0.12623882,True,0.26202345,0.26114726
FNIP1,0.883838,1.0098293,0.12599128,False,0.3051721,0.3023447
ELOVL6,2.2672312,2.1413147,-0.12591648,True,0.17385457,0.18623477
ALDH2,0.9392132,1.064441,0.12522775,False,0.30306822,0.2924006
SHMT2,1.9814478,2.105945,0.124497294,True,0.205803,0.19459634
S100A4,0.6748618,0.55070776,-0.12415403,True,0.3450312,0.2892304
PKDCC,2.017514,1.8934034,-0.12411058,True,0.58726704,0.5511411
METTL7A,1.1035215,0.9796733,-0.12384814,True,0.36541176,0.36025113
CDH2,1.6087554,1.732229,0.123473644,True,0.33867648,0.31609768
IGSF8,1.729577,1.606269,-0.12330794,False,0.23068276,0.22844163
STXBP6,1.1174883,1.2406902,0.12320197,True,0.3900172,0.37425405
TUBB2A,3.9533803,4.0760818,0.12270141,True,0.1378518,0.13903242
THY1,3.2316704,3.1094596,-0.12221074,True,0.10670034,0.10548879
ATP1B2,1.2254541,1.103396,-0.122058034,True,0.3508382,0.3403019
LDLR,1.7909238,1.6695157,-0.121408105,True,0.40857795,0.4565378
HMGCS1,3.5301554,3.4088407,-0.121314764,True,0.36374408,0.3848058
S100A10,3.133715,3.2549236,0.12120867,True,0.22135624,0.20585787
GARS,1.5556651,1.6763746,0.12070942,False,0.26123875,0.23850793
RESF1,2.7294614,2.609573,-0.119888544,True,0.16309927,0.19599074
VEGFA,1.5524551,1.6720707,0.119615674,True,0.3067676,0.2833685
SC5D,2.5574994,2.4379742,-0.119525194,True,0.2014049,0.20952058
UHRF1,2.392236,2.2729683,-0.1192677,True,0.2816612,0.30636197
FAM102B,1.0067161,1.125779,0.1190629,True,0.35912716,0.34219956
R3HCC1L,1.2242712,1.1052493,-0.11902189,False,0.29994145,0.31350693
GPT2,1.7932483,1.9120984,0.11885011,True,0.22261675,0.22907387
FLCN,0.90151346,1.0197735,0.118260026,False,0.30853882,0.32268506
FOXO3,1.194357,1.3125663,0.11820924,False,0.3155866,0.30197155
SLC34A2,0.35625184,0.47410047,0.117848635,True,0.22300075,0.28795588
PIGM,1.0035292,0.88576424,-0.11776495,False,0.30711925,0.3004733
C9orf135,1.0159495,1.1336794,0.1177299,True,0.37919602,0.3717534
COCH,0.64445984,0.7618219,0.11736208,True,0.3147069,0.32893407
PLPP1,1.5364559,1.6537447,0.11728883,True,0.27941385,0.26880628
SPTSSB,0.90169275,0.78511524,-0.116577506,True,0.38103697,0.35007104
NQO2,2.2694356,2.3857408,0.11630511,True,0.19669998,0.19086933
SERPINF1,1.6192932,1.5034568,-0.11583638,True,0.29321593,0.31236088
