target,reference,feature,target_mean,reference_mean,percent_change,fold_change,p_value,statistic,fdr
SLC39A6,non-targeting,SDF4,8.160065,9.255539,-0.11835877597332,0.8816412091255188,0.0007767205333561,2902340.0,0.0056467566117891
SLC39A6,non-targeting,UBE2J2,6.1313004,6.9614334,-0.1192474216222763,0.8807525634765625,0.0063797107761586,2995682.0,0.0362278627979033
SLC39A6,non-targeting,INTS11,7.601448,6.086618,0.2488787919282913,1.248878836631775,3.578870238065282e-11,4373370.5,6.368489278982346e-10
SLC39A6,non-targeting,MXRA8,0.39800322,0.5648588,-0.2953934371471405,0.7046065926551819,0.0030660347500956,2989435.5,0.0191912439957521
SLC39A6,non-targeting,CCNL2,13.60902,11.209003,0.2141150832176208,1.2141151428222656,8.908088980246613e-11,4353308.0,1.5380873059418612e-09
SLC39A6,non-targeting,ATAD3C,0.066704415,0.024589155,1.7127574682235718,2.7127575874328613,0.0060749872470494,3528676.0,0.034734705291782
SLC39A6,non-targeting,MIB2,0.77001536,0.53207743,0.4471866488456726,1.4471867084503174,0.0002051408993092,3910604.0,0.0016867030042651
SLC39A6,non-targeting,CDK11B,1.8895395,2.4324226,-0.223186194896698,0.776813805103302,7.43472147547e-05,2813911.0,0.000660723367407
SLC39A6,non-targeting,MEGF6,0.8380604,0.6363919,0.3168935775756836,1.3168935775756836,0.005986083887565,3782446.5,0.034298335188457
SLC39A6,non-targeting,TPRG1L,1.2079185,1.7674154,-0.3165621757507324,0.6834378242492676,1.38215729700607e-06,2687378.0,1.57522717661e-05
SLC39A6,non-targeting,LRRC47,8.271566,7.6639924,0.0792764350771904,1.079276442527771,0.004151240225469,3820107.0,0.0250089711360771
SLC39A6,non-targeting,CEP104,1.4057608,1.6744597,-0.16046904027462,0.8395309448242188,0.0077617492493341,3006050.5,0.0428129923814635
SLC39A6,non-targeting,C1orf174,3.296681,4.152028,-0.2060070782899856,0.7939929366111755,9.29714918777e-05,2821693.0,0.0008123286380765
SLC39A6,non-targeting,NPHP4,0.21051528,0.33805472,-0.3772745430469513,0.6227254271507263,0.0007792016768881,2967261.0,0.0056633522658573
SLC39A6,non-targeting,ICMT,11.54817,12.993877,-0.1112606525421142,0.8887393474578857,0.0001988924072386,2849364.5,0.0016399009133869
SLC39A6,non-targeting,TNFRSF25,0.28928965,0.45788848,-0.3682093620300293,0.6317906379699707,0.0002096740512856,2898693.0,0.0017207148323924
SLC39A6,non-targeting,PLEKHG5,0.4691062,0.9499248,-0.5061649084091187,0.4938350617885589,1.5514414964923867e-11,2421942.5,2.838117597630592e-10
SLC39A6,non-targeting,KLHL21,1.8691249,2.3119652,-0.1915428191423416,0.8084571957588196,0.0040359013692089,2974194.0,0.0243940460302091
SLC39A6,non-targeting,PHF13,3.2112815,3.7520642,-0.1441293805837631,0.8558706045150757,0.0048075631576404,2982122.0,0.0283930994850191
