gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
ACAA2,3.0552914,0.97710127,-2.07819,False,0.07118245,0.8692933
KDELR1,2.4304466,0.7561729,-1.6742737,False,0.11572694,0.63119376
SNX4,1.527394,0.2048163,-1.3225777,False,0.28586853,0.20452204
IFITM3,1.4483403,0.6176602,-0.8306801,False,0.28981033,0.48446316
HDDC3,1.0530919,0.32844812,-0.72464377,False,0.32406655,0.25180802
MOV10,1.6590405,0.9394766,-0.71956384,True,0.2772971,0.4285434
SPINT2,3.1217473,2.4243677,-0.6973796,False,0.069708526,0.57400775
MSN,2.6362638,1.9450641,-0.6911998,False,0.13300376,0.6841168
IFITM2,1.2751677,0.67206836,-0.60309935,False,0.3039205,0.42531663
RAB13,3.1653655,2.5660443,-0.5993211,True,0.15702635,0.77269447
IFNGR2,1.3856102,0.7886653,-0.5969449,False,0.2906372,0.5100458
SMAGP,0.55212164,0.038188014,-0.5139336,False,0.26785856,0.024919745
ASS1,1.6960539,2.1885703,0.4925164,True,0.34041834,0.41503257
PKN3,0.7671399,0.32328358,-0.44385633,False,0.30605397,0.2365415
PCK2,2.0146055,2.445896,0.4312904,True,0.285465,0.32278973
COL1A1,2.260025,1.8413764,-0.4186486,True,0.40600464,0.5387368
IFI30,1.543998,1.135342,-0.408656,True,0.3189709,0.44714236
STC2,2.132497,2.539266,0.40676904,True,0.37043837,0.3402337
INHBE,0.40389985,0.79774475,0.3938449,True,0.249757,0.47400936
DDIT4,0.8543927,1.2342769,0.37988418,True,0.7079657,0.84344137
SLC7A11,2.2569587,2.625564,0.36860538,True,0.3321765,0.40006682
LITAF,2.7599976,2.403214,-0.35678363,True,0.18362416,0.2538416
PSAT1,3.8175943,4.173216,0.35562158,True,0.09711025,0.14453247
JPH4,1.3973159,1.0469499,-0.350366,True,0.34740102,0.40611568
TNNT1,2.6080759,2.27241,-0.33566594,True,0.15905327,0.3093649
SNX24,0.83447593,0.50739646,-0.32707947,False,0.2986103,0.28408042
CHAC1,0.70487297,1.0317187,0.32684577,True,0.38694882,0.5226015
SHMT2,1.9814478,2.2983458,0.316898,True,0.205803,0.21322459
CUZD1,0.5141857,0.8309822,0.31679648,True,0.36897147,0.53143376
MEF2B,0.32470265,0.63868594,0.3139833,True,0.20306997,0.4036285
S100A11,1.5742178,1.8838469,0.30962908,True,0.29990643,0.27225024
RAB17,1.5537531,1.2533381,-0.30041504,True,0.5508224,0.60643667
H2AFY2,1.102345,1.4027363,0.30039132,True,0.47343355,0.47792682
OLFML3,1.0210904,0.7258728,-0.29521757,True,0.34903526,0.3925635
ADGRG2,0.4277186,0.13995059,-0.287768,False,0.22363964,0.09967704
TAGLN,2.3409328,2.6246233,0.28369045,True,0.6389723,0.70695865
CTH,1.3418531,1.6107852,0.2689321,True,0.32998702,0.34971914
SESN2,1.1401006,1.4069649,0.2668643,True,0.3993862,0.44523612
TNNI3,0.83893996,0.5776719,-0.26126808,True,0.34279716,0.32353815
NTS,1.4767022,1.7309693,0.2542671,True,0.7286999,0.7084154
GNA14,0.3345889,0.5876786,0.25308973,True,0.25330648,0.41687787
PLEKHA6,1.0878862,0.8401627,-0.24772352,True,0.41469467,0.4204116
CPNE2,0.6901576,0.44411814,-0.24603945,False,0.28405464,0.22984004
FZD2,0.7157441,0.95988715,0.24414307,True,0.36336026,0.36003807
RND3,1.4510654,1.6936027,0.24253726,True,0.5110513,0.45485315
ZNF516,0.41618332,0.65595347,0.23977014,True,0.26902473,0.37720764
CECR2,2.4972405,2.2575397,-0.2397008,False,0.12902552,0.17165056
RCN1,3.3493829,3.5874336,0.2380507,True,0.09346149,0.09321695
SLC7A5,2.7678742,3.0055296,0.2376554,True,0.20752229,0.26808324
MYL9,1.8118736,2.0488462,0.23697269,True,0.4087449,0.4117398
IFRD1,2.5512347,2.7844973,0.23326254,True,0.24225035,0.24822469
LEFTY1,0.40002847,0.6285955,0.228567,True,0.4464706,0.78277534
ALDH2,0.9392132,1.1662382,0.22702497,False,0.30306822,0.3622188
TMEM63A,1.2596389,1.4863329,0.22669399,True,0.43629962,0.47978732
ASB6,0.5824517,0.36248332,-0.21996838,False,0.2510162,0.20581082
ANXA3,0.64711624,0.866645,0.21952873,True,0.37550318,0.46901792
HMCES,2.0187428,1.8017284,-0.21701443,False,0.18489158,0.23408191
PROM1,2.3386636,2.555448,0.21678448,True,0.22140999,0.2177196
DGKK,0.9637905,0.74864227,-0.21514821,True,0.4367179,0.4026966
WARS,2.3117876,2.5268059,0.21501827,True,0.15940808,0.16703351
ATF5,0.9149669,1.1294457,0.21447879,True,0.44021747,0.6754589
PYCR1,2.0088482,2.2225864,0.2137382,False,0.2181221,0.17190364
LEFTY2,0.27116945,0.48436022,0.21319076,True,0.24489297,0.47292802
GPT2,1.7932483,2.0035813,0.21033299,True,0.22261675,0.23458938
NUCB2,1.2010907,1.4107485,0.20965779,False,0.3129726,0.28384066
NHSL1,1.0050527,1.2110947,0.20604205,False,0.31409183,0.36231783
GRB10,1.5261185,1.7311559,0.20503736,False,0.268858,0.24377234
GAL,2.7219493,2.518135,-0.20381427,True,0.35849097,0.360776
CHD7,2.3055537,2.507435,0.20188141,True,0.2723786,0.20838322
IGFBP6,0.71219707,0.5146582,-0.19753885,True,0.3147573,0.28993997
H1F0,0.903924,1.1008514,0.19692743,True,0.8330141,0.8665783
VEGFA,1.5524551,1.7488732,0.19641817,True,0.3067676,0.26975474
AASS,3.9314687,4.127319,0.19585013,True,0.25482205,0.18219964
EIF4EBP1,2.8433921,3.0380228,0.19463062,True,0.11213006,0.12148686
TSC22D3,0.37244877,0.5663362,0.19388744,True,0.21085794,0.29185948
LMO3,1.0553634,0.8615501,-0.19381332,True,0.47546923,0.4356365
IQSEC2,1.9034958,1.7099679,-0.19352794,True,0.3713815,0.40462995
SALL3,2.0745156,1.881674,-0.19284153,True,0.3285634,0.40066206
GPX8,2.5141962,2.7065513,0.19235516,False,0.13879578,0.123937435
VIM,2.7251427,2.9162123,0.1910696,True,0.5895071,0.5946956
HAX1,2.1175966,2.3085716,0.19097495,False,0.16262452,0.15327106
GPC6,0.686896,0.87756014,0.19066411,True,0.3368339,0.37479803
RASGRP2,1.3544939,1.168112,-0.18638182,True,0.34762353,0.34681237
DNASE2,1.327689,1.513411,0.185722,True,0.30267313,0.29617357
MMP25,0.29265127,0.10833209,-0.18431917,False,0.16644761,0.072558865
SEC11C,2.2475102,2.4310613,0.18355107,False,0.1606866,0.13314061
USP3,0.49491745,0.6752906,0.18037313,True,0.2896442,0.33726874
