gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
SMARCA4,2.6603725,0.3939746,-2.266398,False,0.102714345,0.34955814
FST,0.77896905,2.68561,1.906641,True,0.37842038,0.90345716
GAL,2.7219493,0.8178873,-1.904062,True,0.35849097,0.5026647
FEZF1,0.05734643,1.7865498,1.7292033,True,0.04303214,0.6108276
SHISA2,1.6919217,3.378752,1.6868303,True,0.5537069,0.7969246
ID4,0.48779652,2.1674554,1.6796589,True,0.27878475,0.9110559
PPP1R1A,0.81672055,2.4689014,1.6521809,True,0.3124396,0.6384672
LRAT,1.3468386,2.8982363,1.5513977,True,0.5342008,0.8138946
H1F0,0.903924,2.4470801,1.5431561,True,0.8330141,0.85306007
ARHGAP23,2.249648,0.71659476,-1.5330534,True,0.246991,0.4725007
COL1A1,2.260025,0.924455,-1.3355701,True,0.40600464,0.47154406
TAGLN,2.3409328,1.0130901,-1.3278427,True,0.6389723,0.8186388
SPP1,0.7460402,2.0684357,1.3223954,True,0.35517648,0.7193706
SCGB3A2,2.1600077,0.85760045,-1.3024073,True,1.0063828,0.9124553
TPM1,3.4666436,2.1664522,-1.3001914,True,0.1359563,0.36820394
CRABP1,2.7936456,1.5121793,-1.2814664,True,0.2094519,0.50359696
PKDCC,2.017514,0.7377346,-1.2797794,True,0.58726704,0.42039707
FRZB,0.28909758,1.5391666,1.250069,True,0.18367182,1.4343323
RAB25,1.1473161,2.3655732,1.2182571,True,0.3448181,0.1905845
SOCS1,1.8222368,0.6047705,-1.2174664,True,0.4042865,0.42895547
DUSP6,2.2662961,3.441107,1.1748109,True,0.42365897,0.5370251
HESX1,1.250492,2.4235427,1.1730508,True,0.4382072,0.53406936
THY1,3.2316704,2.0717168,-1.1599536,True,0.10670034,0.28119332
HTR1D,0.536856,1.6827942,1.1459382,True,0.32416457,0.7109678
ZIC1,0.0018741438,1.1477202,1.1458461,True,0.0013299494,0.71983933
TRBC2,1.4730004,0.3426262,-1.1303742,True,0.35159406,0.25228974
SCN9A,0.45833218,1.5837319,1.1253997,True,0.25883493,0.48199785
GNG4,2.1171973,0.99928904,-1.1179082,False,0.19509433,0.4498554
GDPD2,1.3856034,0.2821571,-1.1034464,True,0.3390894,0.20785668
LHX4,0.12288372,1.2133982,1.0905145,True,0.09169714,0.5039066
DAB1,0.85233855,1.9362646,1.0839261,True,0.32540932,0.33162102
SATB1,1.3685088,2.4468794,1.0783706,True,0.3102584,0.2177296
MFGE8,3.6756303,2.5982757,-1.0773547,True,0.10762995,0.3695358
MAP2,0.18371552,1.252017,1.0683014,True,0.11982809,0.52637297
ERBB2,3.173677,2.1065063,-1.0671706,True,0.1566171,0.42835802
MT1X,1.2593601,0.19230893,-1.0670512,True,0.58770955,0.16386762
SPRY2,1.7054368,2.7590325,1.0535957,True,0.28943455,0.4065546
VIM,2.7251427,1.6821228,-1.0430199,True,0.5895071,1.0065216
NMU,1.7737356,0.73705286,-1.0366828,True,0.3437436,0.43954545
CDK6,0.54318875,1.5370886,0.9938999,False,0.2675631,0.3510523
HAPLN3,1.6817214,0.6912607,-0.99046075,True,0.28374058,0.43769863
PHYH,0.7808058,1.7708386,0.9900328,False,0.30016178,0.34758016
KCNN2,1.320123,2.2983599,0.9782369,True,0.352814,0.5018913
ID1,2.082082,1.1124067,-0.9696753,True,0.44992384,0.72912735
KRT18,3.6757731,2.727858,-0.9479151,True,0.10656653,0.2888752
ARHGAP28,0.5901374,1.5375524,0.94741493,False,0.26925868,0.39246598
EOGT,1.2606208,2.2017348,0.94111395,True,0.35866508,0.37793982
OLIG3,0.007496181,0.9397219,0.9322257,True,0.005454244,0.9180006
DACT1,0.9510262,1.8794369,0.92841065,True,0.5183046,0.76584005
PLAGL1,0.05587479,0.98338526,0.9275105,True,0.039179355,0.6775635
CD24,5.489318,4.5687547,-0.9205632,True,0.047505796,0.34248254
SYNPO2,0.26303938,1.182548,0.9195087,True,0.17075357,0.5219975
CDH2,1.6087554,2.5238643,0.9151089,True,0.33867648,0.7844685
ASS1,1.6960539,0.7825429,-0.913511,True,0.34041834,0.3846276
IGSF1,1.0821207,1.9915121,0.9093914,True,0.3441024,0.49060434
SPATS2L,3.1276162,2.219787,-0.9078293,True,0.17706592,0.6228916
BST2,1.1939828,0.29316738,-0.9008155,True,0.5915028,0.2149116
PDE4D,0.1673099,1.0675431,0.90023327,True,0.11219198,0.7205403
VAT1L,1.7592366,2.658514,0.89927745,True,0.2837038,0.37561274
RGS5,1.525954,0.6269147,-0.8990393,True,0.48766956,0.4530777
CHD3,0.74007934,1.6317699,0.89169055,True,0.32167023,0.3619936
EPHA3,0.030391365,0.91806215,0.88767076,True,0.024042113,0.68525976
BTBD17,1.1946275,0.30724117,-0.8873863,True,0.37292463,0.24641912
RAB17,1.5537531,0.6720292,-0.88172394,True,0.5508224,0.4959332
STC2,2.132497,1.2529722,-0.8795248,True,0.37043837,0.5810444
IGFBP4,1.9565018,1.0774808,-0.87902105,True,0.226974,0.36205462
SPTSSB,0.90169275,1.7799541,0.8782613,True,0.38103697,0.4067521
BMI1,0.4380734,1.3139594,0.87588596,True,0.25374407,0.39073163
MMP24,1.0542948,0.17895365,-0.8753412,True,0.3902179,0.14459112
LYN,1.7742544,2.6495795,0.8753251,True,0.26099896,0.36932892
SPRY1,1.447857,2.3164353,0.8685783,True,0.31520197,0.3518112
SDC2,1.8838689,1.0186456,-0.8652233,True,0.23987752,0.40021595
CEMIP2,1.6653469,2.5303888,0.865042,True,0.2867359,0.30475938
TTC9,2.3038287,1.4395815,-0.8642472,True,0.18921925,0.4746071
S100A10,3.133715,2.2704706,-0.8632443,True,0.22135624,0.6733202
ROBO2,0.15247065,1.0087602,0.85628957,True,0.10925701,0.59064937
SHMT2,1.9814478,1.1262761,-0.8551717,True,0.205803,0.3592903
FXYD5,2.6599867,1.8062723,-0.85371447,False,0.12727645,0.34862033
HAS2,0.35789979,1.2085576,0.8506578,True,0.24655612,0.80927366
LCK,1.4720908,0.6227194,-0.84937143,False,0.29680485,0.38581878
TIMP1,1.8382232,0.99032485,-0.84789836,False,0.22857319,0.39998868
LMO3,1.0553634,1.9029865,0.8476231,True,0.47546923,0.61646754
FABP5,3.421829,2.579084,-0.84274507,True,0.09440392,0.28670198
PCDH18,1.5278986,0.6923439,-0.83555466,True,0.4877093,0.6513807
TEAD4,2.5316958,1.6996344,-0.8320614,False,0.13730411,0.33705905
PCK2,2.0146055,1.1827656,-0.8318399,True,0.285465,0.45754352
SLC7A11,2.2569587,1.4266375,-0.8303212,True,0.3321765,0.531461
SLITRK5,0.4278068,1.2576257,0.8298189,True,0.24722743,0.5209861
GJA1,4.070931,3.2470238,-0.82390714,True,0.10267221,0.49751157
IFITM3,1.4483403,0.6281202,-0.8202201,False,0.28981033,0.34499764
ATP1A2,1.028914,0.20955448,-0.8193595,True,0.41873628,0.15394586
SEMA3F,1.863664,1.045303,-0.81836104,True,0.24727961,0.37728786
PDE10A,0.20293649,1.0187954,0.8158589,True,0.13525034,0.588001
PIR,1.054318,1.8672673,0.8129493,True,0.3693995,0.30963346
TUBA4A,1.6588391,0.85045695,-0.80838215,True,0.27253002,0.4257408
HS6ST1,1.7398139,0.9379364,-0.8018775,False,0.2502532,0.36057475
KCNK5,1.6293068,0.8349272,-0.7943796,True,0.3014025,0.37793744
RDH10,0.7675799,1.5593415,0.79176164,True,0.32037035,0.8640793
TEK,1.5910075,0.79970074,-0.79130673,True,0.4462709,0.59641194
LHX8,0.021318827,0.80821407,0.7868952,True,0.016162729,0.6068336
PCDH7,0.45434523,1.239632,0.7852868,True,0.27273244,1.0339879
TACR3,0.49855387,1.280615,0.7820611,True,0.2798174,0.628916
PDPN,2.834985,2.058649,-0.77633595,True,0.1602829,0.36764714
IQSEC2,1.9034958,1.1275536,-0.7759422,True,0.3713815,0.50014544
ZMAT4,1.2856385,0.51095647,-0.774682,True,0.37251619,0.31858766
HK1,2.4387774,1.6711279,-0.76764953,False,0.13573126,0.45617145
RNF157,1.0251125,0.25942305,-0.7656895,True,0.374465,0.20059446
VIPR2,0.11502954,0.8804323,0.7654028,False,0.07758023,0.49283102
RFLNB,1.6136794,0.8484776,-0.7652018,True,0.32008567,0.40293473
LPCAT1,3.880883,3.1157804,-0.7651026,False,0.06521973,0.14712231
ZNF521,0.66268843,1.4273173,0.7646288,True,0.30377787,0.39408836
SOX21,0.010980274,0.7720175,0.76103723,True,0.007891574,0.516656
ADGRL3,0.6954491,1.4561434,0.76069427,True,0.31292707,0.4537952
CCDC141,0.8916808,0.13530745,-0.75637335,True,0.44828832,0.1350809
IGSF21,1.3237398,0.56878227,-0.7549575,True,0.34861705,0.349708
NRP2,1.0989628,1.8537815,0.7548187,True,0.39400205,1.0446296
TTC39C,1.9046897,1.1524107,-0.7522789,True,0.34991878,0.44034818
TOX3,0.73893505,1.4903382,0.75140315,True,0.32446536,0.48344126
PPP1R9B,0.69901836,1.4483274,0.74930906,False,0.30416065,0.39743826
AIF1,1.0458375,0.299056,-0.7467815,True,0.38020986,0.21136083
SLC2A3,3.2678158,4.013894,0.74607825,True,0.18375407,0.2559999
FYN,2.0860715,1.3403908,-0.7456807,False,0.1732575,0.3845658
MAMDC2,0.997529,0.25315252,-0.7443764,True,0.3517686,0.18306199
DUSP5,1.2534505,0.50938374,-0.7440668,True,0.39468458,0.3250132
EFEMP1,0.7896871,1.5324502,0.7427631,True,0.32119668,0.401128
SLC16A1,4.398958,3.6566403,-0.7423179,False,0.05687959,0.18421933
ADCY1,1.51401,0.77178144,-0.7422285,False,0.2909579,0.35292608
SPRY4,2.1270444,1.3883272,-0.7387172,True,0.23128518,0.5094186
FLNA,3.5440738,2.8061607,-0.73791313,False,0.066603415,0.16911303
TNNT1,2.6080759,3.3448594,0.7367835,True,0.15905327,0.13387854
GRM4,1.11268,0.3774248,-0.7352551,True,0.3394024,0.2520418
NTRK3,0.35558245,1.0906643,0.7350818,True,0.20802052,0.4238076
SLC38A5,2.151649,1.4171273,-0.73452175,True,0.20800957,0.47005734
AIF1L,3.0141108,2.2799761,-0.7341347,False,0.09153024,0.19755332
TMEM106C,1.5577834,2.2904587,0.7326753,True,0.37999824,0.24288918
HPDL,1.5688995,0.8369352,-0.7319643,True,0.32727882,0.39836746
SHC1,2.9708428,2.2395763,-0.7312665,False,0.07851216,0.23973791
NSG1,2.2689183,1.5382189,-0.7306994,True,0.23481227,0.45232892
KIF21A,1.8242197,2.5542836,0.7300639,True,0.24974558,0.21084268
ARID5B,0.061221547,0.78857,0.72734845,True,0.04392902,0.47036037
FBN2,0.5828359,1.308466,0.72563004,True,0.29740146,0.5970453
GRB10,1.5261185,0.8051718,-0.7209467,False,0.268858,0.36748943
SERINC5,2.1259036,1.4072734,-0.7186302,True,0.20388338,0.51170284
PLEKHB1,0.23809041,0.9562467,0.7181563,False,0.14282456,0.38595095
TSPAN12,0.8166835,1.531212,0.7145285,False,0.31432357,0.5421793
KLF12,0.87941456,1.5902803,0.71086574,False,0.32851362,0.40107054
PHLDA1,1.0242558,0.31599805,-0.7082577,True,0.4561791,0.30682755
TRIML2,1.2181535,0.51021916,-0.7079343,True,0.40173906,0.3399526
LGALS3BP,0.8557771,0.1503369,-0.70544016,True,0.35664523,0.11277302
COL18A1,1.5242213,0.8208184,-0.7034029,True,0.28880292,0.37737566
