gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
RAB34,3.2840571,0.999733,-2.2843242,False,0.07467947,0.6856014
SNUPN,1.8877593,0.63509756,-1.2526617,False,0.21893215,0.50715256
DDHD1,1.3227715,0.23208413,-1.0906874,False,0.29117444,0.20352474
COPS7B,1.7539002,0.6869034,-1.0669968,False,0.21675847,0.47328722
ITM2A,1.1207896,0.10724639,-1.0135432,True,0.35689592,0.08300333
SNCA,0.9291017,0.06036688,-0.86873484,True,0.3752323,0.04988543
ALCAM,1.5566508,0.90049905,-0.6561517,True,0.32711455,0.42881206
SLC35B4,1.818677,1.2549617,-0.5637152,False,0.19581458,0.39935872
SYT2,0.748557,0.23414414,-0.5144128,False,0.3084234,0.15499784
ARHGAP42,0.6083715,0.1189258,-0.4894457,False,0.27205583,0.09106381
SYNGR3,1.0781854,0.67969066,-0.39849478,True,0.3543841,0.3087549
CPXM1,0.81289595,1.1995208,0.38662487,False,0.32383472,0.29932654
MAN2B1,1.5973053,1.2386152,-0.35869014,False,0.23820737,0.38239762
ZNF850,1.7697045,1.413949,-0.35575545,True,0.39880446,0.42501435
ZFP36L2,1.6867079,1.3398451,-0.3468628,True,0.35165137,0.37401313
SEPTIN6,0.7531247,1.0966612,0.3435365,True,0.32920858,0.30710706
SLC39A1,2.1676927,1.8327248,-0.33496785,False,0.16863103,0.30604848
FAM169A,1.4819481,1.1525148,-0.32943332,False,0.2526133,0.34056365
CUZD1,0.5141857,0.77110004,0.25691432,True,0.36897147,0.46800476
SORBS2,1.0052477,1.2530879,0.24784017,True,0.43276674,0.42394063
HTR7,0.7363093,0.976493,0.24018371,True,0.39800823,0.40331197
RANBP6,0.7690689,0.533878,-0.23519087,False,0.28061283,0.28216144
ZNF470,0.8482737,0.6152025,-0.23307121,False,0.31220093,0.31501874
VIM,2.7251427,2.9530537,0.227911,True,0.5895071,0.5184473
PCK2,2.0146055,1.8041537,-0.21045184,True,0.285465,0.35655457
TEK,1.5910075,1.390612,-0.20039546,True,0.4462709,0.47003564
GPC4,2.8069289,2.9971242,0.19019532,True,0.19444703,0.21107173
TWF2,2.255927,2.0668268,-0.18910027,False,0.16197282,0.24336481
SLC38A3,0.06311857,0.25216773,0.18904915,False,0.04397799,0.16391374
CDH2,1.6087554,1.7836878,0.17493248,True,0.33867648,0.29328966
GAL,2.7219493,2.548553,-0.17339635,True,0.35849097,0.33685184
ST14,1.2043077,1.3774214,0.1731137,True,0.34126028,0.29445392
ADORA2A,0.27169597,0.098862,-0.17283398,False,0.15976171,0.070289
C9orf135,1.0159495,1.1863953,0.1704458,True,0.37919602,0.432966
SCGB3A2,2.1600077,1.990134,-0.16987371,True,1.0063828,0.93656224
FKBP5,1.4771045,1.307864,-0.1692406,False,0.27364263,0.30087122
LRRC41,1.5944906,1.7636263,0.16913569,False,0.2776111,0.20768885
FKBP11,1.8519709,1.6857724,-0.16619849,False,0.22105153,0.24607702
PROCA1,0.53207386,0.36593527,-0.16613859,False,0.25224268,0.21420108
CRABP2,2.2048934,2.3706381,0.16574478,True,0.37365532,0.3136539
DUSP16,2.1148643,2.2737808,0.15891647,True,0.23813695,0.2153172
GCHFR,0.6363341,0.47744483,-0.1588893,True,0.29116184,0.2537175
WFDC2,2.037881,1.8806974,-0.15718353,True,0.29843947,0.31146836
CCKBR,0.54247797,0.69860363,0.15612566,True,0.28600487,0.32522976
TUNAR,1.4096617,1.2535996,-0.156062,True,0.31986284,0.30254865
TMEM14B,1.4368826,1.2857941,-0.15108848,False,0.26118213,0.2846548
GRPR,0.8029942,0.9515383,0.14854413,True,0.6066761,0.70044667
ZNF398,2.0688303,1.9217393,-0.14709091,False,0.20710479,0.2549108
ERBB3,1.5636598,1.4169381,-0.14672172,False,0.2599605,0.29837033
PRPF3,2.0617847,2.2073047,0.14551997,False,0.17812675,0.24171183
IMPACT,2.4613335,2.3162591,-0.14507437,False,0.14177898,0.16823524
MAP7D1,1.8296365,1.974468,0.14483154,True,0.27137268,0.24463739
OTX2,0.8048261,0.9492219,0.14439583,True,0.38356015,0.39797187
NTM,0.5699417,0.7141539,0.14421219,False,0.2831216,0.31074226
BEND4,0.85342634,0.99759775,0.14417142,False,0.32730582,0.33942947
NRP2,1.0989628,1.2417153,0.14275253,True,0.39400205,0.42236495
ABR,1.1012903,0.96030706,-0.14098328,False,0.29945096,0.31515852
DDAH1,1.4237391,1.5633264,0.13958728,False,0.31010202,0.27705914
CAMSAP2,1.468617,1.6080637,0.13944674,False,0.27428457,0.24158649
SERPINB9,1.3378824,1.4769543,0.13907194,True,0.5634636,0.6310769
VSNL1,2.1774752,2.038969,-0.13850617,True,0.21121545,0.25944233
RAB3C,0.55291384,0.6907892,0.13787538,False,0.27896374,0.30603266
CCDC141,0.8916808,0.7544276,-0.13725317,True,0.44828832,0.4217432
ITPKB,0.24720371,0.3834279,0.13622418,False,0.15142623,0.21578602
VEGFA,1.5524551,1.4163641,-0.136091,True,0.3067676,0.33803484
CAPN2,1.0743307,1.2088605,0.13452983,True,0.3748314,0.3796199
KRAS,2.6517751,2.517306,-0.13446903,False,0.10882704,0.14778645
TP53BP1,1.5146339,1.648883,0.13424909,False,0.27727157,0.27346414
ZNF608,1.7600372,1.8941973,0.13416016,True,0.28141895,0.22121829
STC2,2.132497,1.9988608,-0.13363624,True,0.37043837,0.38253736
BNC2,0.7560571,0.88837034,0.13231325,False,0.31733847,0.28933048
KLHL4,0.7873935,0.9191205,0.13172698,True,0.36787513,0.3718009
CDCA7,2.1535378,2.022672,-0.13086581,False,0.21167423,0.22692288
TTN,0.53751266,0.40688533,-0.13062733,True,0.3516583,0.2906575
ZIC5,2.8421504,2.9724348,0.13028431,True,0.24881114,0.19623736
RAI14,2.4846597,2.3547935,-0.12986612,False,0.15702273,0.18144082
MCM6,3.0995917,2.9701617,-0.12943006,True,0.14134486,0.174488
NPTX2,1.078339,0.95048946,-0.12784952,True,0.40481034,0.37546495
HERC2,1.9866493,2.1144083,0.12775898,False,0.20849746,0.20856033
TEAD1,1.5132653,1.6408715,0.12760627,False,0.29113346,0.2684249
ID3,1.931087,1.8037207,-0.1273663,True,0.3423298,0.37661648
AKT1,1.3145778,1.4419333,0.12735546,False,0.30405977,0.2440132
EXOC6,0.8019709,0.92854637,0.12657547,False,0.33135223,0.31440964
ZIC2,1.9019088,2.028157,0.12624824,True,0.40680227,0.37082237
TM4SF18,0.44839343,0.57450783,0.1261144,True,0.26477042,0.30087933
PDE6D,1.4500221,1.3244438,-0.12557828,False,0.2800603,0.31703916
GSTO1,1.0067747,0.8814934,-0.12528127,True,0.33141363,0.34830078
CD99,0.8775342,1.0024282,0.12489396,False,0.31350508,0.32230818
C16orf58,1.5415974,1.4167328,-0.12486458,False,0.2911282,0.32900783
ACVR1B,1.3064927,1.4312496,0.12475693,True,0.3328906,0.32901853
NMU,1.7737356,1.6491129,-0.1246227,True,0.3437436,0.38564545
NDUFAF6,1.2673234,1.1429867,-0.12433672,False,0.30209067,0.30212095
XYLT1,0.90400296,1.0277565,0.12375349,False,0.3252478,0.32337683
NRXN1,1.6686505,1.7922113,0.123560786,True,0.36241803,0.36369205
PGAP2,2.5768394,2.4534116,-0.12342787,False,0.12628832,0.13891639
DMC1,0.76313406,0.6403973,-0.12273675,False,0.312786,0.27630648
MEGF10,1.5800037,1.7026503,0.12264657,True,0.31678286,0.26716354
MXD4,1.2854006,1.4077299,0.122329235,True,0.33491,0.33122063
MCEE,1.0131012,0.8910263,-0.1220749,False,0.32129613,0.32104224
CHD7,2.3055537,2.4276233,0.1220696,True,0.2723786,0.21361227
GPR143,1.1005427,0.97936875,-0.12117392,True,0.37836063,0.36438966
CREB3L2,0.811081,0.6901843,-0.1208967,False,0.31056884,0.3094251
ITFG2,1.2392396,1.1189946,-0.12024498,False,0.31183672,0.30772954
FZD2,0.7157441,0.83588177,0.12013769,True,0.36336026,0.39038184
FBXL4,1.0108178,0.89083046,-0.11998731,False,0.30538914,0.33058682
GFM2,1.2814828,1.1616713,-0.119811535,False,0.2711235,0.27372345
PDZD4,2.1980815,2.0791507,-0.11893082,True,0.20350996,0.2390158
JDP2,0.87636673,0.75786227,-0.118504465,True,0.35009328,0.34872574
LEFTY1,0.40002847,0.5185106,0.11848211,True,0.4464706,0.5814411
NR2F6,2.501268,2.3833063,-0.117961645,False,0.101852395,0.1336677
ANXA3,0.64711624,0.76452595,0.117409706,True,0.37550318,0.44901484
SMIM14,1.0882034,0.9708032,-0.11740023,True,0.34809172,0.3257095
IDH2,2.1801963,2.0628574,-0.117338896,True,0.20184857,0.25282323
LRRC20,1.1330118,1.0157346,-0.117277265,False,0.33533764,0.35142952
ANKRD50,1.2657305,1.382797,0.1170665,False,0.31912717,0.2979472
EIF4A2,3.2214396,3.104515,-0.116924524,True,0.11395458,0.13406503
RIMS3,1.0215168,0.90493333,-0.11658347,False,0.3186593,0.3488325
LCOR,1.696358,1.8128979,0.116539955,False,0.2618649,0.24517702
RAB39A,1.6911873,1.5746605,-0.11652672,False,0.24964543,0.2773022
GNA14,0.3345889,0.45099497,0.11640608,True,0.25330648,0.38627827
IFI30,1.543998,1.427676,-0.11632204,True,0.3189709,0.35006288
DPYSL3,3.9156046,4.0313683,0.115763664,False,0.052549794,0.044966046
FEZ1,1.0951558,1.2103107,0.11515486,True,0.36360902,0.34722334
USP3,0.49491745,0.609926,0.11500853,True,0.2896442,0.34585655
ZMAT4,1.2856385,1.4006233,0.11498487,True,0.37251619,0.36322284
PLS3,2.6728685,2.7874062,0.114537716,False,0.12388258,0.119107075
DCHS1,0.7018384,0.8163351,0.11449671,False,0.3012087,0.29145294
ABI2,2.5983226,2.4840016,-0.11432099,False,0.101621516,0.12442325
EFEMP1,0.7896871,0.67570657,-0.11398053,True,0.32119668,0.3323289
DUSP6,2.2662961,2.3798485,0.11355233,True,0.42365897,0.3951353
RAD51,1.1532648,1.0398656,-0.11339915,False,0.32335067,0.31323487
RRM2,2.7643306,2.651061,-0.11326957,True,0.16847533,0.19065282
SULF2,0.48579115,0.5988441,0.113052964,False,0.2485435,0.26031888
CCN2,1.3984216,1.2854997,-0.11292195,True,0.8199761,0.79593873
CCND1,1.0390285,0.92616683,-0.11286169,True,0.3845656,0.3816516
ADCY2,1.7650582,1.8776981,0.112639904,True,0.41020232,0.37421912
TMSB15A,1.6361887,1.5238675,-0.11232126,True,0.3158657,0.3459628
ERBB2,3.173677,3.285995,0.11231804,True,0.1566171,0.1257677
SOCS1,1.8222368,1.7107524,-0.11148441,True,0.4042865,0.43805224
TCAIM,0.93386185,1.045085,0.1112231,False,0.30990085,0.3177998
TFPI2,0.67664933,0.5658947,-0.11075461,True,0.33158126,0.28557247
PCED1A,0.6029439,0.71330786,0.11036396,True,0.29952794,0.28511187
CHST8,0.5388329,0.42856717,-0.11026573,False,0.26548967,0.25538015
HIF3A,0.6116149,0.50151294,-0.11010194,False,0.26580432,0.26532057
FABP3,0.8308931,0.7210716,-0.1098215,True,0.3531812,0.31412327
FUT8,1.1711775,1.2809789,0.10980141,False,0.32690215,0.32772365
PIFO,0.5540517,0.6624597,0.108407974,True,0.28470507,0.32167116
IFITM3,1.4483403,1.3404976,-0.107842684,False,0.28981033,0.30040023
PLCB1,0.9086415,1.0163878,0.1077463,True,0.37433246,0.37167192
FGD1,1.9711365,1.8634299,-0.10770655,False,0.20831105,0.21416818
TTC19,2.1148958,2.007242,-0.10765386,False,0.1598825,0.19916734
HSF2,0.9566901,1.0642221,0.107532024,False,0.30408278,0.28226024
FAM189A2,0.6100841,0.7172503,0.10716617,True,0.30761236,0.3404265
ST6GALNAC6,1.204908,1.0977432,-0.10716486,False,0.311672,0.3202397
AIG1,1.3525773,1.4596266,0.10704923,False,0.29150897,0.3102116
TK1,2.0310025,1.9243076,-0.10669494,False,0.22325276,0.23742762
UBE2L6,1.8911967,1.7846844,-0.10651231,False,0.20755343,0.22251333
ZIM3,2.5895684,2.6960483,0.10647988,True,0.29940525,0.27583897
AXL,1.3737823,1.2674627,-0.10631955,False,0.2870026,0.3355072
