gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
SOX2,2.1225743,0.2682902,-1.8542842,True,0.23146519,0.2405474
AK4,3.1002982,1.2719911,-1.828307,True,0.13591754,0.7341483
CYP26A1,0.13725886,1.8635955,1.7263366,True,0.108235106,0.96447104
CNMD,2.6173897,0.9645595,-1.6528301,True,0.16489005,0.40725425
NTS,1.4767022,3.044619,1.5679169,True,0.7286999,0.9827828
PLAAT3,1.6658874,0.48136216,-1.1845253,True,0.36285684,0.29809985
FZD2,0.7157441,1.8514843,1.1357403,True,0.36336026,0.3257476
SOX3,0.70646137,1.8121599,1.1056986,True,0.3964079,0.55524063
DPYSL3,3.9156046,2.8167255,-1.0988791,False,0.052549794,0.29494348
VIM,2.7251427,1.6329998,-1.0921429,True,0.5895071,0.9332222
IQSEC2,1.9034958,0.8471004,-1.0563954,True,0.3713815,0.38458183
SEMA6D,0.16841522,1.2003345,1.0319194,True,0.11888158,0.5151728
S100A10,3.133715,2.1361465,-0.99756837,True,0.22135624,0.46070853
MT1X,1.2593601,0.27175277,-0.9876073,True,0.58770955,0.20147684
PKDCC,2.017514,2.979831,0.962317,True,0.58726704,0.7113465
MN1,0.16955492,1.1245738,0.9550189,False,0.10648813,0.48245138
HES1,0.91062826,1.8177485,0.9071203,True,0.49244022,0.59836215
S100A11,1.5742178,0.66833216,-0.90588564,True,0.29990643,0.35762614
NFE2L3,2.370745,1.4671731,-0.90357184,True,0.20490403,0.39642927
ZDHHC22,1.2077652,0.30985707,-0.89790815,True,0.33642527,0.1996556
RFLNB,1.6136794,0.7212935,-0.8923859,True,0.32008567,0.35956088
LCK,1.4720908,0.5891558,-0.88293505,False,0.29680485,0.32025346
SPART,1.7157133,0.8405396,-0.8751737,True,0.31890935,0.3737431
USP3,0.49491745,1.3677324,0.87281495,True,0.2896442,0.5739184
POLR3G,2.6291654,1.7574462,-0.87171924,True,0.22044568,0.3808527
FEZ1,1.0951558,0.22448365,-0.87067217,True,0.36360902,0.15438506
KCNG3,1.6000588,0.7493646,-0.8506942,True,0.33263826,0.41849273
AASS,3.9314687,3.0838091,-0.8476596,True,0.25482205,0.30166999
HMOX1,1.7928151,0.95648164,-0.83633345,True,0.41226184,0.45413375
NPR1,1.1440488,1.9771386,0.8330898,True,0.33606455,0.33838344
EDIL3,1.4273261,0.5965455,-0.83078057,True,0.36399788,0.36023343
CXCL12,2.1549044,1.3250405,-0.8298639,True,0.21823983,0.45070156
TUBB2A,3.9533803,3.125261,-0.8281193,True,0.1378518,0.30763456
ZNF483,2.3759708,1.5512176,-0.8247533,True,0.1790779,0.34525418
GAL,2.7219493,1.9026302,-0.8193191,True,0.35849097,0.5885751
FZD7,1.6563491,0.8375854,-0.8187637,True,0.35724905,0.4444429
MID1,1.9302942,1.119861,-0.81043315,True,0.23005864,0.39514792
COL1A2,1.968163,2.7715678,0.8034048,True,0.27713346,0.32076928
SOCS2,1.2737695,0.485332,-0.7884375,True,0.4973071,0.3562668
METTL7A,1.1035215,0.32497376,-0.7785477,True,0.36541176,0.19900379
CADM2,0.4776455,1.2417645,0.764119,True,0.28923467,0.55012786
GPR160,1.4708787,0.71265715,-0.75822157,True,0.3379481,0.3758991
LPAR3,1.3020777,0.54527813,-0.7567995,True,0.33262214,0.30685222
VAT1L,1.7592366,1.0043275,-0.75490904,True,0.2837038,0.47854736
EFNB1,0.55589575,1.3012992,0.74540347,True,0.30427697,0.63929474
SLIT2,0.2520212,0.99659616,0.74457496,True,0.15848184,0.5508682
TRDN,1.0043794,0.26053,-0.7438494,True,0.69005215,0.28561032
USP44,3.127257,2.393296,-0.7339611,False,0.080515,0.28987327
ID1,2.082082,1.3502536,-0.73182845,True,0.44992384,0.6612856
TTC39C,1.9046897,1.1752596,-0.7294301,True,0.34991878,0.3587285
C9orf135,1.0159495,0.289163,-0.7267865,True,0.37919602,0.20701073
DNMT3B,4.406935,3.6896026,-0.7173326,True,0.087100714,0.15895206
LRIG3,0.8047039,1.5149521,0.7102482,True,0.33202812,0.43575615
DUSP16,2.1148643,1.4116416,-0.70322275,True,0.23813695,0.39212316
IQGAP2,2.1076012,1.4053159,-0.7022853,True,0.2217897,0.4260759
TSPAN18,0.32778952,1.0266291,0.69883955,False,0.1905809,0.38821682
SCGB3A2,2.1600077,1.4654016,-0.69460607,True,1.0063828,1.0104944
TTC9,2.3038287,1.6110085,-0.6928202,True,0.18921925,0.36268196
PLP1,1.8993461,1.2087983,-0.6905478,True,0.23137142,0.4631517
PIPOX,1.3608539,0.671008,-0.6898459,True,0.35072494,0.36114162
VCAN,3.757114,3.0719318,-0.6851821,True,0.11480525,0.28600025
PRDM14,1.2575728,0.58087456,-0.6766982,True,0.37819552,0.31945884
DGKK,0.9637905,1.6396419,0.6758514,True,0.4367179,0.48528028
ST6GAL2,0.88659793,0.21307613,-0.6735218,True,0.33847812,0.163404
FST,0.77896905,1.4520774,0.67310834,True,0.37842038,0.8308809
SFRP2,3.7987847,3.1274612,-0.67132354,True,0.07606493,0.26999605
PREX2,1.651501,0.98018986,-0.6713112,False,0.27083576,0.40397355
NSG1,2.2689183,1.5978098,-0.6711085,True,0.23481227,0.42755187
THY1,3.2316704,2.5712864,-0.66038394,True,0.10670034,0.17592132
FLNC,0.56720054,1.2226157,0.6554152,True,0.293983,0.42968768
IRX2,0.45888945,1.1141075,0.655218,True,0.29465783,0.5036853
LRRN1,2.741205,2.087153,-0.654052,True,0.18988399,0.35607395
CEBPZOS,2.2127926,1.5605376,-0.65225506,True,0.32092294,0.4326036
PHC2,0.3345986,0.98550713,0.6509085,True,0.20299976,0.4902999
RRAGD,1.3463784,0.6996562,-0.64672226,True,0.3349723,0.366614
P3H2,1.3254241,1.9666076,0.6411835,True,0.46865007,0.4475196
ID3,1.931087,2.5677223,0.6366353,True,0.3423298,0.24396239
CRLF1,0.18737236,0.82311445,0.63574207,True,0.13220428,0.50618196
CRABP1,2.7936456,3.4276476,0.634002,True,0.2094519,0.265714
VSIG10,1.5958664,0.9632648,-0.6326016,False,0.25401443,0.351015
PDZD4,2.1980815,1.5698231,-0.62825835,True,0.20350996,0.39841554
CA11,1.782018,2.4042182,0.62220025,True,0.24894503,0.19736879
FRAT2,1.6338485,1.0257672,-0.60808134,True,0.30995584,0.35374075
CNTNAP2,1.610608,2.2183778,0.60776985,True,0.2864663,0.3855031
ERBB2,3.173677,2.5712926,-0.6023843,True,0.1566171,0.28525123
ETS1,1.0753208,0.4754433,-0.59987754,True,0.3374279,0.30586886
RASGRP2,1.3544939,0.7609902,-0.59350365,True,0.34762353,0.40436268
PDPN,2.834985,2.2415211,-0.5934639,True,0.1602829,0.3352019
FGF13,1.6198746,1.0266106,-0.593264,True,0.42301762,0.44995663
DPPA2,0.9645738,0.3774415,-0.58713233,True,0.42964724,0.24912582
ANOS1,2.2613657,1.6760798,-0.5852859,True,0.21193548,0.47172993
AMOTL1,1.576115,2.1575649,0.58144987,True,0.32757238,0.2923026
SSBP2,1.0280663,1.6066412,0.5785749,False,0.33733633,0.33137852
RND3,1.4510654,0.87304276,-0.57802266,True,0.5110513,0.5545855
