gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
SRC,1.3322581,0.14828914,-1.183969,False,0.28043982,0.1008656
NCOA3,1.0081432,0.7086861,-0.29945707,False,0.29084942,0.28312877
ANKRD9,0.50217694,0.22551231,-0.2766646,False,0.24213754,0.15326023
MDFI,1.2076058,0.9438807,-0.26372516,True,0.35286814,0.34769166
H2AFY2,1.102345,1.2886645,0.18631947,True,0.47343355,0.4658938
GAL,2.7219493,2.5412672,-0.18068218,True,0.35849097,0.34295556
MT1X,1.2593601,1.082389,-0.17697108,True,0.58770955,0.56052023
SCGB3A2,2.1600077,2.003855,-0.15615273,True,1.0063828,1.0668753
PLAAT3,1.6658874,1.5262913,-0.1395961,True,0.36285684,0.3758276
CHD7,2.3055537,2.443872,0.1383183,True,0.2723786,0.2283972
TUBB2A,3.9533803,3.8181717,-0.1352086,True,0.1378518,0.15182516
TTC39C,1.9046897,1.7727435,-0.1319462,True,0.34991878,0.34200367
COL1A1,2.260025,2.1289048,-0.1311202,True,0.40600464,0.38903043
CDCA4,0.20243959,0.07174159,-0.130698,False,0.12404292,0.050936475
SORBS2,1.0052477,0.87594855,-0.12929916,True,0.43276674,0.41714847
DPPA2,0.9645738,0.8359139,-0.1286599,True,0.42964724,0.4141216
AKAP7,1.5629597,1.4352697,-0.12768996,True,0.41213223,0.412669
GDPD2,1.3856034,1.2580092,-0.12759423,True,0.3390894,0.34879312
SPART,1.7157133,1.5914285,-0.124284744,True,0.31890935,0.32098594
CCDC141,0.8916808,0.7685148,-0.123165965,True,0.44828832,0.41094488
MYO10,2.161845,2.041488,-0.12035704,False,0.18223418,0.20601264
IQSEC2,1.9034958,1.7860924,-0.11740339,True,0.3713815,0.37355047
SERPINB9,1.3378824,1.2251858,-0.11269665,True,0.5634636,0.5419851
RIPOR2,1.1181024,1.0086688,-0.10943365,True,0.4393332,0.42943174
EDIL3,1.4273261,1.320711,-0.10661507,True,0.36399788,0.35689497
APELA,1.5670142,1.4604952,-0.106518984,True,0.4344417,0.4403144
S100A10,3.133715,3.0278654,-0.105849504,True,0.22135624,0.23792373
H1F0,0.903924,1.0071497,0.10322571,True,0.8330141,0.8649956
NSG1,2.2689183,2.1662223,-0.10269594,True,0.23481227,0.25248396
SLC39A8,1.5447878,1.4422036,-0.10258412,True,0.35716635,0.36189044
FGF13,1.6198746,1.5180011,-0.10187352,True,0.42301762,0.44508547
HTR7,0.7363093,0.8372879,0.10097861,True,0.39800823,0.42887694
WFDC2,2.037881,1.9373962,-0.10048473,True,0.29843947,0.29119697
TUNAR,1.4096617,1.3107262,-0.098935485,True,0.31986284,0.3381645
KCNG3,1.6000588,1.5033971,-0.09666169,True,0.33263826,0.3454832
ACOXL,1.4610541,1.5564117,0.09535766,True,0.3608723,0.33631116
SYT4,0.58140266,0.48681432,-0.09458834,True,0.34853083,0.3036047
DACT1,0.9510262,0.85704774,-0.093978465,True,0.5183046,0.49154255
VSNL1,2.1774752,2.0835104,-0.093964815,True,0.21121545,0.22718544
CAPN2,1.0743307,1.1682545,0.09392381,True,0.3748314,0.3843216
DUSP6,2.2662961,2.3592181,0.09292197,True,0.42365897,0.40649092
OPN3,0.9301242,1.0216718,0.09154755,True,0.42169705,0.41791022
ADAMTS16,1.1040889,1.0132563,-0.09083259,True,0.375157,0.38156283
GALNT3,0.92672193,0.83655965,-0.09016228,True,0.34370244,0.32714626
FZD2,0.7157441,0.80446,0.08871591,True,0.36336026,0.36942354
RAB17,1.5537531,1.4657847,-0.08796847,True,0.5508224,0.55175316
OLFML3,1.0210904,0.93320364,-0.08788675,True,0.34903526,0.35265556
MEGF10,1.5800037,1.4925985,-0.087405205,True,0.31678286,0.32743835
SEMA6A,2.7475765,2.662223,-0.085353374,True,0.17924707,0.19388725
PDE4B,0.62653655,0.54232985,-0.0842067,True,0.36656713,0.32900065
RBPJ,2.1078296,2.024583,-0.08324647,False,0.17478053,0.19014038
FOXP4,1.0239264,0.9423466,-0.081579804,True,0.34288076,0.3479858
C1orf21,2.3650088,2.2835584,-0.08145046,True,0.18786235,0.20860472
ZIC2,1.9019088,1.983315,0.081406236,True,0.40680227,0.39144906
CCDC169,1.0565683,0.9753276,-0.081240654,True,0.37135482,0.3590453
GDF3,0.6978482,0.61677504,-0.081073165,True,0.3538861,0.31327665
PIM1,1.5815667,1.5009924,-0.080574274,True,0.35547683,0.36073428
ADCY1,1.51401,1.4336131,-0.08039689,False,0.2909579,0.2982914
TFPI2,0.67664933,0.59639966,-0.08024967,True,0.33158126,0.3054551
CRABP1,2.7936456,2.7140853,-0.07956028,True,0.2094519,0.22713412
SYT6,0.83240587,0.7543975,-0.07800835,False,0.3056376,0.30915037
TMEM63A,1.2596389,1.3374174,0.07777846,True,0.43629962,0.44592905
LIN7A,0.8565189,0.7798721,-0.076646805,True,0.36641464,0.35146183
PRICKLE1,0.4917276,0.5683505,0.0766229,True,0.2937208,0.32460636
HTR1D,0.536856,0.4603209,-0.076535106,True,0.32416457,0.2983148
PDZD4,2.1980815,2.121975,-0.07610655,True,0.20350996,0.21902962
SFMBT2,0.651685,0.5756632,-0.07602179,True,0.3088758,0.29611328
RASGRP2,1.3544939,1.2789936,-0.07550025,True,0.34762353,0.36129987
USP3,0.49491745,0.57039475,0.0754773,True,0.2896442,0.31204852
KDR,2.138896,2.0641465,-0.07474947,True,0.31552842,0.31284234
MMP24,1.0542948,0.9798357,-0.074459136,True,0.3902179,0.39703584
ACVR1B,1.3064927,1.38087,0.0743773,True,0.3328906,0.31698772
ZIC5,2.8421504,2.9164336,0.07428312,True,0.24881114,0.21053208
WIF1,0.34661645,0.2725968,-0.07401964,False,0.19882046,0.16409568
TNNT2,0.4746938,0.40233988,-0.07235393,True,0.27036434,0.24381663
TPM1,3.4666436,3.394446,-0.072197676,True,0.1359563,0.14125107
DSP,1.9097581,1.9817978,0.07203972,True,0.26178643,0.22241186
LEFTY1,0.40002847,0.47167352,0.07164505,True,0.4464706,0.5554285
RGS5,1.525954,1.4543321,-0.071621895,True,0.48766956,0.4944691
MXRA7,1.2964681,1.3680873,0.07161915,True,0.3204221,0.3110267
ZBTB10,1.0915735,1.1630234,0.071449876,True,0.37222257,0.35079575
GRPR,0.8029942,0.73189455,-0.07109964,True,0.6066761,0.5644836
UPK3B,0.5589446,0.4880978,-0.070846796,False,0.27225378,0.2623314
NID1,1.2429777,1.3136582,0.0706805,True,0.34657726,0.34414613
CDC42EP1,0.2626367,0.19229947,-0.07033722,False,0.15582216,0.124184124
TAP1,0.6942486,0.62439966,-0.069848955,True,0.3381539,0.3286928
RFLNB,1.6136794,1.5441324,-0.06954706,True,0.32008567,0.32109332
TMEM123,1.5075011,1.5770415,0.06954038,False,0.26990208,0.2510636
IL17RD,1.4703574,1.5398355,0.069478035,True,0.32091537,0.3054426
GPC6,0.686896,0.75613266,0.069236636,True,0.3368339,0.34081298
COL1A2,1.968163,1.8990905,-0.069072485,True,0.27713346,0.2884857
HELLS,4.164052,4.0951843,-0.06886768,False,0.067895904,0.06801906
MAP7D1,1.8296365,1.8981342,0.06849778,True,0.27137268,0.24817595
SLC16A10,0.8762519,0.80778044,-0.06847143,False,0.33361018,0.3220761
SERINC5,2.1259036,2.0574589,-0.06844473,True,0.20388338,0.20937338
GAP43,0.7817635,0.7137079,-0.06805557,False,0.32131848,0.3298253
CHST9,0.94160825,0.8739459,-0.06766236,True,0.35677353,0.34493136
STOX2,0.6511007,0.718754,0.0676533,True,0.30187514,0.31786546
COMMD7,1.8372964,1.7704147,-0.06688166,False,0.2385331,0.23943198
ID2,0.48878717,0.42193,-0.06685719,True,0.3184093,0.28226954
L1CAM,1.6603423,1.5935298,-0.066812515,True,0.34027112,0.3597138
