gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
MT-ND3,1.7554234,0.97481835,-0.7806051,True,0.78610706,0.4956657
DDIT4,0.8543927,1.5569458,0.7025531,True,0.7079657,0.87091154
CHAC1,0.70487297,1.3592552,0.6543822,True,0.38694882,0.57348293
STC2,2.132497,2.744244,0.611747,True,0.37043837,0.30448064
PCK2,2.0146055,2.5335991,0.5189936,True,0.285465,0.279135
SESN2,1.1401006,1.6573935,0.51729286,True,0.3993862,0.45082292
SLC7A11,2.2569587,2.7658663,0.50890756,True,0.3321765,0.36933902
MT-CO2,1.645371,1.1510782,-0.49429274,True,0.917779,0.6187353
MT-ND4,1.8822018,1.3930546,-0.4891472,True,0.9863533,0.74920636
MT-ND6,0.8967327,0.41799295,-0.47873974,True,0.68610394,0.37894157
MEF2B,0.32470265,0.77275634,0.4480537,True,0.20306997,0.4848441
MT-ATP6,1.7147563,1.2791321,-0.43562412,True,0.97399217,0.6861558
INHBE,0.40389985,0.82911867,0.42521882,True,0.249757,0.44294387
PSAT1,3.8175943,4.2411942,0.42359996,True,0.09711025,0.13563742
IFRD1,2.5512347,2.9524336,0.40119886,True,0.24225035,0.24375862
CTH,1.3418531,1.7338916,0.39203846,True,0.32998702,0.33959353
MT-CO3,1.2058606,0.8273734,-0.37848723,True,0.78025454,0.51730764
ASS1,1.6960539,2.067548,0.37149417,True,0.34041834,0.32415956
JDP2,0.87636673,1.2374697,0.36110294,True,0.35009328,0.39134255
TAS2R4,0.39197066,0.0354453,-0.35652536,False,0.22177544,0.025554525
SHMT2,1.9814478,2.3130996,0.3316518,True,0.205803,0.19729048
DENND11,1.8196193,1.4942284,-0.32539093,False,0.21802239,0.29074958
GPT2,1.7932483,2.1081836,0.31493533,True,0.22261675,0.2193507
PLAAT3,1.6658874,1.9755583,0.30967093,True,0.36285684,0.31548
VEGFA,1.5524551,1.8552622,0.3028071,True,0.3067676,0.30551118
SLC7A5,2.7678742,3.0697825,0.30190825,True,0.20752229,0.21733367
VLDLR,1.3306402,1.6288508,0.29821062,True,0.42473996,0.43681723
MTHFD2,2.8751297,3.1714294,0.2962997,True,0.11284972,0.13684037
SDF2L1,1.7957741,1.5013056,-0.29446852,True,0.30096847,0.35438785
NHSL1,1.0050527,1.2933128,0.2882601,False,0.31409183,0.34490576
MT-CYB,0.6396104,0.35280567,-0.28680474,True,0.489698,0.26652214
TSC22D3,0.37244877,0.64991933,0.27747056,True,0.21085794,0.315324
GARS,1.5556651,1.8244624,0.26879728,False,0.26123875,0.22688378
DNASE2,1.327689,1.589885,0.26219594,True,0.30267313,0.30168095
PMAIP1,2.977533,3.2397017,0.26216865,True,0.21363744,0.2044772
KLF15,0.61699224,0.87345797,0.25646573,True,0.29440027,0.34478098
RPA2,1.3280866,1.085182,-0.24290466,False,0.27186537,0.3003619
HMGCS1,3.5301554,3.293281,-0.23687434,True,0.36374408,0.4924698
ATF3,0.60296935,0.836295,0.23332566,True,0.30893683,0.388174
TAC1,0.20844011,0.44105065,0.23261054,True,0.14300334,0.30205053
SLC34A2,0.35625184,0.5865922,0.23034036,True,0.22300075,0.34346992
VIM,2.7251427,2.955303,0.23016024,True,0.5895071,0.62930644
PHGDH,3.219117,3.4487598,0.22964287,True,0.0838759,0.087550685
TSEN15,0.96855,1.1980853,0.22953528,False,0.29410607,0.30635312
MANF,3.0428514,2.8141067,-0.22874475,True,0.17066789,0.17558005
ALDH2,0.9392132,1.1657261,0.22651285,False,0.30306822,0.32160106
HSPA1B,1.9541006,1.729424,-0.22467661,True,0.42119756,0.38936228
TRIB3,0.47223082,0.6952325,0.22300169,True,0.25069413,0.36269888
PYCR1,2.0088482,2.226641,0.21779275,False,0.2181221,0.20077631
HAX1,2.1175966,2.334157,0.21656036,False,0.16262452,0.15748121
LDLR,1.7909238,1.5778164,-0.21310747,True,0.40857795,0.4550191
COL1A1,2.260025,2.0475895,-0.21243548,True,0.40600464,0.45550403
TMEM64,1.3649961,1.5742922,0.2092961,True,0.3572356,0.40037507
GRB10,1.5261185,1.7339358,0.20781732,False,0.268858,0.25911948
EIF4EBP1,2.8433921,3.0506485,0.20725632,True,0.11213006,0.133196
HMOX1,1.7928151,2.0000265,0.20721138,True,0.41226184,0.4731769
BRI3,1.9457042,2.1525075,0.20680332,False,0.19502924,0.19744265
CEBPG,2.2168837,2.423256,0.20637226,False,0.15180534,0.1528041
ID3,1.931087,1.7257566,-0.20533037,True,0.3423298,0.3966582
SLC43A1,1.1609708,1.3638318,0.20286095,False,0.30905944,0.31274143
IDI1,1.1688491,0.96819395,-0.20065516,True,0.37462935,0.43289676
MAP1B,2.2581487,2.458153,0.20000434,True,0.20767254,0.18832509
SH2B3,1.1251506,1.3224131,0.19726253,False,0.30983877,0.2971905
MSMO1,2.504345,2.3094373,-0.19490767,True,0.36301106,0.39054888
LRATD2,1.9109303,2.1048412,0.19391096,True,0.23838219,0.21866706
MAL2,3.0723975,3.2644267,0.19202924,False,0.096674755,0.09770419
SLC3A2,2.9775004,3.1675391,0.19003868,True,0.15079467,0.14488523
FBLL1,0.7856516,0.9725865,0.18693489,True,0.330642,0.36467996
CUZD1,0.5141857,0.70104927,0.18686354,True,0.36897147,0.45873082
H1F0,0.903924,1.0899085,0.18598449,True,0.8330141,1.0317509
ZNF516,0.41618332,0.59984255,0.18365923,True,0.26902473,0.36717162
BTBD17,1.1946275,1.012497,-0.18213058,True,0.37292463,0.42010242
HEXIM1,1.8267198,1.645557,-0.18116271,True,0.2798919,0.2776443
HSPA5,0.8266,0.64551044,-0.18108958,True,0.33154777,0.291447
UHRF1,2.392236,2.211232,-0.18100405,True,0.2816612,0.38162282
FUT1,0.69886553,0.87858427,0.17971873,False,0.29132956,0.33065414
CALCOCO2,0.89304763,1.0721122,0.17906457,False,0.31795242,0.32764852
HMGCR,3.3971014,3.2186852,-0.17841625,True,0.26202345,0.2782894
HSPA8,4.8400865,4.6617236,-0.17836285,True,0.1403093,0.16442984
