gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
STAG2,2.4254415,0.73495275,-1.6904888,False,0.13049,0.5788419
GAL,2.7219493,1.857608,-0.8643414,True,0.35849097,0.4150766
IDO1,1.2041372,0.37723824,-0.82689893,True,0.43108737,0.26751766
SALL3,2.0745156,1.2923622,-0.78215337,True,0.3285634,0.56016016
CRABP2,2.2048934,1.4413782,-0.7635151,True,0.37365532,0.5068368
KCNG3,1.6000588,0.84818023,-0.75187856,True,0.33263826,0.41594833
SHISA2,1.6919217,0.95109355,-0.74082816,True,0.5537069,0.54830486
PKDCC,2.017514,1.3246299,-0.6928841,True,0.58726704,0.6081693
MMP24,1.0542948,0.363862,-0.6904328,True,0.3902179,0.24059829
COL1A1,2.260025,1.580871,-0.67915404,True,0.40600464,0.44971192
VAT1L,1.7592366,1.0873867,-0.67184985,True,0.2837038,0.4161789
PLPP3,2.2034671,1.53234,-0.6711271,True,0.22995988,0.37362668
GRIA4,0.6739651,1.3147645,0.6407994,True,0.3025259,0.355364
ID2,0.48878717,1.1151489,0.6263617,True,0.3184093,0.57080907
PIM1,1.5815667,0.95620924,-0.62535745,True,0.35547683,0.41201043
VASH2,3.0354705,2.425587,-0.60988355,True,0.14533351,0.26207
ENPP1,2.1760325,1.5677027,-0.6083299,True,0.19400986,0.32751063
SERINC5,2.1259036,1.5193446,-0.60655904,True,0.20388338,0.35680112
AKAP7,1.5629597,0.9593734,-0.60358626,True,0.41213223,0.39867204
PCDH10,0.21725935,0.8177603,0.60050094,True,0.18115546,0.71899027
HS3ST3B1,0.9031196,0.30768025,-0.5954394,True,0.37384945,0.20341668
MT1X,1.2593601,0.6642574,-0.59510267,True,0.58770955,0.43670884
KDR,2.138896,1.5477248,-0.59117115,True,0.31552842,0.47524554
TMEM106C,1.5577834,2.1388085,0.5810251,True,0.37999824,0.38962546
OLFML3,1.0210904,0.44411722,-0.5769732,True,0.34903526,0.2617204
SOCS1,1.8222368,1.2509009,-0.5713359,True,0.4042865,0.4569548
LITAF,2.7599976,2.2054036,-0.55459404,True,0.18362416,0.29214853
AASS,3.9314687,4.482703,0.5512345,True,0.25482205,0.22300021
SEMA6A,2.7475765,2.2013664,-0.54621005,True,0.17924707,0.27241206
ID1,2.082082,1.5379376,-0.5441444,True,0.44992384,0.6281902
JAZF1,1.1662948,0.6381602,-0.5281346,True,0.3763501,0.3078708
LHFPL6,0.73020524,0.20994812,-0.5202571,True,0.36257234,0.15347949
BHLHE41,0.2263481,0.7429781,0.51663,True,0.22857852,0.7567444
PCDH11X,0.15854278,0.6726244,0.5140816,False,0.11002916,0.3769822
CMC1,1.0095254,0.49685135,-0.5126741,False,0.2902009,0.39105418
SCGB3A2,2.1600077,1.6481023,-0.51190543,True,1.0063828,1.0814444
PHLDA1,1.0242558,0.5130844,-0.51117134,True,0.4561791,0.36240426
SLC7A5,2.7678742,2.2599804,-0.5078938,True,0.20752229,0.33322495
IQGAP2,2.1076012,1.6000742,-0.507527,True,0.2217897,0.35057092
OPN3,0.9301242,1.4340712,0.50394696,True,0.42169705,0.41284576
DCLK1,1.713339,1.2189306,-0.49440837,True,0.28653774,0.37303966
ADAMTS16,1.1040889,0.6167279,-0.487361,True,0.375157,0.32039028
LOXL1,1.073288,1.5535057,0.4802177,True,0.37352282,0.36368674
DUSP6,2.2662961,2.743553,0.47725677,True,0.42365897,0.29728514
STAT3,1.6300743,1.1529547,-0.47711957,False,0.22091985,0.66051465
TUNAR,1.4096617,0.93819433,-0.47146732,True,0.31986284,0.34233296
PRDM14,1.2575728,0.7931718,-0.46440095,True,0.37819552,0.37610167
S100A11,1.5742178,2.0358586,0.46164083,True,0.29990643,0.2691837
KIZ,1.5637547,1.1065351,-0.4572196,False,0.2559158,0.34462553
PLAAT3,1.6658874,1.2114584,-0.4544289,True,0.36285684,0.3529757
EFS,0.97828144,1.4312176,0.4529361,True,0.3438097,0.3117738
DAPK1,2.3128881,1.8607104,-0.45217776,False,0.17550972,0.25130883
ERVMER34-1,1.778471,1.32698,-0.451491,True,0.3746463,0.44147393
CTSV,1.7560787,1.30628,-0.4497987,True,0.27636278,0.33887273
PPP1R3B,1.0211893,0.5725502,-0.44863915,True,0.3968151,0.3184606
WFDC2,2.037881,2.4827116,0.44483066,True,0.29843947,0.27453297
PTPRZ1,2.9145937,2.4698474,-0.44474626,True,0.10655535,0.18211971
ELAVL2,1.8705974,1.4270728,-0.4435246,True,0.27386892,0.41154987
ENC1,1.117531,0.67532676,-0.44220418,True,0.4060574,0.3413218
DSEL,1.012653,0.57432026,-0.43833274,True,0.34436905,0.2898269
P3H2,1.3254241,0.88791025,-0.43751383,True,0.46865007,0.53400993
EDIL3,1.4273261,0.99086636,-0.43645972,True,0.36399788,0.3794269
TTC39C,1.9046897,1.4713832,-0.43330646,True,0.34991878,0.34604597
SPTSSB,0.90169275,1.332939,0.43124628,True,0.38103697,0.48450673
SLIT2,0.2520212,0.6813641,0.42934293,True,0.15848184,0.40053084
FLT1,2.6713386,2.244712,-0.42662644,True,0.16193423,0.26112294
ATP1B2,1.2254541,0.8004369,-0.42501718,True,0.3508382,0.35319775
PTCH1,0.939191,0.5144584,-0.42473257,True,0.40242016,0.3374874
GRPR,0.8029942,0.3827107,-0.4202835,True,0.6066761,0.32120654
TTC3,1.6795834,2.0983615,0.41877806,True,0.2731726,0.22266294
SORBS2,1.0052477,0.5908029,-0.4144448,True,0.43276674,0.3284392
DTNA,1.0392054,0.6340589,-0.40514654,True,0.44757935,0.3884484
CUZD1,0.5141857,0.90743345,0.39324772,True,0.36897147,0.5980017
MXD4,1.2854006,1.678005,0.39260435,True,0.33491,0.3299507
PIM2,2.8121736,2.4208095,-0.3913641,True,0.14545171,0.18765965
SOX3,0.70646137,0.3158157,-0.39064568,True,0.3964079,0.23426582
VCAN,3.757114,3.3667438,-0.39037013,True,0.11480525,0.18238382
DOCK4,1.6801318,1.2906502,-0.38948154,True,0.34917778,0.3842712
AMOTL1,1.576115,1.1866732,-0.38944185,True,0.32757238,0.37064746
TMSB15A,1.6361887,2.0235069,0.38731813,True,0.3158657,0.27509892
MYC,0.7361546,0.34981534,-0.38633928,True,0.35470825,0.24598767
SLC43A1,1.1609708,0.7761292,-0.38484162,False,0.30905944,0.29598153
MPP6,1.6569325,1.2727389,-0.38419354,False,0.23686703,0.2958231
STC2,2.132497,1.7498676,-0.3826295,True,0.37043837,0.44547558
FZD5,1.1713068,0.7894186,-0.38188827,True,0.38521338,0.34064364
SYT6,0.83240587,0.45554793,-0.37685794,False,0.3056376,0.24156892
NID1,1.2429777,1.6198037,0.37682593,True,0.34657726,0.34150407
SPART,1.7157133,1.3394724,-0.37624085,True,0.31890935,0.33556297
ZNF770,1.826774,1.4519854,-0.37478864,False,0.22734915,0.30972975
SPATS2L,3.1276162,2.7536173,-0.37399888,True,0.17706592,0.22866544
TMEM158,0.62363106,0.2507533,-0.37287775,False,0.2925015,0.15444444
CDH2,1.6087554,1.9812341,0.37247872,True,0.33867648,0.3371506
CHGA,1.5551376,1.9275948,0.37245715,True,0.55296373,0.58501637
