gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
CLDN6,4.432041,2.9522588,-1.4797823,False,0.05121304,1.2310969
SERPINH1,3.2912169,1.8934668,-1.39775,False,0.08250732,1.2405227
GRIK5,1.480839,0.37743267,-1.1034063,False,0.25890118,0.2904075
CENPN,2.8761277,1.906873,-0.96925473,False,0.09787403,0.3893088
MUC3A,1.0630484,0.11032217,-0.9527262,True,0.61409867,0.12272165
QPRT,1.7562511,0.8516973,-0.9045538,False,0.20703644,0.37394488
CLN8,1.7804071,0.9599791,-0.82042795,False,0.22510266,0.47304103
KIAA1109,0.93263894,0.192149,-0.74048996,False,0.2989296,0.14287055
SECISBP2L,1.3606929,0.6240176,-0.73667526,False,0.2806887,0.41968825
MAT2A,2.7843735,2.1216843,-0.6626892,True,0.17303607,0.5970187
COL1A1,2.260025,1.6069943,-0.65303075,True,0.40600464,0.42659697
PLD3,3.1075647,2.6002338,-0.5073309,False,0.086251885,0.24556552
SYT4,0.58140266,0.07997357,-0.5014291,True,0.34853083,0.06254946
STMN3,1.6276441,1.1766632,-0.4509809,False,0.26238313,0.35977995
RBPJ,2.1078296,1.6778009,-0.43002868,False,0.17478053,0.21974914
TEX2,1.1941086,0.7734075,-0.4207011,False,0.3061469,0.30334625
ERVMER34-1,1.778471,1.4001954,-0.37827563,True,0.3746463,0.406535
SLC12A7,1.9191669,1.553612,-0.36555493,True,0.23414764,0.27937233
RENBP,0.495004,0.13582695,-0.35917705,False,0.24651504,0.08866842
MAGED2,2.2897224,1.9318571,-0.35786533,False,0.14950255,0.21956635
TCEAL5,0.4719427,0.15308885,-0.31885386,False,0.23805873,0.11127361
IGFBP4,1.9565018,1.6434368,-0.31306505,True,0.226974,0.32228082
CMC2,1.7831511,1.4737167,-0.3094344,False,0.20659459,0.30562618
FZD7,1.6563491,1.3624767,-0.29387236,True,0.35724905,0.43357763
NTS,1.4767022,1.1976608,-0.2790414,True,0.7286999,0.6687814
LIN7A,0.8565189,1.1334689,0.27694994,True,0.36641464,0.40936777
TMCO6,0.30453792,0.029732727,-0.2748052,False,0.16783558,0.020468371
ARHGAP45,0.32852525,0.055903863,-0.2726214,False,0.18071614,0.03721062
TRAF5,0.6125585,0.3423072,-0.27025127,False,0.27290517,0.19840984
ASS1,1.6960539,1.4308215,-0.26523232,True,0.34041834,0.39820555
AASS,3.9314687,4.1960225,0.2645538,True,0.25482205,0.1526775
AARS,0.9076221,0.64462477,-0.26299733,False,0.3064885,0.30622604
COL6A2,2.213915,1.9563193,-0.25759578,True,0.24217908,0.28997305
CHMP2B,2.111965,1.8550067,-0.25695825,False,0.17517859,0.23839928
LPAR4,0.61239624,0.35738075,-0.2550155,False,0.27968276,0.2033393
GSDMD,1.242641,0.99193406,-0.2507069,False,0.30310738,0.33454266
NEFM,1.2480268,1.0040761,-0.24395072,True,0.4028053,0.41852677
PHLDA3,0.48402876,0.72333217,0.23930341,True,0.32843012,0.47104537
MT1X,1.2593601,1.4976761,0.23831606,True,0.58770955,0.59254706
SHISA2,1.6919217,1.4537084,-0.2382133,True,0.5537069,0.5715129
SBK1,2.2427895,2.005118,-0.23767161,False,0.1456868,0.18598926
CCDC141,0.8916808,1.1291721,0.23749131,True,0.44828832,0.48523957
ZNF493,1.5624852,1.3300171,-0.23246813,False,0.26516175,0.32067007
FOXN2,0.55798686,0.3283783,-0.22960857,False,0.25564185,0.1814285
GRM4,1.11268,0.8849662,-0.22771376,True,0.3394024,0.3299088
