gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
STX4,1.3116112,0.083865404,-1.2277458,False,0.28098896,0.06577496
TMEM141,1.4465061,0.4355204,-1.0109857,False,0.26332775,0.27283958
PTGIS,0.90228,0.3352262,-0.5670538,False,0.2954449,0.19206911
BLOC1S1,1.8641253,1.3543086,-0.50981665,False,0.19545424,0.30376256
KNDC1,0.8674455,0.40386996,-0.46357557,True,0.3387168,0.24061124
SUCLG1,1.5751706,1.139444,-0.43572664,False,0.23567858,0.4015
KCNG3,1.6000588,1.1719681,-0.4280907,True,0.33263826,0.36518475
NUP62,2.48288,2.1065698,-0.37631035,False,0.13586244,0.2405298
COL6A1,2.216633,1.8479036,-0.36872947,True,0.22963761,0.30190623
ROCK1,2.0322325,1.6775063,-0.3547262,False,0.17829362,0.26569495
COL6A2,2.213915,1.8630728,-0.35084236,True,0.24217908,0.31760472
PDXK,2.39992,2.1020954,-0.29782462,False,0.13020852,0.18056668
ASMTL,2.1858873,1.8947628,-0.29112458,False,0.18091886,0.22525693
SPRED3,0.3805796,0.106463075,-0.27411652,False,0.21270075,0.07284579
RHOBTB1,0.6763632,0.4069856,-0.26937762,False,0.29179472,0.22306623
SOCS1,1.8222368,1.5627291,-0.25950766,True,0.4042865,0.45422646
RASIP1,0.531317,0.27237344,-0.25894356,False,0.26514855,0.16216278
MTA3,3.0260386,2.7739015,-0.25213718,True,0.13999781,0.1613132
ACOXL,1.4610541,1.2177173,-0.2433368,True,0.3608723,0.38387102
BLCAP,1.2397462,0.9971769,-0.24256933,False,0.28790045,0.3638412
SIN3B,1.8125606,1.5809113,-0.23164928,False,0.20602244,0.30649748
ATF5,0.9149669,0.70916843,-0.20579845,True,0.44021747,0.38076517
CCND1,1.0390285,0.8347213,-0.2043072,True,0.3845656,0.34066832
BCAM,1.8129354,1.6152459,-0.19768941,False,0.23701796,0.2550181
EGFL7,1.138642,0.95338565,-0.1852563,False,0.3018013,0.3065536
TFDP1,1.3743045,1.1903133,-0.1839912,False,0.2975725,0.30407682
SELENOP,1.0004246,1.1819341,0.1815095,True,0.44973302,0.45806724
ITGA7,1.0735465,0.8940591,-0.1794874,False,0.31520787,0.31241697
USP44,3.127257,2.950669,-0.17658806,False,0.080515,0.10167351
PKP3,0.804897,0.63570267,-0.16919434,False,0.329147,0.306819
THBS4,0.26154083,0.09238754,-0.16915329,False,0.15178156,0.057175953
RABL6,2.5928214,2.4242346,-0.16858673,False,0.13554509,0.15759087
CRABP1,2.7936456,2.9482574,0.15461183,True,0.2094519,0.2081327
FOXJ1,0.21760024,0.06456733,-0.15303291,True,0.14826536,0.045783553
HIF3A,0.6116149,0.45911744,-0.15249744,False,0.26580432,0.22163182
POLR3G,2.6291654,2.779681,0.15051556,True,0.22044568,0.13692652
SORBS2,1.0052477,1.1529478,0.14770007,True,0.43276674,0.4447943
VAT1L,1.7592366,1.9062662,0.14702964,True,0.2837038,0.2513213
CD63,2.2009947,2.0567963,-0.14419842,False,0.1736714,0.19697487
ADM,1.0165217,1.156868,0.14034629,True,0.4694616,0.4718375
