gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
SUPT4H1,2.1298444,0.20157154,-1.9282728,False,0.14890884,0.1769427
SLC7A11,2.2569587,0.6424722,-1.6144865,True,0.3321765,0.4616863
TAGLN,2.3409328,3.953785,1.6128521,True,0.6389723,0.36757752
KIF1A,3.2239323,1.7311814,-1.4927509,True,0.09698961,0.66633
C13orf42,0.8197307,2.2751129,1.4553821,True,0.4382594,0.39573082
ANXA3,0.64711624,2.005204,1.3580878,True,0.37550318,0.45851097
ID2,0.48878717,1.6203578,1.1315706,True,0.3184093,0.6807504
PLAAT3,1.6658874,0.5400378,-1.1258495,True,0.36285684,0.41314286
ERVMER34-1,1.778471,2.798429,1.019958,True,0.3746463,0.31158084
MYL9,1.8118736,2.8106196,0.99874604,True,0.4087449,0.2544911
IQSEC2,1.9034958,0.9068628,-0.996633,True,0.3713815,0.49477482
RAC3,2.8421829,1.8534929,-0.98869,False,0.11613843,0.4617618
GUCY2C,0.12342428,1.0917975,0.9683732,False,0.085593164,0.5370765
C1orf21,2.3650088,1.3972833,-0.9677255,True,0.18786235,0.41208255
S100A10,3.133715,2.1885693,-0.9451456,True,0.22135624,0.52150345
RIMS4,1.6565819,0.73733807,-0.9192438,False,0.26107934,0.42774573
LARP7,1.3742118,2.2847838,0.91057205,True,0.34203744,0.22938806
PALM3,1.2694156,0.3887131,-0.8807025,True,0.33082137,0.27594885
TEK,1.5910075,0.7133148,-0.8776927,True,0.4462709,0.51692444
MT1X,1.2593601,0.38664693,-0.87271315,True,0.58770955,0.3056937
ID1,2.082082,1.2163235,-0.86575854,True,0.44992384,0.66482395
CXCL5,0.65057814,1.5096128,0.85903466,True,0.36417714,0.99886286
VIM,2.7251427,3.577495,0.8523524,True,0.5895071,0.94814533
PCK2,2.0146055,1.1713251,-0.84328043,True,0.285465,0.41466358
IRX2,0.45888945,1.279991,0.82110155,True,0.29465783,0.688177
H2AFJ,2.0699096,2.8661091,0.79619956,True,0.22787869,0.17091438
GAL,2.7219493,1.9399786,-0.78197074,True,0.35849097,0.48089448
PHYH,0.7808058,1.5560378,0.77523196,False,0.30016178,0.421279
CRABP2,2.2048934,2.9787695,0.7738762,True,0.37365532,0.32827422
